volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3005015.75,20.6136,20.88,20.16,21.48,19.8,2020-02-20 05:00:00,60239,ACB
1156827.1667,19.914,20.28,20.04,20.4,19.44,2020-02-21 05:00:00,33748,ACB
2117215.8333,18.8328,18.96,18.6,19.44,18.48,2020-02-24 05:00:00,45804,ACB
1967756.25,18.2796,18.96,18.12,19.08,17.88,2020-02-25 05:00:00,44118,ACB
1754422.6667,18.2544,17.88,18.12,18.96,17.88,2020-02-26 05:00:00,36770,ACB
2192492.9167,17.1528,17.4,17.4,18.36,16.2,2020-02-27 05:00:00,53541,ACB
2260954.3333,16.2204,16.32,16.08,16.8,15.84,2020-02-28 05:00:00,51125,ACB
1528507.5833,16.2192,16.68,16.32,16.8,15.72,2020-03-02 05:00:00,25255,ACB
1369368.5833,16.1808,16.56,15.96,16.8,15.72,2020-03-03 05:00:00,31684,ACB
1500347.0833,16.5444,16.08,16.56,17.16,15.84,2020-03-04 05:00:00,35688,ACB
1104380.6667,16.0704,16.2,15.72,16.56,15.72,2020-03-05 05:00:00,27674,ACB
2118194.9167,14.5608,15.36,14.04,15.48,13.56,2020-03-06 05:00:00,50001,ACB
2402570.25,12.0384,11.5212,11.388,13.08,10.8,2020-03-09 04:00:00,55273,ACB
1908911.75,12.0504,12.36,11.7624,12.84,11.52,2020-03-10 04:00:00,61269,ACB
1852156.8333,10.932,11.544,10.3044,11.784,10.2,2020-03-11 04:00:00,55827,ACB
3559182.0833,8.3748,8.161200000000001,8.4012,8.88,7.5600000000000005,2020-03-12 04:00:00,78476,ACB
2102463.1667,9.0156,9.2652,9.24,9.588,8.4336,2020-03-13 04:00:00,63696,ACB
1735795.1667,8.6568,8.394,8.3052,9.24,8.16,2020-03-16 04:00:00,48808,ACB
1392892.0833,8.5224,8.6412,8.514,8.88,8.064,2020-03-17 04:00:00,47506,ACB
1820766.6667,7.7292000000000005,8.16,7.5,8.34,7.2,2020-03-18 04:00:00,52552,ACB
2599580.3333,8.094,7.62,7.9404,8.4,7.44,2020-03-19 04:00:00,59354,ACB
3402863.1667,9.174,8.64,8.76,10.08,8.472,2020-03-20 04:00:00,78022,ACB
2570168.5833,8.5464,9.6,8.1912,9.7092,8.04,2020-03-23 04:00:00,58746,ACB
2640997.8333,8.5032,9.0,8.604,9.0312,8.28,2020-03-24 04:00:00,66294,ACB
4031827.25,9.1272,8.88,8.9532,9.7163,8.4,2020-03-25 04:00:00,96365,ACB
8628396.75,10.8144,9.252,10.86,12.0,9.2388,2020-03-26 04:00:00,177120,ACB
10895521.9167,12.4656,12.84,12.36,13.56,11.5224,2020-03-27 04:00:00,203600,ACB
4288423.0,11.208,12.24,10.65,12.36,10.332,2020-03-30 04:00:00,115497,ACB
2668600.6667,11.1204,10.98,10.8708,11.76,10.4448,2020-03-31 04:00:00,61100,ACB
2673000.0,9.9864,10.5,9.708,10.89,9.36,2020-04-01 04:00:00,69959,ACB
2796600.6667,10.2276,9.96,9.999600000000001,11.016,9.612,2020-04-02 04:00:00,59850,ACB
