volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5574782,19.5494,19.44,19.62,19.62,19.435,2020-02-20 05:00:00,22433,AGNC
8569439,19.3577,19.58,19.26,19.65,19.26,2020-02-21 05:00:00,23669,AGNC
9208634,19.0634,18.93,19.09,19.16,18.75,2020-02-24 05:00:00,32004,AGNC
13018612,18.7282,19.06,18.51,19.15,18.4593,2020-02-25 05:00:00,47012,AGNC
10164102,18.5869,18.51,18.44,18.87,18.37,2020-02-26 05:00:00,45518,AGNC
17158536,17.7353,18.13,17.565,18.145,17.43,2020-02-27 05:00:00,73370,AGNC
19279539,16.9479,16.97,17.04,17.2,16.47,2020-02-28 05:00:00,88183,AGNC
16209549,17.8549,17.29,18.15,18.15,17.18,2020-03-02 05:00:00,59236,AGNC
10664672,18.0733,18.12,17.88,18.65,17.68,2020-03-03 05:00:00,54895,AGNC
12393886,18.1417,18.23,18.24,18.58,17.98,2020-03-04 05:00:00,60872,AGNC
9208783,17.7605,18.02,17.7,18.08,17.65,2020-03-05 05:00:00,46602,AGNC
19462201,16.9712,17.23,17.1,17.355,16.65,2020-03-06 05:00:00,74544,AGNC
12989089,15.8476,16.03,15.59,16.23,15.43,2020-03-09 04:00:00,62004,AGNC
13684366,15.4701,16.15,15.41,16.26,15.11,2020-03-10 04:00:00,67809,AGNC
19358960,14.6104,15.09,14.39,15.16,14.2927,2020-03-11 04:00:00,78076,AGNC
19307654,11.8142,12.6103,11.555,12.65,11.29,2020-03-12 04:00:00,83537,AGNC
17265515,11.6852,12.92,12.01,13.17,11.0,2020-03-13 04:00:00,79194,AGNC
26205762,12.221,11.4,11.81,13.4342,11.06,2020-03-16 04:00:00,117436,AGNC
24951844,11.776,12.12,11.81,12.2899,11.2,2020-03-17 04:00:00,129428,AGNC
33698061,8.926,11.19,9.73,11.35,6.25,2020-03-18 04:00:00,117652,AGNC
16624735,9.3957,9.5,9.38,10.15,8.12,2020-03-19 04:00:00,75718,AGNC
