volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5048758,3.3785,3.63,3.58,3.63,3.37,2020-02-20 05:00:00,14529,AGRX
8841963,3.1149,3.08,3.095,3.24,3.03,2020-02-21 05:00:00,26228,AGRX
3753153,3.0611,3.0,3.05,3.18,2.98,2020-02-24 05:00:00,13199,AGRX
3888018,3.0507,3.08,3.02,3.18,3.0,2020-02-25 05:00:00,15714,AGRX
7769825,3.1736,3.09,3.145,3.305,3.01,2020-02-26 05:00:00,26908,AGRX
7746041,2.6994,3.0,2.74,3.0,2.44,2020-02-27 05:00:00,25839,AGRX
3731368,2.6704,2.49,2.675,2.8200000000000003,2.45,2020-02-28 05:00:00,13429,AGRX
2807681,2.5292,2.69,2.54,2.7,2.45,2020-03-02 05:00:00,9121,AGRX
4428058,2.3851,2.5700000000000003,2.32,2.6,2.3,2020-03-03 05:00:00,18219,AGRX
5152077,2.2640000000000002,2.39,2.34,2.43,2.11,2020-03-04 05:00:00,21098,AGRX
3565280,2.4269,2.29,2.32,2.54,2.2800000000000002,2020-03-05 05:00:00,19527,AGRX
9159259,2.6078,2.4,2.56,2.95,2.345,2020-03-06 05:00:00,29558,AGRX
3938172,2.1943,2.4,2.18,2.4,2.05,2020-03-09 04:00:00,11842,AGRX
2055818,2.1795,2.27,2.11,2.2899,2.11,2020-03-10 04:00:00,8555,AGRX
3769965,1.9503,2.09,1.94,2.155,1.82,2020-03-11 04:00:00,12931,AGRX
3413893,1.6109,1.49,1.6800000000000002,1.8050000000000002,1.35,2020-03-12 04:00:00,10935,AGRX
5903900,1.7317,1.75,1.96,1.96,1.45,2020-03-13 04:00:00,12628,AGRX
3292459,1.6774,1.65,1.67,1.87,1.52,2020-03-16 04:00:00,12851,AGRX
2551637,1.6844999999999999,1.76,1.78,1.85,1.57,2020-03-17 04:00:00,7352,AGRX
1988776,1.6773,1.67,1.67,1.8099,1.6,2020-03-18 04:00:00,8166,AGRX
1806300,1.6732,1.62,1.62,1.76,1.58,2020-03-19 04:00:00,5473,AGRX
1803407,1.6132,1.65,1.62,1.67,1.56,2020-03-20 04:00:00,8343,AGRX
2381738,1.5584,1.62,1.58,1.69,1.45,2020-03-23 04:00:00,7971,AGRX
4339747,1.7981,1.6800000000000002,1.88,1.9,1.625,2020-03-24 04:00:00,8373,AGRX
2362527,1.9173,1.92,1.9300000000000002,2.0,1.75,2020-03-25 04:00:00,8253,AGRX
2058428,2.0231,1.96,2.01,2.0905,1.94,2020-03-26 04:00:00,8674,AGRX
1488993,1.9809999999999999,1.9500000000000002,2.05,2.05,1.8599999999999999,2020-03-27 04:00:00,6095,AGRX
1747033,2.0841,2.05,2.15,2.25,1.99,2020-03-30 04:00:00,5972,AGRX
2210095,2.0187,2.16,1.8599999999999999,2.23,1.85,2020-03-31 04:00:00,8236,AGRX
860699,1.8376000000000001,1.85,1.8599999999999999,1.9399000000000002,1.8,2020-04-01 04:00:00,3722,AGRX
985942,1.8601,1.8900000000000001,1.8399999999999999,1.94,1.81,2020-04-02 04:00:00,4947,AGRX
1014572,1.8166,1.8399999999999999,1.85,1.88,1.75,2020-04-03 04:00:00,4789,AGRX
1194456,1.8777,1.94,1.8900000000000001,1.968,1.82,2020-04-06 04:00:00,5425,AGRX
1695936,1.8479,1.92,1.81,1.9300000000000002,1.79,2020-04-07 04:00:00,6682,AGRX
1403402,1.8756,1.85,1.9,1.92,1.82,2020-04-08 04:00:00,6559,AGRX
2767970,2.0816,1.97,2.18,2.2,1.87,2020-04-09 04:00:00,12482,AGRX
2001500,2.2652,2.26,2.37,2.39,2.11,2020-04-13 04:00:00,10294,AGRX
2411711,2.3802,2.43,2.32,2.5700000000000003,2.26,2020-04-14 04:00:00,10243,AGRX
1679646,2.1813000000000002,2.2800000000000002,2.25,2.29,2.07,2020-04-15 04:00:00,6862,AGRX
1099460,2.1999,2.26,2.23,2.2800000000000002,2.11,2020-04-16 04:00:00,4578,AGRX
1198314,2.202,2.2503,2.23,2.27,2.11,2020-04-17 04:00:00,6227,AGRX
1565121,2.203,2.23,2.18,2.27,2.1342,2020-04-20 04:00:00,6032,AGRX
1425224,2.1172,2.16,2.1,2.215,2.065,2020-04-21 04:00:00,7064,AGRX
990869,2.152,2.16,2.19,2.22,2.1,2020-04-22 04:00:00,5532,AGRX
1251240,2.2252,2.19,2.23,2.289,2.15,2020-04-23 04:00:00,5161,AGRX
1164260,2.2625,2.26,2.3,2.32,2.157,2020-04-24 04:00:00,5720,AGRX
2239711,2.4201,2.33,2.39,2.545,2.3,2020-04-27 04:00:00,8068,AGRX
1414467,2.4843,2.47,2.5300000000000002,2.55,2.3701,2020-04-28 04:00:00,6464,AGRX
1649957,2.5616,2.62,2.5300000000000002,2.64,2.5,2020-04-29 04:00:00,7840,AGRX
1420012,2.4719,2.59,2.425,2.59,2.4,2020-04-30 04:00:00,7414,AGRX
6850308,2.707,2.46,2.77,2.95,2.41,2020-05-01 04:00:00,22680,AGRX
8815500,2.9832,3.0,2.76,3.35,2.66,2020-05-04 04:00:00,33272,AGRX
