volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
106681,7.7707,7.64,7.82,7.9,7.53,2020-02-20 05:00:00,500,AIH
79339,7.7622,7.86,7.6703,7.91,7.64,2020-02-21 05:00:00,412,AIH
93621,7.5552,7.49,7.53,7.74,7.44,2020-02-24 05:00:00,492,AIH
84012,7.5185,7.6,7.34,7.62,7.24,2020-02-25 05:00:00,406,AIH
74846,7.4725,7.47,7.45,7.57,7.36,2020-02-26 05:00:00,347,AIH
87316,7.3522,7.4,7.5,7.59,7.13,2020-02-27 05:00:00,460,AIH
105944,7.4652,7.42,7.57,7.6815,7.12,2020-02-28 05:00:00,615,AIH
178539,8.0393,7.65,8.12,8.2892,7.58,2020-03-02 05:00:00,773,AIH
214881,8.3366,8.17,8.27,8.7208,8.01,2020-03-03 05:00:00,854,AIH
180254,8.9682,8.4933,9.48,9.5601,8.4165,2020-03-04 05:00:00,788,AIH
227245,10.0137,9.36,10.28,10.4533,9.36,2020-03-05 05:00:00,1064,AIH
177319,10.0742,10.2,10.01,10.6581,9.61,2020-03-06 05:00:00,802,AIH
158013,9.6066,9.57,9.51,10.1999,9.2,2020-03-09 04:00:00,752,AIH
156045,9.6357,9.61,9.75,9.89,9.4647,2020-03-10 04:00:00,548,AIH
268450,9.8175,10.05,9.58,10.21,9.3,2020-03-11 04:00:00,1332,AIH
183858,9.6115,9.03,9.53,9.86,9.03,2020-03-12 04:00:00,937,AIH
105995,9.7382,9.86,9.59,9.91,9.55,2020-03-13 04:00:00,632,AIH
209120,9.4709,9.35,9.68,10.56,8.9,2020-03-16 04:00:00,796,AIH
95053,9.4734,9.74,9.26,9.85,9.14,2020-03-17 04:00:00,599,AIH
122260,9.2393,9.1,8.89,9.69,8.71,2020-03-18 04:00:00,680,AIH
114087,8.9176,8.98,8.63,9.15,8.62,2020-03-19 04:00:00,499,AIH
74101,8.5508,8.63,8.65,8.77,8.3,2020-03-20 04:00:00,347,AIH
70557,8.2069,8.54,8.05,8.5676,8.0,2020-03-23 04:00:00,391,AIH
137044,8.3994,8.32,8.33,8.78,8.14,2020-03-24 04:00:00,696,AIH
52989,8.4333,8.23,8.33,8.83,8.23,2020-03-25 04:00:00,420,AIH
121389,9.0109,8.28,8.95,9.5,8.28,2020-03-26 04:00:00,569,AIH
129587,9.1242,8.87,8.86,9.6799,8.79,2020-03-27 04:00:00,725,AIH
90669,8.4781,8.92,8.35,8.92,8.04,2020-03-30 04:00:00,575,AIH
116807,8.8037,8.34,9.07,9.13,8.34,2020-03-31 04:00:00,659,AIH
103192,8.9809,8.58,9.05,9.19,8.58,2020-04-01 04:00:00,517,AIH
96737,8.7235,9.12,8.65,9.12,8.48,2020-04-02 04:00:00,487,AIH
56798,8.3561,8.54,8.63,8.8,8.2,2020-04-03 04:00:00,359,AIH
67422,8.3685,8.58,8.37,8.7,8.16,2020-04-06 04:00:00,415,AIH
79505,8.2856,8.34,8.21,8.65,8.01,2020-04-07 04:00:00,417,AIH
