volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1096,19.7653,19.7,19.8,19.8,19.7,2020-02-20 05:00:00,10,AIRT
970,19.673000000000002,19.95,19.85,19.95,19.12,2020-02-21 05:00:00,7,AIRT
155,19.4412,19.49,19.49,19.49,19.49,2020-02-24 05:00:00,4,AIRT
513,18.5666,18.56,18.5,18.56,18.5,2020-02-26 05:00:00,10,AIRT
1017,18.62,18.6342,18.5,18.6342,18.5,2020-02-27 05:00:00,10,AIRT
1664,18.7261,18.52,18.5,19.1148,18.5,2020-02-28 05:00:00,12,AIRT
340,18.5587,18.5,18.5,18.53,18.5,2020-03-02 05:00:00,7,AIRT
403,18.2552,18.5,18.5,18.5,18.5,2020-03-03 05:00:00,8,AIRT
2204,17.7628,16.915,17.09,18.5,16.915,2020-03-05 05:00:00,19,AIRT
573,18.0378,17.09,18.5,18.5,17.09,2020-03-06 05:00:00,14,AIRT
201,17.7237,18.3899,18.3899,18.3899,18.3899,2020-03-09 04:00:00,8,AIRT
1688,17.4112,17.5,16.75,17.6835,16.75,2020-03-11 04:00:00,20,AIRT
28570,15.7281,16.28,15.69,16.28,15.0,2020-03-12 04:00:00,263,AIRT
4611,15.4811,15.69,15.5,15.69,15.4381,2020-03-13 04:00:00,57,AIRT
38269,12.3183,12.506,11.5,13.07,10.75,2020-03-16 04:00:00,157,AIRT
15054,12.716,11.75,12.25,13.4777,11.75,2020-03-17 04:00:00,29,AIRT
23433,11.351,12.031,10.51,12.031,10.5,2020-03-18 04:00:00,99,AIRT
50726,10.9905,10.5,12.93,12.93,10.45,2020-03-19 04:00:00,104,AIRT
9532,13.3268,13.08,12.75,14.94,12.65,2020-03-20 04:00:00,92,AIRT
8971,11.7143,11.95,10.55,12.0098,10.55,2020-03-23 04:00:00,54,AIRT
11964,10.4221,10.6264,10.4101,10.89,9.51,2020-03-24 04:00:00,80,AIRT
6126,10.3927,10.45,11.85,11.85,9.41,2020-03-25 04:00:00,81,AIRT
1609,11.306,10.5,11.5,11.56,10.5,2020-03-26 04:00:00,45,AIRT
887,11.0589,10.95,10.95,10.95,10.95,2020-03-27 04:00:00,31,AIRT
2288,12.3409,12.18,12.4548,13.5,12.0,2020-03-30 04:00:00,35,AIRT
1835,12.6355,12.52,12.51,13.77,12.51,2020-03-31 04:00:00,19,AIRT
332,12.0858,12.5,12.44,12.5,12.44,2020-04-01 04:00:00,13,AIRT
1744,11.359,11.8841,11.0,11.8841,11.0,2020-04-06 04:00:00,22,AIRT
3366,11.6,12.28,11.06,12.29,11.04,2020-04-07 04:00:00,36,AIRT
1517,11.4858,11.18,11.56,11.6462,11.18,2020-04-08 04:00:00,28,AIRT
6490,11.1327,11.35,11.55,11.55,11.0,2020-04-09 04:00:00,53,AIRT
