volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2294725,10.2006,9.83,10.24,10.42,9.54,2020-02-20 05:00:00,13984,AKBA
1724803,10.2927,10.27,10.15,10.53,9.98,2020-02-21 05:00:00,11380,AKBA
1070720,9.7656,9.58,9.99,10.15,9.1,2020-02-24 05:00:00,7426,AKBA
1506040,9.2522,10.05,8.9,10.13,8.765,2020-02-25 05:00:00,10878,AKBA
1249876,9.057,8.97,8.83,9.345,8.77,2020-02-26 05:00:00,9175,AKBA
2113830,8.438,8.67,8.3,8.795,8.04,2020-02-27 05:00:00,10899,AKBA
2211255,8.5382,8.18,8.87,8.92,8.0,2020-02-28 05:00:00,14838,AKBA
1941531,8.9507,8.83,9.07,9.34,8.47,2020-03-02 05:00:00,14315,AKBA
2246660,9.0274,9.09,8.94,9.52,8.7,2020-03-03 05:00:00,11247,AKBA
1495934,9.4448,9.2,9.49,9.63,9.07,2020-03-04 05:00:00,10321,AKBA
1492966,9.4574,9.26,9.38,9.61,9.12,2020-03-05 05:00:00,10530,AKBA
1462763,9.0997,9.07,9.06,9.51,8.94,2020-03-06 05:00:00,10688,AKBA
1686243,8.2704,8.36,8.05,8.92,7.5,2020-03-09 04:00:00,10955,AKBA
2618256,7.2306,7.86,7.43,7.98,6.82,2020-03-10 04:00:00,12953,AKBA
1905036,7.0818,7.15,6.94,7.45,6.72,2020-03-11 04:00:00,13172,AKBA
2561699,6.0888,6.4,6.07,6.64,5.69,2020-03-12 04:00:00,14649,AKBA
2069071,5.6232,6.41,5.88,6.4483,5.01,2020-03-13 04:00:00,13831,AKBA
1394185,5.1169,4.57,5.03,5.41,4.57,2020-03-16 04:00:00,10448,AKBA
1606884,5.0105,5.11,5.08,5.3,4.7,2020-03-17 04:00:00,12268,AKBA
1939193,4.3508,4.77,4.1,4.97,3.805,2020-03-18 04:00:00,12972,AKBA
1779537,5.2546,4.08,5.53,5.74,4.08,2020-03-19 04:00:00,13018,AKBA
1657317,5.8324,5.7,5.84,6.3,5.48,2020-03-20 04:00:00,10464,AKBA
1289611,6.1424,5.9,6.23,6.44,5.69,2020-03-23 04:00:00,10148,AKBA
1505353,7.0168,6.61,7.24,7.33,6.5600000000000005,2020-03-24 04:00:00,10992,AKBA
1534313,7.7816,7.26,7.65,8.22,7.22,2020-03-25 04:00:00,10416,AKBA
1592074,7.7897,7.72,7.52,8.34,7.29,2020-03-26 04:00:00,10752,AKBA
1594733,7.1889,7.27,7.05,7.58,7.03,2020-03-27 04:00:00,11035,AKBA
1211810,7.6863,7.08,7.96,8.0,6.61,2020-03-30 04:00:00,8541,AKBA
1878094,7.7203,7.96,7.58,8.22,7.45,2020-03-31 04:00:00,12680,AKBA
1166526,6.9478,7.18,6.67,7.46,6.6,2020-04-01 04:00:00,8588,AKBA
897082,6.8795,6.5600000000000005,7.07,7.12,6.37,2020-04-02 04:00:00,6616,AKBA
812076,6.7826,7.01,6.73,7.14,6.55,2020-04-03 04:00:00,7547,AKBA
896264,7.0511,7.07,7.09,7.3,6.8,2020-04-06 04:00:00,7084,AKBA
1088955,6.8472,7.24,6.7,7.45,6.5600000000000005,2020-04-07 04:00:00,7464,AKBA
1027708,6.9212,6.77,6.95,7.14,6.54,2020-04-08 04:00:00,8892,AKBA
871433,6.9994,7.16,7.0,7.24,6.78,2020-04-09 04:00:00,7293,AKBA
774450,6.8654,6.95,6.9,6.99,6.745,2020-04-13 04:00:00,6695,AKBA
1385844,7.3053,7.0,7.46,7.565,6.91,2020-04-14 04:00:00,8354,AKBA
867179,7.2383,7.23,7.27,7.41,7.0,2020-04-15 04:00:00,6621,AKBA
760535,7.1033,7.34,7.05,7.46,6.86,2020-04-16 04:00:00,6690,AKBA
1034709,7.341,7.28,7.46,7.48,7.06,2020-04-17 04:00:00,6963,AKBA
965118,7.5984,7.18,7.46,7.96,7.18,2020-04-20 04:00:00,7609,AKBA
840729,7.1822,7.26,7.1,7.42,7.0,2020-04-21 04:00:00,7068,AKBA
726088,7.4404,7.29,7.52,7.57,7.14,2020-04-22 04:00:00,6269,AKBA
629104,7.4282,7.5600000000000005,7.31,7.73,7.282,2020-04-23 04:00:00,5600,AKBA
574456,7.5797,7.31,7.71,7.75,7.27,2020-04-24 04:00:00,5709,AKBA
752811,7.8822,7.82,7.84,8.03,7.76,2020-04-27 04:00:00,6088,AKBA
883778,7.9775,8.0,8.04,8.27,7.74,2020-04-28 04:00:00,5911,AKBA
1070806,8.5184,8.27,8.6,8.7,8.1,2020-04-29 04:00:00,8796,AKBA
760386,8.2004,8.41,8.1,8.4823,8.05,2020-04-30 04:00:00,6868,AKBA
966661,7.8518,7.84,7.98,8.01,7.6,2020-05-01 04:00:00,9382,AKBA
