volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
45606,1.7916,1.9100000000000001,1.7000000000000002,2.01,1.69,2021-01-29 05:00:00,101,ALTUW
39655,2.3405,4.3024000000000004,2.0499,5.2,1.8,2021-02-01 05:00:00,187,ALTUW
508135,2.0885,2.09,2.39,2.7169,1.85,2021-02-02 05:00:00,296,ALTUW
738482,2.1493,2.12,2.05,2.36,1.9500000000000002,2021-02-03 05:00:00,724,ALTUW
48529,2.0411,2.24,2.05,2.24,1.9500000000000002,2021-02-04 05:00:00,268,ALTUW
212804,2.0859,2.0999,2.12,2.2999,1.9500000000000002,2021-02-05 05:00:00,562,ALTUW
200636,1.9974,2.29,2.045,2.29,1.9100000000000001,2021-02-08 05:00:00,1081,ALTUW
99242,2.0448,2.06,2.08,2.12,1.9500000000000002,2021-02-09 05:00:00,339,ALTUW
263931,2.1804,2.05,2.2,2.2,2.0,2021-02-10 05:00:00,182,ALTUW
71865,2.1274,2.1,2.05,2.23,2.0,2021-02-11 05:00:00,284,ALTUW
180879,2.1026,2.06,2.05,2.23,2.0,2021-02-12 05:00:00,712,ALTUW
381627,2.1307,2.15,2.14,2.33,2.01,2021-02-16 05:00:00,1660,ALTUW
367822,2.8794,2.2,2.35,2.43,2.2,2021-02-17 05:00:00,1160,ALTUW
1891866,3.4469,3.58,3.65,3.65,3.22,2021-02-18 05:00:00,8141,ALTUW
1385697,4.1034,4.24,4.26,4.47,3.6999,2021-02-19 05:00:00,5694,ALTUW
971432,4.8636,4.95,4.5600000000000005,5.72,4.49,2021-02-22 05:00:00,3575,ALTUW
748256,3.8129,3.87,3.84,4.1,3.5,2021-02-23 05:00:00,3025,ALTUW
281342,3.9089,3.99,3.7800000000000002,4.1,3.7800000000000002,2021-02-24 05:00:00,1354,ALTUW
354443,3.3785,3.51,3.19,3.74,3.15,2021-02-25 05:00:00,1353,ALTUW
655596,3.0451,3.38,3.0,3.5899,2.7800000000000002,2021-02-26 05:00:00,2233,ALTUW
450436,3.1013,3.45,3.1,3.45,3.02,2021-03-01 05:00:00,1929,ALTUW
936928,3.0031,3.18,3.0,3.18,2.8200000000000003,2021-03-02 05:00:00,2258,ALTUW
972108,2.8471,2.8,2.74,2.95,2.61,2021-03-03 05:00:00,2907,ALTUW
1179250,2.2088,2.48,2.09,2.66,1.8999000000000001,2021-03-04 05:00:00,2999,ALTUW
1089766,1.8036,2.23,2.1,2.23,1.51,2021-03-05 05:00:00,3121,ALTUW
398777,2.0317,2.07,1.92,2.17,1.9,2021-03-08 05:00:00,1257,ALTUW
371658,1.9839,2.1,1.94,2.1001,1.9,2021-03-09 05:00:00,920,ALTUW
360861,2.0358,2.0,2.02,2.0901,1.9500000000000002,2021-03-10 05:00:00,876,ALTUW
596542,2.346,2.08,2.35,2.65,2.06,2021-03-11 05:00:00,2026,ALTUW
301172,2.4774000000000003,2.45,2.56,2.7,2.1,2021-03-12 05:00:00,1114,ALTUW
455315,2.3419,2.67,2.45,2.67,2.25,2021-03-15 04:00:00,2190,ALTUW
314341,2.2465,2.55,2.43,2.55,2.1197,2021-03-16 04:00:00,1029,ALTUW
476422,2.1254,2.15,2.1,2.22,2.05,2021-03-17 04:00:00,1267,ALTUW
315740,2.1045,2.16,2.06,2.205,2.03,2021-03-18 04:00:00,824,ALTUW
243084,2.0233,2.09,2.02,2.09,1.96,2021-03-19 04:00:00,556,ALTUW
256867,1.9556,2.0,1.9500000000000002,2.03,1.9,2021-03-22 04:00:00,660,ALTUW
530167,1.7814,1.97,1.6800000000000002,1.975,1.65,2021-03-23 04:00:00,1693,ALTUW
393174,1.6597,1.75,1.55,1.78,1.47,2021-03-24 04:00:00,999,ALTUW
347765,1.3961999999999999,1.45,1.5,1.51,1.25,2021-03-25 04:00:00,817,ALTUW
359116,1.8816000000000002,1.7000000000000002,1.8900000000000001,2.0499,1.5150000000000001,2021-03-26 04:00:00,889,ALTUW
211943,1.8359,1.85,1.83,1.94,1.72,2021-03-29 04:00:00,472,ALTUW
182422,1.7048,1.75,1.69,1.8599999999999999,1.63,2021-03-30 04:00:00,322,ALTUW
173703,1.6942,1.99,1.7000000000000002,1.99,1.58,2021-03-31 04:00:00,480,ALTUW
223920,1.697,1.71,1.69,1.7650000000000001,1.65,2021-04-01 04:00:00,251,ALTUW
114170,1.6578,1.72,1.65,1.729,1.6,2021-04-05 04:00:00,305,ALTUW
214575,1.6376,1.6099999999999999,1.65,1.6720000000000002,1.6,2021-04-06 04:00:00,501,ALTUW
176483,1.6276000000000002,1.6200999999999999,1.65,1.71,1.6099999999999999,2021-04-07 04:00:00,378,ALTUW
121772,1.6983000000000001,1.6099999999999999,1.73,1.75,1.6099999999999999,2021-04-08 04:00:00,378,ALTUW
86107,1.734,1.72,1.74,1.8199,1.65,2021-04-09 04:00:00,272,ALTUW
95307,1.6696,1.76,1.63,1.76,1.63,2021-04-12 04:00:00,275,ALTUW
140814,1.5884,1.6400000000000001,1.5799,1.6600000000000001,1.55,2021-04-13 04:00:00,358,ALTUW
228535,1.5376,1.5501,1.52,1.6099999999999999,1.5,2021-04-14 04:00:00,424,ALTUW
252131,1.4296,1.53,1.4698,1.53,1.35,2021-04-15 04:00:00,422,ALTUW
166789,1.4348,1.45,1.46,1.48,1.3599999999999999,2021-04-16 04:00:00,356,ALTUW
132622,1.3818000000000001,1.47,1.3599999999999999,1.47,1.3599999999999999,2021-04-19 04:00:00,570,ALTUW
371736,1.2466,1.35,1.26,1.35,1.1400000000000001,2021-04-20 04:00:00,904,ALTUW
108200,1.2549000000000001,1.2601,1.27,1.3523,1.165,2021-04-21 04:00:00,177,ALTUW
70610,1.3312,1.3724,1.34,1.3900000000000001,1.25,2021-04-22 04:00:00,169,ALTUW
177741,1.287,1.24,1.3,1.34,1.2,2021-04-23 04:00:00,345,ALTUW
121341,1.2494,1.22,1.25,1.31,1.15,2021-04-26 04:00:00,225,ALTUW
42838,1.2605,1.26,1.25,1.31,1.22,2021-04-27 04:00:00,114,ALTUW
81750,1.2593,1.22,1.28,1.3,1.2,2021-04-28 04:00:00,166,ALTUW
57136,1.2468,1.29,1.22,1.29,1.21,2021-04-29 04:00:00,145,ALTUW
69985,1.242,1.2799,1.22,1.2869,1.21,2021-04-30 04:00:00,173,ALTUW
99321,1.1936,1.22,1.21,1.24,1.16,2021-05-03 04:00:00,161,ALTUW
73452,1.1599,1.21,1.1400000000000001,1.212,1.1400000000000001,2021-05-04 04:00:00,248,ALTUW
98242,1.1591,1.23,1.1654,1.24,1.11,2021-05-05 04:00:00,200,ALTUW
201512,1.1193,1.13,1.07,1.19,1.06,2021-05-06 04:00:00,709,ALTUW
148720,1.1304,1.16,1.11,1.1799,1.09,2021-05-07 04:00:00,244,ALTUW
136221,1.044,1.09,1.0201,1.1,1.0,2021-05-10 04:00:00,284,ALTUW
328991,0.9362,0.99,0.9597509999999999,0.99,0.905,2021-05-11 04:00:00,422,ALTUW
59258,0.9885,0.9002,0.9596,1.04,0.9002,2021-05-12 04:00:00,166,ALTUW
199054,0.8672000000000001,0.92,0.8111,0.9400000000000001,0.8108000000000001,2021-05-13 04:00:00,398,ALTUW
185655,0.8646,0.8501000000000001,0.877899,0.89,0.8498,2021-05-14 04:00:00,204,ALTUW
161267,0.8243,0.8899,0.81,0.89,0.801,2021-05-17 04:00:00,292,ALTUW
223095,0.8247,0.8114,0.8245,0.8997989999999999,0.8,2021-05-18 04:00:00,214,ALTUW
69238,0.8349000000000001,0.8300000000000001,0.85,0.8986000000000001,0.81,2021-05-19 04:00:00,126,ALTUW
63641,0.8388,0.8201,0.8699,0.8899,0.812,2021-05-20 04:00:00,186,ALTUW
245268,0.7645000000000001,0.86,0.8899,0.96,0.8114,2021-05-21 04:00:00,404,ALTUW
