volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1271387,5.295,5.14,5.16,5.71,5.0,2020-02-20 05:00:00,5766,AVXL
1407380,5.0982,5.15,5.09,5.35,4.91,2020-02-21 05:00:00,6389,AVXL
1876813,4.816,4.92,4.72,5.05,4.63,2020-02-24 05:00:00,7272,AVXL
1970419,4.3983,4.76,4.385,4.78,4.28,2020-02-25 05:00:00,8058,AVXL
1582811,4.1227,4.33,4.09,4.38,3.94,2020-02-26 05:00:00,6583,AVXL
1487380,3.9624,4.12,3.81,4.19,3.8,2020-02-27 05:00:00,6001,AVXL
1807870,3.6962,3.52,3.81,3.8200000000000003,3.47,2020-02-28 05:00:00,7695,AVXL
1581962,3.9341,3.8200000000000003,4.12,4.13,3.7,2020-03-02 05:00:00,6918,AVXL
1519205,4.2477,4.16,4.23,4.39,4.07,2020-03-03 05:00:00,8099,AVXL
1138255,4.2354,4.35,4.25,4.54,4.03,2020-03-04 05:00:00,6373,AVXL
855755,4.2357,4.14,4.2,4.44,4.12,2020-03-05 05:00:00,5386,AVXL
1163283,3.965,4.24,4.08,4.24,3.8200000000000003,2020-03-06 05:00:00,5992,AVXL
945796,3.6584,3.76,3.5700000000000003,3.89,3.51,2020-03-09 04:00:00,4656,AVXL
892051,3.5643000000000002,3.7,3.55,3.7800000000000002,3.38,2020-03-10 04:00:00,4163,AVXL
1057367,3.3383,3.45,3.32,3.55,3.19,2020-03-11 04:00:00,6104,AVXL
1926710,2.8034,3.0,2.69,3.0,2.66,2020-03-12 04:00:00,7427,AVXL
1493598,2.6842,2.93,2.65,2.95,2.55,2020-03-13 04:00:00,5568,AVXL
1514672,2.448,2.5,2.49,2.54,2.2,2020-03-16 04:00:00,5960,AVXL
1537066,2.5103,2.55,2.52,2.6427,2.4,2020-03-17 04:00:00,7182,AVXL
1363791,2.3964,2.48,2.38,2.51,2.27,2020-03-18 04:00:00,5398,AVXL
1255956,2.4334,2.31,2.49,2.55,2.2800000000000002,2020-03-19 04:00:00,5643,AVXL
2003787,2.5171,2.54,2.43,2.65,2.39,2020-03-20 04:00:00,6868,AVXL
882351,2.4519,2.46,2.81,2.95,2.23,2020-03-23 04:00:00,6112,AVXL
1063398,2.8653,3.02,2.99,3.08,2.65,2020-03-24 04:00:00,6321,AVXL
656345,2.9158,2.98,2.89,3.16,2.77,2020-03-25 04:00:00,3980,AVXL
1058452,2.9204,2.88,2.98,3.07,2.8193,2020-03-26 04:00:00,5611,AVXL
647599,2.9074,2.9,2.92,3.01,2.76,2020-03-27 04:00:00,3806,AVXL
1140805,2.8672,2.9,3.01,3.02,2.675,2020-03-30 04:00:00,6054,AVXL
2086093,3.187,3.02,3.15,3.46,2.92,2020-03-31 04:00:00,10303,AVXL
1093877,2.9304,3.04,2.8200000000000003,3.11,2.81,2020-04-01 04:00:00,5514,AVXL
917981,2.6898,2.79,2.63,2.83,2.58,2020-04-02 04:00:00,4042,AVXL
566743,2.5987999999999998,2.64,2.62,2.68,2.5300000000000002,2020-04-03 04:00:00,3169,AVXL
888198,2.8669000000000002,2.74,2.95,2.9699999999999998,2.68,2020-04-06 04:00:00,4307,AVXL
619997,2.8723,3.05,2.85,3.09,2.74,2020-04-07 04:00:00,3631,AVXL
413837,2.92,2.91,2.93,3.01,2.805,2020-04-08 04:00:00,2772,AVXL
636435,3.034,3.02,3.08,3.12,2.9,2020-04-09 04:00:00,3602,AVXL
403154,3.0285,3.04,3.06,3.09,2.96,2020-04-13 04:00:00,2352,AVXL
754321,3.1886,3.12,3.29,3.35,3.07,2020-04-14 04:00:00,3225,AVXL
398977,3.1598,3.19,3.17,3.27,3.075,2020-04-15 04:00:00,2541,AVXL
421830,3.1027,3.14,3.14,3.21,3.01,2020-04-16 04:00:00,3377,AVXL
361888,3.2069,3.21,3.23,3.25,3.12,2020-04-17 04:00:00,1631,AVXL
451421,3.1807,3.23,3.13,3.3,3.07,2020-04-20 04:00:00,2157,AVXL
571159,3.1122,3.06,3.19,3.215,3.01,2020-04-21 04:00:00,2996,AVXL
304682,3.2125,3.27,3.17,3.31,3.16,2020-04-22 04:00:00,1465,AVXL
1014403,3.3413,3.49,3.31,3.49,3.21,2020-04-23 04:00:00,3579,AVXL
451466,3.3429,3.36,3.37,3.4,3.27,2020-04-24 04:00:00,2374,AVXL
568224,3.3837,3.37,3.41,3.45,3.265,2020-04-27 04:00:00,2533,AVXL
454434,3.3407,3.44,3.33,3.45,3.2800000000000002,2020-04-28 04:00:00,2463,AVXL
757380,3.5139,3.37,3.5700000000000003,3.63,3.32,2020-04-29 04:00:00,3822,AVXL
524087,3.4959,3.56,3.46,3.64,3.41,2020-04-30 04:00:00,2462,AVXL
833654,3.2298,3.38,3.33,3.43,3.05,2020-05-01 04:00:00,3035,AVXL
280827,3.2455,3.27,3.2800000000000002,3.39,3.15,2020-05-04 04:00:00,1513,AVXL
375925,3.3788,3.36,3.31,3.46,3.29,2020-05-05 04:00:00,2078,AVXL
293644,3.3197,3.29,3.33,3.39,3.2499000000000002,2020-05-06 04:00:00,1761,AVXL
462861,3.3641,3.45,3.34,3.45,3.26,2020-05-07 04:00:00,2750,AVXL
454449,3.4195,3.36,3.48,3.5299,3.25,2020-05-08 04:00:00,2358,AVXL
808112,3.7372,3.5,3.74,3.9188,3.5,2020-05-11 04:00:00,4158,AVXL
