volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
20947,28.5696,28.72,28.55,28.925,28.4,2020-02-20 05:00:00,314,BATRA
82622,28.2869,28.56,28.25,28.56,28.15,2020-02-21 05:00:00,557,BATRA
49175,27.7144,27.7,27.61,27.85,27.57,2020-02-24 05:00:00,545,BATRA
93998,27.4717,27.72,27.44,27.88,27.14,2020-02-25 05:00:00,1163,BATRA
52163,27.2381,27.51,27.03,28.07,26.96,2020-02-26 05:00:00,947,BATRA
103133,26.6287,26.77,26.6,27.41,26.24,2020-02-27 05:00:00,1746,BATRA
137182,25.8345,25.85,26.02,26.951,25.31,2020-02-28 05:00:00,2113,BATRA
149706,25.8491,26.1,26.31,26.3314,25.27,2020-03-02 05:00:00,2155,BATRA
117195,26.2124,26.26,26.1,26.62,25.905,2020-03-03 05:00:00,1671,BATRA
70312,25.8247,26.265,26.12,26.265,25.44,2020-03-04 05:00:00,941,BATRA
135798,24.8587,25.7,24.68,26.19,24.37,2020-03-05 05:00:00,1813,BATRA
117755,24.3396,23.64,24.43,24.75,23.64,2020-03-06 05:00:00,1421,BATRA
197328,22.7619,23.44,22.68,23.7799,22.3,2020-03-09 04:00:00,2031,BATRA
153660,22.5702,22.98,22.82,23.49,21.575,2020-03-10 04:00:00,1940,BATRA
203666,20.6344,22.41,20.32,22.5,20.05,2020-03-11 04:00:00,2103,BATRA
351830,17.7532,18.69,17.52,20.16,16.63,2020-03-12 04:00:00,3848,BATRA
250591,18.7265,18.99,18.87,19.18,17.94,2020-03-13 04:00:00,2248,BATRA
238489,17.685,18.1,17.23,18.3956,16.975,2020-03-16 04:00:00,2058,BATRA
226352,16.790399999999998,17.06,17.17,17.3268,16.3,2020-03-17 04:00:00,2498,BATRA
289603,14.5617,16.14,13.75,16.7,13.59,2020-03-18 04:00:00,2824,BATRA
270048,15.1508,14.12,16.18,16.32,13.6,2020-03-19 04:00:00,2631,BATRA
237478,16.4016,16.5,16.34,17.38,15.13,2020-03-20 04:00:00,2645,BATRA
157505,15.7407,16.21,15.77,17.0,14.85,2020-03-23 04:00:00,1928,BATRA
110349,17.1319,16.35,17.48,17.573,16.27,2020-03-24 04:00:00,1209,BATRA
199043,18.5128,17.57,19.42,19.8,16.86,2020-03-25 04:00:00,2175,BATRA
152071,19.4646,19.61,19.43,20.31,18.54,2020-03-26 04:00:00,2233,BATRA
104291,18.2398,18.79,18.45,18.98,17.45,2020-03-27 04:00:00,1774,BATRA
87362,18.3275,18.36,18.57,18.78,17.9,2020-03-30 04:00:00,1242,BATRA
142839,19.2876,18.74,19.5,19.52,18.61,2020-03-31 04:00:00,1688,BATRA
142133,18.3074,18.65,18.38,18.99,17.9,2020-04-01 04:00:00,1867,BATRA
129725,18.4517,18.56,18.59,19.22,17.99,2020-04-02 04:00:00,2087,BATRA
104744,17.1988,18.57,16.88,18.59,16.48,2020-04-03 04:00:00,1464,BATRA
138410,17.4804,17.5,17.71,18.26,16.95,2020-04-06 04:00:00,1709,BATRA
267559,16.625,17.5,16.45,17.54,15.67,2020-04-07 04:00:00,3426,BATRA
94366,17.425,16.64,17.56,17.9147,16.64,2020-04-08 04:00:00,1236,BATRA
144403,18.1302,17.99,18.39,18.49,17.56,2020-04-09 04:00:00,1958,BATRA
71407,18.0754,18.17,18.19,18.35,17.75,2020-04-13 04:00:00,1175,BATRA
74699,18.6452,18.62,18.64,18.9713,18.26,2020-04-14 04:00:00,1070,BATRA
94572,17.8043,18.02,17.8,18.06,17.44,2020-04-15 04:00:00,1746,BATRA
179336,17.9281,17.86,18.22,18.33,17.55,2020-04-16 04:00:00,2276,BATRA
142873,18.5825,18.31,18.59,19.07,18.31,2020-04-17 04:00:00,2134,BATRA
123439,18.1806,18.31,18.19,18.59,17.77,2020-04-20 04:00:00,1610,BATRA
90165,18.1334,17.7,18.24,18.4862,17.5,2020-04-21 04:00:00,1553,BATRA
106044,18.0742,18.59,18.12,18.72,17.85,2020-04-22 04:00:00,1627,BATRA
121919,18.4196,18.18,18.3,18.66,18.16,2020-04-23 04:00:00,1536,BATRA
103526,18.9475,18.33,19.5,19.61,18.24,2020-04-24 04:00:00,1294,BATRA
155664,19.8709,19.59,19.82,20.12,19.55,2020-04-27 04:00:00,2080,BATRA
86239,20.3046,20.27,20.28,20.81,20.0,2020-04-28 04:00:00,940,BATRA
160662,21.9191,21.05,22.45,22.73,20.6682,2020-04-29 04:00:00,2722,BATRA
144366,20.7273,22.15,20.64,22.15,19.975,2020-04-30 04:00:00,1979,BATRA
131325,19.941,20.25,19.89,20.66,19.51,2020-05-01 04:00:00,1773,BATRA
83708,19.779,19.71,20.11,20.47,19.2,2020-05-04 04:00:00,1190,BATRA
65841,20.1559,20.5,19.84,20.76,19.71,2020-05-05 04:00:00,1200,BATRA
35208,19.9697,19.84,19.88,20.16,19.55,2020-05-06 04:00:00,865,BATRA
48151,20.0526,20.4,19.96,20.71,19.755,2020-05-07 04:00:00,919,BATRA
79463,21.1999,20.46,21.5,21.68,20.36,2020-05-08 04:00:00,1185,BATRA
135627,20.8504,21.22,20.69,21.45,20.57,2020-05-11 04:00:00,2173,BATRA
83170,20.3157,20.75,19.72,20.805,19.69,2020-05-12 04:00:00,1311,BATRA
83302,18.6279,19.46,18.29,19.55,18.13,2020-05-13 04:00:00,1288,BATRA
76554,18.4886,17.87,19.03,19.03,17.61,2020-05-14 04:00:00,1579,BATRA
40826,19.0576,18.96,19.26,19.3,18.68,2020-05-15 04:00:00,840,BATRA
134577,21.338,20.4,21.82,22.01,20.4,2020-05-18 04:00:00,1774,BATRA
94818,21.3123,21.6,20.91,21.85,20.86,2020-05-19 04:00:00,938,BATRA
42893,21.3864,21.29,21.43,21.67,21.13,2020-05-20 04:00:00,784,BATRA
47496,21.5117,21.72,21.67,21.78,21.26,2020-05-21 04:00:00,675,BATRA
52632,21.5535,21.87,21.77,21.87,21.26,2020-05-22 04:00:00,961,BATRA
149303,23.0033,22.62,23.57,23.58,22.33,2020-05-26 04:00:00,2037,BATRA
115566,23.5543,23.91,23.54,24.135,23.11,2020-05-27 04:00:00,1709,BATRA
146683,22.7951,23.79,22.76,23.79,22.55,2020-05-28 04:00:00,1626,BATRA
128271,22.5361,22.53,22.59,22.87,22.315,2020-05-29 04:00:00,1632,BATRA
66132,22.6807,22.71,22.66,22.94,22.29,2020-06-01 04:00:00,993,BATRA
56044,22.5401,22.87,22.12,23.17,22.02,2020-06-02 04:00:00,919,BATRA
85489,22.7066,22.61,22.51,23.2,22.39,2020-06-03 04:00:00,876,BATRA
41679,22.5481,22.44,22.56,22.839,22.13,2020-06-04 04:00:00,702,BATRA
115243,22.8383,23.42,22.55,23.505,22.4019,2020-06-05 04:00:00,1510,BATRA
137415,23.1532,22.95,23.39,23.48,22.6,2020-06-08 04:00:00,1341,BATRA
70813,22.7788,23.05,23.11,23.36,22.2,2020-06-09 04:00:00,1002,BATRA
53603,22.6265,23.07,22.27,23.07,22.27,2020-06-10 04:00:00,916,BATRA
95826,21.2129,21.4,21.38,21.8494,20.92,2020-06-11 04:00:00,1513,BATRA
70420,22.0826,22.16,22.58,22.68,21.51,2020-06-12 04:00:00,1442,BATRA
56757,21.9823,22.04,22.3,22.54,21.3,2020-06-15 04:00:00,1020,BATRA
99908,22.2318,22.65,22.19,22.94,21.785,2020-06-16 04:00:00,1347,BATRA
116443,21.9439,22.22,21.91,22.46,21.52,2020-06-17 04:00:00,1652,BATRA
79761,21.5155,21.85,21.25,22.08,21.16,2020-06-18 04:00:00,1367,BATRA
88993,21.1977,21.5,20.98,21.63,20.75,2020-06-19 04:00:00,1108,BATRA
54442,20.4043,20.88,20.22,20.88,20.18,2020-06-22 04:00:00,1884,BATRA
67503,20.1752,20.51,20.03,20.51,19.98,2020-06-23 04:00:00,1275,BATRA
78915,19.4071,20.06,19.19,20.085,19.0,2020-06-24 04:00:00,2052,BATRA
81708,19.0997,19.16,19.31,19.35,18.7397,2020-06-25 04:00:00,1705,BATRA
255421,18.6265,19.03,18.64,19.11,18.15,2020-06-26 04:00:00,1713,BATRA
57262,19.1012,18.79,19.18,19.41,18.0,2020-06-29 04:00:00,1170,BATRA
162590,19.6891,19.18,20.08,20.13,18.87,2020-06-30 04:00:00,1616,BATRA
108972,19.109,20.02,18.7,20.52,18.65,2020-07-01 04:00:00,1384,BATRA
108699,19.005,19.02,18.89,19.505,18.8298,2020-07-02 04:00:00,1583,BATRA
49548,18.9627,19.21,18.77,19.42,18.75,2020-07-06 04:00:00,892,BATRA
71539,18.1934,18.63,17.91,18.955,17.87,2020-07-07 04:00:00,1113,BATRA
87997,17.9719,17.89,18.01,18.22,17.69,2020-07-08 04:00:00,1167,BATRA
118022,17.8051,18.09,17.84,18.125,17.19,2020-07-09 04:00:00,1493,BATRA
46489,18.3241,17.77,18.45,18.5,17.7,2020-07-10 04:00:00,753,BATRA
57117,18.4256,18.68,18.06,18.86,18.06,2020-07-13 04:00:00,891,BATRA
48550,18.59,18.08,18.56,19.03,18.06,2020-07-14 04:00:00,673,BATRA
104975,19.4448,19.02,19.36,19.65,18.96,2020-07-15 04:00:00,1543,BATRA
52657,19.2805,19.13,19.28,19.5,19.02,2020-07-16 04:00:00,693,BATRA
59537,19.3251,19.18,19.47,19.52,19.08,2020-07-17 04:00:00,678,BATRA
70324,19.371,19.4,19.27,19.5,19.1,2020-07-20 04:00:00,985,BATRA
96770,19.4216,19.32,19.12,19.77,19.02,2020-07-21 04:00:00,1577,BATRA
76175,19.2699,19.07,19.36,19.5,18.8901,2020-07-22 04:00:00,1168,BATRA
54103,19.3965,19.36,19.26,19.62,19.13,2020-07-23 04:00:00,744,BATRA
50107,19.0404,19.27,19.09,19.32,18.885,2020-07-24 04:00:00,777,BATRA
239950,18.5115,19.05,18.34,19.05,17.7,2020-07-27 04:00:00,2081,BATRA
466742,17.9337,18.25,18.13,18.5,17.65,2020-07-28 04:00:00,2891,BATRA
61408,18.8201,18.09,18.97,19.05,18.09,2020-07-29 04:00:00,1336,BATRA
101739,19.135,18.7,19.26,19.42,18.4708,2020-07-30 04:00:00,1999,BATRA
89469,18.7848,19.05,18.91,19.1,18.42,2020-07-31 04:00:00,1974,BATRA
58020,19.1452,18.91,19.22,19.3,18.69,2020-08-03 04:00:00,1218,BATRA
41431,19.3582,19.23,19.38,19.57,19.19,2020-08-04 04:00:00,806,BATRA
54069,19.0947,19.55,19.12,19.55,18.95,2020-08-05 04:00:00,725,BATRA
45798,19.3198,19.11,19.44,19.47,19.09,2020-08-06 04:00:00,790,BATRA
38086,19.4796,19.34,19.54,19.63,19.21,2020-08-07 04:00:00,850,BATRA
82291,20.0609,19.1,20.26,20.39,19.1,2020-08-10 04:00:00,1254,BATRA
142513,21.0688,20.62,20.91,21.36,20.43,2020-08-11 04:00:00,2278,BATRA
38196,21.132,21.03,21.21,21.32,20.91,2020-08-12 04:00:00,832,BATRA
84409,20.9544,21.08,20.75,21.27,20.67,2020-08-13 04:00:00,951,BATRA
