volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
58100,0.5264,0.4501,0.6000000000000001,0.63,0.4501,2020-12-17 05:00:00,132,BHSEW
179794,0.5757,0.55,0.6000000000000001,0.6000000000000001,0.54,2020-12-18 05:00:00,251,BHSEW
266999,0.651,0.73,0.62,0.73,0.5999,2020-12-21 05:00:00,260,BHSEW
94396,0.6395000000000001,0.681,0.61,0.681,0.61,2020-12-22 05:00:00,191,BHSEW
238364,0.6599,0.71,0.74,0.75,0.61,2020-12-23 05:00:00,271,BHSEW
149138,0.8183,0.75,0.78,0.86,0.75,2020-12-24 05:00:00,187,BHSEW
355193,0.9291,0.85,0.79,0.8998,0.79,2020-12-28 05:00:00,412,BHSEW
1325924,1.5268000000000002,1.74,1.55,1.74,1.3701,2020-12-29 05:00:00,2828,BHSEW
446025,1.6101,1.63,1.55,1.7000000000000002,1.52,2020-12-30 05:00:00,824,BHSEW
284631,1.52,1.62,1.38,1.6400000000000001,1.3,2020-12-31 05:00:00,455,BHSEW
117970,1.1162,1.27,1.19,1.27,1.0,2021-01-04 05:00:00,307,BHSEW
46955,1.0991,1.18,1.17,1.2,1.0,2021-01-05 05:00:00,167,BHSEW
48476,1.1787,1.58,1.13,1.58,1.07,2021-01-06 05:00:00,108,BHSEW
96934,1.1778,1.17,1.1400000000000001,1.23,1.07,2021-01-07 05:00:00,366,BHSEW
75782,1.1227,1.13,1.18,1.2,1.065,2021-01-08 05:00:00,236,BHSEW
38951,1.1529,1.17,1.1373,1.22,1.11,2021-01-11 05:00:00,154,BHSEW
67174,1.1296,1.23,1.1494,1.23,1.07,2021-01-12 05:00:00,226,BHSEW
124956,1.1408,1.08,1.1400000000000001,1.2,1.08,2021-01-13 05:00:00,336,BHSEW
99605,1.2622,1.18,1.22,1.35,1.18,2021-01-14 05:00:00,401,BHSEW
90143,1.1798,1.23,1.1638,1.2898,1.1,2021-01-15 05:00:00,147,BHSEW
59712,1.1946,1.25,1.18,1.28,1.15,2021-01-19 05:00:00,118,BHSEW
22943,1.2212,1.24,1.21,1.24,1.17,2021-01-20 05:00:00,134,BHSEW
78435,1.2083,1.23,1.2499,1.2599,1.1802,2021-01-21 05:00:00,156,BHSEW
48426,1.1857,1.21,1.2,1.24,1.15,2021-01-22 05:00:00,88,BHSEW
357709,1.1955,1.18,1.2,1.22,1.16,2021-01-25 05:00:00,433,BHSEW
54771,1.1121,1.15,1.07,1.19,1.06,2021-01-26 05:00:00,199,BHSEW
295510,0.9074000000000001,1.07,0.9,1.075,0.8499,2021-01-27 05:00:00,418,BHSEW
159796,1.0119,0.9,1.05,1.1,0.84,2021-01-28 05:00:00,285,BHSEW
