volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4739830,5.598,5.47,5.32,6.25,5.24,2021-11-10 05:00:00,26863,BJDX
1858423,5.0119,5.25,4.92,5.27,4.75,2021-11-11 05:00:00,8397,BJDX
1885214,4.7379,4.99,4.58,5.0,4.51,2021-11-12 05:00:00,6660,BJDX
3358627,3.915,4.44,3.63,4.4679,3.58,2021-11-15 05:00:00,9970,BJDX
803168,3.6328,3.6455,3.63,3.7399,3.52,2021-11-16 05:00:00,3051,BJDX
1129089,3.3392,3.51,3.3,3.58,3.22,2021-11-17 05:00:00,3482,BJDX
1363384,3.0196,3.24,3.05,3.327,2.84,2021-11-18 05:00:00,4101,BJDX
1275237,3.1992,2.93,2.967,3.46,2.8617,2021-11-19 05:00:00,4126,BJDX
1157198,2.791,2.9699999999999998,2.71,3.0463,2.65,2021-11-22 05:00:00,3307,BJDX
1634566,2.8531,2.71,2.92,3.05,2.71,2021-11-23 05:00:00,4762,BJDX
2497680,3.191,2.99,3.24,3.37,2.96,2021-11-24 05:00:00,7968,BJDX
2312319,3.2869,3.02,3.39,3.43,2.93,2021-11-26 05:00:00,6067,BJDX
2116970,3.4286,3.5300000000000002,3.34,3.58,3.25,2021-11-29 05:00:00,7349,BJDX
1574472,2.9871,3.24,2.87,3.2899,2.83,2021-11-30 05:00:00,4342,BJDX
1574131,2.8063000000000002,2.88,2.65,2.95,2.6,2021-12-01 05:00:00,4289,BJDX
1253682,2.4896000000000003,2.5700000000000003,2.5700000000000003,2.64,2.31,2021-12-02 05:00:00,3113,BJDX
1011443,2.4387,2.58,2.33,2.63,2.2800000000000002,2021-12-03 05:00:00,2703,BJDX
2084146,2.5432,2.35,2.5700000000000003,2.6903,2.22,2021-12-06 05:00:00,6161,BJDX
18768404,2.922,2.9,2.63,2.96,2.58,2021-12-07 05:00:00,83259,BJDX
3606314,2.585,2.49,2.59,2.68,2.4,2021-12-08 05:00:00,10611,BJDX
12024192,2.9232,2.59,2.68,3.16,2.59,2021-12-09 05:00:00,30435,BJDX
4191505,2.8461,2.8286,2.95,3.02,2.6501,2021-12-10 05:00:00,10771,BJDX
4764133,3.0995,2.92,3.08,3.24,2.88,2021-12-13 05:00:00,12525,BJDX
2345176,2.8287,3.05,2.74,3.05,2.69,2021-12-14 05:00:00,6964,BJDX
1317743,2.7057,2.77,2.7199999999999998,2.83,2.58,2021-12-15 05:00:00,3901,BJDX
