volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5063558,20.7335,20.7,20.66,20.96,20.5,2020-02-20 05:00:00,29658,BKR
6078452,20.3704,20.46,20.53,20.57,20.07,2020-02-21 05:00:00,32268,BKR
8766488,19.4857,19.73,19.48,19.765,19.165,2020-02-24 05:00:00,46146,BKR
8887429,18.9934,19.69,18.62,19.7,18.56,2020-02-25 05:00:00,51510,BKR
11852478,18.0303,18.78,17.76,18.78,17.67,2020-02-26 05:00:00,56110,BKR
10667660,17.1172,17.39,16.67,17.595,16.67,2020-02-27 05:00:00,64455,BKR
28888610,16.0315,16.03,16.09,16.4,15.705,2020-02-28 05:00:00,102899,BKR
10663548,16.6178,16.39,17.17,17.19,15.89,2020-03-02 05:00:00,64029,BKR
10031505,16.6506,17.14,16.53,17.4,16.205,2020-03-03 05:00:00,61662,BKR
8603962,17.0352,16.81,17.28,17.3,16.6,2020-03-04 05:00:00,43497,BKR
9604449,16.8065,16.66,16.96,17.0,16.5203,2020-03-05 05:00:00,52393,BKR
14981956,16.1769,16.34,16.08,16.62,15.96,2020-03-06 05:00:00,73410,BKR
20237350,12.7315,13.33,12.5,14.75,12.245,2020-03-09 04:00:00,96600,BKR
11487667,13.1816,13.28,13.76,13.84,12.37,2020-03-10 04:00:00,62379,BKR
10865097,12.6974,13.16,12.71,13.32,12.28,2020-03-11 04:00:00,65812,BKR
11215834,11.2096,11.6,10.7,12.07,10.58,2020-03-12 04:00:00,58097,BKR
9821978,11.7486,11.83,12.73,12.73,10.895,2020-03-13 04:00:00,51345,BKR
14285134,11.8081,11.07,11.61,12.53,10.01,2020-03-16 04:00:00,72978,BKR
12551456,11.2243,11.87,11.25,12.03,10.69,2020-03-17 04:00:00,59499,BKR
12826543,10.0595,10.14,9.7,10.92,9.18,2020-03-18 04:00:00,66471,BKR
9132393,10.0972,9.77,10.14,10.89,9.19,2020-03-19 04:00:00,41516,BKR
12584811,10.0935,10.19,10.0,10.615,9.6,2020-03-20 04:00:00,65948,BKR
9870837,9.4641,10.11,9.33,10.14,9.12,2020-03-23 04:00:00,65544,BKR
9560443,10.7747,9.67,11.25,11.35,9.67,2020-03-24 04:00:00,55461,BKR
5759697,11.574,11.47,11.62,12.375,10.52,2020-03-25 04:00:00,39752,BKR
5394523,12.2168,11.78,12.4,12.63,11.53,2020-03-26 04:00:00,38430,BKR
6729310,11.9566,11.78,11.88,12.18,11.55,2020-03-27 04:00:00,44186,BKR
11722425,11.0657,11.52,10.96,11.79,10.67,2020-03-30 04:00:00,80329,BKR
10829146,10.707699999999999,11.16,10.5,11.315,10.3,2020-03-31 04:00:00,43580,BKR
9711734,9.7448,10.09,9.8,10.1,9.44,2020-04-01 04:00:00,55433,BKR
8779336,10.4886,10.17,10.36,11.21,9.9,2020-04-02 04:00:00,48936,BKR
7806011,10.5409,10.68,10.4,10.87,10.25,2020-04-03 04:00:00,53628,BKR
8035396,11.5592,11.27,11.75,11.85,10.8,2020-04-06 04:00:00,46452,BKR
8289361,12.7129,12.61,12.41,13.3,12.24,2020-04-07 04:00:00,57156,BKR
5022724,12.7616,12.96,12.9,13.0,12.36,2020-04-08 04:00:00,37343,BKR
7424388,13.2095,13.62,12.86,14.14,12.13,2020-04-09 04:00:00,56404,BKR
7229001,13.2138,13.34,13.29,13.46,12.62,2020-04-13 04:00:00,38564,BKR
5189003,13.217600000000001,13.24,13.35,13.48,12.67,2020-04-14 04:00:00,34724,BKR
6898141,12.6927,12.55,12.91,12.97,12.26,2020-04-15 04:00:00,48253,BKR
6508752,12.603,12.93,12.59,12.94,12.37,2020-04-16 04:00:00,46881,BKR
7826674,12.8169,12.38,13.03,13.06,12.37,2020-04-17 04:00:00,42896,BKR
5751143,12.9875,12.08,12.98,13.56,12.01,2020-04-20 04:00:00,38336,BKR
6679819,12.7504,12.46,12.75,13.3,12.42,2020-04-21 04:00:00,49346,BKR
11610373,12.8003,13.5,12.99,13.98,12.09,2020-04-22 04:00:00,70518,BKR
9316596,13.4692,13.16,13.57,13.9,12.95,2020-04-23 04:00:00,58718,BKR
6973690,13.6022,13.92,13.42,14.2317,13.27,2020-04-24 04:00:00,41416,BKR
5507131,13.4626,13.1,13.6,13.795,12.78,2020-04-27 04:00:00,43553,BKR
5936163,14.0691,14.0,14.2,14.26,13.59,2020-04-28 04:00:00,36472,BKR
