volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
7541761,20.0408,19.0,19.9,22.25,18.23,2021-11-11 05:00:00,67838,BLZE
2415704,21.9849,20.9,22.04,23.01,20.11,2021-11-12 05:00:00,25659,BLZE
4275350,26.3853,26.5,25.5,28.59,24.55,2021-11-15 05:00:00,34697,BLZE
2613234,29.5559,26.14,31.5,31.5,26.14,2021-11-16 05:00:00,27410,BLZE
3379978,32.5382,33.0,31.16,36.5,28.34,2021-11-17 05:00:00,31969,BLZE
885243,29.0347,27.9,30.94,31.0,27.0,2021-11-18 05:00:00,10561,BLZE
795176,27.5347,30.74,27.05,30.89,25.79,2021-11-19 05:00:00,9279,BLZE
439277,28.705,29.08,27.86,30.39,27.51,2021-11-22 05:00:00,5186,BLZE
524906,25.1341,27.85,24.57,28.0,23.5,2021-11-23 05:00:00,6921,BLZE
232380,25.718,25.0,26.0,26.43,24.5,2021-11-24 05:00:00,2827,BLZE
198594,25.2538,24.6507,25.67,26.49,24.1,2021-11-26 05:00:00,2312,BLZE
556041,23.0939,25.76,22.41,26.5,22.0501,2021-11-29 05:00:00,6886,BLZE
598421,21.6236,22.41,21.47,23.32,20.53,2021-11-30 05:00:00,5275,BLZE
737457,21.4221,21.76,19.74,24.2,19.5,2021-12-01 05:00:00,6828,BLZE
795411,21.5631,19.8,21.86,23.44,19.8,2021-12-02 05:00:00,6761,BLZE
553795,21.9975,22.02,22.49,23.27,20.5,2021-12-03 05:00:00,5372,BLZE
431380,21.7537,23.3646,22.4,23.3646,21.05,2021-12-06 05:00:00,4494,BLZE
287503,23.5041,22.7,24.0,25.14,22.06,2021-12-07 05:00:00,3412,BLZE
163431,23.8848,24.86,24.09,24.94,23.2,2021-12-08 05:00:00,2570,BLZE
285727,23.8913,23.85,23.62,24.689,23.2,2021-12-09 05:00:00,3102,BLZE
266073,22.311,23.7,21.56,24.0,21.44,2021-12-10 05:00:00,4116,BLZE
217505,21.5328,22.2219,21.38,22.6,20.66,2021-12-13 05:00:00,3275,BLZE
281139,21.0646,20.75,20.57,21.86,20.26,2021-12-14 05:00:00,4030,BLZE
998925,18.0151,20.64,18.65,20.84,16.8301,2021-12-15 05:00:00,12056,BLZE
523581,19.651,19.06,19.48,21.18,18.97,2021-12-16 05:00:00,4620,BLZE
692499,17.6549,19.2,17.16,19.33,17.0,2021-12-17 05:00:00,4695,BLZE
216293,18.1595,16.87,19.49,19.53,16.5,2021-12-20 05:00:00,3678,BLZE
345049,18.5577,19.5,18.57,19.5,17.91,2021-12-21 05:00:00,3390,BLZE
119925,18.0283,18.57,17.87,18.65,17.6909,2021-12-22 05:00:00,1526,BLZE
122318,18.4933,18.06,18.67,18.9,17.65,2021-12-23 05:00:00,1410,BLZE
55200,18.4675,18.67,18.56,18.6815,18.13,2021-12-27 05:00:00,1036,BLZE
217660,17.4762,18.54,17.52,18.59,17.0,2021-12-28 05:00:00,2530,BLZE
188630,17.2416,17.46,17.48,17.59,16.785,2021-12-29 05:00:00,2043,BLZE
137987,17.6222,17.48,17.49,17.95,17.16,2021-12-30 05:00:00,1497,BLZE
111463,17.1044,17.38,16.89,17.5,16.8,2021-12-31 05:00:00,1342,BLZE
70499,17.6581,17.05,17.88,18.16,16.89,2022-01-03 05:00:00,1301,BLZE
178804,17.5037,17.8,17.26,17.8,17.1,2022-01-04 05:00:00,2161,BLZE
141803,16.6624,17.27,16.15,17.79,16.02,2022-01-05 05:00:00,2040,BLZE
204604,15.6359,16.04,15.61,16.719,15.11,2022-01-06 05:00:00,3676,BLZE
62798,15.896,15.73,16.04,16.3999,15.3048,2022-01-07 05:00:00,1057,BLZE
496640,14.3242,16.0,13.7,16.175,13.51,2022-01-10 05:00:00,5605,BLZE
252844,14.3866,14.1,14.33,14.73,13.9,2022-01-11 05:00:00,3425,BLZE
107003,14.4415,14.42,14.4,14.8,14.01,2022-01-12 05:00:00,2045,BLZE
147267,13.9661,14.77,13.54,14.78,13.38,2022-01-13 05:00:00,1670,BLZE
252239,13.5175,13.75,13.1,14.1,13.0,2022-01-14 05:00:00,2126,BLZE
171037,12.6882,13.01,12.75,13.4108,12.14,2022-01-18 05:00:00,2299,BLZE
179401,13.178,13.0,13.41,13.62,12.68,2022-01-19 05:00:00,3029,BLZE
85332,13.5024,13.41,13.11,13.888300000000001,12.96,2022-01-20 05:00:00,1826,BLZE
237676,12.2796,12.98,12.29,12.98,12.0,2022-01-21 05:00:00,2876,BLZE
183318,11.944700000000001,12.25,13.08,13.08,11.11,2022-01-24 05:00:00,2721,BLZE
95575,12.6583,13.0,12.68,13.0,12.2,2022-01-25 05:00:00,1357,BLZE
83090,12.9491,13.15,12.55,13.445,12.31,2022-01-26 05:00:00,1749,BLZE
79426,12.1411,12.56,12.11,12.6,11.8,2022-01-27 05:00:00,1234,BLZE
71823,12.1177,12.11,12.43,12.53,11.53,2022-01-28 05:00:00,1695,BLZE
80992,12.9448,12.5,13.23,13.38,12.26,2022-01-31 05:00:00,1295,BLZE
41280,13.5492,13.5,13.65,13.9999,13.1605,2022-02-01 05:00:00,1201,BLZE
130735,13.2841,14.24,12.81,14.24,12.33,2022-02-02 05:00:00,1301,BLZE
60168,12.2865,12.43,11.97,12.8484,11.88,2022-02-03 05:00:00,1176,BLZE
69980,12.7413,12.13,12.96,13.295,11.985,2022-02-04 05:00:00,1035,BLZE
104556,13.4927,12.96,13.8,13.96,12.6664,2022-02-07 05:00:00,1585,BLZE
88009,14.0576,13.81,13.94,14.555,13.56,2022-02-08 05:00:00,1717,BLZE
68257,14.6336,14.12,14.885,14.93,14.12,2022-02-09 05:00:00,1154,BLZE
101981,15.1356,14.66,15.1,15.89,14.485,2022-02-10 05:00:00,1680,BLZE
122571,13.9822,15.1,13.29,15.43,13.2,2022-02-11 05:00:00,2450,BLZE
48097,13.298,13.26,13.24,13.79,12.937100000000001,2022-02-14 05:00:00,1031,BLZE
92235,14.4418,13.27,14.95,15.09,13.27,2022-02-15 05:00:00,1437,BLZE
114779,14.7024,14.98,15.38,15.38,13.86,2022-02-16 05:00:00,1729,BLZE
168707,13.9421,15.38,13.87,15.38,13.325,2022-02-17 05:00:00,2410,BLZE
