volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
641265,25.0354,24.7,25.12,25.15,24.56,2021-07-27 04:00:00,1191,BPYPM
708291,25.2019,25.17,25.11,25.3,25.03,2021-07-28 04:00:00,1669,BPYPM
534391,25.1172,25.11,25.2,25.2009,25.0,2021-07-29 04:00:00,2325,BPYPM
2846856,24.9717,25.1,24.95,25.1,24.88,2021-07-30 04:00:00,3221,BPYPM
606988,24.9162,24.89,24.92,24.99,24.86,2021-08-02 04:00:00,2414,BPYPM
420286,24.8936,24.9,24.89,24.92,24.8,2021-08-03 04:00:00,1734,BPYPM
589692,24.8551,24.93,24.83,24.95,24.8,2021-08-04 04:00:00,1788,BPYPM
510842,24.7946,24.81,24.74,24.9,24.72,2021-08-05 04:00:00,2204,BPYPM
349494,24.6816,24.73,24.67,24.77,24.63,2021-08-06 04:00:00,1857,BPYPM
203846,24.7066,24.88,24.72,24.88,24.62,2021-08-09 04:00:00,1332,BPYPM
105007,24.6466,24.71,24.58,24.8199,24.57,2021-08-10 04:00:00,900,BPYPM
153039,24.6825,24.58,24.52,24.77,24.52,2021-08-11 04:00:00,1590,BPYPM
143007,24.6793,24.5,24.64,24.75,24.5,2021-08-12 04:00:00,1360,BPYPM
194614,24.7124,24.64,24.7,24.78,24.64,2021-08-13 04:00:00,999,BPYPM
228407,24.743,24.75,24.71,24.76,24.7,2021-08-16 04:00:00,1495,BPYPM
154109,24.7418,24.7,24.75,24.85,24.7,2021-08-17 04:00:00,1164,BPYPM
126300,24.7838,24.75,24.75,24.9,24.67,2021-08-18 04:00:00,1007,BPYPM
273859,24.7891,24.66,24.75,24.85,24.65,2021-08-19 04:00:00,1355,BPYPM
249367,24.8101,24.75,24.91,25.0,24.71,2021-08-20 04:00:00,1037,BPYPM
287322,25.0571,24.95,25.15,25.2,24.92,2021-08-23 04:00:00,1682,BPYPM
209196,25.2305,25.25,25.28,25.29,25.13,2021-08-24 04:00:00,1476,BPYPM
408720,25.236,25.25,25.27,25.29,25.18,2021-08-25 04:00:00,1387,BPYPM
262504,25.2837,25.28,25.33,25.335,25.22,2021-08-26 04:00:00,942,BPYPM
278373,25.302,25.32,25.32,25.33,25.07,2021-08-27 04:00:00,1199,BPYPM
366221,25.4505,25.45,25.48,25.55,25.3,2021-08-30 04:00:00,1157,BPYPM
2629162,25.7823,25.36,25.82,25.94,25.26,2021-08-31 04:00:00,2887,BPYPM
485562,25.723300000000002,25.63,25.84,25.85,25.4,2021-09-01 04:00:00,2708,BPYPM
2613875,25.7531,25.84,25.78,25.87,25.74,2021-09-02 04:00:00,1328,BPYPM
