volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
8598,8.9608,9.05,8.9,9.11,8.8,2020-02-20 05:00:00,79,BVXV
4544,9.0257,9.01,9.15,9.15,8.85,2020-02-21 05:00:00,28,BVXV
21247,8.7574,9.15,8.77,9.2968,8.6,2020-02-24 05:00:00,117,BVXV
33240,8.7719,8.79,8.5501,9.15,8.55,2020-02-25 05:00:00,128,BVXV
22826,8.6173,8.79,8.5,8.8,8.4,2020-02-26 05:00:00,110,BVXV
26602,8.177,8.21,8.4,8.5,8.02,2020-02-27 05:00:00,123,BVXV
57338,8.0153,8.31,8.18,8.5087,7.44,2020-02-28 05:00:00,270,BVXV
32353,8.4039,8.2,8.5,8.6,8.01,2020-03-02 05:00:00,214,BVXV
23652,8.5452,9.09,8.5104,9.09,8.08,2020-03-03 05:00:00,126,BVXV
7205,8.4485,8.76,8.39,8.77,8.13,2020-03-04 05:00:00,61,BVXV
15610,8.1066,7.86,8.2,8.64,7.86,2020-03-05 05:00:00,79,BVXV
17610,8.2918,8.2,8.24,8.4688,8.12,2020-03-06 05:00:00,108,BVXV
54665,7.3783,8.05,7.13,8.05,6.7264,2020-03-09 04:00:00,231,BVXV
10158,7.3131,7.12,7.4,7.4,7.12,2020-03-10 04:00:00,71,BVXV
45254,6.9007000000000005,7.13,6.535,7.1913,6.52,2020-03-11 04:00:00,166,BVXV
75484,5.6686,6.31,5.5,6.3136,5.2001,2020-03-12 04:00:00,313,BVXV
17659,6.1363,5.77,6.225,6.5,5.77,2020-03-13 04:00:00,79,BVXV
45663,5.5213,5.36,5.36,5.93,5.36,2020-03-16 04:00:00,193,BVXV
26481,5.8618,5.37,6.01,6.13,5.37,2020-03-17 04:00:00,154,BVXV
28167,5.7232,5.73,5.53,6.095,5.4,2020-03-18 04:00:00,142,BVXV
28931,6.1421,5.84,6.0,6.8501,5.53,2020-03-19 04:00:00,179,BVXV
16223,6.2683,6.1,6.2,6.41,6.1,2020-03-20 04:00:00,103,BVXV
34194,6.9835,6.4,7.25,7.5,6.4,2020-03-23 04:00:00,266,BVXV
52104,7.844,7.5,7.05,8.2891,7.05,2020-03-24 04:00:00,273,BVXV
12543,7.3255,7.66,7.15,7.74,7.0,2020-03-25 04:00:00,117,BVXV
22972,7.4979,7.4,7.52,7.73,7.3,2020-03-26 04:00:00,139,BVXV
15095,7.3966,7.54,7.15,7.8,7.15,2020-03-27 04:00:00,69,BVXV
8951,7.491,7.79,7.66,7.8,7.1919,2020-03-30 04:00:00,90,BVXV
5674,7.6101,7.5,7.7,7.79,7.21,2020-03-31 04:00:00,73,BVXV
4741,7.3491,7.48,7.3246,7.48,7.3,2020-04-01 04:00:00,45,BVXV
4949,7.4367,7.5396,7.34,7.7186,7.32,2020-04-02 04:00:00,40,BVXV
17209,7.3244,7.59,7.2,7.59,7.2,2020-04-03 04:00:00,76,BVXV
8710,7.3954,7.22,7.3,7.557,7.22,2020-04-06 04:00:00,73,BVXV
37081,7.5758,7.79,7.68,7.8,7.35,2020-04-07 04:00:00,228,BVXV
12923,7.8659,7.7496,7.4,7.95,7.4,2020-04-08 04:00:00,89,BVXV
10943,7.5331,7.8,7.508,7.8,7.3888,2020-04-09 04:00:00,68,BVXV
12672,7.7966,7.83,7.7,7.9881,7.6006,2020-04-13 04:00:00,52,BVXV
49086,8.4071,7.8,8.3,9.1773,7.8,2020-04-14 04:00:00,316,BVXV
13428,8.4547,8.34,8.2,8.66,8.2,2020-04-15 04:00:00,85,BVXV
22737,8.4954,8.21,8.435,8.7499,8.2,2020-04-16 04:00:00,93,BVXV
25032,8.7831,8.5,8.99,8.99,8.45,2020-04-17 04:00:00,119,BVXV
45570,9.3932,9.37,9.4608,9.78,9.15,2020-04-20 04:00:00,283,BVXV
41749,8.8884,9.6,9.0,9.73,7.96,2020-04-21 04:00:00,292,BVXV
11886,8.9877,9.19,9.01,9.19,8.75,2020-04-22 04:00:00,68,BVXV
9048,9.3655,8.96,9.35,9.5319,8.96,2020-04-23 04:00:00,76,BVXV
11549,9.1214,9.07,9.2,9.34,9.0,2020-04-24 04:00:00,69,BVXV
16067,9.1091,9.28,9.11,9.28,9.0,2020-04-27 04:00:00,92,BVXV
236814,10.7154,10.25,11.2432,11.6933,10.0,2020-04-28 04:00:00,1159,BVXV
437944,14.1405,12.24,15.5,15.5,12.24,2020-04-29 04:00:00,2684,BVXV
368480,16.1144,17.23,13.5,17.95,13.26,2020-04-30 04:00:00,2268,BVXV
134706,12.7826,13.5,13.7,13.7,11.62,2020-05-01 04:00:00,714,BVXV
152263,15.7518,16.8,16.0,16.8,14.52,2020-05-04 04:00:00,871,BVXV
170695,17.0129,17.0,16.77,17.8,16.02,2020-05-05 04:00:00,1141,BVXV
126920,17.2755,17.0,17.655,17.8,16.81,2020-05-06 04:00:00,744,BVXV
124371,16.7286,18.0,15.86,18.0,15.75,2020-05-07 04:00:00,893,BVXV
60737,15.801,15.86,15.57,16.1,15.5,2020-05-08 04:00:00,460,BVXV
68780,15.4651,15.21,15.73,15.905,15.2,2020-05-11 04:00:00,419,BVXV
81713,16.4265,16.0,17.0,17.26,15.71,2020-05-12 04:00:00,676,BVXV
77824,16.3911,17.0,16.215,17.22,15.5,2020-05-13 04:00:00,476,BVXV
94346,15.5374,16.3,15.4,16.6237,15.0,2020-05-14 04:00:00,690,BVXV
137273,16.828,15.7,16.98,17.49,15.0201,2020-05-15 04:00:00,736,BVXV
144689,18.4728,17.79,18.46,19.5,17.33,2020-05-18 04:00:00,904,BVXV
92943,19.1414,19.42,19.5,19.5,18.55,2020-05-19 04:00:00,709,BVXV
78252,19.5816,19.5,20.0,20.0,18.92,2020-05-20 04:00:00,580,BVXV
202007,22.7369,20.35,24.67,24.9,20.35,2020-05-21 04:00:00,1834,BVXV
172806,22.835,25.42,21.65,25.5,21.0,2020-05-22 04:00:00,1528,BVXV
156944,20.4792,22.5,19.0,22.65,19.0,2020-05-26 04:00:00,1339,BVXV
97869,20.3266,18.74,20.86,21.49,18.74,2020-05-27 04:00:00,898,BVXV
96150,20.4593,21.01,20.57,21.49,19.21,2020-05-28 04:00:00,836,BVXV
65148,19.5443,20.42,19.9,20.6,18.55,2020-05-29 04:00:00,441,BVXV
57442,20.3544,20.0,20.94,21.0,19.36,2020-06-01 04:00:00,437,BVXV
25558,20.2378,21.0,20.3,21.0,19.84,2020-06-02 04:00:00,269,BVXV
46684,20.2125,20.88,19.75,20.88,19.6,2020-06-03 04:00:00,335,BVXV
60394,19.1991,19.75,19.14,20.3199,18.59,2020-06-04 04:00:00,583,BVXV
54237,18.5784,19.0,18.32,19.13,18.11,2020-06-05 04:00:00,556,BVXV
103094,17.4211,18.0,18.65,18.85,16.4662,2020-06-08 04:00:00,948,BVXV
59664,19.1327,18.23,18.4,20.59,17.8,2020-06-09 04:00:00,482,BVXV
70253,20.0419,20.3,20.3,20.59,19.13,2020-06-10 04:00:00,558,BVXV
68831,18.4158,19.63,18.06,19.795,17.638,2020-06-11 04:00:00,548,BVXV
57128,19.2543,18.46,20.0,20.0,18.46,2020-06-12 04:00:00,409,BVXV
27781,19.4557,20.0,19.42,20.0,19.06,2020-06-15 04:00:00,216,BVXV
77089,19.8171,20.0,20.18,20.5,19.1,2020-06-16 04:00:00,508,BVXV
38228,19.7061,20.46,19.27,20.48,19.1,2020-06-17 04:00:00,312,BVXV
44551,19.6992,19.76,20.2,20.2,19.3,2020-06-18 04:00:00,316,BVXV
254155,22.1397,20.87,23.9,23.9,20.0485,2020-06-19 04:00:00,1838,BVXV
101884,23.985500000000002,24.52,23.68,25.0,22.59,2020-06-22 04:00:00,732,BVXV
85717,24.7819,25.0,24.87,25.0,24.22,2020-06-23 04:00:00,618,BVXV
72339,23.8518,24.0,24.08,24.78,22.7101,2020-06-24 04:00:00,525,BVXV
84970,24.2729,23.46,24.02,25.0,22.73,2020-06-25 04:00:00,628,BVXV
59781,24.3457,24.02,24.65,24.95,23.5102,2020-06-26 04:00:00,429,BVXV
53583,23.8312,24.7,23.1,24.77,23.0101,2020-06-29 04:00:00,403,BVXV
42626,22.7695,22.91,22.75,23.5,22.0101,2020-06-30 04:00:00,319,BVXV
46589,23.7548,23.0,23.7,24.52,23.0,2020-07-01 04:00:00,391,BVXV
36950,24.1044,23.98,24.58,24.58,23.3535,2020-07-02 04:00:00,372,BVXV
411717,26.3818,24.9,27.98,28.99,24.0,2020-07-06 04:00:00,2337,BVXV
259018,30.8134,28.0,30.79,33.5,28.0,2020-07-07 04:00:00,2411,BVXV
168987,32.8238,32.15,32.2,34.72,31.02,2020-07-08 04:00:00,1389,BVXV
249308,36.5481,33.0,38.99,41.7499,33.0,2020-07-09 04:00:00,2180,BVXV
160145,39.3758,38.8,41.59,42.49,36.1,2020-07-10 04:00:00,1578,BVXV
631084,52.9908,43.93,51.1,61.9999,43.66,2020-07-13 04:00:00,8487,BVXV
358639,48.3204,52.0,48.25,56.887,41.18,2020-07-14 04:00:00,4188,BVXV
189835,44.4712,48.92,44.65,49.5,42.5,2020-07-15 04:00:00,2272,BVXV
171997,41.2708,43.18,43.0,44.98,38.55,2020-07-16 04:00:00,1940,BVXV
74460,44.274,41.87,45.22,45.98,40.01,2020-07-17 04:00:00,930,BVXV
118153,47.5919,46.46,48.6,48.755,45.51,2020-07-20 04:00:00,1337,BVXV
50447,48.7663,49.32,48.34,49.88,47.0,2020-07-21 04:00:00,646,BVXV
41946,46.6167,46.05,46.42,48.75,46.0,2020-07-22 04:00:00,556,BVXV
114929,42.9249,43.01,40.71,45.95,40.1,2020-07-23 04:00:00,1140,BVXV
118280,40.0037,40.0,40.49,41.82,37.72,2020-07-24 04:00:00,1199,BVXV
148572,38.5642,41.0,37.92,42.57,36.0,2020-07-27 04:00:00,1321,BVXV
228420,33.7477,35.27,31.41,37.0,31.07,2020-07-28 04:00:00,1969,BVXV
144443,32.5597,33.49,32.38,34.4899,30.9,2020-07-29 04:00:00,1386,BVXV
88932,34.0416,31.14,35.13,35.95,31.0,2020-07-30 04:00:00,762,BVXV
102942,33.2723,36.0,34.23,36.0,31.15,2020-07-31 04:00:00,977,BVXV
128319,37.8864,34.35,37.88,40.33,34.2301,2020-08-03 04:00:00,1348,BVXV
100815,39.7277,39.3,38.82,42.19,37.665,2020-08-04 04:00:00,1123,BVXV
90713,39.0777,37.64,39.88,40.91,37.53,2020-08-05 04:00:00,980,BVXV
54335,39.88,40.08,40.0,41.1,38.53,2020-08-06 04:00:00,565,BVXV
70207,39.5593,41.34,39.43,41.39,38.0922,2020-08-07 04:00:00,698,BVXV
40259,38.6199,38.85,38.49,38.85,38.24,2020-08-10 04:00:00,476,BVXV
60798,36.82,37.5,36.0,38.47,34.0,2020-08-11 04:00:00,571,BVXV
67479,34.2344,34.78,33.75,37.16,33.01,2020-08-12 04:00:00,721,BVXV
45801,33.7962,32.48,33.43,35.9799,32.28,2020-08-13 04:00:00,399,BVXV
35442,33.7441,34.02,32.83,35.38,32.8,2020-08-14 04:00:00,340,BVXV
30742,33.8571,32.83,34.25,34.49,32.83,2020-08-17 04:00:00,302,BVXV
35387,34.089,34.85,34.21,34.85,33.3,2020-08-18 04:00:00,465,BVXV
38881,34.3807,35.05,34.32,35.3,33.76,2020-08-19 04:00:00,493,BVXV
34843,34.8203,34.03,35.42,35.42,33.75,2020-08-20 04:00:00,369,BVXV
132978,37.6167,35.5,38.74,39.625,34.5,2020-08-21 04:00:00,1207,BVXV
63118,39.6553,40.0,39.8,40.0,39.0,2020-08-24 04:00:00,692,BVXV
86389,38.4347,40.92,37.75,41.92,36.22,2020-08-25 04:00:00,874,BVXV
47044,36.9361,36.68,37.65,39.0,35.71,2020-08-26 04:00:00,429,BVXV
35745,36.5323,37.96,36.27,37.96,35.75,2020-08-27 04:00:00,409,BVXV
39325,36.5803,36.0,36.01,38.2,35.54,2020-08-28 04:00:00,355,BVXV
64877,37.6284,36.9,37.49,38.92,36.02,2020-08-31 04:00:00,820,BVXV
112634,37.6429,39.75,37.49,39.75,36.1,2020-09-01 04:00:00,1205,BVXV
109601,38.8925,39.0,39.25,39.9058,37.8933,2020-09-02 04:00:00,1030,BVXV
100423,38.9025,40.98,38.1,40.98,37.2601,2020-09-03 04:00:00,882,BVXV
66937,37.5758,38.1,37.85,39.5,36.51,2020-09-04 04:00:00,659,BVXV
82875,38.3243,38.65,39.7,39.94,37.0,2020-09-08 04:00:00,793,BVXV
171063,43.7604,40.3,45.35,46.0,40.01,2020-09-09 04:00:00,1956,BVXV
169097,44.969,48.49,43.5,49.8957,42.05,2020-09-10 04:00:00,2083,BVXV
188437,39.3912,43.0,38.51,43.001,37.06,2020-09-11 04:00:00,1777,BVXV
68947,38.1967,38.5,37.63,39.53,37.27,2020-09-14 04:00:00,872,BVXV
44357,38.1676,37.32,38.06,38.99,37.32,2020-09-15 04:00:00,523,BVXV
35829,38.3639,38.69,38.5,39.0,37.55,2020-09-16 04:00:00,292,BVXV
