volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
667898,137.5624,136.53,138.24,138.44,135.76,2020-02-20 05:00:00,11999,CDW
960149,134.4192,137.37,133.91,138.3,133.145,2020-02-21 05:00:00,11848,CDW
1441173,130.1949,131.39,129.54,132.87,128.36,2020-02-24 05:00:00,16762,CDW
1291717,126.3324,130.34,125.15,131.07,124.75,2020-02-25 05:00:00,19069,CDW
1319553,126.2383,125.79,124.84,129.17,124.68,2020-02-26 05:00:00,16925,CDW
1969178,118.6956,121.74,116.08,121.98,116.04,2020-02-27 05:00:00,27633,CDW
2984813,114.2929,113.29,114.22,117.87,110.92,2020-02-28 05:00:00,39118,CDW
2087718,117.2093,115.36,119.98,119.98,113.125,2020-03-02 05:00:00,31036,CDW
1656454,116.6681,118.15,115.61,120.91,113.87,2020-03-03 05:00:00,24215,CDW
1301763,118.0023,117.81,119.19,119.26,115.94,2020-03-04 05:00:00,15748,CDW
1623074,113.6749,115.99,113.81,116.77,111.68,2020-03-05 05:00:00,23775,CDW
1572864,110.1737,108.96,111.58,112.01,108.32,2020-03-06 05:00:00,23018,CDW
2728923,100.763,102.15,98.21,105.52,98.19,2020-03-09 04:00:00,30349,CDW
2157455,102.2259,102.18,104.09,104.09,99.075,2020-03-10 04:00:00,23597,CDW
2892909,102.8817,100.37,102.87,104.64,100.37,2020-03-11 04:00:00,41243,CDW
2756277,94.7847,96.01,91.47,101.38,91.25,2020-03-12 04:00:00,33680,CDW
2292369,97.6942,96.52,101.3,101.38,92.51,2020-03-13 04:00:00,31273,CDW
2461034,87.7509,88.06,86.97,91.58,85.01,2020-03-16 04:00:00,33200,CDW
2124980,86.9209,88.68,87.28,89.47,84.36,2020-03-17 04:00:00,25573,CDW
2121326,80.4494,80.99,84.39,88.58,75.2,2020-03-18 04:00:00,26148,CDW
1873196,85.2849,84.06,88.27,89.45,78.7628,2020-03-19 04:00:00,21487,CDW
1903544,84.073,89.66,79.56,91.03,79.33,2020-03-20 04:00:00,19279,CDW
2204178,83.5765,78.38,85.6,87.0,73.39,2020-03-23 04:00:00,27093,CDW
2191156,93.1877,90.24,93.83,95.475,88.8,2020-03-24 04:00:00,23974,CDW
1747034,93.6385,92.66,91.91,96.79,90.41,2020-03-25 04:00:00,20086,CDW
1577432,97.8622,91.5,101.06,101.9,90.01,2020-03-26 04:00:00,22105,CDW
1361920,94.7219,95.86,93.75,97.8,92.52,2020-03-27 04:00:00,16273,CDW
932545,95.752,92.01,96.91,97.75,91.82,2020-03-30 04:00:00,15207,CDW
2153553,94.2528,96.44,93.27,98.41,92.46,2020-03-31 04:00:00,20227,CDW
1531872,90.3165,89.32,88.83,92.6701,88.01,2020-04-01 04:00:00,20783,CDW
1439868,87.4968,86.63,87.97,89.29,85.78,2020-04-02 04:00:00,18116,CDW
1125076,86.896,87.44,86.89,89.77,85.88,2020-04-03 04:00:00,12782,CDW
1196312,93.926,92.64,95.84,96.29,91.3,2020-04-06 04:00:00,14450,CDW
1273093,100.2515,101.52,98.63,102.96,98.51,2020-04-07 04:00:00,16533,CDW
1010486,101.7857,99.53,102.27,103.29,98.5,2020-04-08 04:00:00,12972,CDW
1318873,106.0882,104.2,106.26,107.805,103.28,2020-04-09 04:00:00,15187,CDW
832935,103.334,105.91,103.88,107.0,101.58,2020-04-13 04:00:00,11874,CDW
967131,106.4948,104.66,106.75,107.24,104.66,2020-04-14 04:00:00,12061,CDW
698035,103.8827,102.43,103.68,105.35,102.42,2020-04-15 04:00:00,9784,CDW
1092121,103.5866,103.83,104.25,105.69,101.1,2020-04-16 04:00:00,13037,CDW
965991,107.7109,106.14,108.82,109.03,105.64,2020-04-17 04:00:00,14372,CDW
1066760,105.8176,106.47,105.6,107.11,104.51,2020-04-20 04:00:00,12429,CDW
1423229,100.1028,102.7,98.845,103.75,98.12,2020-04-21 04:00:00,18409,CDW
864722,101.4323,100.9,101.74,102.93,99.36,2020-04-22 04:00:00,10607,CDW
900194,102.0142,102.51,100.86,104.34,100.7,2020-04-23 04:00:00,11884,CDW
1068841,104.4892,103.05,104.77,105.71,102.335,2020-04-24 04:00:00,13175,CDW
734745,106.1859,104.77,106.28,107.04,104.6,2020-04-27 04:00:00,8540,CDW
1016700,107.6038,108.62,107.12,109.06,106.18,2020-04-28 04:00:00,14247,CDW
988044,111.0688,109.17,111.29,112.14,108.43,2020-04-29 04:00:00,11890,CDW
1144421,110.5605,110.93,110.8,111.19,108.95,2020-04-30 04:00:00,15335,CDW
823500,107.1555,108.22,106.82,108.69,106.18,2020-05-01 04:00:00,13324,CDW
724575,107.1833,106.22,108.19,108.34,104.46,2020-05-04 04:00:00,9962,CDW
