volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4054268,34.4378,42.0,29.91,43.0,27.98,2021-01-08 05:00:00,27679,CGEM
553489,28.8085,29.96,28.0,31.4,28.0,2021-01-11 05:00:00,4764,CGEM
396375,28.3074,28.0,29.59,29.84,27.01,2021-01-12 05:00:00,2971,CGEM
604212,33.1004,29.99,35.38,35.41,29.75,2021-01-13 05:00:00,4367,CGEM
402049,35.5179,35.38,37.5,37.8,32.18,2021-01-14 05:00:00,2674,CGEM
238994,36.1405,37.5,35.08,38.46,34.16,2021-01-15 05:00:00,2783,CGEM
149751,34.0777,34.72,33.88,35.99,32.63,2021-01-19 05:00:00,1916,CGEM
152125,35.993,34.0,37.83,38.0,33.05,2021-01-20 05:00:00,1487,CGEM
199900,37.2204,37.98,38.18,38.18,35.95,2021-01-21 05:00:00,2802,CGEM
173907,38.0816,37.54,38.5,38.62,36.88,2021-01-22 05:00:00,2220,CGEM
120726,38.4482,38.95,38.59,39.49,36.94,2021-01-25 05:00:00,2179,CGEM
108067,38.4272,38.94,38.3,38.96,37.1,2021-01-26 05:00:00,1124,CGEM
275029,37.378,38.0,37.57,38.2,35.305,2021-01-27 05:00:00,2502,CGEM
118530,37.3423,37.06,37.65,37.9,36.1414,2021-01-28 05:00:00,1544,CGEM
195814,38.132,37.54,38.01,39.4899,37.28,2021-01-29 05:00:00,1494,CGEM
235824,36.191,39.85,33.77,39.85,33.33,2021-02-01 05:00:00,2684,CGEM
94440,34.3753,33.89,34.23,35.34,33.89,2021-02-02 05:00:00,1292,CGEM
85761,34.3895,34.85,33.73,35.0,33.5,2021-02-03 05:00:00,1288,CGEM
156796,35.571,34.0,36.0,36.25,33.55,2021-02-04 05:00:00,1851,CGEM
124379,36.198,36.19,36.28,36.6,35.0,2021-02-05 05:00:00,1586,CGEM
159435,36.2521,36.73,36.22,37.18,35.78,2021-02-08 05:00:00,1850,CGEM
137354,38.256,36.61,37.58,38.8198,36.03,2021-02-09 05:00:00,1773,CGEM
143339,37.6187,37.29,38.33,38.87,36.61,2021-02-10 05:00:00,1683,CGEM
205424,38.831,38.57,38.93,39.85,37.755,2021-02-11 05:00:00,2064,CGEM
149466,39.5677,39.28,40.0,41.05,38.52,2021-02-12 05:00:00,1816,CGEM
185343,40.86,40.91,42.53,42.76,39.41,2021-02-16 05:00:00,1916,CGEM
315073,44.3474,42.55,44.03,46.55,41.34,2021-02-17 05:00:00,3036,CGEM
229142,43.612,43.64,43.93,46.06,40.7,2021-02-18 05:00:00,2922,CGEM
108794,45.1177,43.35,45.73,45.98,43.01,2021-02-19 05:00:00,1473,CGEM
198834,44.8831,41.0,44.63,46.25,40.9712,2021-02-22 05:00:00,3316,CGEM
430009,42.2832,43.38,42.12,45.1676,41.15,2021-02-23 05:00:00,4443,CGEM
137172,42.8648,41.73,41.91,44.7,41.25,2021-02-24 05:00:00,2007,CGEM
234839,41.7196,41.77,42.68,42.99,39.84,2021-02-25 05:00:00,3122,CGEM
170433,40.5298,42.4,40.42,42.81,38.5443,2021-02-26 05:00:00,2082,CGEM
457324,47.8137,41.57,48.39,50.9702,40.7,2021-03-01 05:00:00,6609,CGEM
257748,49.7573,47.52,52.29,53.895,45.35,2021-03-02 05:00:00,4105,CGEM
225159,51.5319,51.55,52.1,52.93,48.11,2021-03-03 05:00:00,3006,CGEM
324961,43.9758,52.69,43.25,52.695,41.355,2021-03-04 05:00:00,3735,CGEM
299582,41.4518,43.7,44.53,46.125,37.55,2021-03-05 05:00:00,3825,CGEM
352464,47.0651,44.78,46.35,50.89,43.35,2021-03-08 05:00:00,5237,CGEM
455369,49.46,46.8,51.06,54.14,46.4,2021-03-09 05:00:00,6050,CGEM
434508,53.6012,51.26,53.42,59.85,50.82,2021-03-10 05:00:00,5099,CGEM
326769,53.5667,53.43,52.73,56.59,51.98,2021-03-11 05:00:00,4207,CGEM
347099,48.0998,52.22,48.06,52.22,45.12,2021-03-12 05:00:00,4426,CGEM
348347,46.1222,48.39,44.89,49.38,43.25,2021-03-15 04:00:00,5188,CGEM
367493,45.7358,44.04,46.27,46.925,44.04,2021-03-16 04:00:00,4412,CGEM
456882,43.5961,45.85,43.4,46.415,42.24,2021-03-17 04:00:00,5360,CGEM
490082,40.8,42.97,40.31,43.6,39.75,2021-03-18 04:00:00,5279,CGEM
2558165,41.2365,42.65,41.11,43.3,41.0,2021-03-19 04:00:00,6058,CGEM
521684,42.5659,41.04,42.82,43.52,40.48,2021-03-22 04:00:00,4004,CGEM
637085,40.1143,42.36,40.02,42.45,38.505,2021-03-23 04:00:00,3894,CGEM
212494,38.8527,40.0,37.66,40.8,37.06,2021-03-24 04:00:00,4028,CGEM
163751,38.1976,38.81,39.18,39.99,36.36,2021-03-25 04:00:00,2614,CGEM
243664,39.696,39.3,39.63,42.73,37.85,2021-03-26 04:00:00,3192,CGEM
168494,38.3018,39.19,38.05,39.48,37.4,2021-03-29 04:00:00,2345,CGEM
225413,39.0699,38.02,39.73,40.36,36.67,2021-03-30 04:00:00,2932,CGEM
160417,40.8649,40.08,41.67,41.94,39.6,2021-03-31 04:00:00,2467,CGEM
143568,41.4049,41.82,41.25,42.7,40.34,2021-04-01 04:00:00,1343,CGEM
103399,40.9533,41.47,41.02,42.0,40.0,2021-04-05 04:00:00,1872,CGEM
323866,37.0184,40.81,35.14,41.08,34.78,2021-04-06 04:00:00,3812,CGEM
241995,35.9498,35.01,35.94,37.14,34.195,2021-04-07 04:00:00,4081,CGEM
98660,34.6357,36.1,34.18,36.38,33.86,2021-04-08 04:00:00,1666,CGEM
74179,32.656,33.89,32.3,34.8,31.63,2021-04-09 04:00:00,1486,CGEM
194641,30.0677,32.34,29.87,32.34,29.135,2021-04-12 04:00:00,2828,CGEM
548571,32.0043,30.0,32.28,33.44,29.05,2021-04-13 04:00:00,3955,CGEM
257288,34.9263,32.33,35.47,36.225,32.33,2021-04-14 04:00:00,3395,CGEM
329738,35.5715,35.63,35.91,36.32,34.79,2021-04-15 04:00:00,2054,CGEM
167104,35.8422,36.31,35.2,36.98,34.66,2021-04-16 04:00:00,1986,CGEM
98759,32.907,35.03,32.09,35.74,31.535,2021-04-19 04:00:00,1812,CGEM
185796,32.1527,31.62,31.3,32.92,31.03,2021-04-20 04:00:00,1648,CGEM
219417,32.2926,31.26,33.84,34.63,29.69,2021-04-21 04:00:00,2674,CGEM
117163,32.7932,33.7,32.48,34.65,31.94,2021-04-22 04:00:00,1718,CGEM
113300,31.7802,32.65,31.49,32.75,31.2,2021-04-23 04:00:00,1337,CGEM
141634,31.8133,31.62,31.68,32.9,30.74,2021-04-26 04:00:00,1915,CGEM
289977,34.6218,33.7,34.67,36.38,32.53,2021-04-27 04:00:00,3440,CGEM
103710,34.3115,34.93,33.22,35.64,33.06,2021-04-28 04:00:00,1334,CGEM
52578,32.2935,33.38,32.78,33.38,31.34,2021-04-29 04:00:00,1485,CGEM
66126,32.3399,32.72,32.46,33.0526,31.91,2021-04-30 04:00:00,1555,CGEM
88245,33.8065,32.8,34.25,34.49,32.26,2021-05-03 04:00:00,1480,CGEM
78248,32.1087,33.63,31.86,33.7596,31.47,2021-05-04 04:00:00,1670,CGEM
176249,30.2305,32.22,28.87,32.24,28.53,2021-05-05 04:00:00,2045,CGEM
106885,28.68,28.51,29.0,31.4964,27.09,2021-05-06 04:00:00,1329,CGEM
51529,29.9493,29.17,29.86,30.96,29.11,2021-05-07 04:00:00,1617,CGEM
58618,28.535,30.06,28.62,30.06,27.46,2021-05-10 04:00:00,1342,CGEM
124957,28.8785,27.96,28.42,30.005,27.26,2021-05-11 04:00:00,2113,CGEM
376952,29.0031,28.14,30.45,31.0,27.61,2021-05-12 04:00:00,2765,CGEM
142168,28.5854,30.69,27.75,31.93,27.5,2021-05-13 04:00:00,2352,CGEM
179546,27.5346,28.35,27.66,29.74,27.02,2021-05-14 04:00:00,3076,CGEM
199962,27.9303,27.59,28.37,28.63,27.26,2021-05-17 04:00:00,2308,CGEM
190754,30.895,28.3,31.37,31.79,28.18,2021-05-18 04:00:00,3237,CGEM
382736,31.2685,30.5,31.2,32.2995,30.15,2021-05-19 04:00:00,2867,CGEM
323086,29.2531,31.4,30.41,31.495,28.0,2021-05-20 04:00:00,4532,CGEM
494751,27.7038,29.77,27.19,29.86,26.57,2021-05-21 04:00:00,5902,CGEM
167129,28.206,27.24,28.51,29.17,27.24,2021-05-24 04:00:00,2665,CGEM
122220,28.5597,28.26,28.39,29.3,28.04,2021-05-25 04:00:00,3574,CGEM
280361,30.3432,29.0,30.77,31.74,28.8,2021-05-26 04:00:00,2994,CGEM
332562,30.0417,31.19,30.09,31.19,29.52,2021-05-27 04:00:00,2530,CGEM
130830,30.2352,30.25,29.73,31.41,29.52,2021-05-28 04:00:00,2809,CGEM
97597,29.3128,29.91,29.1,30.5799,28.8,2021-06-01 04:00:00,1465,CGEM
106033,28.4185,29.19,28.28,29.43,27.81,2021-06-02 04:00:00,1920,CGEM
393625,29.1849,28.53,29.76,29.805,28.22,2021-06-03 04:00:00,3783,CGEM
1408546,34.6815,37.59,33.11,37.66,31.77,2021-06-04 04:00:00,11830,CGEM
376108,33.9398,33.2,33.86,34.6859,33.2,2021-06-07 04:00:00,4047,CGEM
281046,33.4772,34.18,33.44,34.35,32.695,2021-06-08 04:00:00,4098,CGEM
272876,33.4415,33.57,32.61,34.44,32.22,2021-06-09 04:00:00,1992,CGEM
116786,32.0729,32.39,32.21,32.69,31.01,2021-06-10 04:00:00,2307,CGEM
