volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
85367,21.1241,30.9999,23.0,30.9999,21.38,2021-02-10 05:00:00,13,CHKEL
190130,18.591,20.97,17.5,21.0,15.0,2021-02-11 05:00:00,343,CHKEL
23534,17.6516,15.51,18.06,18.72,15.51,2021-02-12 05:00:00,191,CHKEL
41295,18.4797,18.2,18.45,18.63,18.15,2021-02-16 05:00:00,231,CHKEL
125676,17.9033,18.5,18.005,18.5,17.7,2021-02-17 05:00:00,336,CHKEL
137292,18.2329,18.25,16.21,18.63,16.18,2021-02-18 05:00:00,185,CHKEL
17519,17.246,17.05,17.21,18.15,17.04,2021-02-19 05:00:00,75,CHKEL
142792,17.7254,18.0,17.06,18.0125,16.82,2021-02-22 05:00:00,126,CHKEL
18406,16.7431,17.2,16.8,17.25,16.56,2021-02-23 05:00:00,86,CHKEL
7274,17.248,17.0,18.15,18.15,16.8,2021-02-24 05:00:00,66,CHKEL
144119,18.0482,18.0,17.8,18.64,17.4,2021-02-25 05:00:00,112,CHKEL
35121,17.0731,17.31,17.45,18.39,16.4,2021-02-26 05:00:00,95,CHKEL
7114,17.7886,17.14,17.95,18.0,17.14,2021-03-01 05:00:00,64,CHKEL
69949,18.312,17.99,18.495,18.8,17.96,2021-03-02 05:00:00,268,CHKEL
56644,18.715,18.5,19.1,19.1,18.4,2021-03-03 05:00:00,341,CHKEL
7574,19.1519,19.01,18.78,19.76,18.75,2021-03-04 05:00:00,50,CHKEL
11459,17.6228,17.48,19.59,19.61,17.25,2021-03-05 05:00:00,115,CHKEL
5729,18.0587,19.3,18.2,19.3,18.0,2021-03-08 05:00:00,52,CHKEL
4047,17.813,17.0,18.57,18.7043,17.0,2021-03-09 05:00:00,25,CHKEL
446,17.4591,17.02,17.02,17.02,17.02,2021-03-10 05:00:00,18,CHKEL
19708,17.9181,17.59,18.01,18.58,17.3123,2021-03-11 05:00:00,86,CHKEL
250768,18.1618,16.25,18.25,18.58,16.25,2021-03-12 05:00:00,288,CHKEL
15183,18.0977,18.54,18.15,18.54,17.58,2021-03-15 04:00:00,97,CHKEL
61081,18.1386,17.95,18.15,18.2,17.735,2021-03-16 04:00:00,186,CHKEL
4279,18.0982,18.0,18.175,18.2,18.0,2021-03-17 04:00:00,30,CHKEL
13106,16.6017,18.15,17.0,18.15,16.4,2021-03-18 04:00:00,74,CHKEL
76462,16.2743,16.56,16.9,17.81,16.0,2021-03-19 04:00:00,305,CHKEL
18141,16.634,16.9,16.5,17.34,16.24,2021-03-22 04:00:00,113,CHKEL
14789,16.0659,16.5,15.78,17.4,15.78,2021-03-23 04:00:00,115,CHKEL
114669,16.4438,16.16,16.4,16.5,16.16,2021-03-24 04:00:00,246,CHKEL
6127,15.6697,16.0,16.1099,16.1099,15.5,2021-03-25 04:00:00,28,CHKEL
1224,16.1172,16.11,16.11,16.11,16.1,2021-03-26 04:00:00,10,CHKEL
394,16.6915,16.2,16.95,16.95,16.2,2021-03-29 04:00:00,13,CHKEL
8211,16.9122,16.75,16.9965,17.0,16.24,2021-03-31 04:00:00,44,CHKEL
14671,17.3285,17.01,17.4,17.73,17.01,2021-04-01 04:00:00,184,CHKEL
12466,17.4693,17.64,17.41,17.93,17.41,2021-04-05 04:00:00,24,CHKEL
27092,17.559,17.37,17.52,17.75,17.3,2021-04-06 04:00:00,70,CHKEL
39948,17.2992,17.26,17.16,17.52,17.0,2021-04-07 04:00:00,242,CHKEL
61754,17.497700000000002,17.26,17.65,17.65,17.25,2021-04-08 04:00:00,63,CHKEL
1382,17.4433,17.55,17.51,17.55,17.51,2021-04-09 04:00:00,18,CHKEL
7542,17.9216,17.5,17.94,18.0,17.5,2021-04-12 04:00:00,93,CHKEL
14386,17.5592,17.5001,18.14,18.14,17.5,2021-04-13 04:00:00,67,CHKEL
197311,18.3245,18.0,18.3175,18.98,17.97,2021-04-14 04:00:00,59,CHKEL
2652,17.833,17.78,18.0,18.0,17.75,2021-04-15 04:00:00,16,CHKEL
723,17.9756,18.0,17.75,18.0,17.75,2021-04-16 04:00:00,11,CHKEL
19168,18.4847,18.46,18.5,18.53,18.46,2021-04-19 04:00:00,43,CHKEL
203850,17.7015,17.6,17.51,17.8,17.5,2021-04-20 04:00:00,64,CHKEL
84614,17.9485,17.51,17.86,18.0,17.51,2021-04-21 04:00:00,284,CHKEL
23956,18.4969,18.56,18.5,18.56,18.5,2021-04-22 04:00:00,17,CHKEL
1579,18.4192,18.15,18.57,18.575,18.15,2021-04-23 04:00:00,17,CHKEL
453,18.4591,18.5,18.5,18.5,18.5,2021-04-26 04:00:00,10,CHKEL
90505,18.3696,18.49,18.2999,18.49,18.16,2021-04-27 04:00:00,54,CHKEL
574,18.007,18.5,17.83,18.5,17.83,2021-04-28 04:00:00,13,CHKEL
5161,18.1931,17.71,19.0,19.15,17.66,2021-04-29 04:00:00,87,CHKEL
13707,19.0961,18.93,19.0,19.49,18.9,2021-04-30 04:00:00,88,CHKEL
2114,18.6194,19.21,18.55,19.21,18.55,2021-05-03 04:00:00,21,CHKEL
650,18.2368,18.01,18.0,18.48,18.0,2021-05-04 04:00:00,12,CHKEL
3400,18.4794,18.5,18.3753,18.5,18.23,2021-05-05 04:00:00,31,CHKEL
4772,18.6459,18.34,18.56,18.75,18.34,2021-05-06 04:00:00,44,CHKEL
18350,19.3039,18.75,19.54,19.75,18.75,2021-05-07 04:00:00,223,CHKEL
18976,19.8429,19.85,19.73,20.0,19.73,2021-05-10 04:00:00,336,CHKEL
16248,19.4942,18.0,19.09,19.8427,18.0,2021-05-11 04:00:00,234,CHKEL
44217,19.7855,19.4,19.0,20.85,18.49,2021-05-12 04:00:00,390,CHKEL
14028,18.6719,18.5001,18.5,19.7211,18.3,2021-05-13 04:00:00,134,CHKEL
74500,19.5107,18.995,18.18,19.0,18.18,2021-05-14 04:00:00,55,CHKEL
1265,19.1646,19.0,19.15,19.25,19.0,2021-05-17 04:00:00,26,CHKEL
6567,20.7749,20.9,20.5,21.4,20.0,2021-05-18 04:00:00,65,CHKEL
90520,19.7831,19.65,20.2,21.26,19.2301,2021-05-19 04:00:00,173,CHKEL
1310,20.0762,20.38,20.1,20.38,20.05,2021-05-20 04:00:00,38,CHKEL
28492,20.0081,20.1,20.0,20.16,20.0,2021-05-21 04:00:00,30,CHKEL
3235,20.7232,20.64,20.7,21.1,20.55,2021-05-24 04:00:00,68,CHKEL
1587,20.4454,20.85,20.28,20.85,20.25,2021-05-25 04:00:00,48,CHKEL
827,20.7816,20.56,21.68,21.68,20.56,2021-05-26 04:00:00,22,CHKEL
13803,21.6431,21.6,21.62,21.74,21.56,2021-05-27 04:00:00,72,CHKEL
35975,21.9721,21.9,21.996,22.0,21.6,2021-05-28 04:00:00,151,CHKEL
77652,22.7175,22.63,22.93,23.0,22.51,2021-06-01 04:00:00,473,CHKEL
77931,22.5077,22.69,22.75,23.0,22.5,2021-06-02 04:00:00,90,CHKEL
35863,22.4949,22.25,22.5,22.75,22.25,2021-06-03 04:00:00,53,CHKEL
133668,22.73,22.1,22.75,22.85,22.06,2021-06-04 04:00:00,414,CHKEL
175502,23.175,23.0,23.5,23.6,22.75,2021-06-07 04:00:00,471,CHKEL
16302,23.0991,23.62,23.3,23.62,22.5,2021-06-08 04:00:00,128,CHKEL
797,23.248,23.61,23.2872,23.61,22.96,2021-06-09 04:00:00,16,CHKEL
130456,23.7855,23.63,23.55,23.91,23.45,2021-06-10 04:00:00,51,CHKEL
6787,23.8719,23.91,23.91,23.91,23.8,2021-06-11 04:00:00,62,CHKEL
5226,23.6497,23.82,23.6395,23.82,23.5,2021-06-14 04:00:00,62,CHKEL
1457,23.6965,23.67,23.6149,24.31,23.6149,2021-06-15 04:00:00,14,CHKEL
3131,23.3365,23.4,23.4,23.4,23.4,2021-06-16 04:00:00,122,CHKEL
3797,21.5547,22.24,21.46,22.24,21.3778,2021-06-17 04:00:00,42,CHKEL
2271,21.6742,21.38,21.6376,21.945,21.38,2021-06-18 04:00:00,22,CHKEL
71896,22.3466,21.79,22.5,22.69,21.75,2021-06-21 04:00:00,472,CHKEL
2643,22.2547,22.39,21.12,22.4,21.12,2021-06-22 04:00:00,33,CHKEL
8492,21.2208,20.9557,21.27,21.27,20.9557,2021-06-23 04:00:00,25,CHKEL
170848,21.7944,21.27,21.9,22.0,20.97,2021-06-24 04:00:00,895,CHKEL
24295,21.4691,21.85,21.4,21.85,21.23,2021-06-25 04:00:00,210,CHKEL
10567,20.9712,21.4,20.03,21.4,20.0,2021-06-28 04:00:00,58,CHKEL
25015,20.089,20.49,19.72,20.57,19.72,2021-06-29 04:00:00,185,CHKEL
23204,20.818,20.67,20.87,20.95,20.55,2021-06-30 04:00:00,134,CHKEL
55944,21.9595,21.5,21.96,22.25,21.38,2021-07-01 04:00:00,486,CHKEL
92608,22.1148,22.0,21.9,22.315,21.8,2021-07-02 04:00:00,759,CHKEL
31291,21.7874,22.12,22.0,22.23,20.86,2021-07-06 04:00:00,280,CHKEL
146734,21.8702,22.18,21.96,22.35,21.7,2021-07-07 04:00:00,498,CHKEL
135478,21.9769,21.86,22.0,22.15,21.77,2021-07-08 04:00:00,709,CHKEL
152330,22.1034,22.0,22.11,22.2,21.9,2021-07-09 04:00:00,2039,CHKEL
80251,22.0416,22.01,22.05,22.17,21.97,2021-07-12 04:00:00,724,CHKEL
11357,21.9269,22.0,21.59,22.04,21.59,2021-07-13 04:00:00,115,CHKEL
23028,20.0198,21.0,19.8399,21.0,19.76,2021-07-14 04:00:00,107,CHKEL
106577,19.3165,19.77,19.2372,19.78,19.2372,2021-07-15 04:00:00,134,CHKEL
5025,19.4083,19.5,19.0099,19.5122,18.85,2021-07-16 04:00:00,52,CHKEL
19290,18.4245,18.87,18.35,18.87,17.85,2021-07-19 04:00:00,135,CHKEL
39958,19.569,18.75,19.9,19.99,18.56,2021-07-20 04:00:00,249,CHKEL
32743,20.6729,20.04,21.1,21.26,19.99,2021-07-21 04:00:00,225,CHKEL
29004,21.3762,20.5,21.69,21.75,20.5,2021-07-22 04:00:00,251,CHKEL
136727,22.0577,21.55,22.14,22.21,21.55,2021-07-23 04:00:00,1280,CHKEL
93389,22.4694,22.19,22.59,22.91,22.09,2021-07-26 04:00:00,993,CHKEL
32534,22.375,22.27,22.39,22.57,21.98,2021-07-27 04:00:00,347,CHKEL
21581,22.8175,22.38,22.91,23.08,22.34,2021-07-28 04:00:00,200,CHKEL
1098,22.8886,22.91,22.91,22.91,22.91,2021-07-29 04:00:00,8,CHKEL
6929,22.427,22.51,21.695,22.51,21.695,2021-07-30 04:00:00,71,CHKEL
2790,22.044,21.94,22.49,22.49,21.79,2021-08-02 04:00:00,40,CHKEL
18629,22.0926,21.06,22.0,22.59,21.06,2021-08-03 04:00:00,258,CHKEL
5415,21.9571,22.0,21.97,22.0,21.87,2021-08-05 04:00:00,76,CHKEL
261,22.4668,22.53,22.5006,22.53,22.5006,2021-08-06 04:00:00,9,CHKEL
284,21.9694,22.07,22.07,22.07,22.07,2021-08-09 04:00:00,9,CHKEL
946,22.8704,22.5,23.13,23.13,22.5,2021-08-10 04:00:00,53,CHKEL
13044,24.1352,24.67,24.0,24.67,23.91,2021-08-11 04:00:00,155,CHKEL
28416,25.0907,24.14,25.58,25.66,24.14,2021-08-12 04:00:00,222,CHKEL
109582,24.7371,26.01,24.8,26.06,24.65,2021-08-13 04:00:00,33,CHKEL
5421,23.8005,22.5,23.8,24.03,22.5,2021-08-16 04:00:00,47,CHKEL
4604,23.4752,23.8,22.83,24.27,22.25,2021-08-17 04:00:00,54,CHKEL
3509,21.7418,22.0,21.0,22.0,21.0,2021-08-18 04:00:00,62,CHKEL
3337,19.8541,20.0,20.13,20.13,19.71,2021-08-19 04:00:00,34,CHKEL
7802,20.8425,20.59,21.18,21.48,20.5656,2021-08-20 04:00:00,45,CHKEL
6076,21.0579,21.52,20.85,21.57,20.85,2021-08-23 04:00:00,37,CHKEL
5001,20.947,20.64,21.01,21.25,20.64,2021-08-24 04:00:00,48,CHKEL
1499,21.5533,21.03,21.5,21.78,21.03,2021-08-25 04:00:00,19,CHKEL
13583,21.2432,21.3,21.64,21.79,20.71,2021-08-26 04:00:00,84,CHKEL
15279,23.7151,22.0,23.51,24.1,22.0,2021-08-27 04:00:00,278,CHKEL
2116,23.2147,23.4499,23.15,23.4499,23.15,2021-08-30 04:00:00,18,CHKEL
