volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
17396568,10.143,10.14,10.1,10.16,10.1,2021-11-30 05:00:00,7505,CNGLU
722691,10.1229,10.13,10.11,10.13,10.11,2021-12-01 05:00:00,616,CNGLU
200720,10.1255,10.15,10.15,10.15,10.11,2021-12-02 05:00:00,267,CNGLU
231545,10.1514,10.135,10.1501,10.18,10.11,2021-12-03 05:00:00,288,CNGLU
39399,10.1436,10.13,10.18,10.18,10.12,2021-12-06 05:00:00,53,CNGLU
118813,10.1789,10.15,10.18,10.195,10.15,2021-12-07 05:00:00,82,CNGLU
136733,10.1583,10.15,10.16,10.18,10.15,2021-12-08 05:00:00,33,CNGLU
140417,10.1373,10.1518,10.12,10.166,10.12,2021-12-09 05:00:00,319,CNGLU
82597,10.1204,10.13,10.11,10.13,10.11,2021-12-10 05:00:00,61,CNGLU
220227,10.0955,10.1,10.08,10.105,10.08,2021-12-13 05:00:00,358,CNGLU
13045,10.0779,10.08,10.07,10.08,10.06,2021-12-14 05:00:00,8,CNGLU
5311,10.1157,10.12,10.1,10.12,10.1,2021-12-15 05:00:00,182,CNGLU
12092,10.0924,10.08,10.1224,10.1332,10.08,2021-12-16 05:00:00,63,CNGLU
8690,10.1276,10.13,10.07,10.1497,10.06,2021-12-17 05:00:00,65,CNGLU
46737,10.0753,10.0816,10.07,10.09,10.06,2021-12-20 05:00:00,79,CNGLU
7512,10.0714,10.13,10.07,10.13,10.07,2021-12-22 05:00:00,29,CNGLU
1305,10.0803,10.08,10.08,10.08,10.08,2021-12-23 05:00:00,7,CNGLU
1446,10.0999,10.1,10.1,10.1,10.1,2021-12-27 05:00:00,26,CNGLU
877,10.1307,10.13,10.12,10.14,10.12,2021-12-28 05:00:00,15,CNGLU
23489,10.1316,10.13,10.13,10.14,10.12,2021-12-29 05:00:00,124,CNGLU
21415,10.1368,10.13,10.13,10.15,10.13,2021-12-30 05:00:00,144,CNGLU
108712,10.1361,10.14,10.13,10.14,10.12,2021-12-31 05:00:00,330,CNGLU
4949,10.1483,10.1301,10.14,10.1503,10.1301,2022-01-03 05:00:00,36,CNGLU
28873,10.1485,10.15,10.1408,10.1504,10.1408,2022-01-04 05:00:00,154,CNGLU
12029,10.1584,10.15,10.16,10.16,10.15,2022-01-05 05:00:00,8,CNGLU
14757,10.1501,10.15,10.15,10.16,10.14,2022-01-06 05:00:00,41,CNGLU
22263,10.15,10.15,10.16,10.16,10.14,2022-01-07 05:00:00,53,CNGLU
69623,10.152,10.16,10.15,10.16,10.13,2022-01-10 05:00:00,49,CNGLU
12069,10.1598,10.16,10.15,10.16,10.15,2022-01-11 05:00:00,17,CNGLU
19417,10.162,10.16,10.16,10.17,10.16,2022-01-12 05:00:00,82,CNGLU
273355,10.1795,10.17,10.15,10.19,10.15,2022-01-13 05:00:00,105,CNGLU
8223,10.1512,10.156,10.15,10.156,10.15,2022-01-14 05:00:00,17,CNGLU
10794,10.1412,10.15,10.14,10.15,10.14,2022-01-18 05:00:00,27,CNGLU
719,10.1319,10.13,10.13,10.13,10.13,2022-01-19 05:00:00,11,CNGLU
789,10.1568,10.16,10.16,10.16,10.1501,2022-01-20 05:00:00,10,CNGLU
50230,10.1501,10.15,10.16,10.16,10.12,2022-01-21 05:00:00,43,CNGLU
1455,10.1073,10.12,10.1,10.12,10.1,2022-01-24 05:00:00,13,CNGLU
1023,10.0904,10.0895,10.0895,10.0895,10.0895,2022-01-25 05:00:00,8,CNGLU
235,10.2019,10.2029,10.2029,10.2029,10.2029,2022-01-26 05:00:00,21,CNGLU
892,10.1579,10.21,10.105,10.21,10.0866,2022-01-27 05:00:00,23,CNGLU
809,10.1095,10.12,10.08,10.12,10.08,2022-01-31 05:00:00,8,CNGLU
7480,10.1358,10.66,10.15,10.66,10.07,2022-02-01 05:00:00,37,CNGLU
767,10.5031,10.61,10.15,10.62,10.15,2022-02-02 05:00:00,29,CNGLU
505,10.1453,10.15,10.15,10.15,10.15,2022-02-03 05:00:00,7,CNGLU
128,10.1395,10.14,10.14,10.14,10.14,2022-02-07 05:00:00,5,CNGLU
1477,10.105,10.11,10.1,10.11,10.1,2022-02-08 05:00:00,11,CNGLU
