volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
11754032,10.7308,10.81,10.52,10.9,10.5,2021-02-24 05:00:00,27395,COLIU
2055779,10.4703,10.5,10.44,10.57,10.4,2021-02-25 05:00:00,4142,COLIU
1443854,10.3058,10.4,10.34,10.42,10.2,2021-02-26 05:00:00,3571,COLIU
656612,10.3629,10.5,10.32,10.5,10.32,2021-03-01 05:00:00,905,COLIU
379569,10.2963,10.44,10.2,10.49,10.11,2021-03-02 05:00:00,968,COLIU
574625,10.2294,10.35,10.15,10.35,10.1,2021-03-03 05:00:00,931,COLIU
603274,10.0945,10.2,10.18,10.2,10.01,2021-03-04 05:00:00,618,COLIU
122839,10.1807,10.24,10.25,10.33,10.1,2021-03-05 05:00:00,282,COLIU
335515,10.1144,10.185,10.15,10.25,10.1,2021-03-08 05:00:00,290,COLIU
3090674,10.5433,10.13,10.37,10.88,10.13,2021-03-09 05:00:00,13750,COLIU
733163,10.4638,10.59,10.39,10.6,10.38,2021-03-10 05:00:00,2843,COLIU
256324,10.4957,10.57,10.47,10.61,10.4,2021-03-11 05:00:00,1360,COLIU
319817,10.4303,10.5,10.35,10.5,10.32,2021-03-12 05:00:00,1162,COLIU
153729,10.3901,10.49,10.3,10.49,10.3,2021-03-15 04:00:00,759,COLIU
85737,10.326,10.48,10.25,10.486,10.25,2021-03-16 04:00:00,553,COLIU
535175,10.083,10.35,10.05,10.35,10.0,2021-03-17 04:00:00,1732,COLIU
60702,10.193,10.08,10.15,10.29,10.08,2021-03-18 04:00:00,390,COLIU
61239,10.1672,10.2,10.2,10.2,10.1,2021-03-19 04:00:00,599,COLIU
53092,10.2169,10.27,10.15,10.3,10.13,2021-03-22 04:00:00,457,COLIU
797553,9.9992,10.18,9.99,10.19,9.99,2021-03-23 04:00:00,985,COLIU
88497,10.018,10.14,10.0,10.15,9.99,2021-03-24 04:00:00,644,COLIU
192209,9.8911,9.96,9.9,10.0,9.82,2021-03-25 04:00:00,838,COLIU
34515,10.0282,10.0,10.04,10.07,9.9898,2021-03-26 04:00:00,149,COLIU
172359,10.0104,10.11,10.06,10.1331,10.0,2021-03-29 04:00:00,267,COLIU
117407,9.9763,9.97,10.0,10.1,9.96,2021-03-30 04:00:00,306,COLIU
48334,10.0926,10.05,10.1,10.12,10.05,2021-03-31 04:00:00,199,COLIU
16098,10.131,10.14,10.13,10.15,10.1072,2021-04-01 04:00:00,124,COLIU
82306,10.0892,10.2,10.09,10.2,10.06,2021-04-05 04:00:00,271,COLIU
12993,10.1438,10.13,10.189,10.2,10.0975,2021-04-06 04:00:00,73,COLIU
18446,10.1982,10.18,10.205,10.21,10.18,2021-04-07 04:00:00,141,COLIU
10682,10.1868,10.17,10.2,10.2199,10.17,2021-04-08 04:00:00,154,COLIU
5817,10.1702,10.18,10.21,10.22,10.13,2021-04-09 04:00:00,50,COLIU
7067,10.1648,10.15,10.15,10.2355,10.15,2021-04-12 04:00:00,45,COLIU
31890,10.11,10.18,10.08,10.2232,10.07,2021-04-13 04:00:00,172,COLIU
18554,10.1649,10.18,10.1636,10.2168,10.1,2021-04-14 04:00:00,90,COLIU
17360,10.1674,10.24,10.16,10.25,10.1013,2021-04-15 04:00:00,108,COLIU
67295,10.1511,10.16,10.1281,10.25,10.1,2021-04-16 04:00:00,240,COLIU
41801,10.113,10.1,10.11,10.12,10.095,2021-04-19 04:00:00,105,COLIU
72192,10.084,10.13,10.1,10.15,10.0,2021-04-20 04:00:00,148,COLIU
64376,10.0751,10.08,10.07,10.1,10.05,2021-04-21 04:00:00,431,COLIU
72376,10.0588,10.07,10.03,10.0747,10.0,2021-04-22 04:00:00,212,COLIU
30092,10.0149,10.01,10.01,10.05,10.01,2021-04-23 04:00:00,224,COLIU
196546,10.0161,10.09,10.03,10.09,9.97,2021-04-26 04:00:00,599,COLIU
26919,10.0391,10.05,10.045,10.05,10.0,2021-04-27 04:00:00,87,COLIU
58739,10.0511,10.05,10.0501,10.07,10.03,2021-04-28 04:00:00,152,COLIU
36188,10.1036,10.05,10.06,10.13,10.05,2021-04-29 04:00:00,140,COLIU
