volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
19284,3.961,3.99,3.96,3.99,3.95,2020-02-20 05:00:00,65,CPSS
14961,3.9999000000000002,3.95,3.9643,4.1,3.95,2020-02-21 05:00:00,58,CPSS
40640,3.856,3.95,3.8200000000000003,3.9698,3.75,2020-02-24 05:00:00,118,CPSS
35804,3.7372,3.8200000000000003,3.65,3.87,3.65,2020-02-25 05:00:00,111,CPSS
37352,3.6122,3.8352,3.5700000000000003,3.8352,3.396,2020-02-26 05:00:00,110,CPSS
18193,3.4653,3.49,3.62,3.64,3.39,2020-02-27 05:00:00,83,CPSS
30076,3.6372999999999998,3.54,3.67,3.7199999999999998,3.3101000000000003,2020-02-28 05:00:00,190,CPSS
17056,3.5414,3.67,3.59,3.75,3.3,2020-03-02 05:00:00,82,CPSS
15966,3.4516,3.69,3.5,3.84,3.37,2020-03-03 05:00:00,120,CPSS
11362,3.4061,3.55,3.5300000000000002,3.55,3.12,2020-03-04 05:00:00,79,CPSS
1675,3.4821,3.4808,3.5,3.5,3.48,2020-03-05 05:00:00,13,CPSS
10525,3.4258,3.46,3.52,3.5300000000000002,3.3,2020-03-06 05:00:00,104,CPSS
6154,3.2621,3.2763,3.27,3.2763,3.15,2020-03-09 04:00:00,59,CPSS
13395,3.0418,3.16,3.02,3.18,2.85,2020-03-10 04:00:00,102,CPSS
2045,3.0705,3.19,3.0,3.19,3.0,2020-03-11 04:00:00,39,CPSS
14867,2.9162,2.75,2.95,2.98,2.75,2020-03-12 04:00:00,103,CPSS
21166,2.8642000000000003,2.81,2.76,2.99,2.75,2020-03-13 04:00:00,129,CPSS
26023,2.5241,2.75,2.2,2.83,2.15,2020-03-16 04:00:00,251,CPSS
31017,1.7625000000000002,2.06,1.6099999999999999,2.109,1.5,2020-03-17 04:00:00,214,CPSS
41847,1.3561,1.65,1.45,1.65,1.25,2020-03-18 04:00:00,313,CPSS
42889,1.1174,1.6400000000000001,1.08,1.6400000000000001,1.0,2020-03-19 04:00:00,209,CPSS
89943,1.593,1.2,1.8599999999999999,2.38,1.15,2020-03-20 04:00:00,467,CPSS
34883,1.7786,1.87,1.45,1.99,1.44,2020-03-23 04:00:00,220,CPSS
20176,1.5572,1.585,1.47,1.6,1.46,2020-03-24 04:00:00,118,CPSS
23343,1.6478000000000002,1.73,1.6099999999999999,1.73,1.5601,2020-03-25 04:00:00,132,CPSS
18105,1.6287,1.6099999999999999,1.65,1.7084000000000001,1.57,2020-03-26 04:00:00,153,CPSS
5767,1.6099999999999999,1.6800000000000002,1.6,1.69,1.56,2020-03-27 04:00:00,65,CPSS
6788,1.5842,1.51,1.55,1.65,1.51,2020-03-30 04:00:00,80,CPSS
9695,1.5078,1.6,1.3599999999999999,1.6400000000000001,1.3599999999999999,2020-03-31 04:00:00,90,CPSS
4776,1.4258,1.6,1.47,1.6,1.3617,2020-04-01 04:00:00,31,CPSS
8942,1.2748,1.25,1.22,1.33,1.22,2020-04-02 04:00:00,68,CPSS
30914,1.1803,1.2501,1.13,1.2743,1.1,2020-04-03 04:00:00,168,CPSS
11193,1.2292,1.11,1.23,1.26,1.11,2020-04-06 04:00:00,79,CPSS
