volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
641813,25.0585,24.36,25.51,25.52,24.18,2020-02-20 05:00:00,4796,CRNC
670608,26.2416,25.5,26.53,26.81,24.42,2020-02-21 05:00:00,6022,CRNC
769442,26.0643,25.39,26.65,26.74,24.645,2020-02-24 05:00:00,7497,CRNC
623633,26.4738,26.76,26.46,27.28,26.07,2020-02-25 05:00:00,5603,CRNC
1066030,25.3355,26.32,23.995,26.77,23.94,2020-02-26 05:00:00,7076,CRNC
812054,22.9185,23.26,23.18,24.3463,21.6,2020-02-27 05:00:00,6973,CRNC
593731,22.0117,22.48,21.71,22.915,21.49,2020-02-28 05:00:00,5323,CRNC
428278,22.0444,21.91,22.86,22.87,20.9,2020-03-02 05:00:00,3738,CRNC
306069,23.3823,22.86,23.26,24.1483,22.59,2020-03-03 05:00:00,3426,CRNC
461559,24.4525,23.82,24.89,25.01,23.7,2020-03-04 05:00:00,4573,CRNC
617385,23.0713,24.51,22.14,24.965,21.97,2020-03-05 05:00:00,4570,CRNC
628393,20.9077,21.68,20.51,22.03,20.5,2020-03-06 05:00:00,5970,CRNC
794341,18.5811,18.98,18.22,19.74,17.5,2020-03-09 04:00:00,6599,CRNC
699974,18.9395,18.96,19.16,19.84,18.61,2020-03-10 04:00:00,5644,CRNC
597650,18.4747,19.17,18.61,19.255,17.84,2020-03-11 04:00:00,5657,CRNC
959449,16.1735,17.5,16.51,17.5413,15.78,2020-03-12 04:00:00,7586,CRNC
617458,16.4458,17.58,17.62,18.0287,15.2001,2020-03-13 04:00:00,5766,CRNC
518109,16.9485,15.52,17.01,17.61,15.0,2020-03-16 04:00:00,5527,CRNC
582131,16.1054,17.05,15.77,17.39,15.44,2020-03-17 04:00:00,6347,CRNC
725663,13.8132,15.07,13.45,16.24,11.39,2020-03-18 04:00:00,7039,CRNC
555108,14.0348,13.42,14.54,15.19,12.51,2020-03-19 04:00:00,5688,CRNC
605896,15.2426,14.69,15.6,16.0,14.05,2020-03-20 04:00:00,5250,CRNC
474321,14.5519,15.36,14.21,15.6,13.87,2020-03-23 04:00:00,4927,CRNC
314033,16.2863,15.5,17.12,17.29,14.76,2020-03-24 04:00:00,3709,CRNC
448120,16.9877,17.05,16.38,18.28,15.38,2020-03-25 04:00:00,4598,CRNC
357704,17.622700000000002,16.68,18.53,18.54,16.035,2020-03-26 04:00:00,3784,CRNC
345136,17.6077,17.92,17.51,18.2,16.88,2020-03-27 04:00:00,4300,CRNC
559486,17.9808,17.51,18.27,18.66,16.82,2020-03-30 04:00:00,5355,CRNC
1645664,16.0399,18.31,15.4,19.1,15.4,2020-03-31 04:00:00,5078,CRNC
2106548,18.1033,14.49,18.58,19.2145,14.31,2020-04-01 04:00:00,18029,CRNC
1312057,18.2012,18.71,18.05,19.73,16.91,2020-04-02 04:00:00,13437,CRNC
3172953,16.2613,18.0,15.99,18.19,15.395,2020-04-03 04:00:00,12384,CRNC
677399,17.8756,16.55,18.33,18.79,16.3201,2020-04-06 04:00:00,5835,CRNC
623156,18.2507,18.52,18.04,19.41,17.36,2020-04-07 04:00:00,4618,CRNC
671423,18.648,18.17,18.78,19.07,17.59,2020-04-08 04:00:00,4727,CRNC
971369,18.9966,19.37,18.99,19.84,18.53,2020-04-09 04:00:00,6987,CRNC
664500,19.2951,19.0,19.63,19.91,18.46,2020-04-13 04:00:00,6355,CRNC
977359,20.9655,19.92,21.11,22.08,19.6635,2020-04-14 04:00:00,9045,CRNC
642147,20.1195,20.08,20.32,20.6999,19.54,2020-04-15 04:00:00,7244,CRNC
850055,19.3954,20.21,19.24,20.4,19.03,2020-04-16 04:00:00,7645,CRNC
813881,20.0622,19.68,20.38,20.6,19.39,2020-04-17 04:00:00,8174,CRNC
413782,20.5801,19.75,20.3,21.3,19.74,2020-04-20 04:00:00,4683,CRNC
375522,18.9192,19.78,19.05,20.1398,18.23,2020-04-21 04:00:00,5185,CRNC
262976,18.3932,19.46,18.3,19.53,17.93,2020-04-22 04:00:00,3363,CRNC
343916,18.540399999999998,18.39,18.1,19.31,18.03,2020-04-23 04:00:00,4425,CRNC
223684,18.8108,18.2,19.29,19.41,17.81,2020-04-24 04:00:00,2733,CRNC
226322,20.5959,19.62,21.11,21.24,19.11,2020-04-27 04:00:00,3137,CRNC
312545,20.5539,21.45,20.48,21.46,19.76,2020-04-28 04:00:00,3950,CRNC
539215,22.4955,20.93,22.7,23.16,20.76,2020-04-29 04:00:00,5403,CRNC
385461,21.2466,21.75,21.16,22.13,20.57,2020-04-30 04:00:00,4106,CRNC
631708,20.4981,20.58,20.67,20.77,19.765,2020-05-01 04:00:00,5765,CRNC
305953,20.7844,20.49,20.88,21.08,20.01,2020-05-04 04:00:00,3746,CRNC
333098,20.5887,21.31,20.06,21.64,19.81,2020-05-05 04:00:00,3547,CRNC
