volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
23677714,47.6949,44.0,55.9,56.0,36.15,2020-08-14 04:00:00,218744,CVAC
14221747,76.0478,84.4,77.2,85.0,67.12,2020-08-17 04:00:00,163866,CVAC
4106050,68.8461,72.4165,65.7,73.05,65.09,2020-08-18 04:00:00,46250,CVAC
5240464,59.0516,67.705,56.9,67.99,55.05,2020-08-19 04:00:00,50060,CVAC
7037592,64.4002,63.0,66.0,66.89,60.7,2020-08-20 04:00:00,63836,CVAC
2625442,66.4739,66.9079,67.2,69.7396,63.36,2020-08-21 04:00:00,25346,CVAC
1985412,62.8004,68.97,62.65,69.0,59.1,2020-08-24 04:00:00,20614,CVAC
819684,61.3959,60.66,63.25,63.41,59.22,2020-08-25 04:00:00,8996,CVAC
1005169,60.01,61.35,59.5,62.3,58.75,2020-08-26 04:00:00,11725,CVAC
982910,57.5614,59.5,57.71,59.9,56.0,2020-08-27 04:00:00,9666,CVAC
990943,58.3551,58.0,59.15,60.4399,56.85,2020-08-28 04:00:00,10015,CVAC
1227637,57.0721,60.625,55.08,60.75,55.08,2020-08-31 04:00:00,13481,CVAC
1123401,56.0266,56.81,56.85,57.44,54.14,2020-09-01 04:00:00,11276,CVAC
1656251,57.2945,59.6,58.46,59.76,55.12,2020-09-02 04:00:00,15496,CVAC
904539,57.3164,58.99,56.92,59.0,56.1008,2020-09-03 04:00:00,9883,CVAC
1862241,60.606,60.2482,63.45,64.18,57.05,2020-09-04 04:00:00,19302,CVAC
1412008,58.0304,60.5,56.91,60.5,56.52,2020-09-08 04:00:00,13936,CVAC
916382,56.3636,58.2,55.21,58.5,55.1,2020-09-09 04:00:00,9339,CVAC
851638,55.0291,55.58,54.74,56.5499,54.02,2020-09-10 04:00:00,7643,CVAC
726144,53.0483,54.96,52.68,55.378,51.25,2020-09-11 04:00:00,7269,CVAC
630240,53.5248,53.33,53.13,54.82,52.695,2020-09-14 04:00:00,5296,CVAC
415171,53.9466,54.35,53.86,54.3999,52.68,2020-09-15 04:00:00,4029,CVAC
421420,53.9855,53.94,53.98,54.6,53.2,2020-09-16 04:00:00,4636,CVAC
333064,52.6046,52.75,52.9,53.13,51.62,2020-09-17 04:00:00,3583,CVAC
471019,52.1562,52.13,52.09,53.28,51.66,2020-09-18 04:00:00,4248,CVAC
332296,49.4269,50.0,50.08,50.14,48.01,2020-09-21 04:00:00,4087,CVAC
223890,50.1841,50.25,50.0,50.56,49.79,2020-09-22 04:00:00,2671,CVAC
384953,48.4849,49.81,47.63,50.4195,47.21,2020-09-23 04:00:00,4641,CVAC
619533,44.4229,45.14,43.8,45.8,43.0,2020-09-24 04:00:00,6627,CVAC
484675,44.3128,44.2,44.05,45.8,43.3,2020-09-25 04:00:00,5473,CVAC
455273,46.0985,44.45,45.76,48.0,44.45,2020-09-28 04:00:00,3572,CVAC
327661,46.8122,46.26,45.68,46.9,45.01,2020-09-29 04:00:00,4185,CVAC
823213,47.5567,49.0,46.55,49.83,46.4,2020-09-30 04:00:00,7593,CVAC
550097,47.2134,48.48,47.09,48.7,46.76,2020-10-01 04:00:00,5324,CVAC
431942,47.1074,47.01,47.49,47.88,46.42,2020-10-02 04:00:00,4667,CVAC
554458,49.6056,48.7,50.5,50.6,48.4576,2020-10-05 04:00:00,5293,CVAC
810915,53.833,52.55,53.96,55.0999,52.1,2020-10-06 04:00:00,8182,CVAC
576502,54.9172,53.76,56.46,56.54,52.52,2020-10-07 04:00:00,6319,CVAC
326474,55.6631,56.57,55.42,56.7,55.05,2020-10-08 04:00:00,3484,CVAC
385736,54.476,55.71,54.2,56.29,52.92,2020-10-09 04:00:00,3920,CVAC
350036,54.6056,54.77,54.44,55.72,53.6,2020-10-12 04:00:00,3981,CVAC
279225,54.4619,53.51,54.39,55.35,53.5,2020-10-13 04:00:00,3240,CVAC
213807,54.3539,54.23,53.92,55.4,53.5,2020-10-14 04:00:00,2216,CVAC
246779,52.1278,51.5,52.0,53.19,51.31,2020-10-15 04:00:00,2803,CVAC
220463,52.4729,53.25,52.44,53.65,51.1,2020-10-16 04:00:00,2226,CVAC
304587,53.6251,53.8,53.5,54.8,52.25,2020-10-19 04:00:00,3110,CVAC
211374,52.8571,52.9,52.87,53.59,52.2,2020-10-20 04:00:00,2462,CVAC
456554,49.7699,52.34,49.13,53.13,48.11,2020-10-21 04:00:00,4664,CVAC
365435,48.7913,49.56,49.07,50.5,47.88,2020-10-22 04:00:00,3903,CVAC
688768,50.6387,51.8808,50.03,52.89,49.5,2020-10-23 04:00:00,5896,CVAC
529172,48.7587,50.8,48.66,51.3,47.0,2020-10-26 04:00:00,3813,CVAC
243497,49.7937,49.11,49.89,50.4,48.92,2020-10-27 04:00:00,2368,CVAC
272944,47.0974,47.47,46.76,48.46,46.1211,2020-10-28 04:00:00,2978,CVAC
300893,49.5987,48.99,49.6,50.59,48.33,2020-10-29 04:00:00,3009,CVAC
272083,48.8086,50.05,48.78,50.35,47.79,2020-10-30 04:00:00,2191,CVAC
