volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2856070,27.0627,26.25,28.0,29.0,25.0,2021-06-30 04:00:00,18742,CVRX
552940,25.9945,27.05,26.07,27.62,24.53,2021-07-01 04:00:00,5629,CVRX
195099,25.1089,26.16,25.46,26.285,24.15,2021-07-02 04:00:00,1777,CVRX
387690,24.2107,25.13,22.17,27.42,22.0,2021-07-06 04:00:00,3000,CVRX
120112,21.067,23.0,20.04,24.79,20.01,2021-07-07 04:00:00,2447,CVRX
195576,19.0483,20.0,18.39,21.62,18.19,2021-07-08 04:00:00,1896,CVRX
228331,18.4315,18.85,18.54,21.8,17.75,2021-07-09 04:00:00,2453,CVRX
225097,19.8236,20.1436,20.1,20.4003,19.02,2021-07-12 04:00:00,2519,CVRX
184882,19.4262,19.49,19.86,20.3309,19.0015,2021-07-13 04:00:00,1990,CVRX
96979,20.4966,20.18,20.73,21.22,19.83,2021-07-14 04:00:00,1387,CVRX
196062,20.2959,21.08,19.91,21.08,19.91,2021-07-15 04:00:00,1297,CVRX
206592,19.877,20.14,20.01,20.65,19.39,2021-07-16 04:00:00,1058,CVRX
120068,19.9261,19.63,20.09,21.0782,19.5,2021-07-19 04:00:00,941,CVRX
153462,19.7918,19.81,19.9,21.0495,19.08,2021-07-20 04:00:00,913,CVRX
86863,20.1712,19.73,20.32,20.705,19.71,2021-07-21 04:00:00,632,CVRX
74237,20.0192,20.99,20.33,20.99,19.53,2021-07-22 04:00:00,1102,CVRX
102082,20.0641,20.04,20.22,20.26,19.76,2021-07-23 04:00:00,867,CVRX
150689,19.8232,20.4,19.93,20.4,19.41,2021-07-26 04:00:00,1611,CVRX
95581,19.5427,19.85,19.41,20.1016,19.325,2021-07-27 04:00:00,945,CVRX
144060,19.5241,19.6,19.48,20.37,19.16,2021-07-28 04:00:00,1673,CVRX
74988,19.3915,19.62,19.23,20.03,19.14,2021-07-29 04:00:00,1156,CVRX
50295,19.5517,19.39,19.74,20.0967,19.21,2021-07-30 04:00:00,589,CVRX
226214,21.4947,19.74,22.34,22.88,19.62,2021-08-02 04:00:00,3014,CVRX
86131,22.4974,22.59,22.4,22.87,22.01,2021-08-03 04:00:00,1087,CVRX
120019,22.9701,22.55,22.12,24.24,21.775,2021-08-04 04:00:00,1935,CVRX
221843,20.7914,21.71,21.14,22.0,20.12,2021-08-05 04:00:00,2835,CVRX
120960,21.3773,21.48,21.73,22.22,20.33,2021-08-06 04:00:00,1931,CVRX
103888,20.8685,21.91,20.72,22.51,20.26,2021-08-09 04:00:00,1407,CVRX
92653,20.7947,20.8,20.7,21.98,20.31,2021-08-10 04:00:00,1355,CVRX
104615,20.1444,20.5,20.23,20.91,19.2,2021-08-11 04:00:00,1388,CVRX
88561,19.8706,20.06,20.14,20.43,19.24,2021-08-12 04:00:00,1886,CVRX
119053,19.315,20.3,18.9,20.3,18.86,2021-08-13 04:00:00,1266,CVRX
64071,19.7478,18.85,20.08,20.21,18.85,2021-08-16 04:00:00,1205,CVRX
114086,18.6075,19.99,18.25,20.49,17.84,2021-08-17 04:00:00,1497,CVRX
113682,18.9175,18.261,19.11,19.48,18.261,2021-08-18 04:00:00,1663,CVRX
60054,18.367,19.06,18.02,19.17,17.9,2021-08-19 04:00:00,921,CVRX
38751,18.8821,17.98,18.91,19.24,17.9,2021-08-20 04:00:00,743,CVRX
76183,19.2359,18.75,19.29,19.74,18.54,2021-08-23 04:00:00,1362,CVRX
26853,19.5932,19.32,19.65,19.96,18.705,2021-08-24 04:00:00,529,CVRX
50349,19.8985,19.61,19.9,20.08,19.0,2021-08-25 04:00:00,992,CVRX
128582,19.2453,20.09,18.8,20.15,18.53,2021-08-26 04:00:00,2060,CVRX
72264,18.9423,18.61,19.0,19.29,18.55,2021-08-27 04:00:00,1320,CVRX
63258,19.5773,18.98,19.45,19.91,18.98,2021-08-30 04:00:00,1269,CVRX
60266,19.1324,19.59,19.06,19.8,18.795,2021-08-31 04:00:00,1343,CVRX
59880,19.1336,19.13,19.27,19.51,18.55,2021-09-01 04:00:00,1126,CVRX
116997,18.7365,19.01,18.9,19.05,18.11,2021-09-02 04:00:00,1914,CVRX
112115,18.8904,18.87,18.86,19.03,18.33,2021-09-03 04:00:00,2093,CVRX
184984,19.4942,19.35,19.46,19.74,18.99,2021-09-07 04:00:00,4492,CVRX
99094,18.8992,19.14,18.9,19.5,18.56,2021-09-08 04:00:00,2999,CVRX
130646,18.948900000000002,18.71,18.83,19.31,18.615,2021-09-09 04:00:00,3219,CVRX
58976,18.9044,18.89,18.82,19.29,18.54,2021-09-10 04:00:00,2602,CVRX
101740,18.5706,18.67,18.29,19.0,18.22,2021-09-13 04:00:00,2624,CVRX
105076,18.2484,18.5,17.89,18.64,17.74,2021-09-14 04:00:00,3219,CVRX
399859,16.1016,17.71,15.75,17.985,15.3,2021-09-15 04:00:00,4481,CVRX
268226,15.5767,15.96,15.78,16.49,14.86,2021-09-16 04:00:00,3794,CVRX
1329887,15.3479,15.79,15.17,16.25,15.0,2021-09-17 04:00:00,7853,CVRX
426082,14.5864,14.67,14.65,15.33,14.0,2021-09-20 04:00:00,3898,CVRX
310185,15.6202,14.8,15.77,15.84,14.8,2021-09-21 04:00:00,2558,CVRX
119374,15.7651,15.79,15.74,16.04,15.525,2021-09-22 04:00:00,2849,CVRX
94449,15.5597,15.72,15.53,15.81,15.32,2021-09-23 04:00:00,1065,CVRX
48980,15.9989,15.55,16.19,16.3151,15.32,2021-09-24 04:00:00,723,CVRX
41357,16.222,16.34,16.23,16.47,15.78,2021-09-27 04:00:00,721,CVRX
31428,15.9096,16.11,15.75,16.5,15.6,2021-09-28 04:00:00,812,CVRX
40226,15.4641,15.78,15.48,16.24,15.13,2021-09-29 04:00:00,707,CVRX
84787,16.3811,15.61,16.54,16.61,15.29,2021-09-30 04:00:00,1257,CVRX
58150,16.6811,16.53,16.91,16.98,16.06,2021-10-01 04:00:00,1335,CVRX
37928,16.2414,16.82,16.19,16.9799,16.03,2021-10-04 04:00:00,759,CVRX
81928,16.5527,16.19,16.83,16.83,16.0,2021-10-05 04:00:00,1156,CVRX
101313,16.2831,16.56,16.3,16.74,16.0,2021-10-06 04:00:00,729,CVRX
51900,16.5839,16.4,16.56,17.4,16.07,2021-10-07 04:00:00,852,CVRX
64502,16.3835,16.59,16.52,17.24,16.0,2021-10-08 04:00:00,1168,CVRX
35121,16.0202,16.01,16.06,16.5312,15.55,2021-10-11 04:00:00,802,CVRX
60258,16.0423,16.13,15.99,16.17,15.7698,2021-10-12 04:00:00,768,CVRX
54113,16.0602,16.24,15.95,16.65,15.655,2021-10-13 04:00:00,1101,CVRX
30765,16.0974,16.26,15.9,16.66,15.5403,2021-10-14 04:00:00,517,CVRX
33017,15.7417,16.2,15.66,16.2,15.56,2021-10-15 04:00:00,602,CVRX
27494,15.1789,15.68,15.11,15.6915,15.0,2021-10-18 04:00:00,503,CVRX
28979,15.711,15.13,15.96,16.0,15.13,2021-10-19 04:00:00,713,CVRX
43041,15.9396,15.92,15.97,16.015,15.65,2021-10-20 04:00:00,948,CVRX
11411,15.7229,15.86,15.65,16.01,15.55,2021-10-21 04:00:00,317,CVRX
22331,15.5037,15.69,15.61,15.695,15.28,2021-10-22 04:00:00,518,CVRX
39339,16.0115,15.56,16.07,16.7387,15.53,2021-10-25 04:00:00,559,CVRX
125012,16.3481,15.99,17.19,17.19,15.79,2021-10-26 04:00:00,1212,CVRX
19589,16.8845,17.0,16.91,17.123,16.75,2021-10-27 04:00:00,453,CVRX
66535,17.1004,16.91,17.12,17.29,16.9,2021-10-28 04:00:00,1416,CVRX
26496,16.9106,16.91,16.91,17.07,16.74,2021-10-29 04:00:00,662,CVRX
46929,16.926,17.01,17.04,17.13,16.7,2021-11-01 04:00:00,642,CVRX
37097,17.3885,17.04,17.68,18.29,16.55,2021-11-02 04:00:00,691,CVRX
49591,17.8127,17.81,17.75,18.71,17.56,2021-11-03 04:00:00,1133,CVRX
72324,16.9703,17.8,16.97,18.13,16.66,2021-11-04 04:00:00,1194,CVRX
109672,18.2059,17.26,18.6,19.0257,16.845,2021-11-05 04:00:00,1754,CVRX
92207,18.7958,18.75,18.61,19.2,18.11,2021-11-08 05:00:00,1193,CVRX
31042,18.3172,18.61,18.48,19.21,17.84,2021-11-09 05:00:00,709,CVRX
33954,18.3636,18.33,18.54,19.0,17.96,2021-11-10 05:00:00,520,CVRX
19895,18.4669,18.8,18.56,18.8,17.885,2021-11-11 05:00:00,953,CVRX
25952,18.5791,18.49,18.48,18.82,18.0799,2021-11-12 05:00:00,663,CVRX
53947,18.3549,18.71,18.43,19.49,18.0,2021-11-15 05:00:00,1449,CVRX
120687,16.6154,18.29,16.2,18.29,16.16,2021-11-16 05:00:00,1663,CVRX
175647,14.8957,16.21,15.01,16.22,14.0,2021-11-17 05:00:00,2630,CVRX
128944,14.3384,14.91,14.34,16.61,13.64,2021-11-18 05:00:00,1934,CVRX
109347,13.3265,14.37,13.22,14.37,12.78,2021-11-19 05:00:00,1698,CVRX
132948,13.7687,13.57,13.68,15.39,13.37,2021-11-22 05:00:00,2167,CVRX
98172,13.3722,13.82,13.29,13.82,12.96,2021-11-23 05:00:00,1439,CVRX
108059,13.1844,13.42,13.21,13.93,12.8,2021-11-24 05:00:00,1148,CVRX
57202,12.838,13.12,12.95,13.39,12.5,2021-11-26 05:00:00,966,CVRX
171454,12.0634,12.98,11.95,13.935,11.62,2021-11-29 05:00:00,1994,CVRX
180675,11.6797,12.0,11.58,12.845,11.53,2021-11-30 05:00:00,2093,CVRX
80912,11.4622,12.12,11.26,12.125,11.12,2021-12-01 05:00:00,1491,CVRX
90332,11.3926,11.25,11.53,11.63,11.13,2021-12-02 05:00:00,1297,CVRX
103101,11.2031,11.6,11.28,12.75,10.76,2021-12-03 05:00:00,1619,CVRX
244347,10.7104,11.22,11.19,11.27,10.11,2021-12-06 05:00:00,2473,CVRX
85631,11.8434,11.16,11.86,12.3,11.16,2021-12-07 05:00:00,1305,CVRX
61966,11.7305,11.93,11.75,12.1614,11.38,2021-12-08 05:00:00,977,CVRX
49636,11.3095,11.61,11.29,11.65,11.0001,2021-12-09 05:00:00,981,CVRX
68328,10.9504,11.44,10.99,11.44,10.75,2021-12-10 05:00:00,925,CVRX
81782,11.7124,11.45,11.7,12.08,11.03,2021-12-13 05:00:00,1531,CVRX
65704,11.7065,11.98,11.55,12.03,11.27,2021-12-14 05:00:00,1247,CVRX
128866,11.2622,11.86,11.25,11.86,10.81,2021-12-15 05:00:00,1264,CVRX
184305,10.8665,11.55,10.65,11.77,10.5,2021-12-16 05:00:00,2776,CVRX
333610,10.7514,10.76,10.71,11.35,10.385,2021-12-17 05:00:00,1888,CVRX
