volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
12476953,14.6154,14.6,14.625,14.7,14.48,2020-02-20 05:00:00,23804,CZR
13210247,14.4836,14.6,14.495,14.65,14.415,2020-02-21 05:00:00,26971,CZR
7532377,14.1442,14.26,14.02,14.31,14.005,2020-02-24 05:00:00,29525,CZR
24950495,13.5633,14.06,13.31,14.09,13.28,2020-02-25 05:00:00,56657,CZR
25192954,13.0303,13.39,12.95,13.5,12.74,2020-02-26 05:00:00,65153,CZR
51741499,12.8385,12.78,12.75,13.15,12.59,2020-02-27 05:00:00,92697,CZR
52489137,12.6851,12.56,12.71,12.85,12.5,2020-02-28 05:00:00,101294,CZR
44313225,12.2965,12.71,12.4,12.79,12.04,2020-03-02 05:00:00,82806,CZR
30532977,12.2438,12.38,11.97,12.67,11.96,2020-03-03 05:00:00,74775,CZR
49180164,11.9294,12.1,11.945,12.17,11.83,2020-03-04 05:00:00,99516,CZR
40066456,11.4687,11.77,11.25,11.82,11.2,2020-03-05 05:00:00,68556,CZR
34694144,11.0729,11.1,11.09,11.41,10.81,2020-03-06 05:00:00,83874,CZR
39709626,10.3305,10.2,10.04,10.65,9.98,2020-03-09 04:00:00,90305,CZR
28327725,10.4873,10.38,10.68,10.68,10.23,2020-03-10 04:00:00,70007,CZR
41217222,10.0137,10.45,9.8,10.45,9.71,2020-03-11 04:00:00,91766,CZR
41329091,8.2104,9.0,7.89,9.16,7.77,2020-03-12 04:00:00,118656,CZR
38606431,8.1327,8.3,8.49,8.61,7.87,2020-03-13 04:00:00,98100,CZR
36075263,6.2793,7.2,6.08,7.25,5.45,2020-03-16 04:00:00,142849,CZR
51779379,4.4844,6.23,5.1,6.25,3.23,2020-03-17 04:00:00,193215,CZR
39174307,3.7881,4.345,3.52,4.79,3.22,2020-03-18 04:00:00,150280,CZR
32823601,4.6323,3.54,5.02,5.12,3.4,2020-03-19 04:00:00,96613,CZR
41125442,5.836,5.22,5.45,6.73,5.15,2020-03-20 04:00:00,143756,CZR
33372459,5.7737,5.59,6.03,6.47,5.11,2020-03-23 04:00:00,101687,CZR
25143005,6.4337,6.92,6.18,6.99,6.01,2020-03-24 04:00:00,108901,CZR
24066963,6.9882,6.25,7.13,7.47,6.13,2020-03-25 04:00:00,98412,CZR
20462097,7.4105,7.33,7.04,7.985,6.79,2020-03-26 04:00:00,75273,CZR
15231262,6.8263,6.78,6.85,7.1,6.5512,2020-03-27 04:00:00,55108,CZR
20631508,6.371,6.55,6.42,6.62,5.99,2020-03-30 04:00:00,83355,CZR
35127850,6.7321,6.33,6.76,7.51,6.3,2020-03-31 04:00:00,81871,CZR
14256816,6.6493,6.5,6.63,6.9,6.37,2020-04-01 04:00:00,67575,CZR
12134447,6.447,6.58,6.46,6.74,6.22,2020-04-02 04:00:00,39479,CZR
15835193,6.3655,6.49,6.28,6.57,6.265,2020-04-03 04:00:00,61544,CZR
21936057,6.7972,6.74,7.01,7.02,6.6,2020-04-06 04:00:00,67771,CZR
16335000,7.5543,7.75,7.345,8.05,7.27,2020-04-07 04:00:00,57388,CZR
19569961,7.5114,7.45,7.44,7.755,7.295,2020-04-08 04:00:00,58306,CZR
16120937,7.896,7.85,7.93,8.2,7.54,2020-04-09 04:00:00,60996,CZR
9013467,7.8083,7.93,7.88,7.97,7.54,2020-04-13 04:00:00,31805,CZR
9548009,8.0317,8.09,8.05,8.11,7.94,2020-04-14 04:00:00,29883,CZR
15791538,7.5616,7.6,7.57,7.86,7.18,2020-04-15 04:00:00,43961,CZR
8815125,7.6089,7.63,7.7,7.7258,7.4,2020-04-16 04:00:00,28355,CZR
18324906,7.9995,8.1,8.13,8.17,7.73,2020-04-17 04:00:00,52904,CZR
17174828,8.1042,7.9,8.03,8.25,7.8100000000000005,2020-04-20 04:00:00,49323,CZR
19857651,7.8942,7.8100000000000005,7.9,8.015,7.73,2020-04-21 04:00:00,26212,CZR
11491457,7.9435,8.14,8.05,8.15,7.84,2020-04-22 04:00:00,28962,CZR
7857931,8.0555,8.14,8.065,8.15,7.955,2020-04-23 04:00:00,25752,CZR
24950520,8.66,8.4,8.87,9.04,8.32,2020-04-24 04:00:00,83320,CZR
19969368,9.2002,9.08,9.24,9.3,8.87,2020-04-27 04:00:00,76753,CZR
14047763,9.5187,9.76,9.485,9.77,9.325,2020-04-28 04:00:00,52504,CZR
17280682,9.799900000000001,9.71,9.805,9.91,9.58,2020-04-29 04:00:00,57704,CZR
17652399,9.6732,9.58,9.66,9.83,9.52,2020-04-30 04:00:00,55333,CZR
16528691,9.3612,9.48,9.34,9.52,9.275,2020-05-01 04:00:00,43245,CZR
19310178,9.4294,9.2,9.49,9.57,9.04,2020-05-04 04:00:00,40097,CZR
9564485,9.4182,9.65,9.4,9.66,9.32,2020-05-05 04:00:00,31147,CZR
10636806,9.4354,9.46,9.34,9.58,9.34,2020-05-06 04:00:00,31733,CZR
15382088,9.4596,9.37,9.48,9.56,9.36,2020-05-07 04:00:00,45942,CZR
12909578,9.6769,9.56,9.7,9.735,9.51,2020-05-08 04:00:00,40508,CZR
11556444,9.6386,9.54,9.67,9.725,9.51,2020-05-11 04:00:00,43788,CZR
29808919,10.0791,9.8,9.96,10.29,9.8,2020-05-12 04:00:00,110148,CZR
19067768,9.7411,9.95,9.605,10.01,9.505,2020-05-13 04:00:00,42612,CZR
13275968,9.742,9.414,9.86,9.92,9.41,2020-05-14 04:00:00,44760,CZR
12476727,10.0285,9.76,10.03,10.15,9.74,2020-05-15 04:00:00,34511,CZR
12551690,10.4469,10.33,10.475,10.505,10.26,2020-05-18 04:00:00,31728,CZR
9738008,10.6113,10.44,10.51,10.77,10.375,2020-05-19 04:00:00,33743,CZR
20271013,10.8908,10.77,10.925,10.965,10.69,2020-05-20 04:00:00,34357,CZR
14376836,10.9869,10.9,11.01,11.05,10.805,2020-05-21 04:00:00,36820,CZR
8472305,11.0749,10.98,11.11,11.25,10.89,2020-05-22 04:00:00,30744,CZR
8701594,11.3995,11.59,11.39,11.67,11.26,2020-05-26 04:00:00,27607,CZR
16450021,11.5199,11.52,11.59,11.67,11.1803,2020-05-27 04:00:00,38440,CZR
8139451,11.4918,11.57,11.37,11.63,11.31,2020-05-28 04:00:00,25467,CZR
10222276,11.3323,11.25,11.39,11.45,11.19,2020-05-29 04:00:00,29083,CZR
10757485,11.4612,11.38,11.48,11.56,11.3,2020-06-01 04:00:00,44976,CZR
9532256,11.4057,11.6,11.36,11.62,11.28,2020-06-02 04:00:00,41627,CZR
13335198,11.687100000000001,11.5,11.76,11.85,11.43,2020-06-03 04:00:00,46203,CZR
18512991,12.0541,12.0,12.18,12.21,11.71,2020-06-04 04:00:00,65508,CZR
14196628,12.3538,12.5,12.2,12.64,12.09,2020-06-05 04:00:00,60937,CZR
12661954,12.3543,12.4,12.39,12.41,12.26,2020-06-08 04:00:00,42292,CZR
9060236,12.161200000000001,12.11,12.14,12.25,12.04,2020-06-09 04:00:00,37697,CZR
11059917,11.863,12.0,11.89,12.08,11.47,2020-06-10 04:00:00,48849,CZR
17252947,11.4128,11.37,11.22,11.61,11.18,2020-06-11 04:00:00,71401,CZR
12099100,11.4592,11.7,11.57,11.73,11.28,2020-06-12 04:00:00,52642,CZR
14739048,11.6511,11.25,11.71,11.8175,11.18,2020-06-15 04:00:00,42986,CZR
25024764,12.0504,12.06,12.06,12.18,11.92,2020-06-16 04:00:00,59075,CZR
24295439,12.3057,12.15,12.32,12.4675,12.11,2020-06-17 04:00:00,52037,CZR
11275414,12.1982,12.23,12.12,12.3,12.12,2020-06-18 04:00:00,37964,CZR
20168984,12.285,12.29,12.28,12.43,12.15,2020-06-19 04:00:00,46846,CZR
23394250,12.0915,12.21,12.09,12.28,11.99,2020-06-22 04:00:00,49179,CZR
9701963,12.351,12.19,12.45,12.46,12.16,2020-06-23 04:00:00,33605,CZR
20030178,12.1128,12.27,12.05,12.335,12.015,2020-06-24 04:00:00,34758,CZR
18362527,11.924,11.99,11.95,12.1275,11.75,2020-06-25 04:00:00,48088,CZR
22311128,11.8247,11.94,11.75,12.145,11.66,2020-06-26 04:00:00,48601,CZR
10649627,11.9936,11.8,12.07,12.14,11.645,2020-06-29 04:00:00,27160,CZR
