volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
172266,9.5468,11.0,9.22,11.0,9.2047,2022-01-14 05:00:00,834,DCFC
269019,9.2455,9.2,9.0,9.65,8.96,2022-01-18 05:00:00,1704,DCFC
274184,8.0058,8.9,8.01,9.0,7.68,2022-01-19 05:00:00,2135,DCFC
454368,7.3507,8.0,7.05,8.055,6.7808,2022-01-20 05:00:00,3620,DCFC
314723,7.1589,6.9,7.25,7.7,6.8201,2022-01-21 05:00:00,2172,DCFC
182318,7.2903,7.25,7.49,7.64,7.01,2022-01-24 05:00:00,1480,DCFC
172587,8.0364,7.8,7.99,8.49,7.415,2022-01-25 05:00:00,1413,DCFC
288816,7.7891,8.16,7.74,8.2998,7.61,2022-01-26 05:00:00,1416,DCFC
161406,7.9828,8.12,8.09,8.12,7.75,2022-01-27 05:00:00,1231,DCFC
184241,7.4925,8.2,7.32,8.2,7.01,2022-01-28 05:00:00,2238,DCFC
258701,7.7889,7.53,7.84,8.23,7.3667,2022-01-31 05:00:00,2253,DCFC
256320,7.4357,7.86,7.22,8.05,7.21,2022-02-01 05:00:00,2024,DCFC
214658,6.7291,7.25,6.5,7.35,6.42,2022-02-02 05:00:00,2543,DCFC
140826,6.65,6.5,6.61,6.8562,6.5,2022-02-03 05:00:00,1351,DCFC
148768,6.6821,6.65,6.71,6.93,6.5600000000000005,2022-02-04 05:00:00,1745,DCFC
70127,6.7946,6.78,6.84,7.0,6.71,2022-02-07 05:00:00,1228,DCFC
30503214,9.955,7.89,9.54,11.9,6.85,2022-02-08 05:00:00,139268,DCFC
106210037,16.0049,13.59,15.7,19.75,12.21,2022-02-09 05:00:00,554531,DCFC
12594698,13.7223,13.69,13.33,14.9464,12.73,2022-02-10 05:00:00,70423,DCFC
11961731,12.3641,14.58,10.24,14.6,10.1,2022-02-11 05:00:00,81525,DCFC
5656226,9.5343,9.81,9.4,10.15,8.88,2022-02-14 05:00:00,28205,DCFC
5880522,9.8212,10.0748,9.38,10.27,9.22,2022-02-15 05:00:00,30844,DCFC
1713236,9.2741,9.41,9.18,9.59,9.13,2022-02-16 05:00:00,11302,DCFC
1952696,8.6524,9.18,8.35,9.2,8.24,2022-02-17 05:00:00,9743,DCFC
