volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3174347,28.4138,28.62,28.6,28.71,28.06,2020-02-20 05:00:00,30792,DISCK
3064908,28.1621,28.47,27.93,28.55,27.86,2020-02-21 05:00:00,26925,DISCK
3799373,27.1228,27.39,27.13,27.43,26.79,2020-02-24 05:00:00,34263,DISCK
4088315,26.4461,27.18,26.3,27.29,25.89,2020-02-25 05:00:00,38509,DISCK
4065103,25.769,26.52,25.42,26.54,25.35,2020-02-26 05:00:00,34727,DISCK
6890924,23.7882,24.59,23.79,24.59,23.0,2020-02-27 05:00:00,51292,DISCK
10139378,24.4654,23.29,25.1,25.11,23.11,2020-02-28 05:00:00,83185,DISCK
5632892,24.6122,24.86,25.17,25.18,24.02,2020-03-02 05:00:00,48159,DISCK
5791911,25.0623,24.96,25.08,25.73,24.605,2020-03-03 05:00:00,53682,DISCK
6980914,25.0521,25.27,25.11,25.33,24.65,2020-03-04 05:00:00,48578,DISCK
6427873,24.0059,24.39,23.82,24.75,23.665,2020-03-05 05:00:00,54478,DISCK
6457605,23.8251,23.2,24.07,24.27,22.96,2020-03-06 05:00:00,55960,DISCK
6472279,22.825,22.51,22.54,23.4,22.48,2020-03-09 04:00:00,63710,DISCK
7273621,23.2923,23.01,23.82,23.825,22.57,2020-03-10 04:00:00,68665,DISCK
5529776,23.0924,23.13,22.99,23.65,22.79,2020-03-11 04:00:00,57418,DISCK
4369451,20.7079,21.86,21.19,21.86,19.86,2020-03-12 04:00:00,35331,DISCK
4141041,20.974,22.28,21.285,22.86,19.8101,2020-03-13 04:00:00,31416,DISCK
4458005,18.9544,19.83,18.9,20.09,18.23,2020-03-16 04:00:00,35613,DISCK
3923448,19.0399,19.32,19.53,19.7,18.0,2020-03-17 04:00:00,43785,DISCK
3999617,17.1239,18.68,17.64,18.72,15.77,2020-03-18 04:00:00,37444,DISCK
4787069,18.5228,17.13,18.89,19.25,17.0,2020-03-19 04:00:00,45975,DISCK
6226294,17.8829,19.15,16.87,19.7,16.7,2020-03-20 04:00:00,47547,DISCK
4076839,16.0714,16.66,16.46,16.74,15.43,2020-03-23 04:00:00,36655,DISCK
5148739,18.1505,17.32,18.08,18.835,17.01,2020-03-24 04:00:00,51528,DISCK
