volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
410,3.6912000000000003,3.6931000000000003,3.6931000000000003,3.6931000000000003,3.6931000000000003,2020-02-20 05:00:00,6,ELSE
3653,3.6922,3.69,3.7,3.7,3.69,2020-02-21 05:00:00,18,ELSE
618,3.6524,3.641,3.641,3.641,3.641,2020-02-26 05:00:00,8,ELSE
3321,3.6631,3.64,3.66,3.6683,3.6310000000000002,2020-02-28 05:00:00,9,ELSE
1897,3.6814999999999998,3.7199999999999998,3.68,3.7199999999999998,3.68,2020-03-02 05:00:00,8,ELSE
1109,3.6541,3.66,3.66,3.66,3.66,2020-03-04 05:00:00,10,ELSE
2200,3.6193,3.63,3.62,3.6401,3.6,2020-03-06 05:00:00,12,ELSE
6406,3.4615,3.6,3.43,3.6,3.2800000000000002,2020-03-09 04:00:00,43,ELSE
320,3.5192,3.59,3.4855,3.59,3.4855,2020-03-11 04:00:00,9,ELSE
9022,3.209,3.38,3.25,3.38,3.1,2020-03-12 04:00:00,41,ELSE
3603,3.2056,3.41,3.14,3.41,3.14,2020-03-13 04:00:00,17,ELSE
504,3.1109,3.12,3.1,3.12,3.1,2020-03-16 04:00:00,27,ELSE
582,2.9967,2.9239,3.05,3.07,2.9239,2020-03-18 04:00:00,26,ELSE
2488,2.7066,2.69,2.69,2.69,2.69,2020-03-20 04:00:00,10,ELSE
1166,2.7248,2.69,2.84,2.84,2.69,2020-03-23 04:00:00,18,ELSE
4758,2.9901,2.95,2.99,2.999,2.95,2020-03-24 04:00:00,27,ELSE
2692,2.9723,2.99,3.0,3.0,2.7869,2020-03-25 04:00:00,27,ELSE
638,2.9372,2.948,2.948,2.948,2.948,2020-03-26 04:00:00,12,ELSE
1122,2.8589,2.7837,2.87,2.87,2.7513,2020-03-27 04:00:00,40,ELSE
1100,2.9755000000000003,2.981,2.981,2.981,2.981,2020-03-30 04:00:00,8,ELSE
427,2.9839,2.98,2.98,2.98,2.98,2020-03-31 04:00:00,5,ELSE
102,2.9682,2.9699999999999998,2.9699999999999998,2.9699999999999998,2.9699999999999998,2020-04-01 04:00:00,3,ELSE
977,2.9210000000000003,2.96,2.88,2.96,2.88,2020-04-02 04:00:00,15,ELSE
7300,2.661,2.88,2.63,2.88,2.61,2020-04-03 04:00:00,42,ELSE
894,2.9696,2.99,3.0,3.0,2.91,2020-04-06 04:00:00,29,ELSE
330,2.9169,2.8827,2.8827,2.8827,2.8827,2020-04-08 04:00:00,9,ELSE
6951,2.9861,2.999,3.0,3.0,2.9343,2020-04-09 04:00:00,27,ELSE
1219,3.0758,3.06,3.06,3.06,3.06,2020-04-13 04:00:00,6,ELSE
4824,3.2033,3.1,3.216,3.216,3.1,2020-04-14 04:00:00,20,ELSE
2268,3.2537000000000003,3.2500999999999998,3.25,3.2500999999999998,3.25,2020-04-15 04:00:00,11,ELSE
421,3.2614,3.1443,3.29,3.29,3.1443,2020-04-16 04:00:00,6,ELSE
2233,3.3054,3.29,3.307,3.3135,3.29,2020-04-23 04:00:00,12,ELSE
213,3.2113,3.15,3.2800000000000002,3.2800000000000002,3.15,2020-04-24 04:00:00,4,ELSE
2147,3.2596,3.2800000000000002,3.26,3.2800000000000002,3.25,2020-04-27 04:00:00,11,ELSE
1230,3.2491,3.0935,3.2559,3.27,3.0935,2020-04-28 04:00:00,4,ELSE
5222,3.2089,3.1685,3.2,3.24,3.1618,2020-04-29 04:00:00,32,ELSE
407,3.2121,3.225,3.2,3.225,3.2,2020-05-01 04:00:00,5,ELSE
1656,3.2905,3.24,3.41,3.41,3.23,2020-05-04 04:00:00,18,ELSE
1628,3.1113,3.22,3.05,3.22,3.05,2020-05-07 04:00:00,20,ELSE
1092,3.2566,3.25,3.25,3.25,3.25,2020-05-11 04:00:00,6,ELSE
272,3.524,3.6,3.6,3.6,3.6,2020-05-18 04:00:00,10,ELSE
698,3.609,3.65,3.65,3.65,3.65,2020-05-19 04:00:00,14,ELSE
339,3.52,3.64,3.6,3.64,3.6,2020-05-20 04:00:00,9,ELSE
1149,3.3781,3.22,3.49,3.64,3.2108,2020-05-22 04:00:00,20,ELSE
17095,3.2477,3.3103,3.2787,3.35,3.21,2020-05-26 04:00:00,110,ELSE
3941,3.3062,3.2701000000000002,3.2701000000000002,3.2701000000000002,3.2701000000000002,2020-05-27 04:00:00,27,ELSE
2488,3.3344,3.3201,3.32,3.3201,3.32,2020-05-28 04:00:00,13,ELSE
670,3.4925,3.5700000000000003,3.5,3.5700000000000003,3.5,2020-05-29 04:00:00,13,ELSE
1566,3.2532,3.19,3.2800000000000002,3.36,3.19,2020-06-01 04:00:00,16,ELSE
912,3.4362,3.58,3.56,3.58,3.3632,2020-06-02 04:00:00,17,ELSE
1347,3.4091,3.6,3.4027,3.6,3.24,2020-06-03 04:00:00,27,ELSE
3933,3.2168,3.3,3.3433,3.3433,3.1,2020-06-04 04:00:00,38,ELSE
2059,3.4241,3.3,3.43,3.44,3.3,2020-06-08 04:00:00,16,ELSE
135,3.4473000000000003,3.46,3.46,3.46,3.46,2020-06-09 04:00:00,8,ELSE
1177,3.5181,3.5303,3.4995,3.5303,3.4995,2020-06-12 04:00:00,6,ELSE
4835,3.2695,3.2601,3.302,3.302,3.26,2020-06-15 04:00:00,37,ELSE
522,3.5445,3.55,3.55,3.55,3.55,2020-06-16 04:00:00,8,ELSE
5456,3.4407,3.368,3.5418000000000003,3.55,3.368,2020-06-17 04:00:00,29,ELSE
59318,3.8467000000000002,3.5175,3.8799,4.095,3.5175,2020-06-18 04:00:00,331,ELSE
15082,3.6609,3.9,3.64,4.0,3.5,2020-06-19 04:00:00,123,ELSE
8656,3.6401,3.5700000000000003,3.5576,3.79,3.52,2020-06-22 04:00:00,86,ELSE
3067,3.5786,3.5700000000000003,3.635,3.635,3.56,2020-06-23 04:00:00,29,ELSE
7669,3.5838,3.68,3.62,3.68,3.56,2020-06-24 04:00:00,57,ELSE
297,3.4799,3.5,3.5,3.5,3.5,2020-06-25 04:00:00,14,ELSE
8921,3.4087,3.35,3.415,3.4624,3.35,2020-06-26 04:00:00,47,ELSE
890,3.416,3.3501,3.36,3.48,3.3501,2020-06-29 04:00:00,18,ELSE
1653,3.4664,3.3601,3.48,3.48,3.3601,2020-06-30 04:00:00,12,ELSE
583,3.5249,3.6388,3.3101000000000003,3.6388,3.3101000000000003,2020-07-01 04:00:00,6,ELSE
1890,3.5159000000000002,3.4,3.561,3.59,3.4,2020-07-02 04:00:00,20,ELSE
2543,3.5025,3.3401,3.54,3.56,3.3401,2020-07-06 04:00:00,15,ELSE
3574,3.6174,3.59,3.6,3.65,3.5389,2020-07-07 04:00:00,38,ELSE
1845,3.6651,3.7,3.6,3.7,3.6,2020-07-08 04:00:00,19,ELSE
2111,3.6217,3.54,3.6,3.69,3.54,2020-07-09 04:00:00,16,ELSE
3020,3.6668000000000003,3.6550000000000002,3.64,3.69,3.64,2020-07-10 04:00:00,30,ELSE
2901,3.6132,3.618,3.6,3.6225,3.6,2020-07-13 04:00:00,20,ELSE
586,3.6431,3.656,3.656,3.656,3.656,2020-07-14 04:00:00,7,ELSE
