volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
18795,4.0533,4.0026,4.09,4.1261,4.0026,2020-02-20 05:00:00,97,ELTK
26875,4.1227,4.12,4.1,4.23,4.0578,2020-02-21 05:00:00,204,ELTK
54167,4.0032,4.15,4.0,4.17,3.81,2020-02-24 05:00:00,218,ELTK
21096,3.9657999999999998,4.06,3.96,4.06,3.8601,2020-02-25 05:00:00,137,ELTK
27728,3.8695,3.89,3.88,3.941,3.8237,2020-02-26 05:00:00,177,ELTK
40342,3.7891,3.89,3.66,3.89,3.66,2020-02-27 05:00:00,307,ELTK
58788,3.4017,3.51,3.34,3.5175,3.23,2020-02-28 05:00:00,255,ELTK
15175,3.4747,3.5300000000000002,3.5,3.6432,3.3578,2020-03-02 05:00:00,80,ELTK
20673,3.4112999999999998,3.464,3.51,3.5844,3.26,2020-03-03 05:00:00,151,ELTK
9429,3.4657,3.4401,3.47,3.5166,3.3659,2020-03-04 05:00:00,81,ELTK
28241,3.3701,3.5,3.3,3.5,3.2800000000000002,2020-03-05 05:00:00,132,ELTK
38443,3.2549,3.27,3.2800000000000002,3.29,3.24,2020-03-06 05:00:00,127,ELTK
65531,2.8254,3.21,2.7199999999999998,3.2899,2.6301,2020-03-09 04:00:00,221,ELTK
17992,2.8557,2.98,2.83,2.98,2.73,2020-03-10 04:00:00,129,ELTK
10854,2.8599,2.8,2.8,3.0588,2.8,2020-03-11 04:00:00,75,ELTK
21958,2.6489000000000003,2.7203,2.54,2.8435,2.5,2020-03-12 04:00:00,113,ELTK
13494,2.4906,2.48,2.49,2.63,2.48,2020-03-13 04:00:00,111,ELTK
36042,2.4943,2.5300000000000002,2.33,2.61,2.33,2020-03-16 04:00:00,256,ELTK
31085,2.4655,2.6,2.54,2.6,2.2800000000000002,2020-03-17 04:00:00,129,ELTK
38654,2.5417,2.54,2.48,2.573,2.48,2020-03-18 04:00:00,112,ELTK
102039,2.7953,2.48,2.99,3.17,2.45,2020-03-19 04:00:00,405,ELTK
50760,3.1742,3.16,2.92,3.27,2.8415,2020-03-20 04:00:00,187,ELTK
16049,2.9692,2.88,3.05,3.155,2.8449999999999998,2020-03-23 04:00:00,89,ELTK
32212,3.3188,3.2342,3.4,3.54,3.09,2020-03-24 04:00:00,218,ELTK
6090,3.4254,3.4232,3.47,3.59,3.35,2020-03-25 04:00:00,53,ELTK
3984,3.6017,3.5726,3.63,3.64,3.54,2020-03-26 04:00:00,42,ELTK
9171,3.5559000000000003,3.56,3.6094,3.64,3.51,2020-03-27 04:00:00,67,ELTK
19019,3.6754,3.7,3.61,3.815,3.61,2020-03-30 04:00:00,111,ELTK
13552,3.5273,3.6096,3.54,3.6099,3.485,2020-03-31 04:00:00,85,ELTK
8065,3.4939999999999998,3.51,3.47,3.54,3.46,2020-04-01 04:00:00,29,ELTK
3065,3.52,3.5,3.6,3.6,3.4777,2020-04-02 04:00:00,39,ELTK
3128,3.5412,3.55,3.52,3.5606,3.52,2020-04-03 04:00:00,35,ELTK
4121,3.5689,3.56,3.59,3.59,3.56,2020-04-06 04:00:00,37,ELTK
39745,3.6816,3.61,3.63,3.998,3.592,2020-04-07 04:00:00,206,ELTK
22194,3.8753,3.76,3.96,3.96,3.76,2020-04-08 04:00:00,136,ELTK
83862,4.1286,4.02,4.32,4.32,3.911,2020-04-09 04:00:00,387,ELTK
39590,4.3256,4.32,4.35,4.45,4.17,2020-04-13 04:00:00,289,ELTK
30171,4.2109,4.4272,4.23,4.4272,4.1,2020-04-14 04:00:00,175,ELTK
13784,4.0952,4.1435,4.14,4.22,3.94,2020-04-15 04:00:00,99,ELTK
4408,4.2456,4.2359,4.23,4.29,4.21,2020-04-16 04:00:00,45,ELTK
