volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
523611,10.8028,10.5,10.59,10.85,10.325,2020-11-17 05:00:00,2604,EOSE
2869460,11.9599,11.3,12.14,12.5,11.26,2020-11-18 05:00:00,13759,EOSE
1897833,12.8048,12.56,12.6,13.47,12.29,2020-11-19 05:00:00,8210,EOSE
2066832,13.7536,12.98,14.07,14.46,12.9235,2020-11-20 05:00:00,9631,EOSE
2146576,15.2045,14.65,15.45,16.11,14.355,2020-11-23 05:00:00,12053,EOSE
2280328,14.938,16.09,14.13,16.28,13.65,2020-11-24 05:00:00,13830,EOSE
2068199,15.1156,14.5,15.0,15.83,14.3,2020-11-25 05:00:00,13228,EOSE
1367394,15.3021,15.84,14.99,15.98,14.7172,2020-11-27 05:00:00,9605,EOSE
1145259,14.782,15.15,15.07,15.4281,13.82,2020-11-30 05:00:00,7257,EOSE
1724733,14.0405,14.97,13.77,15.229800000000001,13.26,2020-12-01 05:00:00,11284,EOSE
981104,13.6353,13.6263,13.81,14.5,12.825,2020-12-02 05:00:00,7573,EOSE
889614,14.2578,13.87,14.45,15.0,13.55,2020-12-03 05:00:00,6516,EOSE
994210,14.3475,15.02,14.56,15.11,13.65,2020-12-04 05:00:00,7923,EOSE
1132526,15.0795,14.98,15.35,15.55,14.7,2020-12-07 05:00:00,10192,EOSE
1204868,14.5288,14.89,14.43,15.13,13.86,2020-12-08 05:00:00,8244,EOSE
1283540,15.1097,15.18,14.66,16.24,14.11,2020-12-09 05:00:00,9045,EOSE
757631,15.068,14.97,15.4,15.47,14.44,2020-12-10 05:00:00,6073,EOSE
725340,14.8718,15.06,14.65,15.3,14.45,2020-12-11 05:00:00,5321,EOSE
460549,14.4313,14.65,14.63,14.96,14.02,2020-12-14 05:00:00,3615,EOSE
630303,14.719100000000001,14.55,14.78,15.0,14.33,2020-12-15 05:00:00,5374,EOSE
802133,14.6378,14.63,14.62,15.13,14.42,2020-12-16 05:00:00,4675,EOSE
718790,14.5125,14.41,14.56,14.7239,14.15,2020-12-17 05:00:00,4084,EOSE
858387,14.4117,14.56,14.56,14.73,13.91,2020-12-18 05:00:00,5230,EOSE
