volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4895630,8.9318,8.98,8.93,8.99,8.855,2020-02-20 05:00:00,13631,ERIC
5269462,8.912700000000001,8.95,8.91,8.965,8.87,2020-02-21 05:00:00,12721,ERIC
7035671,8.5842,8.51,8.59,8.67,8.48,2020-02-24 05:00:00,19500,ERIC
8402686,8.4411,8.62,8.35,8.62,8.3,2020-02-25 05:00:00,27768,ERIC
18943144,8.5156,8.41,8.47,8.82,8.33,2020-02-26 05:00:00,44368,ERIC
10160874,8.2433,8.26,8.15,8.37,8.1142,2020-02-27 05:00:00,26241,ERIC
11808785,7.9036,7.89,8.04,8.05,7.77,2020-02-28 05:00:00,33495,ERIC
10196795,8.0233,8.06,8.08,8.12,7.91,2020-03-02 05:00:00,22628,ERIC
8865763,8.0691,8.16,7.95,8.27,7.875,2020-03-03 05:00:00,25745,ERIC
4128997,8.0374,8.03,8.12,8.13,7.95,2020-03-04 05:00:00,13745,ERIC
5837386,7.8628,7.87,7.84,7.95,7.79,2020-03-05 05:00:00,18585,ERIC
10537672,7.6168,7.61,7.61,7.72,7.51,2020-03-06 05:00:00,28464,ERIC
10841934,7.2257,7.16,7.11,7.42,7.0841,2020-03-09 04:00:00,27762,ERIC
20980385,7.3686,7.51,7.47,7.52,7.21,2020-03-10 04:00:00,46032,ERIC
7960750,7.2074,7.37,7.12,7.4,7.02,2020-03-11 04:00:00,24375,ERIC
9319083,6.3612,6.58,6.22,6.59,6.16,2020-03-12 04:00:00,27432,ERIC
11422384,6.7447,6.99,6.96,7.04,6.4523,2020-03-13 04:00:00,32954,ERIC
7565386,6.3633,6.245,6.17,6.59,6.15,2020-03-16 04:00:00,25108,ERIC
7639304,6.7686,6.7,6.86,6.95,6.545,2020-03-17 04:00:00,28531,ERIC
9963030,6.763,6.68,6.78,7.06,6.505,2020-03-18 04:00:00,38841,ERIC
13110008,7.0919,6.8100000000000005,7.11,7.28,6.75,2020-03-19 04:00:00,50705,ERIC
9337992,7.0919,7.1,6.95,7.27,6.92,2020-03-20 04:00:00,40353,ERIC
11035330,6.8653,7.0,6.79,7.12,6.75,2020-03-23 04:00:00,31727,ERIC
7623115,7.3293,7.3,7.46,7.48,7.18,2020-03-24 04:00:00,24194,ERIC
10484723,7.4131,7.33,7.43,7.6,7.14,2020-03-25 04:00:00,29554,ERIC
6827752,7.4953,7.29,7.6,7.6,7.29,2020-03-26 04:00:00,23394,ERIC
11201886,7.3989,7.36,7.4,7.57,7.235,2020-03-27 04:00:00,25513,ERIC
9853723,7.7909,7.62,7.93,7.95,7.55,2020-03-30 04:00:00,33303,ERIC
13319716,8.0962,7.87,8.09,8.29,7.84,2020-03-31 04:00:00,38953,ERIC
8389072,7.8227,7.8100000000000005,7.77,7.96,7.73,2020-04-01 04:00:00,26614,ERIC
9466175,7.8522,7.8,7.93,7.9350000000000005,7.7,2020-04-02 04:00:00,22938,ERIC
5915226,7.7089,7.73,7.72,7.805,7.615,2020-04-03 04:00:00,16994,ERIC
6099892,7.8804,7.82,7.97,8.01,7.77,2020-04-06 04:00:00,19547,ERIC
5843439,7.9037,8.02,7.8,8.03,7.79,2020-04-07 04:00:00,18227,ERIC
4804484,8.0698,8.14,8.07,8.1491,8.015,2020-04-08 04:00:00,16698,ERIC
3597144,8.1236,8.08,8.12,8.2,8.03,2020-04-09 04:00:00,12999,ERIC
3045088,8.023,8.13,8.04,8.14,7.94,2020-04-13 04:00:00,13641,ERIC
4691861,8.2649,8.22,8.28,8.315,8.19,2020-04-14 04:00:00,14581,ERIC
6404594,8.1428,8.23,8.11,8.23,8.04,2020-04-15 04:00:00,17638,ERIC
9876363,8.316,8.24,8.37,8.44,8.15,2020-04-16 04:00:00,24879,ERIC
10187028,8.655,8.61,8.72,8.73,8.54,2020-04-17 04:00:00,26368,ERIC
8840345,8.5518,8.52,8.5,8.64,8.47,2020-04-20 04:00:00,24669,ERIC
11110275,8.1731,8.26,8.16,8.3,8.05,2020-04-21 04:00:00,28223,ERIC
13729951,8.4109,8.53,8.4,8.54,8.33,2020-04-22 04:00:00,31492,ERIC
6759073,8.3048,8.29,8.26,8.39,8.22,2020-04-23 04:00:00,21893,ERIC
7700151,8.0782,8.18,8.09,8.19,8.0,2020-04-24 04:00:00,21023,ERIC
4779794,8.2553,8.2,8.28,8.3,8.19,2020-04-27 04:00:00,17801,ERIC
9030499,8.2625,8.39,8.18,8.39,8.17,2020-04-28 04:00:00,25204,ERIC
8504807,8.4117,8.39,8.45,8.46,8.33,2020-04-29 04:00:00,17360,ERIC
4313577,8.4684,8.55,8.46,8.5831,8.38,2020-04-30 04:00:00,14619,ERIC
5806047,8.3152,8.3472,8.32,8.4166,8.22,2020-05-01 04:00:00,20647,ERIC
4246837,8.243,8.25,8.27,8.3,8.19,2020-05-04 04:00:00,11774,ERIC
3423822,8.3261,8.3,8.3,8.36,8.28,2020-05-05 04:00:00,11514,ERIC
6031519,8.284,8.37,8.24,8.3875,8.23,2020-05-06 04:00:00,13279,ERIC
3552726,8.301,8.29,8.32,8.34,8.24,2020-05-07 04:00:00,10344,ERIC
10722618,8.5099,8.53,8.5,8.55,8.4401,2020-05-08 04:00:00,17450,ERIC
5914697,8.4688,8.49,8.44,8.52,8.43,2020-05-11 04:00:00,13751,ERIC
8219192,8.6476,8.67,8.54,8.71,8.54,2020-05-12 04:00:00,17433,ERIC
5021110,8.3541,8.5,8.29,8.51,8.23,2020-05-13 04:00:00,15227,ERIC
5206558,8.0477,7.99,8.13,8.14,7.945,2020-05-14 04:00:00,15424,ERIC
9511992,8.355,8.22,8.42,8.42,8.22,2020-05-15 04:00:00,25474,ERIC
9242778,8.5808,8.5,8.64,8.66,8.46,2020-05-18 04:00:00,20456,ERIC
5305859,8.6421,8.61,8.59,8.69,8.59,2020-05-19 04:00:00,14033,ERIC
5502364,8.6478,8.66,8.65,8.72,8.61,2020-05-20 04:00:00,17761,ERIC
3584724,8.662700000000001,8.66,8.63,8.77,8.595,2020-05-21 04:00:00,12482,ERIC
6751959,8.8059,8.7,8.88,8.93,8.64,2020-05-22 04:00:00,15024,ERIC
4280314,8.87,8.89,8.81,8.925,8.81,2020-05-26 04:00:00,12573,ERIC
6210184,8.7411,8.72,8.78,8.8,8.65,2020-05-27 04:00:00,16183,ERIC
5019197,8.9983,8.95,8.96,9.09,8.93,2020-05-28 04:00:00,15467,ERIC
5962627,9.0746,9.14,9.14,9.15,8.995,2020-05-29 04:00:00,18020,ERIC
5012549,9.2386,9.2,9.27,9.285,9.165,2020-06-01 04:00:00,15837,ERIC
10546131,9.4383,9.31,9.54,9.55,9.3,2020-06-02 04:00:00,26784,ERIC
19572169,9.7681,9.57,9.84,9.88,9.57,2020-06-03 04:00:00,41703,ERIC
12431939,9.6944,9.65,9.67,9.765,9.64,2020-06-04 04:00:00,28451,ERIC
8579050,9.6504,9.64,9.62,9.725,9.59,2020-06-05 04:00:00,23259,ERIC
16132802,9.406,9.4,9.48,9.48,9.33,2020-06-08 04:00:00,30438,ERIC
9592101,9.3352,9.34,9.34,9.375,9.28,2020-06-09 04:00:00,26112,ERIC
9596081,9.4361,9.41,9.46,9.55,9.33,2020-06-10 04:00:00,22051,ERIC
13403793,8.9583,9.18,8.76,9.18,8.73,2020-06-11 04:00:00,36469,ERIC
9472249,8.9869,9.09,8.94,9.14,8.835,2020-06-12 04:00:00,26245,ERIC
9801399,8.9575,8.86,9.03,9.09,8.8,2020-06-15 04:00:00,24591,ERIC
7322015,9.1826,9.22,9.17,9.27,9.03,2020-06-16 04:00:00,19799,ERIC
6637569,9.2532,9.25,9.26,9.31,9.18,2020-06-17 04:00:00,18508,ERIC
7237938,9.12,9.14,9.14,9.16,9.07,2020-06-18 04:00:00,18171,ERIC
4362481,9.1065,9.25,9.06,9.25,9.015,2020-06-19 04:00:00,15000,ERIC
6144933,9.1853,9.18,9.2,9.24,9.105,2020-06-22 04:00:00,16477,ERIC
5500306,9.259,9.28,9.19,9.3,9.19,2020-06-23 04:00:00,15566,ERIC
7167658,9.0485,9.09,9.03,9.1378,8.98,2020-06-24 04:00:00,17336,ERIC
20226482,9.3203,9.03,9.51,9.56,8.95,2020-06-25 04:00:00,45591,ERIC
18063864,9.3059,9.31,9.27,9.43,9.21,2020-06-26 04:00:00,34298,ERIC
9190814,9.2361,9.25,9.24,9.285,9.16,2020-06-29 04:00:00,22240,ERIC
11470314,9.2306,9.12,9.3,9.31,9.11,2020-06-30 04:00:00,26459,ERIC
8174424,9.2742,9.24,9.29,9.33,9.2,2020-07-01 04:00:00,18979,ERIC
12762376,9.3516,9.32,9.31,9.42,9.29,2020-07-02 04:00:00,29205,ERIC
24544925,9.889,9.74,9.93,10.0,9.71,2020-07-06 04:00:00,48413,ERIC
16547644,9.5312,9.53,9.44,9.63,9.42,2020-07-07 04:00:00,32307,ERIC
13203503,9.5508,9.55,9.54,9.605,9.51,2020-07-08 04:00:00,27746,ERIC
13073066,9.3743,9.47,9.38,9.5,9.26,2020-07-09 04:00:00,32083,ERIC
7310496,9.4043,9.46,9.41,9.49,9.34,2020-07-10 04:00:00,17380,ERIC
10787717,9.5022,9.56,9.31,9.62,9.3,2020-07-13 04:00:00,23651,ERIC
13617256,9.5645,9.55,9.59,9.6699,9.5,2020-07-14 04:00:00,29456,ERIC
15712486,9.7211,9.83,9.67,9.84,9.6,2020-07-15 04:00:00,33024,ERIC
9605446,9.6456,9.6701,9.62,9.73,9.57,2020-07-16 04:00:00,23904,ERIC
30918111,10.8418,10.65,10.89,10.99,10.6378,2020-07-17 04:00:00,74432,ERIC
24260803,11.4163,11.14,11.59,11.62,11.14,2020-07-20 04:00:00,60369,ERIC
18410352,11.7042,11.67,11.72,11.81,11.54,2020-07-21 04:00:00,42173,ERIC
16195662,11.7599,11.59,11.81,11.93,11.58,2020-07-22 04:00:00,37797,ERIC
15746283,11.7125,11.83,11.61,11.87,11.485,2020-07-23 04:00:00,34200,ERIC
9354015,11.3845,11.44,11.39,11.46,11.31,2020-07-24 04:00:00,28310,ERIC
9118571,11.6669,11.55,11.69,11.72,11.53,2020-07-27 04:00:00,25509,ERIC
8375943,11.524000000000001,11.55,11.47,11.6,11.46,2020-07-28 04:00:00,22341,ERIC
9976670,11.5519,11.46,11.58,11.61,11.44,2020-07-29 04:00:00,20263,ERIC
8989400,11.4183,11.41,11.54,11.56,11.28,2020-07-30 04:00:00,24565,ERIC
11284972,11.555,11.68,11.55,11.68,11.43,2020-07-31 04:00:00,27459,ERIC
11272254,11.7484,11.61,11.77,11.82,11.6,2020-08-03 04:00:00,27543,ERIC
9051204,11.6899,11.64,11.74,11.76,11.61,2020-08-04 04:00:00,19611,ERIC
6893353,11.7148,11.7033,11.69,11.775,11.67,2020-08-05 04:00:00,20061,ERIC
5418862,11.6522,11.62,11.71,11.73,11.57,2020-08-06 04:00:00,16219,ERIC
5947221,11.6338,11.61,11.63,11.7,11.56,2020-08-07 04:00:00,18877,ERIC
6313193,11.6312,11.6514,11.63,11.72,11.58,2020-08-10 04:00:00,16780,ERIC
13989613,11.7757,11.69,11.69,11.965,11.62,2020-08-11 04:00:00,37706,ERIC
9935115,11.8813,11.76,11.93,11.99,11.725,2020-08-12 04:00:00,27608,ERIC
6975611,11.8842,11.89,11.88,11.955,11.82,2020-08-13 04:00:00,18346,ERIC
10563800,11.5661,11.62,11.56,11.66,11.51,2020-08-14 04:00:00,25477,ERIC
6753679,11.6576,11.68,11.63,11.72,11.59,2020-08-17 04:00:00,16779,ERIC
6879280,11.6501,11.63,11.68,11.69,11.575,2020-08-18 04:00:00,20077,ERIC
4909700,11.6961,11.8164,11.6,11.85,11.59,2020-08-19 04:00:00,14956,ERIC
6412503,11.5224,11.43,11.53,11.6,11.38,2020-08-20 04:00:00,18065,ERIC
5769841,11.3753,11.34,11.4,11.435,11.3,2020-08-21 04:00:00,18211,ERIC
8918683,11.5373,11.55,11.56,11.6,11.48,2020-08-24 04:00:00,17011,ERIC
6883490,11.6569,11.67,11.69,11.7064,11.57,2020-08-25 04:00:00,15858,ERIC
14680902,11.9014,11.87,12.01,12.01,11.82,2020-08-26 04:00:00,23228,ERIC
14376507,11.9229,12.02,11.85,12.1,11.83,2020-08-27 04:00:00,28161,ERIC
6267228,11.7194,11.81,11.71,11.81,11.67,2020-08-28 04:00:00,15585,ERIC
6944363,11.6649,11.74,11.65,11.76,11.59,2020-08-31 04:00:00,18176,ERIC
8913109,11.564,11.72,11.52,11.72,11.49,2020-09-01 04:00:00,20156,ERIC
9237987,11.6074,11.7,11.68,11.71,11.51,2020-09-02 04:00:00,18856,ERIC
20656792,11.1733,11.49,11.13,11.5,11.02,2020-09-03 04:00:00,38566,ERIC
11435417,11.1776,11.26,11.26,11.32,10.92,2020-09-04 04:00:00,29451,ERIC
15166550,10.9535,10.91,10.86,11.09,10.85,2020-09-08 04:00:00,34373,ERIC
8840859,11.1326,11.11,11.14,11.22,11.03,2020-09-09 04:00:00,20640,ERIC
9958669,10.95,11.05,10.85,11.09,10.82,2020-09-10 04:00:00,21761,ERIC
5938290,10.9076,10.96,10.9,10.995,10.81,2020-09-11 04:00:00,19032,ERIC
6080715,10.899000000000001,10.95,10.87,10.98,10.825,2020-09-14 04:00:00,17152,ERIC
5975849,10.9576,11.05,10.93,11.06,10.89,2020-09-15 04:00:00,14368,ERIC
4798298,10.9391,11.005,10.87,11.0215,10.855,2020-09-16 04:00:00,12882,ERIC
5244277,10.971,10.9,11.03,11.04,10.875,2020-09-17 04:00:00,14889,ERIC
11182629,11.1473,11.27,11.15,11.28,11.025,2020-09-18 04:00:00,24014,ERIC
10625127,10.6994,10.83,10.75,10.86,10.6,2020-09-21 04:00:00,22552,ERIC
6245706,10.8115,10.86,10.87,10.87,10.75,2020-09-22 04:00:00,15804,ERIC
6175366,10.6995,10.8,10.58,10.8399,10.55,2020-09-23 04:00:00,16936,ERIC
6935048,10.4696,10.47,10.49,10.54,10.375,2020-09-24 04:00:00,19174,ERIC
7766532,10.3926,10.37,10.48,10.48,10.3,2020-09-25 04:00:00,17546,ERIC
6771589,10.6745,10.65,10.71,10.715,10.63,2020-09-28 04:00:00,15279,ERIC
5528639,10.862,10.82,10.88,10.92,10.81,2020-09-29 04:00:00,13294,ERIC
5665791,10.9298,10.97,10.89,11.015,10.85,2020-09-30 04:00:00,15031,ERIC
6537212,10.7037,10.77,10.72,10.8,10.64,2020-10-01 04:00:00,19590,ERIC
5451639,10.5998,10.52,10.61,10.655,10.5,2020-10-02 04:00:00,14424,ERIC
4362498,10.7457,10.76,10.77,10.79,10.7,2020-10-05 04:00:00,14742,ERIC
4972198,10.7394,10.84,10.67,10.855,10.62,2020-10-06 04:00:00,16146,ERIC
5990623,10.6457,10.66,10.65,10.7,10.61,2020-10-07 04:00:00,17894,ERIC
5180376,10.7549,10.8,10.79,10.8,10.71,2020-10-08 04:00:00,14724,ERIC
4633664,10.8762,10.89,10.87,10.9299,10.84,2020-10-09 04:00:00,13693,ERIC
7169230,10.8645,10.91,10.86,10.93,10.82,2020-10-12 04:00:00,20772,ERIC
8288522,10.776299999999999,10.85,10.73,10.87,10.7,2020-10-13 04:00:00,19507,ERIC
7771599,10.7957,10.75,10.82,10.84,10.73,2020-10-14 04:00:00,17932,ERIC
