volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
18115,8.4977,8.6846,8.55,8.6846,8.47,2020-02-20 05:00:00,227,ESCA
11280,8.8079,8.62,8.95,8.95,8.6,2020-02-21 05:00:00,171,ESCA
17572,8.7153,8.6718,8.77,9.09,8.46,2020-02-24 05:00:00,224,ESCA
33536,8.5371,8.7,8.5,8.89,8.41,2020-02-25 05:00:00,424,ESCA
25290,8.7132,8.56,9.01,9.26,8.39,2020-02-26 05:00:00,311,ESCA
37957,8.656600000000001,8.83,8.61,9.2,8.36,2020-02-27 05:00:00,384,ESCA
23557,8.4492,8.5908,8.49,8.7202,8.3,2020-02-28 05:00:00,269,ESCA
23811,8.4212,8.55,8.52,8.55,8.33,2020-03-02 05:00:00,489,ESCA
48766,8.2972,8.47,8.01,8.66,7.7486,2020-03-03 05:00:00,506,ESCA
47394,7.7845,8.83,7.75,8.83,7.5,2020-03-04 05:00:00,375,ESCA
15029,7.629,7.74,7.62,8.11,7.39,2020-03-05 05:00:00,296,ESCA
36672,7.3818,7.34,7.32,7.74,7.26,2020-03-06 05:00:00,565,ESCA
35206,6.9067,7.27,7.08,7.5354,6.6556,2020-03-09 04:00:00,394,ESCA
30620,6.8098,6.95,6.84,7.09,6.6098,2020-03-10 04:00:00,425,ESCA
48658,6.4046,6.75,6.41,6.88,6.085,2020-03-11 04:00:00,449,ESCA
34924,6.166,6.2713,6.16,6.59,5.96,2020-03-12 04:00:00,520,ESCA
30574,6.9284,5.93,7.26,7.33,5.93,2020-03-13 04:00:00,383,ESCA
78961,6.8355,7.31,6.1,7.94,5.75,2020-03-16 04:00:00,973,ESCA
40084,6.795,6.71,7.3,7.3,6.16,2020-03-17 04:00:00,671,ESCA
38391,6.405,6.78,6.36,6.82,6.08,2020-03-18 04:00:00,644,ESCA
31279,6.1411,6.275,6.18,6.73,5.76,2020-03-19 04:00:00,414,ESCA
43769,5.958,6.03,6.0,6.2081,5.65,2020-03-20 04:00:00,333,ESCA
19886,5.7717,5.77,5.89,6.33,5.5,2020-03-23 04:00:00,269,ESCA
48792,6.1581,5.8,6.4,6.4599,5.6346,2020-03-24 04:00:00,440,ESCA
12125,6.4249,6.21,6.5,6.5,6.03,2020-03-25 04:00:00,183,ESCA
30396,6.3401,6.43,6.27,6.73,5.99,2020-03-26 04:00:00,313,ESCA
30522,5.9002,6.4425,5.68,6.4425,5.68,2020-03-27 04:00:00,468,ESCA
49418,5.9658,5.53,6.1,6.3253,5.53,2020-03-30 04:00:00,444,ESCA
47181,5.8492,5.91,5.95,6.297,5.63,2020-03-31 04:00:00,541,ESCA
55405,5.378,5.77,5.12,5.78,5.12,2020-04-01 04:00:00,565,ESCA
32570,5.1399,4.99,5.45,5.5702,4.99,2020-04-02 04:00:00,479,ESCA
40380,4.8052,5.015,4.75,5.1021,4.69,2020-04-03 04:00:00,398,ESCA
24268,5.2503,5.04,5.43,5.43,4.9,2020-04-06 04:00:00,248,ESCA
26906,5.4429,5.5,5.51,5.65,5.132,2020-04-07 04:00:00,314,ESCA
26240,5.6227,5.49,5.8,5.9,5.32,2020-04-08 04:00:00,331,ESCA
35333,6.1148,5.99,6.2,6.2994,5.83,2020-04-09 04:00:00,353,ESCA
43269,6.2027,6.22,6.31,6.59,5.7,2020-04-13 04:00:00,387,ESCA
25157,6.2598,6.7282,6.03,6.7282,5.84,2020-04-14 04:00:00,305,ESCA
34417,5.9546,6.05,6.08,6.25,5.52,2020-04-15 04:00:00,381,ESCA
71014,6.7699,6.99,6.95,6.99,6.66,2020-04-16 04:00:00,820,ESCA
29730,7.256,7.0,7.35,7.41,7.0,2020-04-17 04:00:00,351,ESCA
45311,7.568,7.35,7.73,7.905,7.35,2020-04-20 04:00:00,434,ESCA
31383,7.5135000000000005,7.49,7.63,7.7,7.36,2020-04-21 04:00:00,412,ESCA
35972,7.5615,7.75,7.5600000000000005,7.75,7.41,2020-04-22 04:00:00,310,ESCA
35746,7.3438,7.379,7.34,7.495,7.25,2020-04-23 04:00:00,400,ESCA
15252,7.4411000000000005,7.4,7.55,7.6,7.31,2020-04-24 04:00:00,181,ESCA
47242,7.643,7.6,7.54,7.75,7.45,2020-04-27 04:00:00,323,ESCA
48567,7.5903,7.74,7.61,7.78,7.43,2020-04-28 04:00:00,342,ESCA
46709,8.454,7.97,8.95,8.95,7.71,2020-04-29 04:00:00,546,ESCA
23311,8.6807,8.94,8.55,9.0,8.37,2020-04-30 04:00:00,318,ESCA
28920,7.8034,8.27,7.8,8.27,7.5100999999999996,2020-05-01 04:00:00,357,ESCA
17332,7.7506,7.87,7.79,8.1,7.65,2020-05-04 04:00:00,210,ESCA
30943,7.5674,7.8,7.41,7.8,7.41,2020-05-05 04:00:00,439,ESCA
27539,7.6401,7.6,7.65,7.7296,7.54,2020-05-06 04:00:00,356,ESCA
40470,7.9392,7.79,8.07,8.2152,7.64,2020-05-07 04:00:00,446,ESCA
30617,8.204,8.27,8.22,8.5,8.0,2020-05-08 04:00:00,321,ESCA
51544,8.9165,8.35,9.0,9.24,8.31,2020-05-11 04:00:00,469,ESCA
38620,8.7075,9.11,8.51,9.11,8.465,2020-05-12 04:00:00,442,ESCA
38900,8.5806,8.38,8.65,8.7799,8.37,2020-05-13 04:00:00,401,ESCA
29152,8.6006,8.51,8.85,8.85,8.5,2020-05-14 04:00:00,429,ESCA
137960,8.803,9.05,8.79,9.8,8.5,2020-05-15 04:00:00,1021,ESCA
59975,8.9363,9.2,8.94,9.41,8.76,2020-05-18 04:00:00,650,ESCA
27806,8.8512,8.88,8.77,8.99,8.75,2020-05-19 04:00:00,257,ESCA
47853,9.0918,8.97,9.17,9.24,8.96,2020-05-20 04:00:00,354,ESCA
68288,9.4787,9.224,9.59,9.66,9.07,2020-05-21 04:00:00,398,ESCA
30315,9.6679,9.67,9.72,9.95,9.5017,2020-05-22 04:00:00,308,ESCA
51153,10.0657,9.99,10.35,10.45,9.5,2020-05-26 04:00:00,462,ESCA
45172,10.3945,10.7,10.25,10.72,10.2,2020-05-27 04:00:00,457,ESCA
39451,10.5224,10.54,10.16,10.85,10.16,2020-05-28 04:00:00,495,ESCA
29814,9.953,10.03,10.08,10.28,9.75,2020-05-29 04:00:00,328,ESCA
59621,10.614,10.07,10.73,10.9,10.07,2020-06-01 04:00:00,470,ESCA
38730,10.9767,10.78,11.16,11.19,10.71,2020-06-02 04:00:00,393,ESCA
43111,11.4168,11.23,11.59,11.59,10.75,2020-06-03 04:00:00,1014,ESCA
52975,11.6698,11.54,11.51,11.98,11.41,2020-06-04 04:00:00,787,ESCA
56017,11.8519,11.75,11.67,12.105,11.56,2020-06-05 04:00:00,542,ESCA
18379,12.2007,12.02,12.18,12.3399,12.02,2020-06-08 04:00:00,284,ESCA
30673,12.1439,11.99,12.37,12.5,11.67,2020-06-09 04:00:00,515,ESCA
28597,12.0845,12.37,11.89,12.53,11.8,2020-06-10 04:00:00,388,ESCA
53991,11.0202,11.67,10.93,11.67,10.66,2020-06-11 04:00:00,638,ESCA
20843,10.7559,11.49,10.48,11.49,10.22,2020-06-12 04:00:00,449,ESCA
