volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3301448,38.9373,38.41,39.02,39.305,38.29,2020-02-20 05:00:00,27202,FAST
4124085,38.877,38.84,38.86,39.18,38.45,2020-02-21 05:00:00,28811,FAST
3934852,37.7236,38.05,37.76,38.39,37.245,2020-02-24 05:00:00,33800,FAST
5998205,36.6511,37.98,36.16,38.18,35.97,2020-02-25 05:00:00,47372,FAST
4487946,36.2518,36.67,35.96,36.83,35.89,2020-02-26 05:00:00,40712,FAST
8835246,35.7033,35.37,35.02,36.45,34.76,2020-02-27 05:00:00,76610,FAST
8622870,34.052,33.81,34.22,34.84,33.491,2020-02-28 05:00:00,75250,FAST
7077862,34.4816,34.33,35.18,35.19,33.31,2020-03-02 05:00:00,64433,FAST
6747302,34.8148,34.84,34.39,36.39,34.18,2020-03-03 05:00:00,62632,FAST
4983813,35.2073,34.98,35.535,35.59,34.335,2020-03-04 05:00:00,40647,FAST
8820390,35.1502,34.55,34.84,36.05,34.48,2020-03-05 05:00:00,69653,FAST
7757543,33.8611,33.5,34.16,34.29,33.32,2020-03-06 05:00:00,70715,FAST
12393027,31.4991,31.87,31.19,32.84,30.611,2020-03-09 04:00:00,102110,FAST
7310564,32.6727,32.22,33.6,33.62,31.3,2020-03-10 04:00:00,62488,FAST
10915878,32.9752,32.47,32.93,33.67,32.32,2020-03-11 04:00:00,106524,FAST
9929308,31.1124,30.54,30.87,32.84,29.79,2020-03-12 04:00:00,82735,FAST
9208765,32.7437,32.8,34.09,34.15,31.21,2020-03-13 04:00:00,84404,FAST
9546481,32.1135,30.51,31.72,33.98,30.0,2020-03-16 04:00:00,75993,FAST
8386559,33.6158,32.38,34.51,35.13,32.035,2020-03-17 04:00:00,82312,FAST
10310247,32.977,32.74,33.45,34.8,31.385,2020-03-18 04:00:00,92979,FAST
9348359,33.1807,33.41,32.3,35.46,32.0,2020-03-19 04:00:00,70069,FAST
9568549,30.1479,32.36,28.74,32.38,28.47,2020-03-20 04:00:00,78690,FAST
6272293,28.2187,30.0,28.18,30.0,26.715,2020-03-23 04:00:00,53786,FAST
7600396,30.6954,29.03,31.37,31.48,29.03,2020-03-24 04:00:00,54220,FAST
7079068,30.8063,30.77,30.23,31.8,29.81,2020-03-25 04:00:00,56860,FAST
7146990,31.4766,30.32,32.31,32.545,29.46,2020-03-26 04:00:00,58425,FAST
6463515,31.0205,31.17,31.04,31.795,30.19,2020-03-27 04:00:00,54876,FAST
5540675,31.7146,31.08,31.8,32.23,30.8,2020-03-30 04:00:00,49558,FAST
7565980,31.3626,31.45,31.25,32.28,30.96,2020-03-31 04:00:00,54797,FAST
4805411,30.5673,30.17,30.61,31.0,29.92,2020-04-01 04:00:00,48161,FAST
7237540,30.6488,30.73,30.65,31.305,30.17,2020-04-02 04:00:00,58688,FAST
4624725,30.4417,30.5,30.48,31.34,30.005,2020-04-03 04:00:00,42202,FAST
6151899,31.9261,31.44,32.18,32.31,31.13,2020-04-06 04:00:00,45075,FAST
6400300,32.4424,32.04,32.01,33.65,31.93,2020-04-07 04:00:00,58070,FAST
4478465,32.2416,32.42,32.49,32.67,31.64,2020-04-08 04:00:00,39437,FAST
6021537,33.2824,32.74,33.62,33.71,32.55,2020-04-09 04:00:00,53144,FAST
5085370,32.2963,32.61,32.27,33.42,31.87,2020-04-13 04:00:00,40410,FAST
7107587,34.2225,34.43,34.54,35.168,32.82,2020-04-14 04:00:00,51130,FAST
4962937,34.3566,34.15,34.56,34.81,33.72,2020-04-15 04:00:00,41161,FAST
6096964,35.1315,34.78,35.43,35.52,34.175,2020-04-16 04:00:00,46301,FAST
5018648,35.9411,36.3108,35.93,36.92,35.39,2020-04-17 04:00:00,39222,FAST
3786320,35.2811,35.55,34.92,35.92,34.89,2020-04-20 04:00:00,36022,FAST
4809711,34.3526,34.49,34.14,34.815,33.96,2020-04-21 04:00:00,38740,FAST
3479581,34.7571,34.75,34.84,35.06,34.395,2020-04-22 04:00:00,28261,FAST
3958192,35.093,34.77,34.92,35.56,34.68,2020-04-23 04:00:00,35005,FAST
3448527,35.6053,35.15,36.03,36.14,34.84,2020-04-24 04:00:00,26468,FAST
3874009,36.7672,36.11,36.845,37.075,36.085,2020-04-27 04:00:00,30065,FAST
4371013,37.1578,37.28,36.96,37.97,36.805,2020-04-28 04:00:00,34515,FAST
4362479,36.8484,37.0,36.74,37.54,36.45,2020-04-29 04:00:00,35309,FAST
5533282,36.1688,36.47,36.22,36.79,35.88,2020-04-30 04:00:00,32999,FAST
3423257,35.6758,35.79,35.7,36.045,35.37,2020-05-01 04:00:00,28424,FAST
2930167,35.6097,35.53,35.85,35.88,35.165,2020-05-04 04:00:00,26799,FAST
4044975,36.7724,36.27,36.63,37.16,36.08,2020-05-05 04:00:00,29663,FAST
5307837,37.728,37.21,37.85,38.05,37.02,2020-05-06 04:00:00,43097,FAST
4392187,38.1774,38.13,38.18,38.61,37.745,2020-05-07 04:00:00,33769,FAST
3231128,38.7968,38.43,39.05,39.11,38.43,2020-05-08 04:00:00,25471,FAST
3418044,39.4775,38.47,39.74,39.88,38.47,2020-05-11 04:00:00,27794,FAST
3842980,39.2913,39.8,38.82,39.96,38.82,2020-05-12 04:00:00,29394,FAST
4332617,38.3578,38.71,38.34,39.24,37.79,2020-05-13 04:00:00,38580,FAST
4612400,38.228,38.1,38.68,38.745,37.715,2020-05-14 04:00:00,41558,FAST
5147271,38.7882,38.3,38.92,39.115,38.05,2020-05-15 04:00:00,34658,FAST
6948559,39.5234,40.0,39.07,40.46,38.94,2020-05-18 04:00:00,54220,FAST
4261134,38.9357,39.0,38.56,39.34,38.545,2020-05-19 04:00:00,38136,FAST
3205113,39.1927,39.05,39.09,39.58,38.83,2020-05-20 04:00:00,27140,FAST
3017457,38.769,39.17,38.71,39.17,38.52,2020-05-21 04:00:00,27982,FAST
1966975,38.6631,38.62,38.68,38.92,38.5,2020-05-22 04:00:00,19368,FAST
6224029,39.7859,39.07,39.72,40.21,38.88,2020-05-26 04:00:00,47119,FAST
5329697,39.9962,39.93,40.54,40.56,39.325,2020-05-27 04:00:00,39661,FAST
3704071,40.5468,40.68,40.38,40.92,40.15,2020-05-28 04:00:00,26802,FAST
5958662,40.9686,40.39,41.26,41.45,40.34,2020-05-29 04:00:00,38019,FAST
2783019,40.8807,41.38,40.66,41.38,40.535,2020-06-01 04:00:00,29905,FAST
3863584,41.0093,40.97,41.19,41.22,40.645,2020-06-02 04:00:00,29939,FAST
3760945,41.8639,41.48,42.06,42.27,41.07,2020-06-03 04:00:00,34890,FAST
4377473,41.8096,41.92,41.7,42.71,41.33,2020-06-04 04:00:00,42418,FAST
6166455,42.4344,42.06,42.66,42.885,41.78,2020-06-05 04:00:00,52480,FAST
4388132,42.8747,42.38,42.88,43.19,42.15,2020-06-08 04:00:00,38762,FAST
3280384,42.7832,42.31,42.86,43.12,42.22,2020-06-09 04:00:00,32940,FAST
3439505,42.683,43.0,42.49,43.2,42.335,2020-06-10 04:00:00,30399,FAST
3806295,41.1381,42.03,40.64,42.09,40.59,2020-06-11 04:00:00,37061,FAST
4193494,40.1191,41.48,40.06,41.48,39.35,2020-06-12 04:00:00,37716,FAST
4988330,40.2195,39.64,40.71,40.73,39.15,2020-06-15 04:00:00,45461,FAST
4674116,41.7722,41.8,41.81,42.0867,40.91,2020-06-16 04:00:00,39492,FAST
3116558,42.1006,42.04,42.06,42.37,41.7,2020-06-17 04:00:00,26155,FAST
3085745,42.0283,41.88,41.99,42.285,41.61,2020-06-18 04:00:00,25223,FAST
7914527,41.7261,42.41,41.585,42.65,41.29,2020-06-19 04:00:00,36042,FAST
2648049,41.8906,41.5,41.98,42.21,41.07,2020-06-22 04:00:00,25304,FAST
3017681,42.406,42.93,42.225,42.93,42.205,2020-06-23 04:00:00,29098,FAST
3490338,41.5756,41.77,41.34,42.25,41.29,2020-06-24 04:00:00,34720,FAST
3289623,41.5123,41.33,41.67,41.84,40.9,2020-06-25 04:00:00,27612,FAST
4439458,41.0937,41.51,40.99,41.78,40.44,2020-06-26 04:00:00,29894,FAST
3869957,41.8683,41.27,41.92,42.21,41.25,2020-06-29 04:00:00,34403,FAST
4725376,42.5396,41.7,42.84,43.14,41.46,2020-06-30 04:00:00,36697,FAST
4473987,42.9619,43.02,43.01,43.18,42.62,2020-07-01 04:00:00,40053,FAST
5302620,43.903,43.68,44.04,44.26,43.54,2020-07-02 04:00:00,47057,FAST
