volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
45508,34.1846,33.79,34.27,34.46,33.65,2020-02-20 05:00:00,788,GABC
39796,34.222,34.3,34.26,34.41,33.89,2020-02-21 05:00:00,642,GABC
32067,33.2877,33.66,33.32,33.7497,33.105,2020-02-24 05:00:00,514,GABC
53573,32.7204,33.19,32.59,33.41,32.305,2020-02-25 05:00:00,969,GABC
34532,32.5509,32.56,32.39,33.13,32.27,2020-02-26 05:00:00,585,GABC
58153,31.5577,32.0,30.99,32.54,30.97,2020-02-27 05:00:00,735,GABC
86706,29.8619,30.25,29.85,30.61,29.0,2020-02-28 05:00:00,990,GABC
51251,30.5939,29.86,31.08,31.14,29.77,2020-03-02 05:00:00,709,GABC
48623,30.3129,31.12,30.14,31.292,29.8,2020-03-03 05:00:00,684,GABC
37728,30.2182,30.37,30.45,30.56,29.39,2020-03-04 05:00:00,435,GABC
63464,29.3017,30.05,29.25,30.12,28.7105,2020-03-05 05:00:00,664,GABC
75518,28.9133,28.21,29.13,29.5043,28.21,2020-03-06 05:00:00,974,GABC
138218,27.0353,27.75,26.61,28.9999,26.25,2020-03-09 04:00:00,1465,GABC
77784,27.0743,27.12,27.66,27.87,26.13,2020-03-10 04:00:00,1130,GABC
58726,26.4641,27.03,26.33,27.21,26.1,2020-03-11 04:00:00,1054,GABC
139220,24.5024,25.0,24.23,25.35,23.87,2020-03-12 04:00:00,1639,GABC
116967,25.9412,25.06,26.67,26.74,24.71,2020-03-13 04:00:00,1473,GABC
133243,25.141,26.4,24.92,26.4,24.26,2020-03-16 04:00:00,1684,GABC
217837,27.8721,25.3,28.94,29.06,24.54,2020-03-17 04:00:00,2211,GABC
149009,26.8258,27.43,26.68,27.77,26.24,2020-03-18 04:00:00,1961,GABC
176414,27.6298,26.5,27.96,28.74,26.5,2020-03-19 04:00:00,1814,GABC
195438,26.3854,27.71,25.24,28.36,25.01,2020-03-20 04:00:00,1879,GABC
126758,24.43,25.64,24.43,25.85,23.54,2020-03-23 04:00:00,1612,GABC
124420,25.3541,25.38,25.72,25.78,24.515,2020-03-24 04:00:00,1270,GABC
98092,25.6244,25.88,25.28,26.38,24.92,2020-03-25 04:00:00,1448,GABC
114440,26.8322,25.32,27.21,27.25,25.22,2020-03-26 04:00:00,1619,GABC
107528,26.7428,26.58,26.35,27.4,26.12,2020-03-27 04:00:00,1815,GABC
73441,27.0959,26.54,27.46,27.46,26.0501,2020-03-30 04:00:00,958,GABC
105761,27.2159,27.21,27.45,27.515,26.72,2020-03-31 04:00:00,1712,GABC
