volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
136697,10.016,9.41,10.21,10.4,9.41,2020-02-20 05:00:00,1272,GAIA
99798,10.1133,10.3,10.02,10.34,9.97,2020-02-21 05:00:00,1145,GAIA
202743,10.0968,10.06,10.27,10.45,9.78,2020-02-24 05:00:00,1266,GAIA
304868,9.4703,10.44,9.41,10.49,8.7,2020-02-25 05:00:00,2513,GAIA
108010,9.1274,9.28,8.91,9.39,8.8347,2020-02-26 05:00:00,901,GAIA
134290,8.407,8.71,8.26,8.96,8.0,2020-02-27 05:00:00,1271,GAIA
111639,8.2614,7.78,8.43,8.46,7.629,2020-02-28 05:00:00,1167,GAIA
90379,8.6736,8.54,8.72,9.012,8.4,2020-03-02 05:00:00,889,GAIA
70943,8.1383,8.72,7.9,8.78,7.8,2020-03-03 05:00:00,793,GAIA
70319,7.786,8.1,7.61,8.4819,7.51,2020-03-04 05:00:00,652,GAIA
63617,7.2654,7.41,7.34,7.82,7.02,2020-03-05 05:00:00,695,GAIA
86052,7.2087,7.19,7.34,7.35,7.06,2020-03-06 05:00:00,1121,GAIA
108943,7.0308,6.74,7.02,7.305,6.54,2020-03-09 04:00:00,1085,GAIA
92048,6.7136,7.28,6.62,7.28,6.34,2020-03-10 04:00:00,1350,GAIA
66368,6.2036,6.69,6.16,6.69,5.94,2020-03-11 04:00:00,1019,GAIA
158568,5.5748,5.78,5.6,5.99,5.17,2020-03-12 04:00:00,1246,GAIA
132072,5.5762,5.71,5.55,5.84,5.14,2020-03-13 04:00:00,1216,GAIA
111134,5.0694,5.2,4.85,5.405,4.77,2020-03-16 04:00:00,914,GAIA
128257,5.117,4.91,5.35,5.52,4.7,2020-03-17 04:00:00,1310,GAIA
129045,5.3017,5.06,5.16,5.9198,4.865,2020-03-18 04:00:00,1071,GAIA
137730,6.0908,5.1,6.35,6.94,5.09,2020-03-19 04:00:00,1216,GAIA
223714,6.5117,6.67,6.44,6.82,6.15,2020-03-20 04:00:00,1526,GAIA
125740,6.1914,6.57,6.36,7.08,5.5,2020-03-23 04:00:00,1219,GAIA
112432,6.8173,6.54,6.9,7.42,6.39,2020-03-24 04:00:00,1113,GAIA
50483,6.8902,6.94,6.96,7.3647,6.5517,2020-03-25 04:00:00,519,GAIA
570496,8.1267,7.15,8.11,8.91,7.11,2020-03-26 04:00:00,3511,GAIA
173088,8.1675,7.91,8.03,8.69,7.63,2020-03-27 04:00:00,1277,GAIA
223207,8.8385,8.18,9.16,9.34,8.1,2020-03-30 04:00:00,1969,GAIA
162325,9.1547,9.2,8.88,9.89,8.42,2020-03-31 04:00:00,1592,GAIA
125381,8.2128,8.42,8.47,8.54,8.0,2020-04-01 04:00:00,1421,GAIA
138471,9.1616,8.47,9.73,9.77,8.465,2020-04-02 04:00:00,1674,GAIA
133224,8.6325,9.75,8.63,9.82,8.21,2020-04-03 04:00:00,1361,GAIA
77216,9.0336,8.86,9.07,9.3,8.8,2020-04-06 04:00:00,800,GAIA
197319,8.5326,9.13,8.4,9.295,8.12,2020-04-07 04:00:00,1806,GAIA
116861,8.5448,8.61,8.56,8.84,8.28,2020-04-08 04:00:00,1019,GAIA
106196,9.1826,8.66,9.4,9.48,8.66,2020-04-09 04:00:00,959,GAIA
104005,9.3817,9.31,9.58,9.68,8.955,2020-04-13 04:00:00,1196,GAIA
157494,9.6272,9.51,9.67,9.83,9.4,2020-04-14 04:00:00,1661,GAIA
107119,9.5287,9.37,9.49,9.82,9.0067,2020-04-15 04:00:00,1047,GAIA
78252,9.4697,9.59,9.51,9.66,9.26,2020-04-16 04:00:00,1104,GAIA
90273,9.5473,9.57,9.56,9.7,9.39,2020-04-17 04:00:00,1076,GAIA
156292,8.9825,9.55,8.9,9.6,8.6,2020-04-20 04:00:00,1120,GAIA
153649,9.2223,8.95,9.6,9.69,8.7299,2020-04-21 04:00:00,1669,GAIA
173961,9.066,9.66,9.0,9.89,8.5,2020-04-22 04:00:00,1697,GAIA
65807,9.0504,8.98,8.99,9.3,8.9,2020-04-23 04:00:00,875,GAIA
97809,9.3618,9.04,9.61,9.7,8.8801,2020-04-24 04:00:00,889,GAIA
315961,9.9877,9.94,10.16,10.36,9.8792,2020-04-27 04:00:00,3070,GAIA
444738,8.9263,9.01,8.82,9.6,8.53,2020-04-28 04:00:00,3495,GAIA
206837,9.2239,9.05,9.0,9.635,8.9,2020-04-29 04:00:00,2002,GAIA
81647,9.0066,8.95,9.09,9.24,8.82,2020-04-30 04:00:00,945,GAIA
92318,8.8455,8.86,8.85,9.06,8.62,2020-05-01 04:00:00,985,GAIA
67106,9.0845,8.86,9.26,9.3,8.58,2020-05-04 04:00:00,776,GAIA
86251,9.385,9.42,9.22,9.76,9.07,2020-05-05 04:00:00,1299,GAIA
68769,9.0263,9.22,8.86,9.4,8.77,2020-05-06 04:00:00,800,GAIA
119734,8.9772,8.9,8.94,9.27,8.82,2020-05-07 04:00:00,1198,GAIA
86048,8.9514,9.0,8.83,9.25,8.75,2020-05-08 04:00:00,1123,GAIA
121965,8.4183,8.76,8.48,8.76,8.19,2020-05-11 04:00:00,1264,GAIA
67357,8.5371,8.59,8.47,8.74,8.36,2020-05-12 04:00:00,937,GAIA
68777,8.5619,8.47,8.75,8.81,8.34,2020-05-13 04:00:00,1128,GAIA
76938,8.4205,8.47,8.6,8.62,8.21,2020-05-14 04:00:00,1014,GAIA
73281,8.8782,8.58,8.97,9.08,8.4601,2020-05-15 04:00:00,952,GAIA
80662,8.9341,9.2,8.73,9.38,8.69,2020-05-18 04:00:00,1193,GAIA
