volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
10453599,24.976,24.25,25.5,25.8217,24.22,2021-05-12 04:00:00,51169,GLBE
2538464,26.0335,25.8,25.5,27.4,25.37,2021-05-13 04:00:00,14709,GLBE
482084,26.4254,25.66,26.76,26.99,25.55,2021-05-14 04:00:00,3796,GLBE
537006,27.3852,26.79,27.33,28.0,26.79,2021-05-17 04:00:00,4165,GLBE
627942,26.9986,27.31,26.8,27.77,26.25,2021-05-18 04:00:00,5029,GLBE
582595,27.7844,26.7,28.37,29.0,26.05,2021-05-19 04:00:00,4284,GLBE
661856,29.3981,28.75,29.34,30.2299,28.56,2021-05-20 04:00:00,5277,GLBE
1125832,31.4283,30.01,31.44,32.23,29.6,2021-05-21 04:00:00,7513,GLBE
689041,32.3194,31.7,32.5,33.0,31.34,2021-05-24 04:00:00,5629,GLBE
669836,31.6215,32.6,32.47,33.0,29.9,2021-05-25 04:00:00,5240,GLBE
593271,31.6121,32.65,32.11,33.38,30.32,2021-05-26 04:00:00,4830,GLBE
461231,31.8278,32.57,31.88,32.9799,31.03,2021-05-27 04:00:00,2924,GLBE
547810,32.4476,32.0,32.86,33.42,31.2801,2021-05-28 04:00:00,3720,GLBE
759408,34.0521,32.86,34.9,35.2534,32.39,2021-06-01 04:00:00,5055,GLBE
410648,34.519800000000004,35.43,34.78,35.67,33.14,2021-06-02 04:00:00,3694,GLBE
336040,34.5319,34.72,35.0,35.19,33.62,2021-06-03 04:00:00,2988,GLBE
834360,34.8608,35.45,35.5,35.64,33.4079,2021-06-04 04:00:00,5173,GLBE
1187527,37.9486,36.52,38.76,39.62,35.87,2021-06-07 04:00:00,10001,GLBE
1578192,41.437,41.33,41.62,43.59,39.38,2021-06-08 04:00:00,13871,GLBE
689229,41.6094,42.12,40.26,43.4699,39.7,2021-06-09 04:00:00,6214,GLBE
737315,42.618,40.25,43.63,44.9,40.08,2021-06-10 04:00:00,6485,GLBE
2027371,47.9974,46.42,46.52,52.9,44.75,2021-06-11 04:00:00,21113,GLBE
1047475,48.8444,46.5,48.98,50.4415,46.35,2021-06-14 04:00:00,10228,GLBE
940432,49.4488,49.15,49.28,50.48,47.72,2021-06-15 04:00:00,10038,GLBE
989623,47.4919,49.28,47.28,51.0,44.52,2021-06-16 04:00:00,11146,GLBE
1023955,49.4344,46.5,51.3,53.39,45.0,2021-06-17 04:00:00,9808,GLBE
1080727,53.3404,51.28,53.46,55.6799,50.81,2021-06-18 04:00:00,8602,GLBE
1065303,56.1454,54.51,55.36,58.3986,52.5301,2021-06-21 04:00:00,10822,GLBE
678596,57.3748,56.23,58.2,58.56,55.75,2021-06-22 04:00:00,7955,GLBE
835833,55.2119,58.97,55.17,59.0,52.65,2021-06-23 04:00:00,11020,GLBE
1202342,59.2184,55.2,57.42,62.997,55.2,2021-06-24 04:00:00,12785,GLBE
874845,58.6104,57.88,58.28,60.98,57.0,2021-06-25 04:00:00,8161,GLBE
521020,59.5652,60.2472,60.27,61.2,58.01,2021-06-28 04:00:00,7313,GLBE
930506,62.0334,60.6,62.99,64.4965,58.2038,2021-06-29 04:00:00,11102,GLBE
1473118,58.606,62.61,57.08,62.9799,56.3,2021-06-30 04:00:00,16195,GLBE
1138177,55.3502,56.9238,55.84,57.625,52.21,2021-07-01 04:00:00,13428,GLBE
630864,54.6051,55.9,54.18,56.9933,53.32,2021-07-02 04:00:00,7196,GLBE
963710,53.8641,53.0,55.49,56.61,51.11,2021-07-06 04:00:00,10512,GLBE
418486,56.2977,56.93,55.73,58.88,54.46,2021-07-07 04:00:00,4318,GLBE
551852,53.9048,52.4,53.49,55.5,51.22,2021-07-08 04:00:00,5517,GLBE
337152,55.4134,54.9008,54.79,56.68,53.55,2021-07-09 04:00:00,3327,GLBE
