volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5187260,10.5685,10.46,11.1,11.48,10.46,2021-01-15 05:00:00,12706,GNACU
576562,10.8891,11.05,10.75,11.05,10.75,2021-01-19 05:00:00,2000,GNACU
474530,10.6595,10.76,10.63,10.85,10.55,2021-01-20 05:00:00,1456,GNACU
429465,10.611,10.6,10.62,10.7,10.55,2021-01-21 05:00:00,1496,GNACU
113796,10.5899,10.6,10.53,10.7699,10.53,2021-01-22 05:00:00,499,GNACU
1285940,11.1474,10.7,11.17,12.0,10.55,2021-01-25 05:00:00,5138,GNACU
184784,10.7782,11.24,10.62,11.24,10.53,2021-01-26 05:00:00,1043,GNACU
252759,10.4043,10.6,10.39,10.6,10.27,2021-01-27 05:00:00,1265,GNACU
42472,10.4485,10.42,10.4,10.48,10.31,2021-01-28 05:00:00,181,GNACU
32368,10.5126,10.47,10.5,10.71,10.4002,2021-01-29 05:00:00,129,GNACU
59862,10.5886,10.45,10.55,10.78,10.45,2021-02-01 05:00:00,175,GNACU
51659,10.7178,10.95,10.63,10.95,10.6,2021-02-02 05:00:00,229,GNACU
50319,10.8051,10.65,10.79,10.96,10.64,2021-02-03 05:00:00,155,GNACU
327344,10.8207,10.8953,10.6995,10.95,10.675,2021-02-04 05:00:00,307,GNACU
53025,10.7208,10.82,10.83,10.87,10.685,2021-02-05 05:00:00,135,GNACU
60596,10.9745,10.96,10.99,11.13,10.8201,2021-02-08 05:00:00,179,GNACU
15352,10.8149,10.98,10.72,10.98,10.69,2021-02-09 05:00:00,125,GNACU
35579,10.6261,10.84,10.5601,10.84,10.54,2021-02-10 05:00:00,188,GNACU
467803,10.6122,10.57,10.66,10.66,10.55,2021-02-11 05:00:00,188,GNACU
30467,10.6022,10.6,10.61,10.85,10.5,2021-02-12 05:00:00,136,GNACU
792291,10.5995,10.6,10.56,10.7,10.55,2021-02-16 05:00:00,125,GNACU
15518,10.6327,10.58,10.57,10.7,10.55,2021-02-17 05:00:00,98,GNACU
23483,10.5383,10.61,10.45,10.66,10.44,2021-02-18 05:00:00,239,GNACU
4708,10.5399,10.65,10.5077,10.7,10.44,2021-02-19 05:00:00,58,GNACU
20866,10.5448,10.64,10.5,10.64,10.49,2021-02-22 05:00:00,126,GNACU
30535,10.3722,10.33,10.36,10.43,10.33,2021-02-23 05:00:00,595,GNACU
50437,10.5879,10.405,10.4101,10.725,10.405,2021-02-24 05:00:00,203,GNACU
121811,10.401,10.4,10.4,10.55,10.4,2021-02-25 05:00:00,340,GNACU
38080,10.354,10.35,10.39,10.4505,10.3,2021-02-26 05:00:00,461,GNACU
24412,10.2874,10.39,10.28,10.4,10.26,2021-03-01 05:00:00,235,GNACU
51374,10.3139,10.25,10.24,10.4,10.22,2021-03-02 05:00:00,325,GNACU
74029,10.2604,10.3001,10.25,10.3001,10.23,2021-03-03 05:00:00,379,GNACU
61988,10.0952,10.21,10.15,10.295,9.89,2021-03-04 05:00:00,182,GNACU
138016,10.0834,10.16,10.01,10.16,10.01,2021-03-05 05:00:00,230,GNACU
13674,10.0881,10.0999,10.07,10.13,10.05,2021-03-08 05:00:00,72,GNACU
58140,10.1163,10.11,10.22,10.22,10.08,2021-03-09 05:00:00,234,GNACU
111785,10.2955,10.33,10.2,10.33,10.2,2021-03-10 05:00:00,183,GNACU
25728,10.2167,10.195,10.14,10.2722,10.1201,2021-03-11 05:00:00,205,GNACU
38104,10.2025,10.2,10.12,10.3,10.1101,2021-03-12 05:00:00,365,GNACU
39524,10.066,10.13,10.11,10.16,10.05,2021-03-15 04:00:00,107,GNACU
3871,10.1955,10.2,10.15,10.2,10.15,2021-03-16 04:00:00,34,GNACU
23640,10.1657,10.19,10.1525,10.32,10.1272,2021-03-17 04:00:00,102,GNACU
110087,10.0027,10.25,9.98,10.25,9.97,2021-03-18 04:00:00,373,GNACU
5254,9.9914,9.99,10.02,10.035,9.97,2021-03-19 04:00:00,53,GNACU
136442,9.9904,10.1016,9.99,10.1016,9.96,2021-03-22 04:00:00,130,GNACU
135013,9.9403,9.955,9.91,9.96,9.9,2021-03-23 04:00:00,110,GNACU
64368,9.8881,9.955,9.82,9.9769,9.81,2021-03-24 04:00:00,287,GNACU
3075,9.8217,9.780100000000001,9.83,9.9,9.780100000000001,2021-03-25 04:00:00,82,GNACU
13507,10.0004,9.92,10.05,10.062,9.8571,2021-03-26 04:00:00,189,GNACU
15883,9.9587,9.96,9.99,9.99,9.84,2021-03-30 04:00:00,75,GNACU
2528,10.0132,9.99,10.19,10.19,9.95,2021-03-31 04:00:00,59,GNACU
40425,10.0968,10.15,9.96,10.15,9.96,2021-04-01 04:00:00,116,GNACU
7919,10.0005,9.99,9.97,10.03,9.97,2021-04-05 04:00:00,45,GNACU
9938,9.981,9.9898,9.97,10.0,9.97,2021-04-06 04:00:00,115,GNACU
3071,9.9902,9.97,10.0,10.0,9.97,2021-04-07 04:00:00,12,GNACU
16338,10.0983,10.15,10.15,10.15,10.04,2021-04-08 04:00:00,71,GNACU
1126,10.1674,10.051,10.19,10.2,10.051,2021-04-09 04:00:00,40,GNACU
539,10.0217,10.04,9.98,10.04,9.98,2021-04-12 04:00:00,16,GNACU
17874,10.1271,10.0244,10.15,10.16,10.0244,2021-04-13 04:00:00,94,GNACU
