volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1170744,9.9018,9.91,9.91,9.95,9.86,2021-06-29 04:00:00,3448,GOBI
30996,9.8652,9.85,9.85,9.91,9.81,2021-06-30 04:00:00,186,GOBI
220531,9.8765,9.8,9.89,9.905,9.8,2021-07-01 04:00:00,301,GOBI
40941,9.8926,9.8,9.9,9.9067,9.8,2021-07-02 04:00:00,173,GOBI
12510,9.9671,9.95,9.86,10.0,9.85,2021-07-06 04:00:00,52,GOBI
1743,9.8937,9.8501,9.95,9.95,9.85,2021-07-07 04:00:00,25,GOBI
30657,9.9974,9.94,9.98,10.03,9.94,2021-07-08 04:00:00,34,GOBI
2539,9.9785,9.98,9.98,9.98,9.98,2021-07-09 04:00:00,44,GOBI
36470,10.0038,10.04,10.05,10.05,9.99,2021-07-12 04:00:00,67,GOBI
341,9.9557,9.93,9.93,9.93,9.93,2021-07-13 04:00:00,27,GOBI
280,9.9666,9.97,9.97,9.97,9.97,2021-07-14 04:00:00,6,GOBI
960,9.8661,9.85,9.85,9.85,9.85,2021-07-15 04:00:00,23,GOBI
1211,9.8474,9.85,9.82,9.86,9.82,2021-07-19 04:00:00,11,GOBI
561,9.85,9.85,9.85,9.85,9.85,2021-07-21 04:00:00,4,GOBI
2952,9.8593,9.92,9.85,9.92,9.85,2021-07-22 04:00:00,19,GOBI
3109,9.9057,9.88,9.94,9.94,9.850999999999999,2021-07-23 04:00:00,30,GOBI
787,9.8061,9.81,9.8,9.81,9.8,2021-07-28 04:00:00,13,GOBI
3505,9.8008,9.8,9.78,9.8,9.78,2021-07-29 04:00:00,26,GOBI
2347,9.7378,9.7505,9.7505,9.7505,9.7505,2021-07-30 04:00:00,5,GOBI
6105,9.7489,9.7505,9.75,9.7505,9.725,2021-08-04 04:00:00,56,GOBI
705,9.7499,9.75,9.75,9.75,9.75,2021-08-05 04:00:00,2,GOBI
1935,9.7025,9.7,9.7,9.7,9.7,2021-08-09 04:00:00,23,GOBI
12740,9.6503,9.7,9.65,9.7,9.61,2021-08-10 04:00:00,76,GOBI
198,9.6655,9.67,9.67,9.67,9.67,2021-08-11 04:00:00,20,GOBI
147,9.7207,9.74,9.74,9.74,9.74,2021-08-12 04:00:00,8,GOBI
1880,9.636,9.75,9.67,9.75,9.62,2021-08-13 04:00:00,17,GOBI
3816,9.6797,9.63,9.68,9.68,9.63,2021-08-16 04:00:00,103,GOBI
4890,9.6703,9.6501,9.68,9.68,9.65,2021-08-17 04:00:00,81,GOBI
9504,9.674900000000001,9.65,9.68,9.68,9.62,2021-08-18 04:00:00,78,GOBI
12143,9.674,9.68,9.63,9.7,9.63,2021-08-19 04:00:00,74,GOBI
2459,9.6278,9.63,9.63,9.63,9.6202,2021-08-20 04:00:00,26,GOBI
1907,9.6441,9.629,9.67,9.67,9.626,2021-08-23 04:00:00,27,GOBI
250,9.6203,9.6203,9.6203,9.6203,9.6203,2021-08-24 04:00:00,1,GOBI
3928,9.6241,9.61,9.71,9.71,9.61,2021-08-25 04:00:00,30,GOBI
1947,9.6383,9.66,9.61,9.66,9.61,2021-08-27 04:00:00,31,GOBI
232,9.6494,9.65,9.65,9.65,9.65,2021-08-31 04:00:00,8,GOBI
228,9.6497,9.65,9.65,9.65,9.65,2021-09-03 04:00:00,3,GOBI
776,9.654,9.6407,9.6407,9.6407,9.6407,2021-09-07 04:00:00,17,GOBI
475,9.6471,9.65,9.64,9.65,9.64,2021-09-08 04:00:00,26,GOBI
4171,9.6981,9.7,9.71,9.71,9.64,2021-09-10 04:00:00,56,GOBI
1342,9.7051,9.7212,9.69,9.7212,9.6801,2021-09-14 04:00:00,23,GOBI
250,9.7222,9.71,9.71,9.71,9.71,2021-09-15 04:00:00,14,GOBI
1442,9.7723,9.755,9.79,9.79,9.737,2021-09-16 04:00:00,38,GOBI
1233,9.6589,9.645,9.66,9.66,9.64,2021-09-17 04:00:00,43,GOBI
1433,9.6411,9.64,9.65,9.65,9.63,2021-09-21 04:00:00,44,GOBI
2809,9.6666,9.645,9.67,9.67,9.645,2021-10-04 04:00:00,51,GOBI
13818,9.764,9.735,9.83,9.83,9.735,2021-10-06 04:00:00,92,GOBI
1530,9.7491,9.8,9.78,9.84,9.6716,2021-10-11 04:00:00,18,GOBI
1292,9.682,9.67,9.73,9.73,9.67,2021-10-14 04:00:00,23,GOBI
1221,9.7454,9.741,9.78,9.78,9.741,2021-10-18 04:00:00,7,GOBI
2812,9.6497,9.65,9.78,9.78,9.63,2021-10-20 04:00:00,14,GOBI
340,9.725999999999999,9.7,9.735,9.735,9.7,2021-10-29 04:00:00,9,GOBI
494,9.6748,9.7,9.64,9.7,9.64,2021-11-02 04:00:00,18,GOBI
419,9.7317,9.725200000000001,9.745,9.745,9.725200000000001,2021-11-03 04:00:00,7,GOBI
100,9.68,9.68,9.68,9.68,9.68,2021-11-04 04:00:00,1,GOBI
228,9.6879,9.6867,9.6867,9.6867,9.6867,2021-11-05 04:00:00,6,GOBI
14771,9.7028,9.7,9.7,9.715,9.7,2021-11-08 05:00:00,174,GOBI
11472,9.776,9.68,9.78,9.78,9.68,2021-11-09 05:00:00,44,GOBI
300,9.69,9.69,9.69,9.69,9.69,2021-11-10 05:00:00,1,GOBI
11151,9.707699999999999,9.6912,9.76,9.76,9.6912,2021-11-12 05:00:00,45,GOBI
301,9.73,9.73,9.73,9.73,9.73,2021-11-17 05:00:00,4,GOBI
1175,9.7223,9.74,9.72,9.74,9.72,2021-11-18 05:00:00,14,GOBI
813,9.72,9.72,9.72,9.72,9.72,2021-11-19 05:00:00,2,GOBI
275,9.7984,9.82,9.82,9.82,9.82,2021-11-22 05:00:00,10,GOBI
292,9.8054,9.82,9.82,9.82,9.82,2021-11-23 05:00:00,15,GOBI
7409,9.719100000000001,9.72,9.74,9.76,9.69,2021-11-24 05:00:00,40,GOBI
3462,9.7384,9.73,9.82,9.82,9.73,2021-11-26 05:00:00,29,GOBI
131,9.7967,9.82,9.82,9.82,9.82,2021-11-29 05:00:00,3,GOBI
304,9.7104,9.7,9.7,9.7,9.7,2021-12-07 05:00:00,12,GOBI
108,9.8167,9.82,9.82,9.82,9.82,2021-12-08 05:00:00,6,GOBI
201,9.7003,9.7,9.7,9.7,9.7,2021-12-10 05:00:00,2,GOBI
714,9.7,9.7,9.7,9.7,9.7,2021-12-15 05:00:00,12,GOBI
276,9.7169,9.73,9.73,9.73,9.73,2021-12-16 05:00:00,10,GOBI
601,9.6117,9.6115,9.6115,9.6115,9.6115,2021-12-29 05:00:00,2,GOBI
521,9.612,9.61,9.61,9.61,9.61,2021-12-30 05:00:00,5,GOBI
885,9.666,9.66,9.66,9.67,9.66,2021-12-31 05:00:00,5,GOBI
300,9.755,9.755,9.755,9.755,9.755,2022-01-07 05:00:00,1,GOBI
2699,9.63,9.63,9.63,9.63,9.63,2022-01-10 05:00:00,5,GOBI
1001,9.8199,9.82,9.82,9.82,9.82,2022-01-14 05:00:00,2,GOBI
1201,9.6651,9.68,9.66,9.69,9.66,2022-01-18 05:00:00,6,GOBI
