volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
36705,13.915,13.72,13.86,14.0,13.72,2020-02-20 05:00:00,219,GWRS
47170,13.9818,14.0,13.97,14.13,13.76,2020-02-21 05:00:00,482,GWRS
41173,13.7529,13.91,13.74,13.94,13.5227,2020-02-24 05:00:00,559,GWRS
73923,13.1333,13.76,12.81,13.85,12.5,2020-02-25 05:00:00,869,GWRS
22974,12.8803,12.77,12.9,13.12,12.6,2020-02-26 05:00:00,372,GWRS
45215,12.5795,12.79,12.48,12.92,12.47,2020-02-27 05:00:00,494,GWRS
39945,12.2311,12.47,11.95,12.74,11.81,2020-02-28 05:00:00,702,GWRS
29363,12.2473,12.34,12.42,12.42,12.0,2020-03-02 05:00:00,327,GWRS
36963,12.1973,12.5,11.93,12.766,11.79,2020-03-03 05:00:00,492,GWRS
42107,12.4277,11.93,12.94,12.94,11.93,2020-03-04 05:00:00,567,GWRS
50364,12.6751,12.58,12.63,13.0,12.348,2020-03-05 05:00:00,391,GWRS
25442,12.1642,12.5,12.13,12.6,11.94,2020-03-06 05:00:00,409,GWRS
62103,11.5326,11.49,11.47,11.88,11.4,2020-03-09 04:00:00,631,GWRS
61660,11.6387,11.77,12.2,12.28,11.25,2020-03-10 04:00:00,723,GWRS
38860,11.176,11.94,11.1,11.98,10.84,2020-03-11 04:00:00,449,GWRS
109816,10.0236,10.38,10.01,10.84,9.9,2020-03-12 04:00:00,883,GWRS
52790,10.4622,10.5,11.17,11.17,9.89,2020-03-13 04:00:00,663,GWRS
42039,10.0662,10.03,10.01,10.4754,9.8818,2020-03-16 04:00:00,741,GWRS
59391,10.330400000000001,9.78,10.55,11.06,9.58,2020-03-17 04:00:00,807,GWRS
58993,9.4457,10.15,9.37,10.25,8.51,2020-03-18 04:00:00,785,GWRS
39194,10.0133,9.46,10.14,10.3587,9.45,2020-03-19 04:00:00,604,GWRS
73245,10.0372,10.13,10.14,10.225,9.46,2020-03-20 04:00:00,741,GWRS
53217,9.5653,10.08,9.47,10.08,8.72,2020-03-23 04:00:00,507,GWRS
51449,10.0395,9.81,10.37,10.37,9.501,2020-03-24 04:00:00,504,GWRS
29059,10.0579,10.3,10.05,10.38,9.54,2020-03-25 04:00:00,530,GWRS
42903,10.1402,9.99,10.09,10.38,9.98,2020-03-26 04:00:00,525,GWRS
33038,9.9668,9.99,9.77,10.28,9.77,2020-03-27 04:00:00,525,GWRS
20174,10.1699,9.89,10.13,10.53,9.783,2020-03-30 04:00:00,284,GWRS
45817,10.0626,10.07,10.19,10.25,9.645,2020-03-31 04:00:00,532,GWRS
62985,9.5477,9.82,9.68,10.1161,9.09,2020-04-01 04:00:00,686,GWRS
23380,9.9273,9.59,10.11,10.22,9.59,2020-04-02 04:00:00,468,GWRS
26011,9.8022,9.97,9.74,10.24,9.5,2020-04-03 04:00:00,327,GWRS
64481,10.198,9.95,10.32,10.6227,9.9459,2020-04-06 04:00:00,688,GWRS
52558,10.0439,10.3,10.05,10.3,9.9,2020-04-07 04:00:00,492,GWRS
29477,10.152,10.16,10.22,10.4442,9.91,2020-04-08 04:00:00,342,GWRS
86556,11.4911,10.46,11.72,12.35,10.325,2020-04-09 04:00:00,824,GWRS
67177,10.3624,11.71,10.18,11.71,10.0,2020-04-13 04:00:00,628,GWRS
28147,10.9401,10.47,11.03,11.3,10.47,2020-04-14 04:00:00,396,GWRS
38643,10.4313,10.74,10.5,10.74,10.16,2020-04-15 04:00:00,581,GWRS
42945,10.2383,10.49,10.19,10.64,10.03,2020-04-16 04:00:00,744,GWRS
25726,10.3289,10.42,10.38,10.42,10.12,2020-04-17 04:00:00,459,GWRS
58864,10.0841,10.26,10.25,10.43,9.91,2020-04-20 04:00:00,601,GWRS
19965,10.1074,10.03,10.18,10.35,9.94,2020-04-21 04:00:00,358,GWRS
19375,10.1802,10.285,10.12,10.35,10.05,2020-04-22 04:00:00,327,GWRS
34348,10.2628,10.06,10.2,10.4374,10.04,2020-04-23 04:00:00,512,GWRS
19959,10.2979,10.15,10.22,10.49,10.1413,2020-04-24 04:00:00,302,GWRS
22674,10.3677,10.34,10.35,10.48,10.29,2020-04-27 04:00:00,347,GWRS
226794,10.4251,10.66,10.23,10.66,10.15,2020-04-28 04:00:00,659,GWRS
35012,10.9257,10.48,10.96,11.18,10.26,2020-04-29 04:00:00,608,GWRS
28684,10.7546,10.82,10.75,11.07,10.5,2020-04-30 04:00:00,629,GWRS
