volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
6610774,10.5581,10.56,10.55,10.63,10.5,2021-01-26 05:00:00,9883,HCIIU
554908,10.4923,10.66,10.46,10.66,10.37,2021-01-27 05:00:00,1497,HCIIU
32405,10.5525,10.49,10.71,10.9,10.42,2021-01-28 05:00:00,353,HCIIU
25324,10.5521,11.3,10.74,11.3,10.47,2021-01-29 05:00:00,305,HCIIU
41726,10.6818,10.69,10.72,10.77,10.56,2021-02-01 05:00:00,640,HCIIU
93951,10.6601,10.7,10.6,10.99,10.56,2021-02-02 05:00:00,963,HCIIU
222349,10.7226,10.85,10.6,10.87,10.6,2021-02-03 05:00:00,748,HCIIU
329960,10.794,10.89,10.7,10.89,10.65,2021-02-04 05:00:00,704,HCIIU
196323,10.6969,10.85,10.56,10.91,10.49,2021-02-05 05:00:00,1027,HCIIU
257124,10.7959,10.65,10.77,10.99,10.65,2021-02-08 05:00:00,1745,HCIIU
107193,10.7906,10.8,10.81,11.0602,10.73,2021-02-09 05:00:00,1045,HCIIU
74582,10.7675,10.805,10.89,10.9,10.6706,2021-02-10 05:00:00,454,HCIIU
601887,10.898,10.82,10.93,11.23,10.795,2021-02-11 05:00:00,428,HCIIU
33470,10.8521,11.0,10.85,11.0,10.82,2021-02-12 05:00:00,281,HCIIU
331756,10.8595,10.9,10.75,11.25,10.72,2021-02-16 05:00:00,804,HCIIU
33151,10.7215,10.75,10.65,11.19,10.62,2021-02-17 05:00:00,279,HCIIU
292827,10.6869,10.7399,10.61,10.825,10.6,2021-02-18 05:00:00,423,HCIIU
118271,10.7187,10.61,10.71,11.11,10.61,2021-02-19 05:00:00,439,HCIIU
126805,10.7117,10.83,10.76,10.84,10.67,2021-02-22 05:00:00,710,HCIIU
66757,10.612400000000001,10.6,10.67,10.77,10.55,2021-02-23 05:00:00,787,HCIIU
381092,10.8054,10.6,10.75,11.17,10.6,2021-02-24 05:00:00,1089,HCIIU
322415,10.5359,10.725,10.47,10.79,10.33,2021-02-25 05:00:00,2178,HCIIU
185360,10.4409,10.42,10.45,10.55,10.4,2021-02-26 05:00:00,307,HCIIU
232991,10.4424,10.47,10.32,10.49,10.32,2021-03-01 05:00:00,508,HCIIU
218167,10.1868,10.3,10.25,10.36,10.1,2021-03-02 05:00:00,648,HCIIU
70721,10.1753,10.13,10.28,10.28,10.13,2021-03-03 05:00:00,677,HCIIU
387859,10.0569,10.11,10.11,10.17,10.0,2021-03-04 05:00:00,1278,HCIIU
483765,10.112,10.15,10.12,10.285,10.04,2021-03-05 05:00:00,1269,HCIIU
373009,10.167300000000001,10.18,10.15,10.2,10.15,2021-03-08 05:00:00,279,HCIIU
65979,10.2508,10.14,10.28,10.29,10.14,2021-03-09 05:00:00,98,HCIIU
102284,10.1548,10.03,10.1,10.29,10.03,2021-03-10 05:00:00,694,HCIIU
12475,10.1805,10.13,10.27,10.27,10.13,2021-03-11 05:00:00,76,HCIIU
20886,10.2816,10.16,10.31,10.33,10.16,2021-03-12 05:00:00,294,HCIIU
370672,10.2319,10.275,10.15,10.275,10.11,2021-03-15 04:00:00,340,HCIIU
6929,10.1838,10.16,10.2,10.2,10.156,2021-03-16 04:00:00,100,HCIIU
55929,10.1034,10.23,10.1,10.23,10.1,2021-03-17 04:00:00,133,HCIIU
3516,10.1402,10.16,10.17,10.235,10.11,2021-03-18 04:00:00,139,HCIIU
11160,10.0615,10.11,10.08,10.2,10.0,2021-03-19 04:00:00,481,HCIIU
34199,10.0136,10.02,10.04,10.04,10.0,2021-03-22 04:00:00,181,HCIIU
225687,10.0017,10.04,10.1,10.1,9.97,2021-03-23 04:00:00,427,HCIIU
50065,9.9914,10.03,10.0,10.03,9.99,2021-03-24 04:00:00,376,HCIIU
18695,9.9339,9.89,10.1125,10.1125,9.61,2021-03-25 04:00:00,289,HCIIU
15588,10.0086,10.06,10.02,10.1,9.981300000000001,2021-03-26 04:00:00,251,HCIIU
226392,9.937,10.01,9.98,10.01,9.93,2021-03-29 04:00:00,688,HCIIU
202435,9.9597,9.98,9.98,9.99,9.94,2021-03-30 04:00:00,131,HCIIU
40364,9.9162,9.97,9.81,9.9983,9.79,2021-03-31 04:00:00,165,HCIIU
41393,9.9012,9.97,9.94,9.98,9.9,2021-04-01 04:00:00,143,HCIIU
368046,9.9313,9.95,9.94,10.0,9.9,2021-04-05 04:00:00,403,HCIIU
60165,9.993500000000001,10.0,10.0,10.07,9.86,2021-04-06 04:00:00,140,HCIIU
82737,9.9847,10.0,10.08,10.08,9.9637,2021-04-07 04:00:00,204,HCIIU
1524,10.14,10.15,10.11,10.15,10.1,2021-04-08 04:00:00,17,HCIIU
25278,10.1409,10.037,10.19,10.19,10.025,2021-04-09 04:00:00,160,HCIIU
146025,10.0054,10.021,10.0,10.08,10.0,2021-04-12 04:00:00,311,HCIIU
315,10.0159,10.01,10.01,10.01,10.01,2021-04-13 04:00:00,4,HCIIU
590,10.1,10.1,10.1,10.1,10.1,2021-04-14 04:00:00,6,HCIIU
120,10.0168,10.0182,10.0182,10.0182,10.0182,2021-04-15 04:00:00,4,HCIIU
73748,10.0083,10.04,10.0,10.04,10.0,2021-04-16 04:00:00,118,HCIIU
2743,9.997,9.99,10.0,10.0,9.99,2021-04-19 04:00:00,16,HCIIU
1713,10.0099,10.01,10.02,10.02,10.0,2021-04-20 04:00:00,21,HCIIU
200655,9.9124,9.96,9.95,9.96,9.88,2021-04-22 04:00:00,280,HCIIU
398,9.9828,9.92,9.92,9.92,9.92,2021-04-23 04:00:00,12,HCIIU
45224,10.0051,9.94,10.015,10.04,9.94,2021-04-26 04:00:00,178,HCIIU
317401,10.0352,10.05,10.03,10.05,10.0,2021-04-27 04:00:00,176,HCIIU
12134,10.1273,10.14,10.12,10.14,10.11,2021-04-29 04:00:00,61,HCIIU
572,10.1128,10.15,10.03,10.17,10.03,2021-04-30 04:00:00,9,HCIIU
23173,10.0185,10.0,10.09,10.19,10.0,2021-05-03 04:00:00,126,HCIIU
16216,10.1162,9.99,10.13,10.17,9.99,2021-05-04 04:00:00,100,HCIIU
639,10.027,10.0201,10.05,10.05,10.0201,2021-05-05 04:00:00,3,HCIIU
5223,10.0394,10.05,10.04,10.05,10.03,2021-05-07 04:00:00,43,HCIIU
5897,10.0471,10.04,10.04,10.05,10.04,2021-05-10 04:00:00,101,HCIIU
2741,10.0536,10.0726,10.04,10.0726,10.04,2021-05-11 04:00:00,18,HCIIU
4913,10.03,9.97,10.04,10.04,9.97,2021-05-12 04:00:00,47,HCIIU
4773,10.0416,10.0587,10.04,10.082,10.04,2021-05-13 04:00:00,46,HCIIU
61026,10.0372,10.04,9.99,10.04,9.99,2021-05-14 04:00:00,171,HCIIU
8175,9.9517,9.98,9.94,9.98,9.94,2021-05-17 04:00:00,81,HCIIU
106053,10.0029,9.99,10.0,10.06,9.99,2021-05-19 04:00:00,21,HCIIU
13504,9.9715,9.97,9.98,10.045,9.97,2021-05-20 04:00:00,79,HCIIU
2693,9.971,9.97,9.97,9.97,9.97,2021-05-21 04:00:00,124,HCIIU
2411,9.9908,10.0,9.99,10.0,9.99,2021-05-24 04:00:00,14,HCIIU
10810,9.9911,9.99,9.99,10.0,9.99,2021-05-25 04:00:00,96,HCIIU
8375,10.0113,10.0,10.02,10.02,10.0,2021-05-26 04:00:00,66,HCIIU
1655,9.9699,9.96,10.01,10.01,9.96,2021-05-27 04:00:00,11,HCIIU
200450,9.9999,9.98,10.0,10.0,9.98,2021-05-28 04:00:00,5,HCIIU
11785,10.0,10.0,10.0,10.0,10.0,2021-06-01 04:00:00,25,HCIIU
192756,9.9993,9.96,10.0,10.0,9.95,2021-06-02 04:00:00,21,HCIIU
161,9.9806,9.98,9.98,9.98,9.98,2021-06-03 04:00:00,7,HCIIU
614,9.9898,9.98,10.0,10.0,9.98,2021-06-04 04:00:00,25,HCIIU
1736,10.0064,10.01,10.0,10.01,10.0,2021-06-07 04:00:00,22,HCIIU
27735,10.0,10.0,10.0,10.0,10.0,2021-06-08 04:00:00,31,HCIIU
36794,9.9999,10.0,10.0,10.0,9.96,2021-06-09 04:00:00,28,HCIIU
6164,9.9814,9.99,10.02,10.02,9.96,2021-06-10 04:00:00,17,HCIIU
545,10.0174,10.01,10.02,10.02,10.01,2021-06-11 04:00:00,8,HCIIU
4403,10.02,10.02,10.02,10.02,10.02,2021-06-14 04:00:00,19,HCIIU
16942,10.0051,10.0,10.0,10.02,10.0,2021-06-15 04:00:00,152,HCIIU
54387,10.0194,10.0,10.02,10.025,10.0,2021-06-17 04:00:00,21,HCIIU
55303,10.0063,10.01,10.02,10.02,10.0,2021-06-18 04:00:00,26,HCIIU
14600,10.0205,10.02,10.02,10.03,10.02,2021-06-21 04:00:00,27,HCIIU
7903,10.0098,10.02,10.01,10.02,9.98,2021-06-22 04:00:00,20,HCIIU
77780,10.0198,10.06,10.02,10.06,9.978,2021-06-23 04:00:00,66,HCIIU
76744,10.0274,10.03,10.05,10.05,10.0,2021-06-24 04:00:00,236,HCIIU
2960,10.0103,9.99,10.03,10.03,9.97,2021-06-25 04:00:00,15,HCIIU
33840,10.0333,10.03,10.05,10.05,10.005,2021-06-28 04:00:00,114,HCIIU
22688,9.9972,10.01,9.96,10.05,9.96,2021-06-30 04:00:00,109,HCIIU
4876,9.9842,9.99,9.98,9.99,9.98,2021-07-02 04:00:00,34,HCIIU
1255,10.0211,10.05,10.01,10.05,9.98,2021-07-06 04:00:00,5,HCIIU
4476,10.0017,9.96,9.9901,10.05,9.96,2021-07-09 04:00:00,52,HCIIU
85350,9.9999,10.0,10.0,10.0,9.979,2021-07-14 04:00:00,3,HCIIU
45411,9.9964,10.0,9.97,10.0,9.965,2021-07-16 04:00:00,15,HCIIU
100,10.05,10.05,10.05,10.05,10.05,2021-07-21 04:00:00,1,HCIIU
14800,10.0,10.0,10.0,10.0,10.0,2021-07-22 04:00:00,3,HCIIU
2718,9.9961,9.99,10.01,10.01,9.99,2021-07-27 04:00:00,8,HCIIU
83403,9.9721,9.99,9.97,10.0,9.96,2021-07-28 04:00:00,26,HCIIU
30923,9.9812,9.98,10.0,10.0,9.98,2021-07-29 04:00:00,91,HCIIU
3506,10.0085,10.0,10.02,10.02,10.0,2021-07-30 04:00:00,5,HCIIU
29780,10.0016,10.0059,10.01,10.01,10.0,2021-08-02 04:00:00,17,HCIIU
18200,10.0312,9.93,10.04,10.04,9.93,2021-08-03 04:00:00,60,HCIIU
5221,9.9915,10.0,9.91,10.0,9.91,2021-08-04 04:00:00,7,HCIIU
4150,9.9045,9.9,9.9001,9.91,9.9,2021-08-11 04:00:00,14,HCIIU
2008,9.9489,9.91,9.966,9.966,9.91,2021-08-12 04:00:00,9,HCIIU
3595,9.943200000000001,9.925,9.9399,9.96,9.925,2021-08-13 04:00:00,9,HCIIU
14805,9.9321,9.95,9.91,9.95,9.9,2021-08-16 04:00:00,77,HCIIU
10029,9.916,9.92,9.92,9.92,9.91,2021-08-17 04:00:00,23,HCIIU
12452,9.9105,9.91,9.9,9.92,9.9,2021-08-19 04:00:00,38,HCIIU
210,9.91,9.91,9.91,9.91,9.91,2021-08-20 04:00:00,3,HCIIU
1608,9.9023,9.9,9.91,9.91,9.9,2021-08-23 04:00:00,11,HCIIU
3700,9.8765,9.87,9.87,9.9,9.87,2021-08-26 04:00:00,7,HCIIU
6857,9.8992,9.8664,9.9,9.9,9.8664,2021-08-31 04:00:00,9,HCIIU
