volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
256381,7.0936,7.14,7.09,7.2467,7.0,2020-02-20 05:00:00,1463,HEAR
270085,7.0896,7.04,7.19,7.2,6.92,2020-02-21 05:00:00,1667,HEAR
295678,6.9085,6.95,6.95,6.99,6.77,2020-02-24 05:00:00,2023,HEAR
271938,6.7476,7.01,6.74,7.01,6.6448,2020-02-25 05:00:00,1822,HEAR
364462,6.4956,6.7,6.43,6.75,6.36,2020-02-26 05:00:00,2411,HEAR
559996,6.167,6.2,6.28,6.43,5.8268,2020-02-27 05:00:00,3045,HEAR
289780,6.4656,5.88,6.61,6.73,5.88,2020-02-28 05:00:00,2211,HEAR
147293,6.3662,6.6,6.31,6.6,6.26,2020-03-02 05:00:00,1393,HEAR
150410,6.3893,6.3,6.46,6.5600000000000005,6.21,2020-03-03 05:00:00,1421,HEAR
174408,6.2931,6.52,6.15,6.5725,6.12,2020-03-04 05:00:00,1508,HEAR
162410,6.0417,6.06,6.07,6.15,5.98,2020-03-05 05:00:00,1225,HEAR
314206,5.8911,5.92,5.92,6.105,5.74,2020-03-06 05:00:00,2389,HEAR
322078,5.6087,5.55,5.52,5.79,5.397,2020-03-09 04:00:00,2337,HEAR
390511,5.6513,5.68,5.52,5.79,5.32,2020-03-10 04:00:00,3530,HEAR
636031,5.7469,6.09,5.75,6.1,5.3,2020-03-11 04:00:00,4029,HEAR
658607,5.1583,5.15,5.19,5.33,5.0,2020-03-12 04:00:00,3958,HEAR
330041,5.2072,5.38,5.22,5.5,4.9350000000000005,2020-03-13 04:00:00,2476,HEAR
507419,4.7819,4.51,4.51,5.2,4.25,2020-03-16 04:00:00,3857,HEAR
332155,4.7914,4.67,4.7,5.0,4.25,2020-03-17 04:00:00,3030,HEAR
362589,4.427,4.57,4.25,4.73,4.06,2020-03-18 04:00:00,2610,HEAR
372895,4.6903,4.05,4.95,5.0,4.05,2020-03-19 04:00:00,2307,HEAR
396964,4.8509,5.05,4.55,5.275,4.535,2020-03-20 04:00:00,3056,HEAR
487584,4.8055,4.45,5.01,5.04,4.286,2020-03-23 04:00:00,3657,HEAR
416503,5.1001,5.2,5.03,5.5,4.85,2020-03-24 04:00:00,3202,HEAR
439665,4.9973,5.09,4.98,5.2,4.76,2020-03-25 04:00:00,3506,HEAR
416023,5.1356,4.98,5.37,5.38,4.98,2020-03-26 04:00:00,3519,HEAR
280733,5.4152000000000005,5.15,5.51,5.55,5.0,2020-03-27 04:00:00,2027,HEAR
622517,6.0434,5.48,6.36,6.37,5.43,2020-03-30 04:00:00,4959,HEAR
502344,6.4797,6.31,6.24,7.09,6.0101,2020-03-31 04:00:00,4472,HEAR
272791,6.0532,6.15,5.95,6.36,5.85,2020-04-01 04:00:00,2630,HEAR
310718,6.0215,5.89,5.92,6.43,5.8100000000000005,2020-04-02 04:00:00,2779,HEAR
220149,5.8549,5.87,5.78,6.29,5.66,2020-04-03 04:00:00,2267,HEAR
244468,6.0701,6.0,6.13,6.305,5.85,2020-04-06 04:00:00,2014,HEAR
269890,6.1723,6.27,5.99,6.4,5.93,2020-04-07 04:00:00,2043,HEAR
295871,6.3354,5.99,6.43,6.54,5.87,2020-04-08 04:00:00,2112,HEAR
345255,6.5858,6.52,6.79,6.84,6.34,2020-04-09 04:00:00,2834,HEAR
305148,6.5273,6.92,6.5,6.92,6.3773,2020-04-13 04:00:00,2535,HEAR
357264,6.6895,6.7,6.74,6.9,6.52,2020-04-14 04:00:00,2742,HEAR
591390,7.0709,6.72,7.23,7.404,6.5,2020-04-15 04:00:00,3821,HEAR
459034,7.2349,7.39,7.25,7.45,6.93,2020-04-16 04:00:00,3614,HEAR
309405,7.3815,7.52,7.5,7.52,7.2,2020-04-17 04:00:00,2743,HEAR
310873,7.3563,7.43,7.21,7.62,7.13,2020-04-20 04:00:00,2564,HEAR
1203788,7.9509,7.16,8.25,8.58,7.1303,2020-04-21 04:00:00,8578,HEAR
848025,8.4113,8.75,8.49,8.836500000000001,7.99,2020-04-22 04:00:00,5387,HEAR
719111,8.9971,8.6,8.79,9.37,8.5201,2020-04-23 04:00:00,4281,HEAR
405781,9.1687,9.05,9.36,9.44,8.8208,2020-04-24 04:00:00,3167,HEAR
1190657,10.2888,9.65,10.48,10.71,9.65,2020-04-27 04:00:00,8826,HEAR
743716,10.229800000000001,10.68,10.19,10.8,9.74,2020-04-28 04:00:00,6007,HEAR
851677,9.8904,9.3,10.08,10.49,8.54,2020-04-29 04:00:00,6873,HEAR
384024,9.9089,9.79,9.83,10.13,9.61,2020-04-30 04:00:00,3630,HEAR
403379,9.4378,9.54,9.4,9.7,9.26,2020-05-01 04:00:00,3868,HEAR
452408,9.7932,9.33,9.96,10.0,9.2,2020-05-04 04:00:00,3642,HEAR
457476,10.1372,9.99,9.96,10.3,9.93,2020-05-05 04:00:00,3751,HEAR
509547,10.3181,10.11,10.26,10.53,10.06,2020-05-06 04:00:00,4078,HEAR
1649773,11.1778,10.46,11.49,11.69,10.41,2020-05-07 04:00:00,11815,HEAR
2304218,9.7193,10.82,9.4,10.83,9.21,2020-05-08 04:00:00,15090,HEAR
607280,9.6902,9.5,9.57,9.955,9.3,2020-05-11 04:00:00,5401,HEAR
714356,10.1255,9.68,10.25,10.43,9.6694,2020-05-12 04:00:00,6642,HEAR
601901,9.694,10.14,9.48,10.32,9.34,2020-05-13 04:00:00,5008,HEAR
434621,9.3695,9.46,9.32,9.7,9.05,2020-05-14 04:00:00,4059,HEAR
305648,9.6986,9.38,9.74,9.905,9.24,2020-05-15 04:00:00,2785,HEAR
453475,9.7194,9.92,9.5,10.08,9.5,2020-05-18 04:00:00,4212,HEAR
456739,9.8526,9.5,9.77,10.09,9.46,2020-05-19 04:00:00,4072,HEAR
245887,9.9667,9.92,9.99,10.09,9.84,2020-05-20 04:00:00,2543,HEAR
336547,9.9158,9.98,10.02,10.16,9.63,2020-05-21 04:00:00,2922,HEAR
522152,10.4963,10.03,10.57,10.84,10.01,2020-05-22 04:00:00,5041,HEAR
865489,11.1042,10.81,11.28,11.4,10.755,2020-05-26 04:00:00,7501,HEAR
418079,11.1021,11.16,11.07,11.4,10.79,2020-05-27 04:00:00,4144,HEAR
297779,10.9021,11.1,10.54,11.23,10.51,2020-05-28 04:00:00,2895,HEAR
232247,10.5705,10.66,10.58,10.82,10.43,2020-05-29 04:00:00,2632,HEAR
331098,10.6682,10.6,10.56,10.82,10.36,2020-06-01 04:00:00,3483,HEAR
352051,11.0762,10.68,11.35,11.35,10.52,2020-06-02 04:00:00,3899,HEAR
500179,11.6498,11.38,11.58,11.9599,11.36,2020-06-03 04:00:00,5123,HEAR
431224,11.1598,11.45,11.11,11.5,10.95,2020-06-04 04:00:00,3550,HEAR
432501,11.1985,11.28,11.11,11.46,10.91,2020-06-05 04:00:00,4035,HEAR
317664,11.1315,11.22,11.25,11.41,10.879,2020-06-08 04:00:00,3226,HEAR
334871,11.3427,11.22,11.54,11.57,10.965,2020-06-09 04:00:00,3043,HEAR
216627,11.5633,11.77,11.62,11.87,11.3601,2020-06-10 04:00:00,2536,HEAR
482838,11.1619,11.16,11.205,11.27,10.9403,2020-06-11 04:00:00,4387,HEAR
370354,11.41,11.55,11.31,11.69,11.08,2020-06-12 04:00:00,3531,HEAR
322880,11.5112,11.22,11.66,11.68,11.1101,2020-06-15 04:00:00,3340,HEAR
6313386,14.5966,13.85,13.67,15.9,13.21,2020-06-16 04:00:00,35903,HEAR
1752321,14.2234,14.02,14.31,14.7734,13.53,2020-06-17 04:00:00,12762,HEAR
1480565,14.8733,14.52,14.81,15.3801,14.25,2020-06-18 04:00:00,11719,HEAR
906796,14.5821,14.87,14.445,15.18,14.3,2020-06-19 04:00:00,7711,HEAR
664897,14.6089,14.56,14.61,14.94,14.17,2020-06-22 04:00:00,6432,HEAR
882332,15.2001,14.95,15.18,15.49,14.51,2020-06-23 04:00:00,8242,HEAR
1136069,15.3896,15.1,15.5,15.8,14.93,2020-06-24 04:00:00,8726,HEAR
912638,15.6112,15.36,15.67,16.04,15.29,2020-06-25 04:00:00,8887,HEAR
2675349,14.7342,15.59,14.69,15.59,14.2497,2020-06-26 04:00:00,11028,HEAR
546558,14.9369,15.14,14.86,15.24,14.42,2020-06-29 04:00:00,6066,HEAR
368346,14.7467,14.85,14.72,14.97,14.6,2020-06-30 04:00:00,3344,HEAR
