volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
2314,2.3614,1.88,2.76,3.0,1.88,2021-02-01 05:00:00,17,HMCOW
3958,2.7547,2.77,2.52,3.0,2.36,2021-02-02 05:00:00,17,HMCOW
15905,2.6201,2.6505,2.5,2.99,2.38,2021-02-03 05:00:00,67,HMCOW
15599,2.2934,2.42,2.35,2.85,2.2,2021-02-04 05:00:00,76,HMCOW
11205,2.7505,2.87,2.37,2.87,2.37,2021-02-05 05:00:00,34,HMCOW
22558,2.4861,2.76,2.42,2.8200000000000003,2.3,2021-02-08 05:00:00,141,HMCOW
3924,2.6607000000000003,2.55,2.77,2.77,2.5252,2021-02-09 05:00:00,12,HMCOW
39133,2.4273,2.44,2.43,2.46,2.3999,2021-02-10 05:00:00,202,HMCOW
7253,2.4571,2.43,2.6,2.65,2.35,2021-02-11 05:00:00,34,HMCOW
6480,2.6365,2.6,2.88,2.88,2.59,2021-02-12 05:00:00,52,HMCOW
6875,3.4008000000000003,2.85,3.51,3.51,2.85,2021-02-16 05:00:00,36,HMCOW
2472,2.7715,2.83,2.69,2.83,2.69,2021-02-17 05:00:00,29,HMCOW
8024,3.5556,3.14,3.35,3.75,3.14,2021-02-18 05:00:00,65,HMCOW
4867,3.0843,3.03,3.0,3.2399,3.0,2021-02-19 05:00:00,36,HMCOW
674,2.8178,2.8200000000000003,2.81,2.8200000000000003,2.81,2021-02-22 05:00:00,38,HMCOW
7433,2.6646,3.07,2.59,3.1,2.51,2021-02-23 05:00:00,212,HMCOW
9488,2.4851,2.5899,2.56,2.59,2.45,2021-02-24 05:00:00,55,HMCOW
15821,2.4565,2.35,2.45,2.6,2.35,2021-02-25 05:00:00,84,HMCOW
18925,2.4054,2.61,2.1398,2.61,2.12,2021-02-26 05:00:00,111,HMCOW
73964,2.0606,2.2,2.04,2.2,1.92,2021-03-01 05:00:00,279,HMCOW
18592,2.0232,2.07,1.96,2.07,1.9,2021-03-02 05:00:00,59,HMCOW
24901,1.8314,1.96,1.92,2.09,1.75,2021-03-03 05:00:00,20,HMCOW
13628,1.6619000000000002,1.55,1.6099999999999999,1.9495,1.51,2021-03-04 05:00:00,98,HMCOW
14064,1.558,1.9,1.6102,1.9,1.51,2021-03-05 05:00:00,59,HMCOW
32756,1.6876,1.725,1.71,1.8900000000000001,1.6,2021-03-08 05:00:00,137,HMCOW
12567,1.6467,1.7000000000000002,1.661,1.7000000000000002,1.6,2021-03-09 05:00:00,30,HMCOW
4974,1.6735,1.69,1.7000000000000002,1.75,1.6400000000000001,2021-03-10 05:00:00,12,HMCOW
49590,1.6489,1.65,1.6,1.75,1.6,2021-03-11 05:00:00,143,HMCOW
5820,1.7656,1.8599999999999999,1.7000000000000002,1.8599999999999999,1.6975,2021-03-12 05:00:00,28,HMCOW
72225,1.5848,1.83,1.65,1.85,1.4100000000000001,2021-03-15 04:00:00,305,HMCOW
35478,1.6858,1.75,1.56,1.75,1.53,2021-03-16 04:00:00,139,HMCOW
23801,1.5383,1.67,1.45,1.67,1.45,2021-03-17 04:00:00,103,HMCOW
16232,1.5521,1.45,1.6001,1.6025,1.45,2021-03-18 04:00:00,39,HMCOW
6332,1.5733000000000001,1.55,1.65,1.655,1.51,2021-03-19 04:00:00,50,HMCOW
7387,1.6558000000000002,1.7082000000000002,1.65,1.7995,1.6,2021-03-22 04:00:00,72,HMCOW
32576,1.4956,1.55,1.1549,1.75,1.11,2021-03-23 04:00:00,138,HMCOW
28041,1.2723,1.2401,1.25,1.49,1.15,2021-03-24 04:00:00,142,HMCOW
56396,1.1586,1.605,1.17,1.605,1.08,2021-03-25 04:00:00,104,HMCOW
301329,1.0561,1.18,1.21,1.25,0.811,2021-03-26 04:00:00,1848,HMCOW
59667,1.2064,1.2,1.21,1.21,1.19,2021-03-29 04:00:00,24,HMCOW
58285,1.0849,1.21,1.05,1.22,1.0,2021-03-30 04:00:00,379,HMCOW
28509,1.2227000000000001,1.17,1.2997,1.3,1.02,2021-03-31 04:00:00,105,HMCOW
2501,1.4857,1.5,1.48,1.5,1.48,2021-04-01 04:00:00,48,HMCOW
14195,1.5894,1.6399,1.49,1.6399,1.49,2021-04-05 04:00:00,33,HMCOW
4931,1.5709,1.5,1.45,1.69,1.45,2021-04-06 04:00:00,30,HMCOW
10574,1.4631,1.44,1.6800000000000002,1.6800000000000002,1.25,2021-04-07 04:00:00,46,HMCOW
8890,1.5639,1.4972,1.63,1.6600000000000001,1.475,2021-04-08 04:00:00,33,HMCOW
25796,1.5024000000000002,1.51,1.5,1.55,1.44,2021-04-12 04:00:00,64,HMCOW
22348,1.3932,1.45,1.3599999999999999,1.56,1.26,2021-04-13 04:00:00,84,HMCOW
480,1.407,1.37,1.48,1.48,1.3599999999999999,2021-04-14 04:00:00,5,HMCOW
5912,1.4184,1.45,1.4,1.45,1.28,2021-04-15 04:00:00,74,HMCOW
3468,1.4816,1.505,1.3716,1.71,1.3716,2021-04-16 04:00:00,10,HMCOW
29909,1.3665,1.4,1.34,1.625,1.25,2021-04-19 04:00:00,184,HMCOW
119813,1.0739,1.31,1.28,1.54,0.925,2021-04-20 04:00:00,701,HMCOW
25281,1.1073,1.34,1.12,1.4,1.05,2021-04-21 04:00:00,252,HMCOW
87823,1.0618,1.01,1.01,1.26,0.9500000000000001,2021-04-22 04:00:00,660,HMCOW
69432,1.0015,1.0,1.03,1.15,0.91,2021-04-23 04:00:00,572,HMCOW
2802,1.1023,1.05,1.15,1.24,1.05,2021-04-26 04:00:00,27,HMCOW
13120,1.0871,1.1,1.1,1.18,1.07,2021-04-27 04:00:00,20,HMCOW
12726,1.0846,1.0,1.16,1.16,1.0,2021-04-28 04:00:00,47,HMCOW
42232,1.1207,1.27,1.19,1.27,1.08,2021-04-29 04:00:00,122,HMCOW
27313,1.0958,1.1400000000000001,1.15,1.185,1.03,2021-04-30 04:00:00,61,HMCOW
50470,1.1562999999999999,1.2,1.1,1.2,1.1,2021-05-03 04:00:00,87,HMCOW
33932,1.1155,1.19,1.19,1.19,1.11,2021-05-04 04:00:00,27,HMCOW
14024,1.2392,1.2,1.25,1.25,1.2,2021-05-05 04:00:00,65,HMCOW
3490,1.2523,1.25,1.25,1.28,1.25,2021-05-06 04:00:00,13,HMCOW
335,1.1496,1.15,1.15,1.15,1.15,2021-05-07 04:00:00,5,HMCOW
8326,1.1819,1.05,1.11,1.25,1.05,2021-05-10 04:00:00,54,HMCOW
8321,1.0206,0.9501000000000001,1.05,1.16,0.9401,2021-05-11 04:00:00,37,HMCOW
1885,1.077,1.15,1.07,1.15,1.05,2021-05-12 04:00:00,17,HMCOW
1886,1.08,1.08,1.08,1.08,1.08,2021-05-13 04:00:00,18,HMCOW
684,1.08,1.08,1.08,1.08,1.08,2021-05-14 04:00:00,8,HMCOW
12582,1.0507,1.08,1.05,1.08,0.96,2021-05-17 04:00:00,40,HMCOW
430,1.0259,0.9701000000000001,0.9801000000000001,0.9801000000000001,0.9701000000000001,2021-05-18 04:00:00,7,HMCOW
10259,0.9535,1.0,1.02,1.09,0.925,2021-05-19 04:00:00,74,HMCOW
1352,0.9639000000000001,1.0,0.9550000000000001,1.02,0.925,2021-05-21 04:00:00,16,HMCOW
14100,0.9216000000000001,0.925,0.9001,0.93,0.9,2021-05-24 04:00:00,44,HMCOW
1937,0.9587,1.0,0.96,1.0,0.92,2021-05-25 04:00:00,11,HMCOW
2647,0.9843000000000001,0.9400000000000001,0.98,1.04,0.9400000000000001,2021-05-26 04:00:00,14,HMCOW
14924,1.01,0.9805,1.0,1.08,0.98,2021-05-27 04:00:00,58,HMCOW
2965,1.0035,1.0,1.0,1.01,1.0,2021-05-28 04:00:00,6,HMCOW
55149,1.013,1.0,0.93,1.13,0.93,2021-06-01 04:00:00,191,HMCOW
41751,0.9188000000000001,0.93,0.9400000000000001,0.99,0.8300000000000001,2021-06-02 04:00:00,260,HMCOW
3786,0.9515,0.9500000000000001,0.9501000000000001,0.97,0.9500000000000001,2021-06-03 04:00:00,11,HMCOW
4676,0.9947,0.98,1.0,1.01,0.98,2021-06-04 04:00:00,15,HMCOW
26325,1.0002,1.0,1.07,1.07,0.99,2021-06-07 04:00:00,10,HMCOW
137113,1.0917,1.12,1.01,1.19,0.9101,2021-06-08 04:00:00,1105,HMCOW
29460,1.1922,1.1,1.21,1.21,1.1,2021-06-09 04:00:00,70,HMCOW
1589,1.1719,1.0,1.2399,1.2399,1.0,2021-06-10 04:00:00,16,HMCOW
4555,1.0957,1.11,1.09,1.11,1.09,2021-06-11 04:00:00,35,HMCOW
15768,1.2388,1.18,1.27,1.28,1.18,2021-06-14 04:00:00,61,HMCOW
2935,1.2667,1.25,1.29,1.29,1.25,2021-06-15 04:00:00,29,HMCOW
3656,1.3443,1.25,1.4,1.4,1.25,2021-06-16 04:00:00,15,HMCOW
13566,1.2701,1.25,1.27,1.313,1.21,2021-06-17 04:00:00,82,HMCOW
3154,1.25,1.25,1.25,1.25,1.25,2021-06-18 04:00:00,26,HMCOW
1612,1.293,1.3,1.27,1.3,1.26,2021-06-21 04:00:00,12,HMCOW
2213,1.2536,1.26,1.26,1.26,1.25,2021-06-22 04:00:00,35,HMCOW
11114,1.2793,1.27,1.35,1.35,1.25,2021-06-24 04:00:00,69,HMCOW
5199,1.3111,1.35,1.35,1.35,1.27,2021-06-25 04:00:00,23,HMCOW
51810,1.2198,1.06,1.07,1.31,1.04,2021-06-28 04:00:00,323,HMCOW
1982,1.1498,1.2,1.1,1.2,1.1,2021-06-29 04:00:00,20,HMCOW
22343,1.1797,1.18,1.19,1.2,1.09,2021-06-30 04:00:00,109,HMCOW
5102,1.1602000000000001,1.17,1.15,1.17,1.15,2021-07-01 04:00:00,49,HMCOW
11998,1.1513,1.15,1.15,1.18,1.15,2021-07-02 04:00:00,22,HMCOW
2350,1.1836,1.19,1.17,1.24,1.1400000000000001,2021-07-06 04:00:00,18,HMCOW
1732,1.1959,1.2,1.19,1.2,1.18,2021-07-07 04:00:00,10,HMCOW
6960,1.2336,1.21,1.27,1.29,1.21,2021-07-09 04:00:00,24,HMCOW
1855,1.1458,1.09,1.2,1.2,1.08,2021-07-12 04:00:00,14,HMCOW
6222,1.1821,1.07,1.18,1.22,1.07,2021-07-13 04:00:00,22,HMCOW
47148,1.3184,1.13,1.22,1.3599999999999999,1.13,2021-07-14 04:00:00,114,HMCOW
4074,1.2762,1.29,1.2,1.3,1.2,2021-07-15 04:00:00,19,HMCOW
2665,1.2042,1.21,1.2,1.21,1.16,2021-07-16 04:00:00,7,HMCOW
64474,1.1277,1.19,1.13,1.262,1.0,2021-07-19 04:00:00,237,HMCOW
350,1.1329,1.11,1.15,1.15,1.11,2021-07-20 04:00:00,4,HMCOW
9839,1.1458,1.15,1.16,1.16,1.11,2021-07-21 04:00:00,36,HMCOW
794,1.1973,1.23,1.16,1.24,1.16,2021-07-22 04:00:00,15,HMCOW
1872,1.1929,1.1601,1.22,1.23,1.1400000000000001,2021-07-23 04:00:00,10,HMCOW
26911,1.052,1.1400000000000001,1.1,1.17,1.03,2021-07-26 04:00:00,48,HMCOW
9460,1.1083,1.1,1.17,1.17,1.1,2021-07-27 04:00:00,60,HMCOW
7068,1.1743999999999999,1.25,1.15,1.25,1.1400000000000001,2021-07-28 04:00:00,41,HMCOW
2749,1.1863000000000001,1.2501,1.16,1.2501,1.16,2021-07-29 04:00:00,19,HMCOW
61547,1.1676,1.2,1.16,1.25,1.15,2021-07-30 04:00:00,79,HMCOW
947,1.1463,1.15,1.1400000000000001,1.15,1.1400000000000001,2021-08-03 04:00:00,8,HMCOW
933,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,1.1400000000000001,2021-08-04 04:00:00,4,HMCOW
21501,1.0924,1.03,1.12,1.1400000000000001,1.03,2021-08-05 04:00:00,35,HMCOW
45077,1.0143,1.12,1.0,1.1400000000000001,0.9,2021-08-06 04:00:00,287,HMCOW
22070,1.052,0.9855,1.07,1.1400000000000001,0.9855,2021-08-09 04:00:00,116,HMCOW
11947,1.0163,1.0,1.02,1.08,0.99,2021-08-11 04:00:00,82,HMCOW
24237,1.046,1.01,1.06,1.06,1.0,2021-08-12 04:00:00,149,HMCOW
6909,1.0283,1.1400000000000001,1.01,1.1400000000000001,1.01,2021-08-13 04:00:00,64,HMCOW
4049,1.0274,1.01,1.0,1.01,1.0,2021-08-16 04:00:00,51,HMCOW
32782,1.0001,1.05,1.0,1.05,0.99,2021-08-17 04:00:00,62,HMCOW
5462,1.0708,1.1,1.0,1.1,0.99,2021-08-18 04:00:00,20,HMCOW
5700,0.9921000000000001,1.0,0.99,1.0,0.97,2021-08-19 04:00:00,47,HMCOW
11060,1.0547,1.12,0.99,1.12,0.99,2021-08-20 04:00:00,58,HMCOW
7442,1.0416,1.05,0.9801000000000001,1.056,0.9801000000000001,2021-08-23 04:00:00,49,HMCOW
30464,0.9914000000000001,1.0305,0.98,1.0305,0.9500000000000001,2021-08-24 04:00:00,71,HMCOW
17676,0.9746,0.9401,0.9490000000000001,1.0301,0.9,2021-08-25 04:00:00,83,HMCOW
7369,0.9803000000000001,1.0,0.9,1.0,0.9,2021-08-26 04:00:00,81,HMCOW
7276,0.9802000000000001,0.98,0.98,1.0,0.9,2021-08-27 04:00:00,44,HMCOW
2747,0.9823000000000001,0.9500000000000001,1.0,1.01,0.9500000000000001,2021-08-30 04:00:00,24,HMCOW
15884,0.9902000000000001,1.0,1.0,1.065,0.9001,2021-08-31 04:00:00,71,HMCOW
18066,0.9623,1.02,0.96,1.02,0.9500000000000001,2021-09-01 04:00:00,46,HMCOW
16681,0.9799,1.06,0.98,1.06,0.96,2021-09-02 04:00:00,81,HMCOW
5880,1.0017,1.01,0.98,1.01,0.98,2021-09-03 04:00:00,9,HMCOW
44214,0.9415,0.6861,0.8901,1.01,0.6861,2021-09-07 04:00:00,172,HMCOW
8922,0.9652000000000001,1.0,0.91,1.0,0.9,2021-09-08 04:00:00,56,HMCOW
38334,0.9482,0.9500000000000001,0.92,0.9799,0.9,2021-09-09 04:00:00,215,HMCOW
20548,0.9599000000000001,0.9500000000000001,0.9500000000000001,0.9799,0.92,2021-09-10 04:00:00,131,HMCOW
4962,0.9428000000000001,0.9500000000000001,0.99,0.99,0.91,2021-09-13 04:00:00,44,HMCOW
14365,0.9734,1.0,0.96,1.0,0.9001,2021-09-14 04:00:00,40,HMCOW
3798,0.9948,1.0,1.0,1.0,0.9895,2021-09-15 04:00:00,18,HMCOW
23454,0.9843000000000001,1.0,1.015,1.015,0.93,2021-09-16 04:00:00,55,HMCOW
11848,1.0349,1.08,0.9301,1.12,0.9301,2021-09-17 04:00:00,80,HMCOW
127,0.9401,0.9401,0.9401,0.9401,0.9401,2021-09-20 04:00:00,1,HMCOW
1560,0.9409000000000001,0.9901000000000001,0.9501000000000001,0.9901000000000001,0.9265,2021-09-21 04:00:00,25,HMCOW
12675,0.9507000000000001,0.9401,0.96,0.9605,0.92,2021-09-22 04:00:00,49,HMCOW
16075,1.0732,1.015,1.08,1.08,0.96,2021-09-24 04:00:00,64,HMCOW
6184,1.0348,0.99,1.05,1.05,0.99,2021-09-27 04:00:00,35,HMCOW
4212,1.0355,1.05,1.06,1.06,0.99,2021-09-29 04:00:00,21,HMCOW
9838,0.9899,1.0,1.0,1.0,0.93,2021-10-04 04:00:00,124,HMCOW
5141,0.9855,0.9801000000000001,0.99,1.05,0.98,2021-10-05 04:00:00,47,HMCOW
7376,1.0673,1.12,0.9702000000000001,1.12,0.9701000000000001,2021-10-07 04:00:00,58,HMCOW
10960,0.9676,0.9101,0.9401,1.0,0.89,2021-10-11 04:00:00,21,HMCOW
6863,0.9429000000000001,0.9800500000000001,0.9301,1.028,0.93,2021-10-13 04:00:00,45,HMCOW
3467,0.9515,0.96,0.940044,0.97,0.8883000000000001,2021-10-14 04:00:00,15,HMCOW
12410,0.9182,0.9201,0.9101,0.9202,0.8902,2021-10-15 04:00:00,27,HMCOW
12419,0.9179,0.8805000000000001,0.9899,0.9899,0.8601000000000001,2021-10-18 04:00:00,52,HMCOW
3947,0.9235000000000001,0.88,0.9500000000000001,0.9500000000000001,0.88,2021-10-19 04:00:00,36,HMCOW
650,0.8745,0.8801,0.8801,0.8801,0.8801,2021-10-20 04:00:00,19,HMCOW
3994,0.9514,0.9500000000000001,0.93,0.97,0.8701000000000001,2021-10-21 04:00:00,16,HMCOW
14604,0.9857,0.98,0.91,1.0,0.91,2021-10-22 04:00:00,51,HMCOW
91452,0.9958,0.96,1.0,1.04,0.9500000000000001,2021-10-25 04:00:00,216,HMCOW
17388,1.0553,1.03,0.9901000000000001,1.12,0.9901000000000001,2021-10-26 04:00:00,83,HMCOW
38036,1.0214,1.0,1.02,1.09,1.0,2021-10-27 04:00:00,37,HMCOW
305,1.0723,1.06,1.06,1.06,1.06,2021-10-29 04:00:00,25,HMCOW
14164,1.036,1.09,1.01,1.09,0.9701000000000001,2021-11-01 04:00:00,96,HMCOW
1841,1.0386,1.04,1.04,1.04,1.04,2021-11-04 04:00:00,14,HMCOW
4993,1.0308,1.02,1.05,1.05,1.02,2021-11-05 04:00:00,17,HMCOW
39819,1.0915,1.08,1.05,1.15,1.03,2021-11-08 05:00:00,89,HMCOW
18148,1.1327,1.1799,1.12,1.185,1.1,2021-11-09 05:00:00,79,HMCOW
16951,1.0471,1.05,1.06,1.16,1.02,2021-11-10 05:00:00,109,HMCOW
520581,1.0005,1.035,1.0,1.08,1.0,2021-11-11 05:00:00,51,HMCOW
14829,1.0221,0.9701000000000001,1.02,1.1,0.9701000000000001,2021-11-12 05:00:00,46,HMCOW
70671,1.0824,1.04,1.04,1.1400000000000001,1.02,2021-11-15 05:00:00,130,HMCOW
6170,1.0379,1.04,1.03,1.11,0.9801000000000001,2021-11-16 05:00:00,21,HMCOW
6554,1.039,0.9902000000000001,1.01,1.06,0.9902000000000001,2021-11-17 05:00:00,35,HMCOW
9834,1.108,1.03,1.06,1.16,1.03,2021-11-18 05:00:00,89,HMCOW
27751,1.1051,0.9901000000000001,1.18,1.18,0.9901000000000001,2021-11-19 05:00:00,197,HMCOW
3933,1.1595,1.1400000000000001,1.19,1.2,1.0945,2021-11-22 05:00:00,43,HMCOW
6805,1.1879,1.225,1.16,1.225,1.16,2021-11-24 05:00:00,10,HMCOW
