volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
102474737,36.1851,38.0,34.82,40.25,33.35,2021-07-29 04:00:00,736578,HOOD
40632228,35.169200000000004,34.93,35.15,36.9795,33.25,2021-07-30 04:00:00,310979,HOOD
19948534,36.9489,35.97,37.68,37.98,35.3,2021-08-02 04:00:00,163505,HOOD
93819198,44.3805,37.911,46.8,48.59,37.1594,2021-08-03 04:00:00,610900,HOOD
175790537,65.0652,54.45,70.39,85.0,54.4,2021-08-04 04:00:00,1523753,HOOD
82445402,58.7486,62.9,50.97,66.5,50.46,2021-08-05 04:00:00,764293,HOOD
70131720,56.6669,57.77,55.01,60.88,53.1,2021-08-06 04:00:00,579911,HOOD
27495240,57.525,59.0835,56.83,59.96,56.0,2021-08-09 04:00:00,258252,HOOD
17066352,55.2955,56.4852,53.94,58.49,53.5,2021-08-10 04:00:00,172592,HOOD
15893137,51.2163,54.5683,51.19,54.6058,49.0,2021-08-11 04:00:00,179426,HOOD
13426242,48.457300000000004,50.125,48.1,50.39,47.52,2021-08-12 04:00:00,156296,HOOD
25659808,50.7895,48.45,50.63,53.2,48.22,2021-08-13 04:00:00,214666,HOOD
12052503,48.0293,49.4,47.19,49.79,47.0,2021-08-16 04:00:00,132978,HOOD
9160299,47.3043,47.3,46.67,48.85,46.01,2021-08-17 04:00:00,88912,HOOD
24407995,49.3222,47.9651,49.8,52.06,47.2,2021-08-18 04:00:00,191639,HOOD
18517574,45.3635,45.06,44.69,46.88,44.135,2021-08-19 04:00:00,204356,HOOD
11764299,43.4381,45.2,42.64,45.56,42.44,2021-08-20 04:00:00,132716,HOOD
15664716,44.9594,44.16,45.29,46.85,43.32,2021-08-23 04:00:00,135277,HOOD
17107747,48.1342,46.46,49.38,50.24,46.0,2021-08-24 04:00:00,135025,HOOD
10837516,48.8981,48.425,48.98,50.99,47.5,2021-08-25 04:00:00,96583,HOOD
7187728,47.9643,48.0,46.86,49.8499,46.4,2021-08-26 04:00:00,64036,HOOD
6058053,47.0518,46.7986,46.87,48.1,46.14,2021-08-27 04:00:00,57942,HOOD
12363840,44.4764,46.3,43.64,46.6,42.56,2021-08-30 04:00:00,129755,HOOD
8847512,43.4781,42.03,44.32,44.5,41.51,2021-08-31 04:00:00,94629,HOOD
11012953,45.2222,43.76,44.57,47.12,43.7,2021-09-01 04:00:00,94630,HOOD
4099172,44.9194,45.202,44.49,45.7999,44.2,2021-09-02 04:00:00,45354,HOOD
4676645,43.8166,44.6928,43.35,44.88,43.15,2021-09-03 04:00:00,57379,HOOD
6278020,42.4872,43.33,42.13,43.39,41.75,2021-09-07 04:00:00,78157,HOOD
7834862,40.5738,42.0,40.05,42.21,39.81,2021-09-08 04:00:00,92986,HOOD
6951918,41.391,40.5,41.28,42.54,40.3813,2021-09-09 04:00:00,58394,HOOD
5521802,41.4983,41.5,41.17,42.52,40.72,2021-09-10 04:00:00,48937,HOOD
4357360,40.3285,41.22,40.6,41.3899,39.8,2021-09-13 04:00:00,53936,HOOD
4354731,39.9246,41.0,40.02,41.0,39.23,2021-09-14 04:00:00,53227,HOOD
5922416,40.9795,40.2,41.87,41.94,39.83,2021-09-15 04:00:00,56807,HOOD
4206706,41.7626,41.62,41.95,42.43,40.91,2021-09-16 04:00:00,41016,HOOD
5000840,42.4761,41.92,42.38,42.9012,41.9,2021-09-17 04:00:00,44225,HOOD
4437794,40.6764,40.62,40.7,41.56,40.0301,2021-09-20 04:00:00,52097,HOOD
5984827,41.9739,41.04,42.29,42.69,40.7938,2021-09-21 04:00:00,53698,HOOD
14619488,44.7294,43.0004,46.88,46.94,42.76,2021-09-22 04:00:00,123611,HOOD
12129439,46.4653,46.285,45.94,47.84,44.71,2021-09-23 04:00:00,97968,HOOD
6057991,45.2701,44.7,44.91,46.55,44.35,2021-09-24 04:00:00,55107,HOOD
4041686,44.9435,44.93,44.76,45.91,43.95,2021-09-27 04:00:00,42477,HOOD
5791895,44.3054,43.92,44.62,45.96,42.51,2021-09-28 04:00:00,49111,HOOD
4597599,44.3197,44.17,43.13,45.4625,43.1,2021-09-29 04:00:00,39274,HOOD
3557950,42.1777,43.13,42.08,43.13,41.41,2021-09-30 04:00:00,37860,HOOD
2655845,41.8874,42.3617,41.9,42.78,41.12,2021-10-01 04:00:00,28194,HOOD
2647750,40.8944,41.8,40.93,41.8123,40.25,2021-10-04 04:00:00,34479,HOOD
2813392,42.0227,41.074,42.01,42.4899,41.0509,2021-10-05 04:00:00,29475,HOOD
2730242,42.0895,42.0,42.06,42.65,41.7,2021-10-06 04:00:00,26062,HOOD
2895418,42.1553,42.2374,41.84,42.84,41.68,2021-10-07 04:00:00,29626,HOOD
3719416,41.5688,41.8,41.78,42.06,41.05,2021-10-08 04:00:00,28309,HOOD
3733178,41.8858,41.1723,42.07,42.468,41.01,2021-10-11 04:00:00,36303,HOOD
3717965,41.0862,42.0,40.53,42.05,40.5,2021-10-12 04:00:00,40849,HOOD
3914428,40.2471,40.62,40.52,40.83,39.86,2021-10-13 04:00:00,40474,HOOD
3827495,40.9861,40.59,40.93,41.79,40.55,2021-10-14 04:00:00,37506,HOOD
2579553,41.1274,41.641,41.03,41.7,40.8601,2021-10-15 04:00:00,25262,HOOD
4019789,40.6962,40.95,40.65,41.25,40.31,2021-10-18 04:00:00,41815,HOOD
4529214,41.154,40.91,41.7,41.8,40.54,2021-10-19 04:00:00,40249,HOOD
4057555,41.6947,41.8933,41.83,42.44,41.02,2021-10-20 04:00:00,37255,HOOD
5377739,41.9882,41.93,41.28,43.36,41.21,2021-10-21 04:00:00,47648,HOOD
5916837,40.1618,41.125,39.59,41.13,39.59,2021-10-22 04:00:00,62536,HOOD
8081732,38.7959,39.76,39.01,39.87,38.15,2021-10-25 04:00:00,94506,HOOD
13250919,38.3741,39.61,39.57,40.25,39.0,2021-10-26 04:00:00,117502,HOOD
29046790,35.4348,35.98,35.44,36.19,34.44,2021-10-27 04:00:00,240732,HOOD
17422533,34.7978,35.21,35.47,35.52,33.99,2021-10-28 04:00:00,160697,HOOD
10687377,35.1437,35.65,34.97,35.85,34.8,2021-10-29 04:00:00,89436,HOOD
7946006,34.6358,35.2,34.85,35.215,34.42,2021-11-01 04:00:00,85123,HOOD
5497732,34.5773,34.72,34.99,34.99,34.34,2021-11-02 04:00:00,59028,HOOD
15342781,36.6756,34.94,37.04,37.5,34.6752,2021-11-03 04:00:00,134257,HOOD
6474368,37.0985,37.03,37.07,37.95,36.5,2021-11-04 04:00:00,61212,HOOD
4744776,36.9349,37.0,37.01,37.41,36.65,2021-11-05 04:00:00,53289,HOOD
7149237,37.3897,37.06,37.98,38.17,36.52,2021-11-08 05:00:00,68955,HOOD
