volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
79530,10.5525,10.0,11.38,11.71,9.01,2020-12-10 05:00:00,599,HTOOW
286177,8.9986,13.0,7.85,13.79,6.55,2020-12-11 05:00:00,1699,HTOOW
118182,6.094,7.75,6.34,7.85,5.31,2020-12-14 05:00:00,655,HTOOW
68195,5.7069,6.01,5.9,6.36,5.51,2020-12-15 05:00:00,345,HTOOW
70762,5.3876,5.875,5.62,6.05,4.82,2020-12-16 05:00:00,395,HTOOW
32153,5.2977,5.96,5.1,5.97,4.69,2020-12-17 05:00:00,219,HTOOW
36270,5.2335,5.5,5.0,5.51,4.75,2020-12-18 05:00:00,183,HTOOW
71992,5.1804,5.22,5.14,5.5798,4.5,2020-12-21 05:00:00,387,HTOOW
87746,5.2371,5.4,5.18,5.85,4.98,2020-12-22 05:00:00,352,HTOOW
306805,6.9043,5.74,6.57,7.8298000000000005,5.5600000000000005,2020-12-23 05:00:00,2124,HTOOW
127483,8.0062,8.01,7.5,8.75,7.01,2020-12-24 05:00:00,887,HTOOW
58477,7.035,7.96,7.0,8.39,6.3,2020-12-28 05:00:00,399,HTOOW
33976,6.4051,7.7,6.4,7.7,6.06,2020-12-29 05:00:00,248,HTOOW
34110,6.5404,6.06,6.8,7.0,6.06,2020-12-30 05:00:00,261,HTOOW
61928,6.1812,6.65,6.65,6.65,5.79,2020-12-31 05:00:00,422,HTOOW
43587,5.6235,7.0,5.5600000000000005,7.0,5.0,2021-01-04 05:00:00,297,HTOOW
38652,5.2643,5.36,5.1,5.55,4.7,2021-01-05 05:00:00,237,HTOOW
59214,5.2933,5.5,4.94,5.89,4.71,2021-01-06 05:00:00,350,HTOOW
167874,6.4616,6.5,6.48,6.7498000000000005,6.1,2021-01-07 05:00:00,835,HTOOW
126397,7.2786,7.49,7.34,7.65,6.495,2021-01-08 05:00:00,958,HTOOW
49024,6.4351,7.0,6.31,7.0,6.13,2021-01-11 05:00:00,351,HTOOW
80562,7.0402,6.28,7.6,7.64,6.145,2021-01-12 05:00:00,598,HTOOW
299754,8.8385,7.96,9.54,10.0,7.6,2021-01-13 05:00:00,2424,HTOOW
321859,11.1361,9.56,11.44,12.45,9.56,2021-01-14 05:00:00,2040,HTOOW
157553,10.9037,11.44,11.3,11.75,9.5,2021-01-15 05:00:00,951,HTOOW
102263,12.6817,12.35,12.69,13.25,11.7301,2021-01-19 05:00:00,1185,HTOOW
156648,11.6533,12.5,10.75,13.1,10.6,2021-01-20 05:00:00,1208,HTOOW
142435,10.551,10.79,10.23,12.08,9.11,2021-01-21 05:00:00,1193,HTOOW
46162,9.9547,10.1,9.67,10.55,9.5,2021-01-22 05:00:00,395,HTOOW
74203,8.7438,9.53,8.78,10.0,7.6697,2021-01-25 05:00:00,645,HTOOW
187038,10.0502,9.3,10.12,11.36,9.25,2021-01-26 05:00:00,1681,HTOOW
88459,9.1073,9.7,9.08,9.71,8.5,2021-01-27 05:00:00,675,HTOOW
130953,10.8773,8.58,10.23,12.0,8.58,2021-01-28 05:00:00,845,HTOOW
84172,9.6614,10.99,9.7,10.99,9.0,2021-01-29 05:00:00,474,HTOOW
28761,8.972,9.24,8.95,9.29,8.8584,2021-02-01 05:00:00,217,HTOOW
26763,8.8764,9.1,8.9,9.4862,8.34,2021-02-02 05:00:00,201,HTOOW
77726,8.6696,8.9,8.5,9.47,8.43,2021-02-03 05:00:00,456,HTOOW
166058,7.5799,8.51,7.6,8.93,7.1999,2021-02-04 05:00:00,925,HTOOW
54972,8.1467,7.67,8.04,8.68,7.67,2021-02-05 05:00:00,376,HTOOW
