volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
492291,12.4454,10.0,12.2,15.0,9.93,2021-08-27 04:00:00,2970,HUMA
457655,13.0506,12.49,13.3,14.0523,11.8176,2021-08-30 04:00:00,3104,HUMA
607806,14.3471,13.5,14.62,15.22,13.4767,2021-08-31 04:00:00,4044,HUMA
975577,16.6363,15.34,16.99,17.45,15.0,2021-09-01 04:00:00,6753,HUMA
645658,15.9807,16.87,15.92,16.94,15.21,2021-09-02 04:00:00,4484,HUMA
563938,14.3164,16.02,13.84,16.1,13.5,2021-09-03 04:00:00,4048,HUMA
221748,14.1056,14.5,13.96,14.6,13.84,2021-09-07 04:00:00,2537,HUMA
302218,13.1096,13.83,13.01,13.925,12.7,2021-09-08 04:00:00,2842,HUMA
157158,13.6116,12.92,13.75,14.4799,12.85,2021-09-09 04:00:00,1370,HUMA
82504,13.8884,13.84,13.88,14.48,13.7,2021-09-10 04:00:00,1042,HUMA
388682,14.7993,13.92,15.72,15.81,13.81,2021-09-13 04:00:00,2899,HUMA
345098,16.0105,15.75,15.62,16.95,15.32,2021-09-14 04:00:00,2619,HUMA
452495,14.4303,15.62,13.97,15.8939,13.85,2021-09-15 04:00:00,2967,HUMA
338041,14.2071,14.57,14.21,14.7847,13.72,2021-09-16 04:00:00,1984,HUMA
177668,14.1628,14.1,14.3,14.38,13.74,2021-09-17 04:00:00,1265,HUMA
237635,13.8087,13.24,13.97,14.15,13.2,2021-09-20 04:00:00,1781,HUMA
270324,14.0596,14.29,13.85,14.57,13.66,2021-09-21 04:00:00,1877,HUMA
305685,13.6638,14.5,13.25,14.5,13.17,2021-09-22 04:00:00,2567,HUMA
330177,12.866,13.28,12.55,13.7261,12.45,2021-09-23 04:00:00,2583,HUMA
168574,12.7212,12.74,12.55,13.38,12.411200000000001,2021-09-24 04:00:00,1717,HUMA
148070,12.8818,12.59,12.77,13.12,12.59,2021-09-27 04:00:00,1407,HUMA
173567,12.4062,12.5,12.53,12.7349,12.16,2021-09-28 04:00:00,1296,HUMA
235824,12.1696,12.78,11.94,13.0,11.66,2021-09-29 04:00:00,1729,HUMA
178579,11.7873,11.89,11.61,12.15,11.4,2021-09-30 04:00:00,1252,HUMA
255688,11.155,11.6999,11.03,11.89,10.74,2021-10-01 04:00:00,1869,HUMA
348475,10.4837,10.98,10.38,11.55,10.05,2021-10-04 04:00:00,2451,HUMA
115483,10.4945,10.29,10.62,10.98,10.2,2021-10-05 04:00:00,881,HUMA
174871,10.6083,10.65,10.36,10.97,10.3,2021-10-06 04:00:00,1414,HUMA
227260,10.6928,10.41,10.72,11.48,10.21,2021-10-07 04:00:00,2031,HUMA
108519,10.9159,10.73,10.99,11.0787,10.41,2021-10-08 04:00:00,645,HUMA
204764,10.5229,10.98,10.41,11.2,10.21,2021-10-11 04:00:00,1624,HUMA
217596,10.1337,10.41,10.05,10.8599,9.95,2021-10-12 04:00:00,2011,HUMA
112004,9.9947,10.06,10.03,10.25,9.91,2021-10-13 04:00:00,1128,HUMA
156622,9.9512,10.08,9.95,10.15,9.85,2021-10-14 04:00:00,1558,HUMA
394860,10.3703,10.025,10.22,10.7,10.0,2021-10-15 04:00:00,3036,HUMA
191181,9.9558,10.18,10.0,10.2514,9.77,2021-10-18 04:00:00,1839,HUMA
209412,9.941,10.2,9.88,10.2,9.85,2021-10-19 04:00:00,2194,HUMA
167690,10.0498,10.3,9.92,10.41,9.75,2021-10-20 04:00:00,1394,HUMA
88644,9.8541,9.85,9.84,9.9999,9.72,2021-10-21 04:00:00,767,HUMA
186506,9.8875,9.75,9.7,10.21,9.63,2021-10-22 04:00:00,1698,HUMA
192045,9.6503,9.71,9.82,9.91,9.3,2021-10-25 04:00:00,1957,HUMA
1252373,9.1135,9.23,8.76,9.6078,8.67,2021-10-26 04:00:00,8304,HUMA
1058251,9.0461,8.86,9.09,9.4,8.8,2021-10-27 04:00:00,9201,HUMA
677225,8.8335,9.12,8.68,9.14,8.61,2021-10-28 04:00:00,4973,HUMA
1665828,9.1676,9.0,9.1,9.58,8.76,2021-10-29 04:00:00,11549,HUMA
1791345,10.009,9.42,10.8,10.9,9.05,2021-11-01 04:00:00,12190,HUMA
493832,10.5939,10.64,10.58,10.94,10.16,2021-11-02 04:00:00,3640,HUMA
888872,11.2154,10.62,11.07,12.25,10.4,2021-11-03 04:00:00,6598,HUMA
331766,10.9568,11.07,10.89,11.33,10.64,2021-11-04 04:00:00,2973,HUMA
215153,10.775500000000001,11.15,10.76,11.372,10.4144,2021-11-05 04:00:00,1849,HUMA
310391,10.6087,10.62,10.64,10.91,10.31,2021-11-08 05:00:00,2648,HUMA
