volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
165006,1.6536,1.63,1.65,1.7000000000000002,1.63,2020-02-20 05:00:00,1821,IDRA
182606,1.6947,1.6400000000000001,1.6800000000000002,1.72,1.6400000000000001,2020-02-21 05:00:00,681,IDRA
214914,1.5875,1.6,1.62,1.6536,1.56,2020-02-24 05:00:00,637,IDRA
158808,1.584,1.6099999999999999,1.5899999999999999,1.65,1.55,2020-02-25 05:00:00,899,IDRA
139881,1.5676999999999999,1.6,1.55,1.63,1.53,2020-02-26 05:00:00,494,IDRA
266003,1.5192,1.52,1.54,1.57,1.4835,2020-02-27 05:00:00,1054,IDRA
180823,1.5413000000000001,1.5,1.5899999999999999,1.5899999999999999,1.48,2020-02-28 05:00:00,1137,IDRA
243569,1.6863000000000001,1.6400000000000001,1.69,1.76,1.56,2020-03-02 05:00:00,872,IDRA
122766,1.6169,1.69,1.5899999999999999,1.69,1.5899999999999999,2020-03-03 05:00:00,674,IDRA
70206,1.6120999999999999,1.63,1.6,1.65,1.58,2020-03-04 05:00:00,377,IDRA
131725,1.6063,1.63,1.62,1.6400000000000001,1.58,2020-03-05 05:00:00,527,IDRA
131217,1.5737,1.6,1.56,1.6099999999999999,1.55,2020-03-06 05:00:00,695,IDRA
255637,1.4942,1.6099999999999999,1.3900000000000001,1.6099999999999999,1.38,2020-03-09 04:00:00,1135,IDRA
146549,1.4914,1.6099999999999999,1.52,1.69,1.4100000000000001,2020-03-10 04:00:00,734,IDRA
279441,1.376,1.5,1.38,1.5,1.35,2020-03-11 04:00:00,965,IDRA
309782,1.1397,1.3,1.06,1.3,1.03,2020-03-12 04:00:00,871,IDRA
358264,1.0702,1.25,1.18,1.25,0.89,2020-03-13 04:00:00,1001,IDRA
135935,1.0152,0.8130000000000001,1.07,1.15,0.8130000000000001,2020-03-16 04:00:00,579,IDRA
107667,1.1621,1.07,1.2,1.24,1.07,2020-03-17 04:00:00,620,IDRA
69143,1.1287,1.2,1.13,1.2,1.05,2020-03-18 04:00:00,395,IDRA
96052,1.2283,1.17,1.21,1.29,1.17,2020-03-19 04:00:00,347,IDRA
98469,1.2379,1.22,1.23,1.3,1.2,2020-03-20 04:00:00,344,IDRA
103908,1.2284,1.23,1.26,1.29,1.16,2020-03-23 04:00:00,327,IDRA
244373,1.2411,1.27,1.21,1.29,1.2,2020-03-24 04:00:00,436,IDRA
131102,1.2557,1.25,1.27,1.3,1.22,2020-03-25 04:00:00,533,IDRA
230944,1.3407,1.29,1.3900000000000001,1.45,1.25,2020-03-26 04:00:00,602,IDRA
86775,1.329,1.37,1.4100000000000001,1.45,1.25,2020-03-27 04:00:00,368,IDRA
43884,1.4066,1.47,1.42,1.47,1.3599999999999999,2020-03-30 04:00:00,315,IDRA
257478,1.3205,1.44,1.32,1.44,1.21,2020-03-31 04:00:00,1005,IDRA
51085,1.2788,1.25,1.28,1.32,1.25,2020-04-01 04:00:00,307,IDRA
52254,1.2693,1.3,1.25,1.32,1.25,2020-04-02 04:00:00,231,IDRA
49877,1.2058,1.25,1.23,1.29,1.18,2020-04-03 04:00:00,250,IDRA
53401,1.2722,1.26,1.26,1.3114,1.23,2020-04-06 04:00:00,289,IDRA
201972,1.4731,1.32,1.24,1.37,1.215,2020-04-07 04:00:00,818,IDRA
997964,1.5537,1.7000000000000002,1.46,1.71,1.3802,2020-04-08 04:00:00,2718,IDRA
148399,1.4349,1.5,1.43,1.51,1.3900000000000001,2020-04-09 04:00:00,721,IDRA
633307,1.6144,1.6,1.6400000000000001,1.67,1.57,2020-04-13 04:00:00,1775,IDRA
249093,1.7107999999999999,1.72,1.75,1.75,1.6800000000000002,2020-04-14 04:00:00,1022,IDRA
315987,1.6859000000000002,1.72,1.73,1.82,1.58,2020-04-15 04:00:00,942,IDRA
311216,1.8050000000000002,1.7000000000000002,1.81,1.8799000000000001,1.67,2020-04-16 04:00:00,1021,IDRA
169910,1.823,1.88,1.8,1.8900000000000001,1.77,2020-04-17 04:00:00,688,IDRA
564299,2.0552,1.75,2.07,2.19,1.75,2020-04-20 04:00:00,1450,IDRA
354430,1.9687000000000001,1.98,1.9,2.108,1.9,2020-04-21 04:00:00,873,IDRA
271839,2.0612,1.98,2.07,2.12,1.96,2020-04-22 04:00:00,1122,IDRA
256009,2.0422,2.12,2.03,2.13,1.98,2020-04-23 04:00:00,889,IDRA
170699,2.0486,2.05,2.04,2.0966,2.0,2020-04-24 04:00:00,1058,IDRA
303796,2.0313,2.0,2.04,2.05,1.9961000000000002,2020-04-27 04:00:00,1360,IDRA
219698,1.9683000000000002,2.05,1.9,2.05,1.895,2020-04-28 04:00:00,967,IDRA
156736,2.0074,1.97,2.0,2.05,1.9154,2020-04-29 04:00:00,792,IDRA
125557,1.9324,2.0,1.94,2.0,1.9,2020-04-30 04:00:00,782,IDRA
208914,1.8141,1.9,1.83,1.9100000000000001,1.75,2020-05-01 04:00:00,859,IDRA
95266,1.7917,1.75,1.82,1.85,1.73,2020-05-04 04:00:00,424,IDRA
54943,1.853,1.79,1.85,1.9,1.71,2020-05-05 04:00:00,379,IDRA
44983,1.8567,1.8399999999999999,1.85,1.8900000000000001,1.82,2020-05-06 04:00:00,345,IDRA
68265,1.8227,1.8599999999999999,1.8399999999999999,1.87,1.79,2020-05-07 04:00:00,378,IDRA
130964,1.8553000000000002,1.8399999999999999,1.8900000000000001,1.9500000000000002,1.79,2020-05-08 04:00:00,661,IDRA
206902,1.9681000000000002,1.8900000000000001,1.9500000000000002,2.02,1.8645,2020-05-11 04:00:00,1089,IDRA
130121,1.9797,1.99,1.97,2.04,1.92,2020-05-12 04:00:00,698,IDRA
158268,1.8458999999999999,1.97,1.85,1.9706000000000001,1.76,2020-05-13 04:00:00,671,IDRA
97907,1.7892000000000001,1.85,1.82,1.85,1.75,2020-05-14 04:00:00,620,IDRA
90481,1.8089,1.75,1.83,1.85,1.75,2020-05-15 04:00:00,1072,IDRA
178067,1.8194,1.88,1.81,1.88,1.79,2020-05-18 04:00:00,851,IDRA
233910,1.7751000000000001,1.82,1.75,1.8599999999999999,1.71,2020-05-19 04:00:00,698,IDRA
63869,1.7727,1.75,1.8,1.81,1.74,2020-05-20 04:00:00,479,IDRA
78178,1.7868,1.8,1.78,1.83,1.73,2020-05-21 04:00:00,564,IDRA
79944,1.7671999999999999,1.8,1.79,1.8151000000000002,1.74,2020-05-22 04:00:00,525,IDRA
233500,1.9041000000000001,1.83,1.82,2.0,1.81,2020-05-26 04:00:00,1086,IDRA
147233,1.7947000000000002,1.83,1.8,1.8900000000000001,1.75,2020-05-27 04:00:00,607,IDRA
82513,1.762,1.8,1.74,1.8,1.73,2020-05-28 04:00:00,490,IDRA
78607,1.7497,1.74,1.73,1.78,1.73,2020-05-29 04:00:00,428,IDRA
176744,1.8227,1.73,1.81,1.85,1.725,2020-06-01 04:00:00,673,IDRA
3833767,2.2759,2.05,2.12,2.55,1.9598,2020-06-02 04:00:00,11697,IDRA
553020,2.0457,2.13,2.0,2.13,1.98,2020-06-03 04:00:00,1871,IDRA
327144,1.9148,2.01,1.9100000000000001,2.02,1.8599999999999999,2020-06-04 04:00:00,1176,IDRA
169672,1.9668,1.98,1.9500000000000002,2.04,1.92,2020-06-05 04:00:00,746,IDRA
177179,1.9778,1.99,1.96,2.0199,1.96,2020-06-08 04:00:00,876,IDRA
258434,2.0267,1.97,2.05,2.08,1.96,2020-06-09 04:00:00,1053,IDRA
153271,2.0601,2.06,2.05,2.1,2.04,2020-06-10 04:00:00,866,IDRA
399015,1.9593,2.02,1.9,2.05,1.8599999999999999,2020-06-11 04:00:00,1505,IDRA
122404,1.9026,1.9500000000000002,1.9100000000000001,1.98,1.85,2020-06-12 04:00:00,643,IDRA
186419,1.8424,1.88,1.92,1.94,1.77,2020-06-15 04:00:00,879,IDRA
230619,1.9717,1.96,1.97,2.01,1.8599999999999999,2020-06-16 04:00:00,1084,IDRA
153148,1.9327,1.94,1.8599999999999999,2.0,1.85,2020-06-17 04:00:00,554,IDRA
109500,1.9045,1.98,1.87,1.98,1.87,2020-06-18 04:00:00,496,IDRA
72842,1.8966,1.87,1.9,1.9341,1.82,2020-06-19 04:00:00,433,IDRA
141879,1.9141,1.8900000000000001,1.9300000000000002,1.96,1.88,2020-06-22 04:00:00,622,IDRA
358849,1.8521,1.96,1.85,1.96,1.81,2020-06-23 04:00:00,1621,IDRA
122064,1.8928,1.8399999999999999,1.8900000000000001,1.94,1.8399999999999999,2020-06-24 04:00:00,788,IDRA
215786,1.853,1.9,1.85,1.9300000000000002,1.82,2020-06-25 04:00:00,736,IDRA
132675,1.8223,1.8599999999999999,1.83,1.8599999999999999,1.8,2020-06-26 04:00:00,727,IDRA
132871,1.8022,1.85,1.79,1.85,1.77,2020-06-29 04:00:00,709,IDRA
71074,1.8065,1.79,1.79,1.85,1.78,2020-06-30 04:00:00,727,IDRA
216261,1.7723,1.8,1.79,1.81,1.74,2020-07-01 04:00:00,832,IDRA
103339,1.814,1.81,1.83,1.85,1.76,2020-07-02 04:00:00,718,IDRA
149304,1.7785000000000002,1.85,1.77,1.85,1.75,2020-07-06 04:00:00,595,IDRA
143436,1.7656,1.76,1.75,1.7999,1.75,2020-07-07 04:00:00,578,IDRA
593036,1.6652,1.76,1.71,1.81,1.5,2020-07-08 04:00:00,1633,IDRA
118968,1.732,1.6600000000000001,1.7501,1.8,1.6600000000000001,2020-07-09 04:00:00,484,IDRA
132567,1.7372,1.75,1.72,1.77,1.71,2020-07-10 04:00:00,506,IDRA
162002,1.7686000000000002,1.74,1.73,1.8399999999999999,1.71,2020-07-13 04:00:00,506,IDRA
70646,1.7262,1.75,1.73,1.75,1.7063000000000001,2020-07-14 04:00:00,358,IDRA
181480,1.8258,1.8599999999999999,1.79,1.8599999999999999,1.76,2020-07-15 04:00:00,661,IDRA
640667,1.9366,1.85,2.03,2.07,1.83,2020-07-16 04:00:00,2001,IDRA
1935518,2.6253,2.05,2.22,2.24,1.92,2020-07-17 04:00:00,7416,IDRA
4114805,2.6942,2.5,2.64,2.95,2.45,2020-07-20 04:00:00,12472,IDRA
936544,2.4283,2.58,2.48,2.59,2.25,2020-07-21 04:00:00,2980,IDRA
285554,2.4546,2.49,2.55,2.5519,2.38,2020-07-22 04:00:00,1169,IDRA
417387,2.3816,2.5300000000000002,2.3,2.5693,2.235,2020-07-23 04:00:00,1310,IDRA
