volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
696581,282.2777,290.22,281.45,292.97,278.5,2020-02-20 05:00:00,11835,IDXX
443302,278.2704,280.64,278.11,281.49,276.79,2020-02-21 05:00:00,7676,IDXX
595421,270.8248,274.47,269.81,275.61,267.36,2020-02-24 05:00:00,11285,IDXX
649059,260.0566,270.22,256.71,272.0168,255.35,2020-02-25 05:00:00,14475,IDXX
583924,261.178,258.65,259.45,265.775,258.24,2020-02-26 05:00:00,13711,IDXX
610154,255.1016,255.94,250.15,261.72,250.0,2020-02-27 05:00:00,13338,IDXX
1614736,247.855,242.22,254.51,254.94,238.04,2020-02-28 05:00:00,27516,IDXX
700708,257.2836,254.93,261.99,262.33,247.67,2020-03-02 05:00:00,16049,IDXX
728896,254.3339,259.25,251.25,263.73,247.63,2020-03-03 05:00:00,17674,IDXX
602595,259.2038,256.07,263.03,263.34,251.0,2020-03-04 05:00:00,13361,IDXX
524430,254.8445,258.17,255.16,260.01,250.97,2020-03-05 05:00:00,12445,IDXX
559182,247.6464,245.44,249.89,250.83,242.75,2020-03-06 05:00:00,12963,IDXX
909795,242.9658,236.1,242.83,246.34,230.5574,2020-03-09 04:00:00,19417,IDXX
605479,250.1335,251.99,255.36,256.0,241.35,2020-03-10 04:00:00,14745,IDXX
694423,246.6615,245.59,245.58,252.64,243.37,2020-03-11 04:00:00,16811,IDXX
1405469,238.7404,230.16,241.0,246.67,225.75,2020-03-12 04:00:00,27353,IDXX
1371035,243.5317,243.51,254.17,255.54,230.33,2020-03-13 04:00:00,25145,IDXX
1331989,230.7896,231.94,223.83,240.23,223.705,2020-03-16 04:00:00,22335,IDXX
1271000,220.5584,228.93,215.88,236.88,208.41,2020-03-17 04:00:00,26025,IDXX
1569273,205.8776,204.34,205.13,213.29,199.18,2020-03-18 04:00:00,24317,IDXX
1852318,193.5515,204.02,193.18,207.95,185.03,2020-03-19 04:00:00,25821,IDXX
1539269,187.8059,193.95,183.29,196.94,180.19,2020-03-20 04:00:00,22914,IDXX
1386239,178.4326,181.96,182.94,187.25,168.65,2020-03-23 04:00:00,22873,IDXX
1065890,200.7841,190.38,204.99,207.06,186.73,2020-03-24 04:00:00,18833,IDXX
892276,213.8989,204.78,214.23,223.85,200.66,2020-03-25 04:00:00,15748,IDXX
740473,223.3235,213.06,230.38,232.48,212.2,2020-03-26 04:00:00,17846,IDXX
857952,231.7413,223.54,231.75,237.05,223.54,2020-03-27 04:00:00,14717,IDXX
805175,238.2716,235.9,241.02,244.28,230.505,2020-03-30 04:00:00,14288,IDXX
1175693,245.7253,239.37,242.24,256.645,239.16,2020-03-31 04:00:00,20415,IDXX
940650,233.3697,237.81,230.66,239.275,227.7,2020-04-01 04:00:00,16909,IDXX
786736,235.9023,226.02,239.7,240.76,226.02,2020-04-02 04:00:00,16397,IDXX
946369,237.0453,237.88,234.55,244.0,233.25,2020-04-03 04:00:00,15630,IDXX
743328,250.4982,246.26,254.43,255.64,243.37,2020-04-06 04:00:00,13386,IDXX
723748,255.0714,260.66,251.74,264.99,247.64,2020-04-07 04:00:00,13913,IDXX
820247,251.3981,249.42,254.73,256.25,244.98,2020-04-08 04:00:00,15662,IDXX
633270,257.1448,256.02,258.58,261.06,252.865,2020-04-09 04:00:00,14489,IDXX
402734,253.1463,254.73,254.39,257.155,246.4,2020-04-13 04:00:00,8497,IDXX
486477,262.597,256.24,263.01,264.98,254.4,2020-04-14 04:00:00,9840,IDXX
443946,258.2707,255.02,257.82,260.97,251.22,2020-04-15 04:00:00,8711,IDXX
421332,261.8437,261.13,261.12,266.3323,258.0,2020-04-16 04:00:00,8757,IDXX
416275,264.6284,268.29,265.16,268.29,260.625,2020-04-17 04:00:00,9367,IDXX
471525,267.8234,263.38,267.34,273.28,262.01,2020-04-20 04:00:00,9730,IDXX
428400,259.437,263.0,259.23,265.3752,256.425,2020-04-21 04:00:00,8749,IDXX
521324,267.0176,261.72,268.12,269.87,261.19,2020-04-22 04:00:00,9968,IDXX
422865,270.0027,268.14,268.41,274.6,267.23,2020-04-23 04:00:00,8340,IDXX
416099,271.7845,271.55,271.8,274.32,268.18,2020-04-24 04:00:00,8059,IDXX
559251,275.3776,271.97,275.85,278.85,269.03,2020-04-27 04:00:00,9559,IDXX
582625,267.3151,275.0,264.25,276.95,263.95,2020-04-28 04:00:00,12099,IDXX
627732,271.5219,267.76,272.74,274.67,265.04,2020-04-29 04:00:00,12591,IDXX
761126,279.6473,276.98,277.6,289.0,272.74,2020-04-30 04:00:00,14119,IDXX
