volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
4311,20.4205,20.61,20.4,20.61,20.31,2020-02-20 05:00:00,58,IMOS
23569,20.2066,20.48,20.34,20.48,20.11,2020-02-21 05:00:00,247,IMOS
35088,20.0895,20.05,20.13,20.186,20.0,2020-02-24 05:00:00,367,IMOS
18960,19.962,20.15,19.75,20.17,19.75,2020-02-25 05:00:00,153,IMOS
15881,19.9798,20.07,20.0,20.1697,19.88,2020-02-26 05:00:00,167,IMOS
11105,19.2824,19.48,19.16,19.48,19.16,2020-02-27 05:00:00,185,IMOS
12139,18.9297,18.61,19.25,19.25,18.61,2020-02-28 05:00:00,142,IMOS
6067,19.4814,19.51,19.5644,19.64,19.31,2020-03-02 05:00:00,136,IMOS
14916,19.912,20.17,19.96,20.17,19.8,2020-03-03 05:00:00,142,IMOS
8976,19.7508,19.83,19.85,19.85,19.64,2020-03-04 05:00:00,91,IMOS
18557,19.8147,19.85,19.71,19.93,19.64,2020-03-05 05:00:00,152,IMOS
38319,19.9166,20.09,20.0,20.09,19.79,2020-03-06 05:00:00,332,IMOS
16660,19.9298,19.5,19.79,20.15,19.5,2020-03-09 04:00:00,164,IMOS
48883,21.3416,21.09,21.61,21.64,20.85,2020-03-10 04:00:00,263,IMOS
21747,19.665399999999998,20.04,19.51,20.04,19.4259,2020-03-11 04:00:00,222,IMOS
20498,17.7513,18.21,17.5,18.21,17.5,2020-03-12 04:00:00,226,IMOS
14264,17.7055,18.42,17.81,18.42,17.33,2020-03-13 04:00:00,212,IMOS
19974,16.3461,16.4,16.1,16.66,16.02,2020-03-16 04:00:00,216,IMOS
25553,16.3956,16.18,16.67,16.8,16.16,2020-03-17 04:00:00,206,IMOS
40642,15.7258,15.97,15.75,16.15,15.0,2020-03-18 04:00:00,278,IMOS
23900,15.7485,15.5,15.42,16.085,15.18,2020-03-19 04:00:00,203,IMOS
52221,16.2776,16.39,15.9,16.8,15.81,2020-03-20 04:00:00,334,IMOS
30044,15.9439,15.95,16.07,16.13,15.72,2020-03-23 04:00:00,287,IMOS
25156,17.123,17.15,17.47,17.63,16.7,2020-03-24 04:00:00,231,IMOS
29270,17.7697,17.2,17.71,17.93,17.06,2020-03-25 04:00:00,233,IMOS
9993,17.622,17.5,17.82,17.82,17.2301,2020-03-26 04:00:00,122,IMOS
16915,16.8397,16.9,16.55,17.09,16.49,2020-03-27 04:00:00,176,IMOS
15793,17.3152,17.0,17.41,17.45,17.0,2020-03-30 04:00:00,206,IMOS
15507,17.4573,17.41,17.49,17.67,17.37,2020-03-31 04:00:00,178,IMOS
10624,17.2408,17.3,17.17,17.36,17.16,2020-04-01 04:00:00,129,IMOS
11371,17.4096,17.3,17.5,17.55,17.3,2020-04-02 04:00:00,96,IMOS
17737,17.2588,17.52,17.26,17.555,17.07,2020-04-03 04:00:00,149,IMOS
20902,17.5006,17.6,17.44,17.68,17.37,2020-04-06 04:00:00,224,IMOS
19494,18.2019,18.45,17.94,18.45,17.93,2020-04-07 04:00:00,196,IMOS
21704,18.4553,18.283,18.47,18.67,18.283,2020-04-08 04:00:00,226,IMOS
22831,18.5714,18.46,18.18,19.22,18.11,2020-04-09 04:00:00,221,IMOS
41541,18.1498,18.21,18.04,18.3787,18.03,2020-04-13 04:00:00,407,IMOS
67308,18.4211,18.58,18.36,18.64,18.32,2020-04-14 04:00:00,579,IMOS
43154,18.9066,18.9,18.91,19.0169,18.8,2020-04-15 04:00:00,329,IMOS
15826,19.089,19.17,19.19,19.3,18.91,2020-04-16 04:00:00,171,IMOS
10195,18.9477,18.91,19.0,19.07,18.82,2020-04-17 04:00:00,109,IMOS
6974,19.2633,19.18,19.24,19.37,19.1,2020-04-20 04:00:00,89,IMOS
15526,18.4966,18.54,18.44,18.7,18.43,2020-04-21 04:00:00,135,IMOS
6887,18.9799,18.94,19.01,19.04,18.9021,2020-04-22 04:00:00,120,IMOS
7285,18.822,18.76,18.76,18.9191,18.75,2020-04-23 04:00:00,95,IMOS
10310,19.0906,19.2,19.04,19.2,18.9201,2020-04-24 04:00:00,94,IMOS
29100,19.7943,19.6,20.09,20.09,19.5,2020-04-27 04:00:00,263,IMOS
6287,19.7219,19.95,19.49,20.0304,19.49,2020-04-28 04:00:00,99,IMOS
4692,19.9591,19.96,20.01,20.01,19.88,2020-04-29 04:00:00,125,IMOS
7711,20.0325,20.11,19.97,20.1999,19.9401,2020-04-30 04:00:00,74,IMOS
9166,19.6013,19.8,19.6,19.8,19.51,2020-05-01 04:00:00,94,IMOS
17421,20.4868,20.6,20.63,20.74,20.25,2020-05-04 04:00:00,161,IMOS
24580,20.8481,20.53,20.85,21.04,20.53,2020-05-05 04:00:00,265,IMOS
25593,21.425,21.7,21.2,21.8,21.13,2020-05-06 04:00:00,251,IMOS
19153,20.5676,20.8,20.89,20.97,19.0349,2020-05-07 04:00:00,193,IMOS
18437,21.2969,21.09,21.52,21.52,20.81,2020-05-08 04:00:00,153,IMOS
11925,21.4567,21.27,21.56,21.6,21.27,2020-05-11 04:00:00,163,IMOS
9241,21.3568,21.47,21.32,21.47,21.26,2020-05-12 04:00:00,140,IMOS
16750,21.2797,21.41,21.16,21.5,21.08,2020-05-13 04:00:00,150,IMOS
8187,20.5685,20.52,20.61,20.7699,20.3,2020-05-14 04:00:00,141,IMOS
7199,20.3205,20.24,20.18,20.4999,20.17,2020-05-15 04:00:00,87,IMOS
11360,20.3478,20.24,20.25,20.57,20.2138,2020-05-18 04:00:00,201,IMOS
6113,20.0702,20.17,19.95,20.25,19.95,2020-05-19 04:00:00,90,IMOS
3699,20.4327,20.54,20.38,20.6,20.27,2020-05-20 04:00:00,44,IMOS
7365,20.7545,20.65,20.795,21.0,20.6,2020-05-21 04:00:00,89,IMOS
7150,20.2841,20.54,20.345,20.54,20.2338,2020-05-22 04:00:00,79,IMOS
10140,20.5362,20.53,20.25,21.04,20.25,2020-05-26 04:00:00,96,IMOS
6673,20.5896,20.61,20.77,20.77,20.33,2020-05-27 04:00:00,92,IMOS
11793,20.5283,20.3,20.27,20.7,20.26,2020-05-28 04:00:00,108,IMOS
3093,20.3104,20.4,20.36,20.4,20.14,2020-05-29 04:00:00,49,IMOS
12458,20.8688,21.0,20.89,21.19,20.736,2020-06-01 04:00:00,111,IMOS
35166,22.1032,21.29,22.45,22.48,21.29,2020-06-02 04:00:00,246,IMOS
8180,21.8693,21.93,22.2131,22.2131,21.1905,2020-06-03 04:00:00,68,IMOS
20242,21.4984,21.67,21.26,21.83,21.25,2020-06-04 04:00:00,242,IMOS
3936,22.1772,22.6735,22.24,22.6735,21.85,2020-06-05 04:00:00,68,IMOS
2747,22.1418,22.28,21.93,22.43,21.76,2020-06-08 04:00:00,46,IMOS
11969,21.6439,21.77,21.61,21.84,21.5,2020-06-09 04:00:00,80,IMOS
17270,21.9254,22.2899,21.9,22.2899,21.68,2020-06-10 04:00:00,98,IMOS
10597,21.7893,22.04,21.54,22.04,21.5,2020-06-11 04:00:00,134,IMOS
