volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1892,9.7786,9.72,9.7,9.72,9.7,2021-03-29 04:00:00,22,ISLE
164368,9.6491,9.75,9.6,9.75,9.6,2021-03-30 04:00:00,1702,ISLE
135045,9.6966,9.6,9.69,9.75,9.6,2021-03-31 04:00:00,336,ISLE
224797,9.6554,9.71,9.7,9.73,9.62,2021-04-01 04:00:00,122,ISLE
25529,9.7459,9.66,9.77,9.77,9.66,2021-04-05 04:00:00,265,ISLE
90115,9.734,9.7,9.72,9.76,9.7,2021-04-06 04:00:00,308,ISLE
27931,9.7751,9.77,9.78,9.78,9.77,2021-04-07 04:00:00,206,ISLE
16507,9.7653,9.7799,9.77,9.78,9.73,2021-04-08 04:00:00,114,ISLE
129879,9.7632,9.7161,9.8,9.8,9.7161,2021-04-09 04:00:00,348,ISLE
70029,9.7715,9.74,9.78,9.8,9.74,2021-04-12 04:00:00,404,ISLE
116774,9.7384,9.755,9.79,9.79,9.72,2021-04-13 04:00:00,476,ISLE
246160,9.7977,9.745,9.805,9.81,9.745,2021-04-14 04:00:00,754,ISLE
119057,9.8055,9.76,9.825,9.84,9.76,2021-04-15 04:00:00,454,ISLE
165928,9.8131,9.85,9.82,9.85,9.75,2021-04-16 04:00:00,739,ISLE
49977,9.8047,9.76,9.82,9.825,9.76,2021-04-19 04:00:00,297,ISLE
86898,9.7964,9.8,9.795,9.8,9.77,2021-04-20 04:00:00,346,ISLE
94579,9.7968,9.785,9.84,9.85,9.77,2021-04-21 04:00:00,332,ISLE
42623,9.8049,9.81,9.85,9.85,9.76,2021-04-22 04:00:00,281,ISLE
9654,9.8036,9.82,9.81,9.82,9.79,2021-04-23 04:00:00,93,ISLE
71169,9.7982,9.8,9.78,9.8,9.78,2021-04-26 04:00:00,188,ISLE
80185,9.797,9.8,9.78,9.8,9.77,2021-04-27 04:00:00,51,ISLE
65687,9.7967,9.78,9.7891,9.8,9.775,2021-04-28 04:00:00,127,ISLE
1557,9.7978,9.8,9.79,9.8,9.79,2021-04-29 04:00:00,7,ISLE
16373,9.7917,9.8,9.8,9.8,9.78,2021-04-30 04:00:00,129,ISLE
28726,9.7998,9.8,9.8,9.8,9.79,2021-05-03 04:00:00,91,ISLE
40107,9.786,9.78,9.8,9.8,9.77,2021-05-04 04:00:00,232,ISLE
81570,9.7981,9.8,9.795,9.8,9.79,2021-05-05 04:00:00,526,ISLE
3243,9.793800000000001,9.79,9.79,9.8,9.79,2021-05-06 04:00:00,55,ISLE
66232,9.7995,9.785,9.79,9.8,9.78,2021-05-07 04:00:00,138,ISLE
1884,9.7645,9.75,9.79,9.79,9.75,2021-05-10 04:00:00,52,ISLE
3398,9.7863,9.76,9.79,9.79,9.76,2021-05-11 04:00:00,54,ISLE
5646,9.7802,9.76,9.8,9.8,9.76,2021-05-12 04:00:00,237,ISLE
141782,9.7405,9.79,9.745,9.79,9.73,2021-05-13 04:00:00,161,ISLE
157091,9.736,9.74,9.74,9.79,9.72,2021-05-14 04:00:00,255,ISLE
166248,9.6852,9.74,9.7,9.74,9.67,2021-05-17 04:00:00,293,ISLE
13475,9.6929,9.7,9.69,9.71,9.68,2021-05-18 04:00:00,83,ISLE
29160,9.6931,9.7,9.69,9.72,9.68,2021-05-19 04:00:00,180,ISLE
30907,9.6946,9.7,9.72,9.72,9.67,2021-05-20 04:00:00,94,ISLE
18890,9.7192,9.72,9.77,9.8,9.69,2021-05-21 04:00:00,217,ISLE
4550,9.7183,9.74,9.72,9.74,9.7089,2021-05-24 04:00:00,29,ISLE
13258,9.7133,9.72,9.72,9.74,9.7,2021-05-25 04:00:00,131,ISLE
17517,9.7294,9.74,9.74,9.74,9.7,2021-05-26 04:00:00,66,ISLE
17744,9.7416,9.74,9.74,9.76,9.74,2021-05-27 04:00:00,70,ISLE
18829,9.7353,9.7038,9.73,9.77,9.7038,2021-05-28 04:00:00,86,ISLE
33196,9.7203,9.76,9.72,9.76,9.71,2021-06-01 04:00:00,28,ISLE
10046,9.7548,9.7256,9.74,9.7602,9.7256,2021-06-02 04:00:00,76,ISLE
23496,9.7607,9.75,9.76,9.77,9.75,2021-06-03 04:00:00,148,ISLE
59692,9.7384,9.76,9.74,9.76,9.71,2021-06-04 04:00:00,405,ISLE
73817,9.6915,9.72,9.71,9.72,9.67,2021-06-07 04:00:00,404,ISLE
64275,9.6918,9.69,9.71,9.72,9.69,2021-06-08 04:00:00,107,ISLE
22405,9.7357,9.73,9.73,9.75,9.73,2021-06-09 04:00:00,68,ISLE
