volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
15987,6.6519,6.7,6.7,6.72,6.55,2020-02-20 05:00:00,251,JCS
22902,6.7275,6.77,6.78,6.78,6.63,2020-02-21 05:00:00,260,JCS
39521,6.5707,6.6,6.41,6.7,6.405,2020-02-24 05:00:00,271,JCS
46233,6.2733,6.48,6.12,6.55,6.02,2020-02-25 05:00:00,310,JCS
27373,5.9949,6.12,5.8,6.18,5.8,2020-02-26 05:00:00,199,JCS
93380,5.5226,5.79,5.6,5.79,5.25,2020-02-27 05:00:00,647,JCS
50538,5.4729,5.28,5.7,6.0,5.2729,2020-02-28 05:00:00,389,JCS
14462,5.8549,5.68,6.13,6.13,5.65,2020-03-02 05:00:00,125,JCS
24848,6.0049,6.13,6.16,6.25,5.8100000000000005,2020-03-03 05:00:00,225,JCS
50614,5.8791,6.17,5.86,6.17,5.7173,2020-03-04 05:00:00,406,JCS
18190,5.7966,5.86,5.59,5.99,5.58,2020-03-05 05:00:00,325,JCS
23689,5.5182,5.5,5.41,5.77,5.41,2020-03-06 05:00:00,350,JCS
56305,4.9392,5.24,4.97,5.24,4.5,2020-03-09 04:00:00,364,JCS
18258,5.0688,5.34,5.14,5.34,4.9626,2020-03-10 04:00:00,214,JCS
98222,5.1844,5.1,5.47,5.48,4.8511,2020-03-11 04:00:00,516,JCS
44688,5.0553,5.35,5.1,5.35,4.5,2020-03-12 04:00:00,298,JCS
50066,5.1182,5.34,5.35,5.5,4.5201,2020-03-13 04:00:00,536,JCS
60156,4.9005,4.93,4.86,5.1,4.55,2020-03-16 04:00:00,412,JCS
100844,4.4979,4.86,4.41,4.86,4.1,2020-03-17 04:00:00,339,JCS
44144,3.854,4.41,3.98,4.42,3.5000999999999998,2020-03-18 04:00:00,208,JCS
32483,4.1668,3.83,4.5,4.5600000000000005,3.83,2020-03-19 04:00:00,168,JCS
19825,4.4873,4.55,4.3,4.7269,4.26,2020-03-20 04:00:00,102,JCS
47719,3.9736000000000002,4.34,4.09,4.38,3.635,2020-03-23 04:00:00,242,JCS
33305,4.22,4.1,4.27,4.399,3.8810000000000002,2020-03-24 04:00:00,201,JCS
28202,4.421,4.27,4.45,4.5799,4.25,2020-03-25 04:00:00,214,JCS
67165,4.7491,4.42,4.72,4.89,4.42,2020-03-26 04:00:00,284,JCS
