volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1440,7.7953,7.8,7.8100000000000005,7.82,7.8,2020-02-20 05:00:00,22,JCTCF
6029,7.9695,7.8,7.811,8.0,7.8,2020-02-21 05:00:00,20,JCTCF
226,7.4975,7.43,7.47,7.47,7.43,2020-02-24 05:00:00,11,JCTCF
1170,7.336,7.3461,7.34,7.43,7.3069,2020-02-25 05:00:00,4,JCTCF
1201,7.4724,7.34,7.48,7.53,7.34,2020-02-26 05:00:00,5,JCTCF
551,7.3773,7.3514,7.34,7.3514,7.32,2020-02-27 05:00:00,6,JCTCF
17228,7.0254,7.25,7.0,7.25,7.0,2020-02-28 05:00:00,28,JCTCF
2489,7.0169,7.0,7.0075,7.05,7.0,2020-03-02 05:00:00,15,JCTCF
3461,7.0,7.0,7.0001,7.0001,7.0,2020-03-03 05:00:00,12,JCTCF
513,7.0116,7.0,7.0,7.0223,7.0,2020-03-04 05:00:00,7,JCTCF
1261,7.0032,7.0,7.0,7.0,7.0,2020-03-05 05:00:00,14,JCTCF
2506,7.0089,7.0,6.95,7.025,6.95,2020-03-06 05:00:00,12,JCTCF
872,6.8371,7.09,6.39,7.09,6.39,2020-03-09 04:00:00,16,JCTCF
573,6.755,7.0,6.99,7.0,6.39,2020-03-10 04:00:00,24,JCTCF
2221,6.9493,6.5760000000000005,6.95,7.06,6.5760000000000005,2020-03-11 04:00:00,19,JCTCF
465,6.1204,6.0,6.0,6.47,6.0,2020-03-12 04:00:00,8,JCTCF
446,6.0345,6.05,6.05,6.05,6.05,2020-03-13 04:00:00,13,JCTCF
1162,5.3834,5.4739,5.4739,5.4739,5.4739,2020-03-16 04:00:00,22,JCTCF
456,5.4001,5.3636,5.32,5.3636,5.32,2020-03-17 04:00:00,11,JCTCF
314,5.2755,5.29,5.29,5.29,5.29,2020-03-18 04:00:00,8,JCTCF
868,5.211,5.28,5.03,5.28,5.03,2020-03-20 04:00:00,12,JCTCF
1099,5.4051,5.0,5.46,5.51,5.0,2020-03-23 04:00:00,10,JCTCF
2365,5.5083,5.42,5.5,5.5,5.42,2020-03-25 04:00:00,9,JCTCF
1472,5.4804,5.533,5.17,5.533,5.17,2020-03-26 04:00:00,9,JCTCF
641,5.3244,5.25,5.28,5.28,5.25,2020-03-27 04:00:00,10,JCTCF
383,5.4664,5.37,5.37,5.37,5.37,2020-03-30 04:00:00,11,JCTCF
471,5.4896,5.38,5.38,5.38,5.38,2020-03-31 04:00:00,9,JCTCF
216,5.3911999999999995,5.34,5.34,5.34,5.34,2020-04-01 04:00:00,9,JCTCF
461,5.3853,5.25,5.25,5.25,5.25,2020-04-02 04:00:00,11,JCTCF
516,5.2884,5.3,5.25,5.3,5.25,2020-04-03 04:00:00,9,JCTCF
2469,5.5477,5.25,5.6225000000000005,5.72,5.25,2020-04-06 04:00:00,41,JCTCF
1928,5.7976,5.79,5.8,5.8,5.77,2020-04-07 04:00:00,11,JCTCF
1448,5.7386,5.4999,5.97,5.97,5.4631,2020-04-09 04:00:00,24,JCTCF
358,6.5692,6.39,6.72,6.72,6.39,2020-04-13 04:00:00,8,JCTCF
674,6.598,6.7,6.09,6.7,6.09,2020-04-15 04:00:00,8,JCTCF
319,6.0501,6.03,6.03,6.03,6.03,2020-04-16 04:00:00,9,JCTCF
17843,5.2192,5.29,5.41,5.4657,5.1,2020-04-20 04:00:00,57,JCTCF
7285,5.248,5.43,5.25,5.43,5.16,2020-04-21 04:00:00,37,JCTCF
2657,5.2225,5.24,5.2,5.3,5.1,2020-04-22 04:00:00,13,JCTCF
1108,5.57,5.7,5.4974,5.71,5.3,2020-04-23 04:00:00,17,JCTCF
1235,5.2337,5.2,5.3812,5.3812,5.2,2020-04-24 04:00:00,7,JCTCF
1340,5.2676,5.35,5.44,5.44,5.11,2020-04-27 04:00:00,11,JCTCF
2607,5.388,5.37,5.42,5.4277,5.35,2020-04-28 04:00:00,29,JCTCF
1776,5.4981,5.42,5.93,5.93,5.42,2020-04-29 04:00:00,15,JCTCF
599,5.471,5.41,5.4,5.5,5.4,2020-04-30 04:00:00,12,JCTCF
1459,5.6287,5.63,5.6,5.63,5.53,2020-05-01 04:00:00,20,JCTCF
103,5.6,5.6,5.6,5.6,5.6,2020-05-05 04:00:00,2,JCTCF
171,5.6246,5.53,5.53,5.53,5.53,2020-05-06 04:00:00,6,JCTCF
714,5.744,5.65,5.66,5.84,5.65,2020-05-07 04:00:00,20,JCTCF
1093,5.8922,5.85,5.85,5.85,5.85,2020-05-08 04:00:00,19,JCTCF
1128,6.0108,5.61,6.17,6.17,5.61,2020-05-11 04:00:00,18,JCTCF
590,6.4675,6.495,6.495,6.495,6.495,2020-05-12 04:00:00,24,JCTCF
3906,5.8624,5.92,5.82,5.92,5.55,2020-05-13 04:00:00,25,JCTCF
6237,5.8314,5.85,5.76,5.875,5.75,2020-05-14 04:00:00,34,JCTCF
8418,5.8636,5.84,5.85,6.13,5.8,2020-05-15 04:00:00,39,JCTCF
308,6.1381,6.312,5.99,6.312,5.99,2020-05-18 04:00:00,7,JCTCF
329,6.0343,6.0,6.0,6.0,6.0,2020-05-19 04:00:00,7,JCTCF
714,6.2936,6.0101,6.45,6.61,6.0101,2020-05-20 04:00:00,9,JCTCF
4282,5.9438,5.62,5.925,6.0,5.62,2020-05-22 04:00:00,30,JCTCF
267,6.0478,5.95,6.09,6.09,5.95,2020-05-26 04:00:00,7,JCTCF
1427,6.2558,6.05,6.2,6.3743,6.05,2020-05-27 04:00:00,11,JCTCF
759,6.2595,6.5,6.05,6.5,6.05,2020-05-28 04:00:00,7,JCTCF
5453,6.0297,6.05,6.0,6.05,6.0,2020-05-29 04:00:00,22,JCTCF
5232,6.0417,6.08,5.95,6.08,5.95,2020-06-01 04:00:00,27,JCTCF
8897,6.0336,6.0,6.0,6.1554,5.96,2020-06-02 04:00:00,36,JCTCF
624,6.122,6.1289,6.1,6.1289,6.05,2020-06-03 04:00:00,16,JCTCF
1137,6.1224,6.1,6.1215,6.15,6.1,2020-06-04 04:00:00,8,JCTCF
140,6.1698,6.16,6.16,6.16,6.16,2020-06-05 04:00:00,6,JCTCF
2724,6.4578,6.375,6.5,6.5,6.25,2020-06-08 04:00:00,48,JCTCF
351,7.0731,7.0,7.0,7.0,7.0,2020-06-09 04:00:00,24,JCTCF
831,6.7524,6.7857,6.53,6.7857,6.53,2020-06-10 04:00:00,9,JCTCF
3551,6.5292,6.55,6.76,6.76,6.5,2020-06-11 04:00:00,25,JCTCF
545,6.6689,6.3,6.75,6.75,6.3,2020-06-15 04:00:00,14,JCTCF
1679,7.3433,6.65,7.216,7.62,6.65,2020-06-16 04:00:00,19,JCTCF
331,7.042,6.75,6.75,6.75,6.75,2020-06-17 04:00:00,12,JCTCF
478,6.6272,6.46,6.41,6.46,6.41,2020-06-19 04:00:00,23,JCTCF
515,6.6132,6.36,6.6,6.6,6.36,2020-06-22 04:00:00,18,JCTCF
527,6.564,6.41,6.6,6.6,6.41,2020-06-23 04:00:00,18,JCTCF
844,6.7492,6.7501,6.75,6.7501,6.75,2020-06-24 04:00:00,21,JCTCF
1198,6.8871,7.0,6.75,7.0,6.75,2020-06-25 04:00:00,28,JCTCF
1008,7.0735,6.55,7.44,7.44,6.53,2020-06-26 04:00:00,36,JCTCF
1672,7.341,7.43,7.425,7.43,6.7,2020-06-29 04:00:00,26,JCTCF
5878,7.1668,6.77,7.3838,7.42,6.76,2020-06-30 04:00:00,55,JCTCF
2284,6.9053,7.12,6.85,7.16,6.85,2020-07-01 04:00:00,30,JCTCF
135,6.5827,6.51,6.51,6.51,6.51,2020-07-06 04:00:00,7,JCTCF
1851,6.7094000000000005,6.7,6.7134,6.7134,6.7,2020-07-07 04:00:00,12,JCTCF
106,6.7113,6.7,6.7,6.7,6.7,2020-07-08 04:00:00,3,JCTCF
183,6.5919,6.5,6.5,6.5,6.5,2020-07-09 04:00:00,7,JCTCF
231,6.6126000000000005,6.5,6.7,6.7,6.5,2020-07-10 04:00:00,7,JCTCF
1502,6.5197,6.53,6.4382,6.6475,6.3,2020-07-13 04:00:00,20,JCTCF
102,6.4534,6.45,6.45,6.45,6.45,2020-07-14 04:00:00,2,JCTCF
