volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5867809,10.0637,10.1,10.06,10.1098,10.02,2021-03-11 05:00:00,6714,LCAAU
281300,10.044,10.06,10.05,10.06,10.02,2021-03-12 05:00:00,1351,LCAAU
857842,10.0311,10.05,10.03,10.0553,10.02,2021-03-15 04:00:00,202,LCAAU
1131523,10.0095,10.05,10.0,10.07,9.96,2021-03-16 04:00:00,1823,LCAAU
25229,10.0058,10.0,9.99,10.05,9.99,2021-03-17 04:00:00,63,LCAAU
59804,10.0108,10.05,9.99,10.05,9.99,2021-03-18 04:00:00,177,LCAAU
657941,10.0152,10.0,10.03,10.03,9.99,2021-03-19 04:00:00,298,LCAAU
730435,10.0828,10.005,10.1,10.15,9.98,2021-03-22 04:00:00,544,LCAAU
189978,10.0823,10.1,10.01,10.15,10.0,2021-03-23 04:00:00,168,LCAAU
95259,9.922,9.98,9.81,10.02,9.81,2021-03-24 04:00:00,311,LCAAU
197766,9.8315,9.81,10.02,10.04,9.78,2021-03-25 04:00:00,472,LCAAU
2607,9.9686,9.9391,9.98,9.99,9.9391,2021-03-26 04:00:00,27,LCAAU
3690,10.0122,9.9911,10.02,10.0293,9.9911,2021-03-29 04:00:00,27,LCAAU
90251,9.9765,9.96,9.95,10.02,9.9,2021-03-30 04:00:00,157,LCAAU
93615,9.9572,9.95,9.95,9.985,9.94,2021-03-31 04:00:00,125,LCAAU
6144,10.0368,10.02,10.06,10.06,10.02,2021-04-01 04:00:00,31,LCAAU
9535,10.1241,10.1,10.065,10.25,10.05,2021-04-05 04:00:00,83,LCAAU
10027,10.0324,10.15,10.03,10.15,10.0,2021-04-06 04:00:00,60,LCAAU
31007,10.0073,10.005,10.0,10.035,10.0,2021-04-07 04:00:00,345,LCAAU
118332,10.0048,10.03,10.02,10.06,10.0,2021-04-08 04:00:00,607,LCAAU
103188,10.0734,10.05,10.05,10.1,10.05,2021-04-09 04:00:00,46,LCAAU
84510,10.1156,10.04,10.1,10.49,10.04,2021-04-12 04:00:00,359,LCAAU
284156,10.0671,10.06,10.05,10.13,10.05,2021-04-13 04:00:00,1178,LCAAU
100905,10.0604,10.1199,10.1,10.12,10.1,2021-04-14 04:00:00,7,LCAAU
160,10.0574,10.06,10.06,10.06,10.06,2021-04-15 04:00:00,3,LCAAU
41094,10.0807,10.1,10.1,10.1,10.05,2021-04-16 04:00:00,45,LCAAU
3404,10.0939,10.17,10.09,10.17,10.06,2021-04-19 04:00:00,36,LCAAU
37700,10.0516,10.05,10.06,10.1,10.02,2021-04-20 04:00:00,113,LCAAU
45496,10.0336,10.02,10.03,10.1,10.02,2021-04-21 04:00:00,49,LCAAU
2210,10.0415,10.06,10.03,10.06,9.99,2021-04-22 04:00:00,16,LCAAU
51465,10.007,10.03,10.0,10.03,10.0,2021-04-23 04:00:00,96,LCAAU
50251,10.0046,10.0614,10.0,10.0614,10.0,2021-04-26 04:00:00,173,LCAAU
32365,10.0,10.0,10.0,10.0,10.0,2021-04-27 04:00:00,1,LCAAU
