volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
14995424,10.0619,10.08,10.05,10.09,10.05,2021-11-22 05:00:00,6474,LGTOU
851700,10.0532,10.07,10.05,10.07,10.05,2021-11-23 05:00:00,585,LGTOU
91441,10.0137,10.03,10.04,10.06,9.975,2021-11-24 05:00:00,351,LGTOU
428291,10.04,10.05,10.04,10.05,10.04,2021-11-26 05:00:00,270,LGTOU
38208,10.0479,10.04,10.04,10.05,10.04,2021-11-29 05:00:00,138,LGTOU
508542,10.0533,10.06,10.05,10.06,10.04,2021-11-30 05:00:00,300,LGTOU
70527,10.0464,10.05,10.04,10.06,10.04,2021-12-01 05:00:00,167,LGTOU
102568,10.035,10.08,10.02,10.08,10.02,2021-12-02 05:00:00,103,LGTOU
218329,10.0285,10.02,10.03,10.03,10.02,2021-12-03 05:00:00,199,LGTOU
20010,10.042300000000001,10.01,10.0599,10.07,10.01,2021-12-06 05:00:00,163,LGTOU
7977,10.0637,10.075,10.08,10.08,10.05,2021-12-07 05:00:00,21,LGTOU
66912,10.0466,10.0919,10.03,10.1,10.03,2021-12-08 05:00:00,21,LGTOU
46026,10.0722,10.1,10.1,10.1,10.06,2021-12-09 05:00:00,111,LGTOU
345,10.0518,10.05,10.05,10.05,10.05,2021-12-10 05:00:00,20,LGTOU
52595,10.0917,10.1,10.08,10.1,10.08,2021-12-14 05:00:00,19,LGTOU
4705,10.0544,10.02,10.04,10.04,10.02,2021-12-15 05:00:00,31,LGTOU
12605,10.0419,10.03,10.08,10.09,10.02,2021-12-16 05:00:00,22,LGTOU
12314,10.0402,10.08,10.02,10.11,10.02,2021-12-17 05:00:00,125,LGTOU
14820,10.005,10.01,10.0,10.06,10.0,2021-12-20 05:00:00,134,LGTOU
1112,10.0051,10.01,10.0361,10.0361,10.0,2021-12-21 05:00:00,9,LGTOU
12834,10.0038,10.12,10.0,10.12,10.0,2021-12-22 05:00:00,45,LGTOU
1726,10.098700000000001,10.09,10.1,10.1,10.09,2021-12-23 05:00:00,16,LGTOU
1847,10.0503,10.05,10.05,10.05,10.05,2021-12-27 05:00:00,22,LGTOU
9885,10.091,10.08,10.11,10.11,10.08,2021-12-28 05:00:00,37,LGTOU
2792,10.0847,10.06,10.09,10.1,10.06,2021-12-29 05:00:00,32,LGTOU
16672,10.03,10.03,10.03,10.03,10.03,2021-12-31 05:00:00,4,LGTOU
9036,10.0337,10.03,10.02,10.07,10.02,2022-01-03 05:00:00,32,LGTOU
281,9.9507,9.95,9.95,9.95,9.95,2022-01-04 05:00:00,3,LGTOU
11665,10.0854,10.07,10.1,10.1,10.07,2022-01-05 05:00:00,14,LGTOU
5474,10.0933,10.06,10.1,10.1,10.06,2022-01-06 05:00:00,39,LGTOU
287,10.0699,10.07,10.07,10.07,10.07,2022-01-10 05:00:00,2,LGTOU
12272,10.0718,10.07,10.08,10.115,10.07,2022-01-12 05:00:00,39,LGTOU
5880,10.0641,10.04,10.01,10.07,10.01,2022-01-13 05:00:00,36,LGTOU
8042,10.0629,10.07,10.05,10.07,10.05,2022-01-14 05:00:00,7,LGTOU
8001,10.052,10.06,10.01,10.06,10.01,2022-01-19 05:00:00,13,LGTOU
119,10.1183,10.12,10.12,10.12,10.12,2022-01-20 05:00:00,4,LGTOU
28806,10.0406,10.03,10.04,10.095,10.03,2022-01-21 05:00:00,19,LGTOU
11101,10.0353,10.15,10.05,10.15,10.03,2022-01-24 05:00:00,16,LGTOU
10344,10.031,10.02,10.04,10.04,10.02,2022-01-25 05:00:00,22,LGTOU
7419,10.0218,10.02,10.03,10.03,10.02,2022-01-26 05:00:00,59,LGTOU
359,10.0274,10.02,10.03,10.03,10.02,2022-01-27 05:00:00,7,LGTOU
4236,10.0224,10.03,10.03,10.03,10.03,2022-01-28 05:00:00,37,LGTOU
359,10.05,10.05,10.05,10.05,10.05,2022-02-02 05:00:00,6,LGTOU
208,10.0549,10.06,10.05,10.06,10.05,2022-02-03 05:00:00,10,LGTOU
4505,10.05,10.05,10.05,10.05,10.05,2022-02-04 05:00:00,2,LGTOU
2177,10.0475,10.05,10.05,10.05,10.04,2022-02-07 05:00:00,17,LGTOU
9120,10.0678,10.04,10.07,10.07,10.04,2022-02-08 05:00:00,35,LGTOU
209716,10.0608,10.06,10.08,10.08,10.06,2022-02-09 05:00:00,522,LGTOU
255,10.0327,10.02,10.04,10.04,10.02,2022-02-11 05:00:00,4,LGTOU
926,10.1001,10.13,10.05,10.13,10.05,2022-02-14 05:00:00,9,LGTOU
2177,10.0564,9.99,10.13,10.13,9.99,2022-02-15 05:00:00,19,LGTOU
