volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
170936,11.2272,10.93,11.41,11.48,10.81,2020-02-20 05:00:00,1854,LOVE
190179,10.9985,11.32,10.95,11.4236,10.83,2020-02-21 05:00:00,2322,LOVE
176515,10.2591,10.31,10.16,10.58,10.1,2020-02-24 05:00:00,1969,LOVE
458591,9.3414,10.23,8.86,10.3005,8.82,2020-02-25 05:00:00,3625,LOVE
624823,8.3329,9.0,7.86,9.245,7.785,2020-02-26 05:00:00,5113,LOVE
448484,7.8237,7.87,7.9,8.28,7.5,2020-02-27 05:00:00,3413,LOVE
408038,8.6785,7.51,8.69,9.53,7.378,2020-02-28 05:00:00,3482,LOVE
281924,8.5273,8.93,8.87,8.93,8.064,2020-03-02 05:00:00,2726,LOVE
205834,8.6157,8.95,8.62,9.195,8.34,2020-03-03 05:00:00,2558,LOVE
142407,9.2778,8.78,9.64,9.69,8.57,2020-03-04 05:00:00,2048,LOVE
244464,8.7228,9.35,8.7,9.58,8.47,2020-03-05 05:00:00,2430,LOVE
281411,9.215,8.33,9.01,10.17,8.31,2020-03-06 05:00:00,3670,LOVE
201595,8.2385,8.39,8.17,8.6,7.87,2020-03-09 04:00:00,2174,LOVE
213190,8.0474,8.61,8.36,8.61,7.46,2020-03-10 04:00:00,2414,LOVE
203186,7.5554,8.16,7.33,8.16,7.27,2020-03-11 04:00:00,2420,LOVE
295336,6.1519,6.59,5.77,6.75,5.75,2020-03-12 04:00:00,2847,LOVE
222683,5.9738,6.2,6.19,6.35,5.55,2020-03-13 04:00:00,2328,LOVE
374004,4.8682,5.74,4.48,6.1,4.2,2020-03-16 04:00:00,4141,LOVE
638212,4.5445,4.63,4.5,5.2699,4.185,2020-03-17 04:00:00,5336,LOVE
191414,4.3262,4.55,4.55,4.775,4.04,2020-03-18 04:00:00,2057,LOVE
515050,5.8192,4.65,6.55,7.03,4.41,2020-03-19 04:00:00,3702,LOVE
297363,6.3135,6.62,6.11,6.87,5.83,2020-03-20 04:00:00,2755,LOVE
316700,6.1439,6.27,6.13,6.63,5.86,2020-03-23 04:00:00,2991,LOVE
260565,6.5558,6.46,6.99,7.02,6.1501,2020-03-24 04:00:00,2459,LOVE
227564,7.1478,7.13,7.1,7.45,6.53,2020-03-25 04:00:00,2810,LOVE
256320,7.0972,7.18,6.8,7.83,6.55,2020-03-26 04:00:00,2441,LOVE
213527,6.5279,6.6,6.7,6.8765,6.01,2020-03-27 04:00:00,2367,LOVE
209027,6.4327,6.8,6.38,7.19,6.01,2020-03-30 04:00:00,2156,LOVE
175086,6.0981,6.37,5.83,6.69,5.82,2020-03-31 04:00:00,1535,LOVE
176174,5.0225,5.62,4.57,5.82,4.5600000000000005,2020-04-01 04:00:00,2143,LOVE
330110,4.3351,4.61,4.29,4.72,3.995,2020-04-02 04:00:00,2815,LOVE
237561,4.2729,4.32,4.21,4.58,4.08,2020-04-03 04:00:00,2105,LOVE
254919,4.2058,4.38,4.17,4.55,4.1,2020-04-06 04:00:00,2295,LOVE
397210,4.3615,4.42,4.14,4.55,4.11,2020-04-07 04:00:00,2347,LOVE
399246,4.2821,4.18,4.57,4.59,4.12,2020-04-08 04:00:00,2973,LOVE
698708,5.6154,4.74,5.76,6.35,4.67,2020-04-09 04:00:00,4490,LOVE
347513,5.6697,5.79,5.67,5.93,5.4,2020-04-13 04:00:00,3098,LOVE
404887,6.1695,5.86,6.47,6.73,5.805,2020-04-14 04:00:00,2369,LOVE
217689,5.897,6.39,5.9,6.39,5.75,2020-04-15 04:00:00,2098,LOVE
1525507,7.6233,8.5,7.51,8.5,6.75,2020-04-16 04:00:00,9968,LOVE
3348826,9.4392,8.83,10.15,10.87,8.3366,2020-04-17 04:00:00,20895,LOVE
1198744,10.2263,9.79,10.95,11.1865,9.61,2020-04-20 04:00:00,8559,LOVE
584315,10.6952,10.64,11.04,11.1,10.26,2020-04-21 04:00:00,4298,LOVE
805370,11.7085,11.43,11.41,12.3007,11.06,2020-04-22 04:00:00,6678,LOVE
436706,10.4671,11.45,10.21,11.45,10.0,2020-04-23 04:00:00,3596,LOVE
364340,10.8946,10.2,11.25,11.65,10.17,2020-04-24 04:00:00,3485,LOVE
299462,11.4433,11.63,11.19,11.8995,11.11,2020-04-27 04:00:00,3600,LOVE
554824,11.0428,11.54,11.31,11.65,10.6,2020-04-28 04:00:00,4525,LOVE
1068743,13.3631,11.96,13.53,14.44,11.9,2020-04-29 04:00:00,8115,LOVE
556124,12.3189,13.11,11.93,13.52,11.77,2020-04-30 04:00:00,5003,LOVE
388423,11.574,11.59,12.03,12.11,11.17,2020-05-01 04:00:00,3805,LOVE
