volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1353172,14.8547,14.8,14.95,15.38,14.05,2020-06-11 04:00:00,7791,LTRN
311085,14.6146,15.16,14.75,15.44,13.85,2020-06-12 04:00:00,2591,LTRN
99203,14.5727,14.5,14.68,14.78,14.125,2020-06-15 04:00:00,795,LTRN
90160,13.9161,14.7,13.29,14.85,12.6,2020-06-16 04:00:00,1002,LTRN
128206,12.7104,13.66,11.99,13.92,11.51,2020-06-17 04:00:00,971,LTRN
61196,12.7599,12.2,12.9,13.47,12.0,2020-06-18 04:00:00,513,LTRN
41918,13.2143,12.9,13.1,13.4,12.9,2020-06-19 04:00:00,309,LTRN
16564,13.146,13.3,13.02,13.4899,12.4201,2020-06-22 04:00:00,215,LTRN
50158,12.3026,13.08,11.54,13.45,11.54,2020-06-23 04:00:00,478,LTRN
19150,12.0251,11.85,11.98,12.26,11.8085,2020-06-24 04:00:00,226,LTRN
27484,12.2097,11.97,12.1,12.71,11.86,2020-06-25 04:00:00,206,LTRN
23198,11.8436,12.09,11.7,12.09,11.65,2020-06-26 04:00:00,228,LTRN
23346,12.0096,11.94,12.3,12.3,11.7,2020-06-29 04:00:00,232,LTRN
17234,12.4989,12.435,12.7,12.75,12.09,2020-06-30 04:00:00,185,LTRN
36261,13.0163,12.74,12.95,13.3465,12.74,2020-07-01 04:00:00,312,LTRN
9539,13.0604,13.01,13.13,13.3,12.967,2020-07-02 04:00:00,132,LTRN
22504,13.1747,13.29,13.1,13.49,12.9,2020-07-06 04:00:00,208,LTRN
10032,13.1378,13.05,13.08,13.4208,12.9,2020-07-07 04:00:00,135,LTRN
9329,13.0115,13.0213,12.88,13.19,12.88,2020-07-08 04:00:00,90,LTRN
19910,12.9148,12.87,13.15,13.15,12.7,2020-07-09 04:00:00,143,LTRN
4212,12.8648,12.95,12.69,13.0013,12.69,2020-07-10 04:00:00,75,LTRN
12532,12.7124,12.74,12.71,12.8593,12.68,2020-07-13 04:00:00,139,LTRN
10038,12.678,12.62,12.65,12.87,12.61,2020-07-14 04:00:00,74,LTRN
32510,12.4071,12.6,12.6398,12.65,12.1346,2020-07-15 04:00:00,262,LTRN
5397,12.7902,12.385,12.78,13.0,12.385,2020-07-16 04:00:00,78,LTRN
35467,13.3543,12.9,13.2,13.74,12.39,2020-07-17 04:00:00,245,LTRN
14266,12.6599,13.0,12.395,13.12,12.35,2020-07-20 04:00:00,128,LTRN
9629,12.527,12.3845,12.35,12.75,12.35,2020-07-21 04:00:00,162,LTRN
23489,12.9205,12.35,12.98,13.22,12.35,2020-07-22 04:00:00,200,LTRN
28733,12.9614,12.64,12.93,13.29,12.51,2020-07-23 04:00:00,242,LTRN
9063,12.4873,12.3,12.5585,12.72,12.3,2020-07-24 04:00:00,87,LTRN
5171,12.4227,12.5,12.645,12.9,12.1629,2020-07-27 04:00:00,71,LTRN
