volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
159884,3.5371,3.52,3.63,3.66,3.435,2020-02-20 05:00:00,884,LTRX
221403,3.6097,3.56,3.65,3.68,3.52,2020-02-21 05:00:00,1097,LTRX
184021,3.4316,3.59,3.33,3.6357,3.3,2020-02-24 05:00:00,921,LTRX
77515,3.3485,3.37,3.35,3.4,3.32,2020-02-25 05:00:00,517,LTRX
55035,3.3594,3.42,3.36,3.42,3.31,2020-02-26 05:00:00,354,LTRX
68062,3.2809,3.32,3.31,3.33,3.2,2020-02-27 05:00:00,417,LTRX
105030,3.2127,3.16,3.23,3.26,3.1481,2020-02-28 05:00:00,553,LTRX
85373,3.2404,3.25,3.19,3.3225,3.19,2020-03-02 05:00:00,307,LTRX
73374,3.1417,3.17,3.12,3.21,3.11,2020-03-03 05:00:00,395,LTRX
106437,3.0935,3.14,3.06,3.17,3.0,2020-03-04 05:00:00,448,LTRX
54911,3.0596,3.01,3.05,3.13,2.99,2020-03-05 05:00:00,280,LTRX
96177,2.9507000000000003,3.0,2.91,3.0062,2.87,2020-03-06 05:00:00,555,LTRX
65664,2.7154,2.85,2.67,2.9,2.62,2020-03-09 04:00:00,326,LTRX
120069,2.6456,2.69,2.62,2.8198,2.55,2020-03-10 04:00:00,620,LTRX
221544,2.4214,2.55,2.3,2.6,2.23,2020-03-11 04:00:00,715,LTRX
279492,2.0388,2.0,1.92,2.1962,1.9100000000000001,2020-03-12 04:00:00,743,LTRX
122852,2.0138,2.0,2.03,2.175,1.96,2020-03-13 04:00:00,442,LTRX
85914,1.8326,1.98,1.77,1.99,1.77,2020-03-16 04:00:00,350,LTRX
76064,1.8944,1.8,2.0,2.04,1.8,2020-03-17 04:00:00,371,LTRX
78527,1.8018,1.87,1.75,2.1415,1.71,2020-03-18 04:00:00,390,LTRX
81692,1.7657,1.81,1.74,1.81,1.72,2020-03-19 04:00:00,323,LTRX
59775,1.7344,1.79,1.6099999999999999,1.8,1.58,2020-03-20 04:00:00,281,LTRX
68977,1.6565,1.6099999999999999,1.63,1.75,1.5899999999999999,2020-03-23 04:00:00,368,LTRX
92147,1.6695,1.7000000000000002,1.6400000000000001,1.75,1.63,2020-03-24 04:00:00,432,LTRX
232836,1.71,1.6600000000000001,1.72,1.77,1.6400000000000001,2020-03-25 04:00:00,849,LTRX
281367,1.7255,1.74,1.72,1.75,1.6800000000000002,2020-03-26 04:00:00,875,LTRX
81101,1.7852000000000001,1.71,1.85,1.92,1.67,2020-03-27 04:00:00,408,LTRX
129324,1.9418000000000002,1.8599999999999999,1.94,2.0,1.8599999999999999,2020-03-30 04:00:00,598,LTRX
118745,2.0135,1.9500000000000002,1.955,2.1,1.9500000000000002,2020-03-31 04:00:00,421,LTRX
88857,1.8646,1.96,1.87,1.96,1.795,2020-04-01 04:00:00,372,LTRX
45834,1.8665,1.87,1.8399999999999999,2.19,1.78,2020-04-02 04:00:00,328,LTRX
51707,1.8763,1.85,1.9,1.9300000000000002,1.79,2020-04-03 04:00:00,407,LTRX
82431,2.0383,1.9300000000000002,2.06,2.11,1.9300000000000002,2020-04-06 04:00:00,473,LTRX
85299,2.2508,2.2,2.32,2.32,2.1219,2020-04-07 04:00:00,427,LTRX
426861,2.843,2.34,3.04,3.08,2.31,2020-04-08 04:00:00,1407,LTRX
164038,2.9031000000000002,3.01,2.88,3.15,2.7499000000000002,2020-04-09 04:00:00,885,LTRX
117405,2.8422,2.89,2.8,2.9450000000000003,2.75,2020-04-13 04:00:00,477,LTRX
102416,2.7028,2.84,2.68,2.89,2.6,2020-04-14 04:00:00,479,LTRX
106298,2.4834,2.6,2.5300000000000002,2.64,2.355,2020-04-15 04:00:00,459,LTRX
72267,2.4718,2.54,2.47,2.58,2.39,2020-04-16 04:00:00,288,LTRX
61647,2.5523,2.54,2.48,2.65,2.43,2020-04-17 04:00:00,314,LTRX
37463,2.4173999999999998,2.46,2.41,2.48,2.3201,2020-04-20 04:00:00,185,LTRX
25898,2.3952,2.38,2.38,2.45,2.36,2020-04-21 04:00:00,167,LTRX
42899,2.5004,2.4302,2.48,2.54,2.4302,2020-04-22 04:00:00,210,LTRX
20365,2.5111,2.4887,2.47,2.5859,2.47,2020-04-23 04:00:00,114,LTRX
47782,2.4796,2.49,2.48,2.5300000000000002,2.45,2020-04-24 04:00:00,323,LTRX
97766,2.6215,2.4425,2.71,2.75,2.4425,2020-04-27 04:00:00,383,LTRX
114814,2.8043,2.7199999999999998,2.84,2.88,2.7199999999999998,2020-04-28 04:00:00,352,LTRX
238028,2.9854000000000003,2.85,3.0,3.05,2.81,2020-04-29 04:00:00,1255,LTRX
347831,3.1787,3.1,3.16,3.29,3.07,2020-04-30 04:00:00,1691,LTRX
230264,2.9752,3.16,3.16,3.16,2.83,2020-05-01 04:00:00,1410,LTRX
106629,3.115,3.25,3.09,3.25,3.04,2020-05-04 04:00:00,748,LTRX
142736,3.0864,3.2,2.98,3.2,2.96,2020-05-05 04:00:00,1098,LTRX
169269,2.8922,3.04,2.85,3.045,2.8200000000000003,2020-05-06 04:00:00,902,LTRX
