volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
8488164,45.4056,46.0,45.47,46.76,44.5793,2020-02-20 05:00:00,57871,LYFT
4310371,44.8047,45.23,44.7,45.56,44.53,2020-02-21 05:00:00,31783,LYFT
11644573,41.9597,42.09,42.52,42.61,41.0,2020-02-24 05:00:00,76264,LYFT
11628326,42.7985,43.34,41.82,44.18,41.6,2020-02-25 05:00:00,81253,LYFT
12109977,40.4417,41.92,39.86,42.16,39.31,2020-02-26 05:00:00,73360,LYFT
14781834,37.5466,37.62,37.78,39.5,35.0,2020-02-27 05:00:00,93917,LYFT
9348775,37.0061,36.01,38.12,38.12,35.86,2020-02-28 05:00:00,66968,LYFT
11296328,36.8087,38.49,36.91,38.49,36.1,2020-03-02 05:00:00,61404,LYFT
10440856,36.8521,37.31,36.97,38.23,35.21,2020-03-03 05:00:00,73549,LYFT
14959900,39.2979,38.12,40.27,41.3,37.44,2020-03-04 05:00:00,101976,LYFT
11190291,37.7104,38.735,37.08,39.47,36.57,2020-03-05 05:00:00,74437,LYFT
9436022,36.3709,35.99,36.02,37.98,35.46,2020-03-06 05:00:00,66400,LYFT
8987182,33.2867,32.49,32.81,34.65,31.64,2020-03-09 04:00:00,63287,LYFT
9774836,32.1973,34.15,32.89,34.6422,30.6062,2020-03-10 04:00:00,61448,LYFT
19867098,28.8378,31.49,29.01,31.8,26.6829,2020-03-11 04:00:00,110796,LYFT
13630929,24.8928,24.37,23.88,26.4,23.87,2020-03-12 04:00:00,80882,LYFT
12494955,23.8189,25.5,24.17,25.59,22.6356,2020-03-13 04:00:00,83147,LYFT
14451141,20.1467,20.2,19.12,21.4,18.81,2020-03-16 04:00:00,85163,LYFT
18864772,18.406,19.38,18.66,20.57,16.5,2020-03-17 04:00:00,106822,LYFT
16577209,16.2094,17.16,16.05,17.87,14.5617,2020-03-18 04:00:00,95810,LYFT
20139160,19.679,16.3,20.7,21.9799,15.32,2020-03-19 04:00:00,122332,LYFT
17599304,22.0822,22.38,21.27,24.86,20.75,2020-03-20 04:00:00,99223,LYFT
10860143,20.9064,20.7335,22.61,22.8,19.14,2020-03-23 04:00:00,73394,LYFT
12634407,25.1076,24.58,27.06,27.42,23.4899,2020-03-24 04:00:00,89163,LYFT
13957700,28.8172,27.39,27.95,30.92,26.53,2020-03-25 04:00:00,97337,LYFT
9477596,29.6865,28.56,29.94,30.67,27.95,2020-03-26 04:00:00,67613,LYFT
10168995,28.2433,28.24,27.6,29.15,26.93,2020-03-27 04:00:00,63283,LYFT
8729534,26.4577,26.81,26.92,28.39,25.3,2020-03-30 04:00:00,60751,LYFT
5773195,26.9679,26.7,26.85,28.0,26.2,2020-03-31 04:00:00,35946,LYFT
8898432,24.3564,25.6,23.5,26.11,23.38,2020-04-01 04:00:00,67034,LYFT
