volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
5008876,58.8677,58.93,59.04,59.34,58.525,2020-02-20 05:00:00,39314,MDLZ
5709044,58.8429,58.85,58.75,59.2,58.65,2020-02-21 05:00:00,34286,MDLZ
6232242,57.915,58.19,57.74,58.72,57.61,2020-02-24 05:00:00,44496,MDLZ
7636458,57.408,57.72,57.02,58.27,56.87,2020-02-25 05:00:00,56746,MDLZ
9747026,57.1556,57.32,56.86,57.995,56.8,2020-02-26 05:00:00,51418,MDLZ
14101019,55.0949,56.54,54.46,57.22,54.42,2020-02-27 05:00:00,75773,MDLZ
14447343,52.5324,53.17,52.8,53.32,51.56,2020-02-28 05:00:00,104254,MDLZ
12252617,54.6929,52.63,55.6,55.63,52.49,2020-03-02 05:00:00,86678,MDLZ
13008179,55.3325,55.42,54.79,56.9,54.39,2020-03-03 05:00:00,106987,MDLZ
12787198,57.3872,55.62,58.01,58.13,55.49,2020-03-04 05:00:00,79364,MDLZ
10517033,56.7163,56.82,56.86,57.3,56.08,2020-03-05 05:00:00,79949,MDLZ
9781193,55.3665,54.47,55.66,55.98,54.29,2020-03-06 05:00:00,79496,MDLZ
15615197,53.7784,52.55,53.94,54.86,52.07,2020-03-09 04:00:00,133925,MDLZ
16742269,53.9172,54.99,54.91,55.49,52.33,2020-03-10 04:00:00,132450,MDLZ
14984305,52.442,53.41,52.34,53.69,51.41,2020-03-11 04:00:00,118549,MDLZ
15532975,48.3131,49.23,47.51,50.52,46.57,2020-03-12 04:00:00,115166,MDLZ
15074277,49.423,49.64,50.92,50.94,47.2101,2020-03-13 04:00:00,116916,MDLZ
12679529,46.0652,46.41,45.1,47.39,44.74,2020-03-16 04:00:00,107661,MDLZ
15149311,48.0232,45.85,48.82,49.715,44.73,2020-03-17 04:00:00,131066,MDLZ
15316280,45.327,45.37,46.55,48.12,43.19,2020-03-18 04:00:00,115886,MDLZ
15194463,45.1713,46.91,45.47,47.29,43.19,2020-03-19 04:00:00,115193,MDLZ
16246047,44.4759,46.06,43.32,46.21,42.85,2020-03-20 04:00:00,113805,MDLZ
13466939,42.647,43.32,41.93,45.02,41.19,2020-03-23 04:00:00,99933,MDLZ
12476309,46.1439,44.08,46.66,47.255,42.95,2020-03-24 04:00:00,100640,MDLZ
12419787,46.6224,46.46,46.11,47.76,45.81,2020-03-25 04:00:00,105680,MDLZ
11595411,48.1794,46.11,48.9,49.24,46.0,2020-03-26 04:00:00,80677,MDLZ
8254368,48.1009,47.42,47.89,49.27,47.12,2020-03-27 04:00:00,69679,MDLZ
