volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
15344818,10.0676,10.05,10.07,10.09,10.05,2021-11-03 04:00:00,5944,MLAIU
1455439,10.0722,10.07,10.06,10.09,10.06,2021-11-04 04:00:00,619,MLAIU
693661,10.069,10.2,10.07,10.2,10.05,2021-11-05 04:00:00,681,MLAIU
292985,10.0645,10.1,10.09,10.1624,10.07,2021-11-08 05:00:00,567,MLAIU
33924,10.0959,10.0938,10.09,10.1,10.09,2021-11-09 05:00:00,88,MLAIU
7357,10.0899,10.09,10.1,10.1,10.06,2021-11-10 05:00:00,47,MLAIU
262,10.0862,10.075,10.075,10.075,10.075,2021-11-11 05:00:00,5,MLAIU
45927,10.07,10.1,10.07,10.1,10.06,2021-11-12 05:00:00,142,MLAIU
824218,10.0823,10.1,10.08,10.15,10.07,2021-11-15 05:00:00,259,MLAIU
167638,10.0809,10.09,10.07,10.0946,10.065,2021-11-16 05:00:00,294,MLAIU
34833,10.0735,10.07,10.08,10.08,10.06,2021-11-17 05:00:00,85,MLAIU
29449,10.0791,10.08,10.08,10.08,10.07,2021-11-18 05:00:00,356,MLAIU
26801,10.0796,10.08,10.08,10.1287,10.07,2021-11-19 05:00:00,237,MLAIU
3623,10.085,10.08,10.12,10.12,10.08,2021-11-22 05:00:00,21,MLAIU
16734,10.0991,10.09,10.1,10.12,10.09,2021-11-23 05:00:00,56,MLAIU
27054,10.09,10.09,10.09,10.09,10.09,2021-11-24 05:00:00,8,MLAIU
412,10.0766,10.07,10.0706,10.08,10.07,2021-11-26 05:00:00,6,MLAIU
501,10.0501,10.05,10.05,10.05,10.05,2021-11-30 05:00:00,2,MLAIU
3800,10.0892,10.0601,10.0601,10.09,10.0601,2021-12-01 05:00:00,2,MLAIU
5779,10.1008,10.11,10.1,10.11,10.1,2021-12-03 05:00:00,16,MLAIU
532,10.0726,10.07,10.07,10.07,10.07,2021-12-06 05:00:00,14,MLAIU
708,10.0903,10.0677,10.065,10.1,10.065,2021-12-08 05:00:00,6,MLAIU
700,10.0893,10.15,10.065,10.15,10.065,2021-12-09 05:00:00,3,MLAIU
1163,10.1,10.1,10.1,10.1,10.1,2021-12-22 05:00:00,1,MLAIU
506643,10.055,10.05,10.055,10.06,10.05,2021-12-23 05:00:00,13,MLAIU
234,10.0674,10.05,10.05,10.05,10.05,2021-12-29 05:00:00,3,MLAIU
11201,10.0335,10.14,10.05,10.14,10.0,2021-12-30 05:00:00,73,MLAIU
18156,10.1497,10.14,10.15,10.15,10.14,2022-01-03 05:00:00,33,MLAIU
5778,10.1126,10.0701,10.1,10.1,10.0701,2022-01-05 05:00:00,60,MLAIU
12444,10.0683,10.07,10.07,10.07,10.035,2022-01-06 05:00:00,40,MLAIU
1349,10.073,10.07,10.08,10.08,10.06,2022-01-07 05:00:00,9,MLAIU
8125,10.0604,10.07,10.07,10.07,10.05,2022-01-11 05:00:00,32,MLAIU
1520,10.0805,10.08,10.09,10.09,10.08,2022-01-12 05:00:00,227,MLAIU
500,10.06,10.06,10.06,10.06,10.06,2022-01-13 05:00:00,2,MLAIU
790,10.062,10.06,10.06,10.06,10.06,2022-01-19 05:00:00,24,MLAIU
1752,10.0954,10.05,10.1,10.1,10.05,2022-01-21 05:00:00,11,MLAIU
228,10.0914,10.1,10.1,10.1,10.1,2022-01-24 05:00:00,2,MLAIU
2805,10.0019,10.0,10.01,10.01,10.0,2022-01-26 05:00:00,6,MLAIU
34775,10.0126,10.03,10.0,10.09,10.0,2022-01-27 05:00:00,95,MLAIU
38777,9.9963,10.0,10.0,10.0,9.91,2022-01-28 05:00:00,57,MLAIU
104,10.0402,10.04,10.04,10.04,10.04,2022-02-10 05:00:00,5,MLAIU
20825,10.04,10.04,10.04,10.04,10.04,2022-02-11 05:00:00,31,MLAIU
48565,10.0368,10.03,10.04,10.04,10.0,2022-02-14 05:00:00,86,MLAIU
110,9.9859,9.98,9.98,9.98,9.98,2022-02-16 05:00:00,3,MLAIU
