volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
1822,9.8093,9.8,9.7852,9.8,9.7832,2021-03-16 04:00:00,62,MON
5668,9.6999,9.5739,9.68,9.8,9.5739,2021-03-17 04:00:00,18,MON
912,9.683,9.6316,9.77,9.77,9.6316,2021-03-18 04:00:00,15,MON
4091,9.7662,9.83,9.75,9.83,9.7,2021-03-19 04:00:00,37,MON
4055,9.7013,9.687100000000001,9.7,9.73,9.678,2021-03-22 04:00:00,33,MON
349828,9.6518,9.65,9.66,9.7,9.6,2021-03-23 04:00:00,36,MON
20379,9.7072,9.71,9.7,9.72,9.68,2021-03-24 04:00:00,77,MON
2422,9.6581,9.51,9.6,9.675,9.51,2021-03-25 04:00:00,17,MON
2519,9.6524,9.62,9.655,9.655,9.62,2021-03-26 04:00:00,12,MON
542,9.7887,9.8,9.8,9.8,9.8,2021-03-29 04:00:00,7,MON
1422,9.6241,9.6201,9.6277,9.6277,9.62,2021-03-31 04:00:00,11,MON
2810,9.7305,9.7,9.75,9.85,9.7,2021-04-01 04:00:00,14,MON
211,9.7499,9.75,9.75,9.75,9.75,2021-04-05 04:00:00,3,MON
4784,9.7756,9.77,9.77,9.8,9.77,2021-04-06 04:00:00,25,MON
9900,9.7909,9.79,9.79,9.8,9.79,2021-04-07 04:00:00,24,MON
1327,9.789,9.785,9.79,9.79,9.785,2021-04-08 04:00:00,13,MON
221,9.7832,9.7899,9.7899,9.7899,9.7899,2021-04-09 04:00:00,8,MON
1091,9.9044,9.9099,9.9099,9.9099,9.9099,2021-04-12 04:00:00,11,MON
6746,9.9049,9.91,9.92,9.92,9.88,2021-04-13 04:00:00,58,MON
771939,9.793,9.9,9.79,9.99,9.79,2021-04-14 04:00:00,134,MON
5288,9.8175,9.81,9.85,9.85,9.81,2021-04-15 04:00:00,28,MON
18133,9.8022,9.92,9.81,9.92,9.8,2021-04-16 04:00:00,145,MON
14866,9.8294,9.805,9.9,9.9,9.805,2021-04-19 04:00:00,50,MON
9692,9.8214,9.9,10.0,10.0,9.77,2021-04-21 04:00:00,107,MON
206444,9.731,9.7771,9.87,9.9,9.73,2021-04-22 04:00:00,43,MON
8164,9.7613,9.76,9.79,9.79,9.75,2021-04-23 04:00:00,73,MON
681,9.7638,9.77,9.76,9.77,9.76,2021-04-26 04:00:00,14,MON
169783,9.713,9.9814,9.76,9.9814,9.68,2021-04-27 04:00:00,420,MON
24810,9.7254,9.74,9.71,9.76,9.7,2021-04-28 04:00:00,96,MON
7298,9.7132,9.71,9.72,9.74,9.7,2021-04-29 04:00:00,58,MON
32305,9.7008,9.71,9.72,9.72,9.69,2021-04-30 04:00:00,158,MON
26552,9.699,9.7,9.72,9.74,9.69,2021-05-03 04:00:00,85,MON
18227,9.7028,9.71,9.74,9.74,9.7,2021-05-04 04:00:00,94,MON
22611,9.7023,9.7,9.705,9.72,9.7,2021-05-05 04:00:00,67,MON
42164,9.7081,9.71,9.73,9.76,9.695,2021-05-06 04:00:00,162,MON
26735,9.7316,9.72,9.75,9.76,9.71,2021-05-07 04:00:00,178,MON
3109,9.7436,9.76,9.75,9.76,9.74,2021-05-10 04:00:00,22,MON
1206,9.7416,9.74,9.75,9.75,9.74,2021-05-11 04:00:00,13,MON
35284,9.7301,9.74,9.75,9.75,9.71,2021-05-12 04:00:00,157,MON
18472,9.7145,9.71,9.74,9.75,9.71,2021-05-13 04:00:00,78,MON
10290,9.715,9.71,9.72,9.72,9.71,2021-05-14 04:00:00,51,MON
14055,9.7016,9.74,9.74,9.74,9.7,2021-05-17 04:00:00,102,MON
12576,9.7079,9.71,9.75,9.75,9.7,2021-05-18 04:00:00,26,MON
80988,9.6896,9.72,9.68,9.72,9.67,2021-05-19 04:00:00,186,MON
5366,9.7395,9.71,9.73,9.8,9.71,2021-05-20 04:00:00,30,MON
15630,9.8176,9.86,9.7,9.86,9.66,2021-05-21 04:00:00,70,MON
21109,9.6737,9.67,9.7,9.7,9.67,2021-05-24 04:00:00,37,MON
27322,9.6759,9.67,9.68,9.69,9.665,2021-05-25 04:00:00,143,MON
4384,9.6983,9.68,9.72,9.84,9.68,2021-05-26 04:00:00,14,MON
