volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
117881,19.6107,19.36,19.68,20.1313,19.15,2020-02-20 05:00:00,1367,MPAA
61879,19.3576,19.6,19.51,19.6,19.04,2020-02-21 05:00:00,1081,MPAA
85402,18.5737,18.65,18.49,19.0,18.2809,2020-02-24 05:00:00,1010,MPAA
123288,18.0451,18.62,17.7,18.62,17.66,2020-02-25 05:00:00,1804,MPAA
66196,17.4792,17.75,17.31,17.97,17.17,2020-02-26 05:00:00,1010,MPAA
101463,17.1569,16.77,17.2,17.75,16.3,2020-02-27 05:00:00,1363,MPAA
153049,16.9315,16.38,16.74,17.39,16.38,2020-02-28 05:00:00,1399,MPAA
145105,16.8737,16.75,17.35,17.37,16.28,2020-03-02 05:00:00,1759,MPAA
139724,17.2148,17.42,16.89,18.24,16.43,2020-03-03 05:00:00,1905,MPAA
92914,16.8616,17.25,16.98,17.25,16.44,2020-03-04 05:00:00,1054,MPAA
177538,16.686,16.9,16.47,17.36,16.4,2020-03-05 05:00:00,2038,MPAA
107958,16.267,15.92,16.49,16.55,15.91,2020-03-06 05:00:00,2125,MPAA
149514,15.937100000000001,16.15,16.0,16.35,15.195,2020-03-09 04:00:00,1848,MPAA
174094,16.2377,16.5,16.4,16.59,15.71,2020-03-10 04:00:00,2468,MPAA
105903,15.7513,15.92,15.8,16.03,15.5,2020-03-11 04:00:00,1443,MPAA
179239,14.3688,14.85,14.24,15.06,13.99,2020-03-12 04:00:00,2023,MPAA
179805,14.5742,14.68,15.16,15.345,14.03,2020-03-13 04:00:00,2163,MPAA
210218,13.8048,11.81,13.05,14.44,11.81,2020-03-16 04:00:00,1797,MPAA
256948,13.9002,13.33,14.17,14.75,13.0,2020-03-17 04:00:00,2697,MPAA
266823,13.1369,13.21,13.33,13.76,12.2,2020-03-18 04:00:00,3035,MPAA
187455,14.0491,13.18,14.1,14.73,12.92,2020-03-19 04:00:00,2228,MPAA
401223,13.6363,13.89,13.27,14.5,13.02,2020-03-20 04:00:00,4525,MPAA
217221,12.7302,13.29,12.79,13.34,11.95,2020-03-23 04:00:00,2903,MPAA
164969,13.1199,13.45,13.07,13.51,12.77,2020-03-24 04:00:00,1958,MPAA
276613,13.067,13.14,12.83,13.56,12.655,2020-03-25 04:00:00,3137,MPAA
238155,12.943,12.92,13.08,13.22,12.58,2020-03-26 04:00:00,2634,MPAA
128480,12.2065,12.53,12.15,12.79,11.95,2020-03-27 04:00:00,1719,MPAA
427577,12.0473,12.27,12.1,12.485,11.6911,2020-03-30 04:00:00,3610,MPAA
282648,12.553,12.22,12.58,12.99,12.22,2020-03-31 04:00:00,2730,MPAA
