volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
343030,94.3221,96.8,93.98,97.04,92.465,2020-02-20 05:00:00,6191,MRTX
418659,94.3499,93.93,94.46,95.49,91.96,2020-02-21 05:00:00,6146,MRTX
358226,89.4757,89.99,88.72,91.95,87.65,2020-02-24 05:00:00,6243,MRTX
652681,84.782,87.1,84.63,90.57,82.06,2020-02-25 05:00:00,10600,MRTX
502475,88.2252,85.18,88.67,89.5,84.51,2020-02-26 05:00:00,8431,MRTX
738444,85.495,86.81,84.41,88.68,83.47,2020-02-27 05:00:00,9976,MRTX
543348,86.7676,81.3,89.49,89.67,81.3,2020-02-28 05:00:00,8355,MRTX
610711,92.4774,90.75,95.23,95.74,86.92,2020-03-02 05:00:00,7486,MRTX
480137,92.5084,95.28,91.43,96.93,89.06,2020-03-03 05:00:00,7963,MRTX
397007,94.2832,93.82,95.88,95.99,91.14,2020-03-04 05:00:00,5478,MRTX
551386,90.5505,93.48,89.18,94.5,88.25,2020-03-05 05:00:00,7506,MRTX
558352,89.1776,86.92,88.24,91.41,85.65,2020-03-06 05:00:00,9508,MRTX
478578,84.4719,82.54,83.76,87.36,82.54,2020-03-09 04:00:00,9188,MRTX
536780,83.5665,85.68,86.58,86.98,80.38,2020-03-10 04:00:00,9602,MRTX
738052,79.3566,83.77,77.37,85.46,76.78,2020-03-11 04:00:00,10062,MRTX
1053835,73.2268,70.96,72.26,78.44,67.8,2020-03-12 04:00:00,15788,MRTX
726049,76.8019,78.32,81.24,82.5,69.12,2020-03-13 04:00:00,11027,MRTX
648159,75.114,74.21,70.13,81.69,69.47,2020-03-16 04:00:00,11637,MRTX
689572,71.8634,72.86,73.11,75.4,69.5601,2020-03-17 04:00:00,14770,MRTX
504505,70.3874,68.57,69.78,77.2,66.01,2020-03-18 04:00:00,9731,MRTX
591354,72.8766,69.29,72.32,77.3,67.07,2020-03-19 04:00:00,8808,MRTX
1053268,72.5632,72.86,71.71,75.855,70.16,2020-03-20 04:00:00,13134,MRTX
443673,73.1501,72.93,73.14,76.55,70.42,2020-03-23 04:00:00,7029,MRTX
510476,79.4849,75.99,81.46,82.12,74.54,2020-03-24 04:00:00,6943,MRTX
403691,82.0004,82.05,82.81,84.56,79.45,2020-03-25 04:00:00,6969,MRTX
464395,81.1483,81.72,80.42,85.2,76.97,2020-03-26 04:00:00,7657,MRTX
367368,77.5183,77.42,76.3,79.9,75.705,2020-03-27 04:00:00,5673,MRTX
506175,79.4122,77.21,82.25,82.58,73.92,2020-03-30 04:00:00,6654,MRTX
1154957,76.1733,81.4,76.87,81.795,72.89,2020-03-31 04:00:00,12523,MRTX
501723,72.9184,74.92,72.01,77.0,71.16,2020-04-01 04:00:00,9526,MRTX
537353,74.936,71.5,75.38,77.41,70.78,2020-04-02 04:00:00,8716,MRTX
323742,73.9347,74.93,73.43,76.73,72.23,2020-04-03 04:00:00,5546,MRTX
560624,79.4392,76.63,78.95,82.42,76.63,2020-04-06 04:00:00,8014,MRTX
331669,78.2618,80.57,76.84,81.72,76.5,2020-04-07 04:00:00,4766,MRTX
419738,78.7826,77.95,79.01,79.76,77.21,2020-04-08 04:00:00,5855,MRTX
704177,80.4723,79.68,81.52,83.07,78.755,2020-04-09 04:00:00,8964,MRTX
361820,82.4271,81.66,82.0,84.83,80.99,2020-04-13 04:00:00,5288,MRTX
482163,85.4815,84.25,85.32,87.11,83.2,2020-04-14 04:00:00,6519,MRTX
283581,82.9897,83.01,82.89,84.855,81.43,2020-04-15 04:00:00,5523,MRTX
492831,86.0993,85.77,87.07,87.59,84.05,2020-04-16 04:00:00,7683,MRTX
441259,90.4431,89.52,90.7,92.25,88.84,2020-04-17 04:00:00,6047,MRTX
557662,94.1596,89.16,95.38,95.66,88.41,2020-04-20 04:00:00,6934,MRTX
1057954,88.5079,93.79,85.62,96.5335,85.51,2020-04-21 04:00:00,13425,MRTX
382109,86.6395,87.94,87.51,88.27,84.205,2020-04-22 04:00:00,6963,MRTX
840656,86.0481,87.99,84.77,90.85,83.48,2020-04-23 04:00:00,9322,MRTX
902362,84.6452,83.82,85.33,86.45,83.51,2020-04-24 04:00:00,9938,MRTX
576403,89.7181,86.29,90.0,92.25,86.26,2020-04-27 04:00:00,8287,MRTX
733585,88.5197,89.89,88.66,90.56,85.72,2020-04-28 04:00:00,8149,MRTX
451158,88.4347,91.4,87.8,91.4,86.83,2020-04-29 04:00:00,7241,MRTX
487568,85.1783,86.81,85.04,88.8,83.88,2020-04-30 04:00:00,6167,MRTX
747233,83.154,87.61,82.81,87.61,80.36,2020-05-01 04:00:00,9676,MRTX
1189614,87.3331,82.7,91.37,91.38,81.16,2020-05-04 04:00:00,11399,MRTX
366296,92.2236,92.32,92.01,93.68,90.25,2020-05-05 04:00:00,8935,MRTX
329601,92.3239,92.44,92.15,93.635,90.82,2020-05-06 04:00:00,5762,MRTX
277397,93.376,93.8,93.4,95.15,91.95,2020-05-07 04:00:00,5011,MRTX
688202,98.7705,94.87,98.62,100.89,94.0,2020-05-08 04:00:00,9167,MRTX
486958,104.35,98.56,105.59,106.26,98.52,2020-05-11 04:00:00,7228,MRTX
951775,111.3063,107.1,108.44,116.86,106.03,2020-05-12 04:00:00,13391,MRTX
441201,105.0407,108.42,104.59,109.83,101.49,2020-05-13 04:00:00,8128,MRTX
649701,101.2991,101.89,100.18,104.96,99.64,2020-05-14 04:00:00,9954,MRTX
445145,102.6684,99.83,103.37,104.39,98.72,2020-05-15 04:00:00,5504,MRTX
511101,106.9787,106.49,106.0,110.24,105.0,2020-05-18 04:00:00,8002,MRTX
350676,102.6156,103.88,99.93,109.68,99.86,2020-05-19 04:00:00,6836,MRTX
548051,101.1336,100.49,102.63,102.76,98.51,2020-05-20 04:00:00,8956,MRTX
551618,99.4711,100.65,101.0,101.52,96.105,2020-05-21 04:00:00,8813,MRTX
315732,100.415,101.17,101.62,101.64,97.79,2020-05-22 04:00:00,4615,MRTX
733457,105.1461,103.67,104.95,106.62,101.9,2020-05-26 04:00:00,9945,MRTX
530517,101.5586,104.88,104.02,104.88,97.235,2020-05-27 04:00:00,9372,MRTX
271654,103.8781,104.72,103.0,105.405,102.53,2020-05-28 04:00:00,5265,MRTX
558866,99.137,103.88,99.19,103.88,96.91,2020-05-29 04:00:00,7538,MRTX
632567,98.1092,99.55,97.57,99.89,96.37,2020-06-01 04:00:00,8419,MRTX
445859,98.3256,97.86,100.49,101.155,95.29,2020-06-02 04:00:00,8035,MRTX
