volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
3922,2.8099,2.79,2.85,2.85,2.79,2020-02-20 05:00:00,18,NAOV
8793,2.7962,2.8,2.8,2.8,2.79,2020-02-21 05:00:00,24,NAOV
1010,2.7978,2.8,2.8,2.8,2.8,2020-02-25 05:00:00,5,NAOV
8347,2.685,2.6766,2.7800000000000002,2.7800000000000002,2.61,2020-02-28 05:00:00,74,NAOV
163,2.7431,2.73,2.73,2.73,2.73,2020-03-02 05:00:00,3,NAOV
493,2.6708,2.75,2.75,2.75,2.75,2020-03-10 04:00:00,14,NAOV
782,2.2532,2.25,2.25,2.25,2.25,2020-03-12 04:00:00,10,NAOV
5061,2.3837,2.2,2.4,2.62,2.2,2020-03-13 04:00:00,37,NAOV
2238,2.286,2.24,2.25,2.25,2.24,2020-03-17 04:00:00,17,NAOV
11341,2.2797,2.26,2.173,2.5300000000000002,2.173,2020-03-18 04:00:00,44,NAOV
2821,2.2554,2.25,2.24,2.5,2.24,2020-03-19 04:00:00,31,NAOV
843,2.4555,2.5,2.5,2.5,2.39,2020-03-20 04:00:00,11,NAOV
6258,2.1435,2.41,2.49,2.49,1.5,2020-03-23 04:00:00,30,NAOV
1755,2.4728,2.44,2.48,2.52,2.44,2020-03-24 04:00:00,14,NAOV
4141,2.3432,2.44,2.48,2.5,1.98,2020-03-25 04:00:00,28,NAOV
2018,2.4105,2.2,2.45,2.45,2.2,2020-03-26 04:00:00,12,NAOV
274381,2.8435,2.45,2.39,3.47,2.05,2020-03-27 04:00:00,1275,NAOV
21858,2.1443,2.5700000000000003,1.9500000000000002,2.5700000000000003,1.8399999999999999,2020-03-30 04:00:00,232,NAOV
17728,2.1024,2.19,2.15,2.2800000000000002,1.88,2020-03-31 04:00:00,90,NAOV
48919,2.3890000000000002,2.58,2.34,2.58,2.03,2020-04-01 04:00:00,243,NAOV
17946,2.234,2.44,2.37,2.44,2.0,2020-04-02 04:00:00,176,NAOV
4587,2.4308,2.39,2.32,2.52,2.25,2020-04-03 04:00:00,42,NAOV
5838,2.4099,2.45,2.24,2.47,2.24,2020-04-06 04:00:00,53,NAOV
2728,2.2803,2.2800000000000002,2.24,2.335,2.24,2020-04-07 04:00:00,32,NAOV
7627,2.3186,2.21,2.35,2.48,2.15,2020-04-08 04:00:00,91,NAOV
4131,2.1177,2.2637,2.0743,2.2637,2.06,2020-04-09 04:00:00,42,NAOV
5015,2.0764,2.1,2.1,2.13,2.05,2020-04-13 04:00:00,46,NAOV
2951,2.1347,2.1,2.14,2.24,2.0,2020-04-14 04:00:00,29,NAOV
3638,2.0088,2.22,1.97,2.22,1.97,2020-04-16 04:00:00,30,NAOV
6884,2.0461,2.05,2.05,2.15,1.85,2020-04-17 04:00:00,51,NAOV
7058,2.0586,2.03,1.92,2.14,1.92,2020-04-20 04:00:00,45,NAOV
9685,2.0189,1.88,1.9500000000000002,2.12,1.7976,2020-04-21 04:00:00,69,NAOV
20265,1.8980000000000001,2.0,1.76,2.2,1.67,2020-04-22 04:00:00,114,NAOV
4092,1.9158,1.42,1.8973,2.06,1.42,2020-04-23 04:00:00,45,NAOV
3496,1.9873,2.0108,2.0,2.05,1.9300000000000002,2020-04-24 04:00:00,42,NAOV
5043,1.9864000000000002,1.9100000000000001,1.98,2.0,1.82,2020-04-27 04:00:00,29,NAOV
788,1.8748,1.8,1.8599999999999999,1.8599999999999999,1.8,2020-04-28 04:00:00,27,NAOV
24301,1.9746000000000001,1.81,1.9,2.0,1.81,2020-04-29 04:00:00,111,NAOV
9634,1.8965,1.81,2.0731,2.0731,1.81,2020-04-30 04:00:00,29,NAOV
867,2.0018,1.9100000000000001,1.99,1.99,1.9100000000000001,2020-05-01 04:00:00,20,NAOV
3987,1.9751,1.9500000000000002,2.01,2.06,1.9,2020-05-04 04:00:00,30,NAOV
6132,2.0002,2.0,2.0,2.0009,2.0,2020-05-05 04:00:00,15,NAOV
5288,2.0027,2.0,2.02,2.02,2.0,2020-05-06 04:00:00,18,NAOV
508,2.0143,1.9614,2.09,2.09,1.9614,2020-05-07 04:00:00,14,NAOV
1145,2.0408,2.06,2.06,2.085,2.06,2020-05-08 04:00:00,28,NAOV
2435,1.9514,1.98,2.03,2.03,1.9,2020-05-11 04:00:00,49,NAOV
4211,1.8761,1.98,1.8599999999999999,1.98,1.75,2020-05-12 04:00:00,31,NAOV
3124,1.9324,1.9300000000000002,1.94,1.94,1.9300000000000002,2020-05-13 04:00:00,24,NAOV
9447,2.1349,2.0,2.02,2.2106,2.0,2020-05-14 04:00:00,60,NAOV
89847,2.0888,2.36,2.0,2.4887,1.62,2020-05-18 04:00:00,160,NAOV
9022,1.9401000000000002,2.1,1.94,2.2,1.81,2020-05-19 04:00:00,78,NAOV
1370,1.9647999999999999,1.9100000000000001,2.05,2.05,1.9057,2020-05-20 04:00:00,36,NAOV
6988,2.033,1.92,2.0,2.14,1.92,2020-05-21 04:00:00,28,NAOV
8577,2.1717,2.2800000000000002,2.07,2.29,2.0196,2020-05-22 04:00:00,42,NAOV
745,2.0882,2.05,2.05,2.05,2.05,2020-05-26 04:00:00,35,NAOV
