volume,volume_weighted_avg,open_price,close_price,high_price,low_price,time,num_transactions,ticker
630302,33.3437,34.37,33.1,34.4125,32.638,2020-02-20 05:00:00,6392,NEO
756178,32.5427,33.08,32.49,33.16,32.26,2020-02-21 05:00:00,7417,NEO
1068089,30.2636,30.99,30.28,31.0,29.38,2020-02-24 05:00:00,10550,NEO
776102,29.8863,30.56,29.46,30.8,29.305,2020-02-25 05:00:00,7645,NEO
758965,30.2225,29.44,29.99,30.93,29.4,2020-02-26 05:00:00,9940,NEO
2623173,26.347,28.51,27.51,28.94,23.92,2020-02-27 05:00:00,21949,NEO
1830330,27.894,27.18,28.33,28.8,26.615,2020-02-28 05:00:00,17037,NEO
1461031,28.7794,28.44,29.48,29.58,27.73,2020-03-02 05:00:00,15177,NEO
987663,30.1835,29.86,29.94,30.79,29.6,2020-03-03 05:00:00,10820,NEO
854947,30.9451,30.64,31.25,31.34,30.0,2020-03-04 05:00:00,11376,NEO
615565,30.5966,30.45,30.56,31.5,30.0,2020-03-05 05:00:00,7282,NEO
596240,28.9771,29.5,29.09,29.955,28.12,2020-03-06 05:00:00,6839,NEO
913021,27.8171,26.76,27.37,28.9,26.18,2020-03-09 04:00:00,10106,NEO
885379,27.868,28.31,28.05,29.38,27.01,2020-03-10 04:00:00,11536,NEO
1500237,25.5663,27.31,24.78,27.86,24.0,2020-03-11 04:00:00,13895,NEO
1944478,22.8573,22.21,23.94,24.38,20.47,2020-03-12 04:00:00,16957,NEO
1244333,24.4347,24.99,25.64,25.65,23.13,2020-03-13 04:00:00,11765,NEO
1402889,21.6838,22.22,20.5,23.86,20.5,2020-03-16 04:00:00,11779,NEO
1733104,22.1014,21.47,24.05,24.16,20.5,2020-03-17 04:00:00,15483,NEO
1566485,24.2856,22.37,24.9,26.02,21.82,2020-03-18 04:00:00,16601,NEO
1593048,26.3494,24.84,26.72,27.45,24.02,2020-03-19 04:00:00,14284,NEO
1594184,26.6063,27.13,25.47,28.22,25.2,2020-03-20 04:00:00,12866,NEO
887111,24.2415,25.62,24.19,25.99,23.03,2020-03-23 04:00:00,9480,NEO
912535,26.4044,25.34,27.05,27.55,24.655,2020-03-24 04:00:00,8352,NEO
1155733,27.42,27.18,26.37,28.85,26.2,2020-03-25 04:00:00,11364,NEO
1255438,27.5449,26.69,27.25,28.68,26.57,2020-03-26 04:00:00,12100,NEO
810526,26.1617,26.5,25.71,27.26,25.25,2020-03-27 04:00:00,10484,NEO
839495,27.1643,25.71,27.71,27.89,25.71,2020-03-30 04:00:00,8624,NEO
922810,27.7212,27.61,27.61,28.41,27.1425,2020-03-31 04:00:00,10413,NEO
633138,26.4282,26.55,26.28,27.69,25.845,2020-04-01 04:00:00,6687,NEO
523980,26.5658,25.94,27.03,27.145,25.79,2020-04-02 04:00:00,6249,NEO
867313,25.1428,26.9,24.21,27.56,24.05,2020-04-03 04:00:00,8526,NEO
869148,25.7749,25.25,26.2,26.425,25.17,2020-04-06 04:00:00,10130,NEO
832939,25.4886,26.93,24.95,27.0,24.88,2020-04-07 04:00:00,8832,NEO
573938,25.8583,25.54,26.22,26.41,24.62,2020-04-08 04:00:00,6472,NEO
882051,26.6647,26.74,27.11,27.38,25.77,2020-04-09 04:00:00,9921,NEO
437414,27.2742,26.95,27.57,27.74,26.61,2020-04-13 04:00:00,5407,NEO
839587,28.5547,28.42,28.75,28.84,27.6201,2020-04-14 04:00:00,6673,NEO
529036,27.7104,28.29,27.57,28.29,27.445,2020-04-15 04:00:00,7498,NEO
873608,27.9708,27.99,28.18,28.5,27.57,2020-04-16 04:00:00,10312,NEO
642728,28.8963,29.45,29.25,29.5,28.22,2020-04-17 04:00:00,7799,NEO
522566,28.8403,28.88,28.58,29.41,28.24,2020-04-20 04:00:00,5376,NEO
677795,27.4537,28.27,27.42,28.32,26.85,2020-04-21 04:00:00,8199,NEO
538351,27.7162,27.88,27.67,27.92,27.075,2020-04-22 04:00:00,7006,NEO
586855,28.5021,27.8,28.31,28.99,27.6975,2020-04-23 04:00:00,6594,NEO
812752,29.6619,28.69,29.73,30.34,28.21,2020-04-24 04:00:00,8406,NEO
873074,30.2569,30.08,30.28,30.59,29.9,2020-04-27 04:00:00,8875,NEO
1200768,28.9632,30.36,27.97,30.75,27.5502,2020-04-28 04:00:00,13438,NEO
1190416,30.5567,28.23,31.02,31.419,28.02,2020-04-29 04:00:00,12418,NEO
7013564,27.959600000000002,28.4,27.34,28.48,27.23,2020-04-30 04:00:00,49335,NEO
2234178,26.4379,26.78,26.0,27.24,25.98,2020-05-01 04:00:00,20919,NEO
1627593,25.8134,25.95,25.73,26.4273,25.321,2020-05-04 04:00:00,14666,NEO
1334463,27.3567,26.32,27.35,27.99,26.28,2020-05-05 04:00:00,11800,NEO
1040740,27.9035,27.5,27.87,28.29,27.25,2020-05-06 04:00:00,10677,NEO
1165445,27.598300000000002,28.45,27.62,28.45,27.07,2020-05-07 04:00:00,11631,NEO
846010,28.1274,27.97,28.1,28.43,27.71,2020-05-08 04:00:00,8137,NEO
1138653,28.1193,28.39,28.14,28.4,27.76,2020-05-11 04:00:00,11487,NEO
844970,27.6138,28.16,26.905,28.4,26.84,2020-05-12 04:00:00,10394,NEO
872273,26.8263,26.71,27.09,27.24,26.3,2020-05-13 04:00:00,10835,NEO
1175459,27.2812,26.67,27.76,27.82,26.6,2020-05-14 04:00:00,10886,NEO
685562,28.2623,27.66,28.37,28.59,27.326,2020-05-15 04:00:00,7191,NEO
1262450,28.3493,28.9,28.35,28.99,27.77,2020-05-18 04:00:00,11035,NEO
695032,27.8167,28.03,27.57,28.2,27.46,2020-05-19 04:00:00,7956,NEO
808330,28.1166,28.15,28.06,28.4379,27.81,2020-05-20 04:00:00,7043,NEO
839776,27.7235,28.07,27.82,28.12,27.25,2020-05-21 04:00:00,7413,NEO
575837,27.8744,27.86,28.18,28.27,27.23,2020-05-22 04:00:00,6421,NEO
1155929,27.7747,28.97,27.23,29.1,27.1,2020-05-26 04:00:00,9522,NEO
1374903,27.985,27.93,28.54,28.74,26.76,2020-05-27 04:00:00,13795,NEO
706595,28.1738,28.82,27.66,28.82,27.54,2020-05-28 04:00:00,8736,NEO
1111368,26.8019,27.59,26.69,27.75,26.56,2020-05-29 04:00:00,9858,NEO
2051003,25.7958,26.63,25.65,26.825,25.19,2020-06-01 04:00:00,17674,NEO
1107967,25.9542,25.82,26.26,26.385,25.3,2020-06-02 04:00:00,10751,NEO
1019467,27.1082,26.59,27.26,27.63,26.185,2020-06-03 04:00:00,12309,NEO
1232329,27.6036,27.27,27.52,27.95,27.2,2020-06-04 04:00:00,12114,NEO
1212461,27.891,27.8,27.54,28.44,27.47,2020-06-05 04:00:00,12632,NEO
918873,27.6916,27.64,27.85,27.965,27.22,2020-06-08 04:00:00,9025,NEO
871426,27.905,27.56,27.75,28.28,27.56,2020-06-09 04:00:00,10448,NEO
673796,27.6505,27.81,27.605,27.92,27.35,2020-06-10 04:00:00,9011,NEO
1216817,26.310200000000002,26.8,25.9,27.19,25.67,2020-06-11 04:00:00,13768,NEO
974824,26.6782,26.58,27.02,27.14,26.14,2020-06-12 04:00:00,11708,NEO
1142340,27.8946,26.48,28.13,28.62,26.26,2020-06-15 04:00:00,15319,NEO
1090028,28.4931,28.91,28.52,29.0,27.79,2020-06-16 04:00:00,13255,NEO
821181,27.8417,28.73,27.51,29.275,27.39,2020-06-17 04:00:00,10431,NEO
657654,28.226,27.29,28.23,28.59,27.29,2020-06-18 04:00:00,9675,NEO
2009531,28.4542,28.46,28.35,29.3,27.93,2020-06-19 04:00:00,11375,NEO
606397,28.4538,28.36,28.55,28.81,28.095,2020-06-22 04:00:00,7970,NEO
705467,28.945,28.71,29.01,29.34,28.32,2020-06-23 04:00:00,8115,NEO
885217,27.9288,29.0,27.78,29.01,27.52,2020-06-24 04:00:00,10972,NEO
809618,28.8256,27.85,29.32,29.37,27.5,2020-06-25 04:00:00,8469,NEO
2455416,27.4936,29.25,27.27,29.26,27.21,2020-06-26 04:00:00,13176,NEO
1090441,28.8037,27.42,29.16,29.21,27.28,2020-06-29 04:00:00,11868,NEO
1996875,30.4028,29.24,30.98,31.21,29.17,2020-06-30 04:00:00,16563,NEO
1732585,32.4282,30.91,33.26,33.44,30.7874,2020-07-01 04:00:00,18809,NEO
1353441,33.9456,33.4,33.88,34.2852,33.14,2020-07-02 04:00:00,15626,NEO
1127968,34.5796,34.5,34.75,35.03,34.01,2020-07-06 04:00:00,11539,NEO
1317890,35.3614,34.7,35.38,35.92,34.5,2020-07-07 04:00:00,12291,NEO
726347,35.9577,35.7,36.11,36.27,35.5,2020-07-08 04:00:00,9070,NEO
824554,36.2936,36.19,36.31,36.8,35.9,2020-07-09 04:00:00,10444,NEO
749644,36.1812,36.6,35.85,36.88,35.58,2020-07-10 04:00:00,8928,NEO
1099594,35.5521,36.25,34.985,36.65,34.83,2020-07-13 04:00:00,9544,NEO
713194,34.9837,35.06,35.31,35.38,34.05,2020-07-14 04:00:00,8806,NEO
884046,36.262,35.99,36.51,36.69,35.54,2020-07-15 04:00:00,8118,NEO
647530,36.0873,36.43,36.41,36.46,35.49,2020-07-16 04:00:00,7144,NEO
484837,36.5269,36.35,36.41,36.94,36.13,2020-07-17 04:00:00,5748,NEO
715563,37.1631,36.75,37.14,37.63,36.655,2020-07-20 04:00:00,8128,NEO
536936,36.7297,37.5,36.53,37.5,36.35,2020-07-21 04:00:00,6784,NEO
397348,36.719,36.56,36.77,37.29,36.42,2020-07-22 04:00:00,5315,NEO
529310,36.9585,36.59,36.72,37.7,36.43,2020-07-23 04:00:00,7034,NEO
1028020,35.8779,36.18,35.99,36.38,35.06,2020-07-24 04:00:00,8872,NEO
635294,36.7878,36.0,36.82,37.14,36.0,2020-07-27 04:00:00,7324,NEO
1079435,36.2348,35.0,35.8,38.24,35.0,2020-07-28 04:00:00,11361,NEO
812985,37.565,37.04,37.53,38.33,36.6739,2020-07-29 04:00:00,9640,NEO
903186,38.1835,37.14,38.34,38.69,36.7652,2020-07-30 04:00:00,9957,NEO
756825,37.7686,38.46,38.23,38.74,37.2,2020-07-31 04:00:00,6489,NEO
731184,38.8335,38.5,38.6,39.52,38.2,2020-08-03 04:00:00,8634,NEO
624059,38.6072,38.0,38.81,38.935,37.57,2020-08-04 04:00:00,7202,NEO
969970,39.8436,39.0,40.32,40.68,38.99,2020-08-05 04:00:00,7872,NEO
659694,39.5846,40.38,40.01,40.6074,39.07,2020-08-06 04:00:00,7602,NEO
648684,39.9569,39.9,39.68,41.03,39.2383,2020-08-07 04:00:00,7555,NEO
475868,39.7824,39.69,39.34,40.76,39.1,2020-08-10 04:00:00,6417,NEO
562641,39.3819,39.35,39.23,39.8236,38.42,2020-08-11 04:00:00,9794,NEO
567248,40.0316,39.64,39.96,40.7621,39.57,2020-08-12 04:00:00,6006,NEO
469584,40.3427,39.8,40.27,40.745,39.8,2020-08-13 04:00:00,5795,NEO
450236,39.1,40.27,38.93,40.27,38.72,2020-08-14 04:00:00,5508,NEO
637491,39.5032,39.28,39.59,39.71,39.08,2020-08-17 04:00:00,5801,NEO
673934,39.3142,39.62,39.46,39.64,38.68,2020-08-18 04:00:00,6273,NEO
639122,40.1562,39.8,40.01,40.65,39.15,2020-08-19 04:00:00,6427,NEO
485533,40.4471,39.91,40.34,40.96,39.5785,2020-08-20 04:00:00,4971,NEO
495163,40.4558,40.36,40.48,40.7,40.06,2020-08-21 04:00:00,5008,NEO
664738,38.6522,40.88,38.12,40.88,37.9,2020-08-24 04:00:00,8496,NEO
501486,38.6995,38.12,38.74,39.25,37.51,2020-08-25 04:00:00,6268,NEO
413193,38.8204,38.74,38.88,39.21,38.23,2020-08-26 04:00:00,5880,NEO
744105,37.6611,38.98,37.72,38.98,37.02,2020-08-27 04:00:00,8581,NEO
551330,38.4364,38.26,38.595,38.87,37.84,2020-08-28 04:00:00,7870,NEO
749942,38.9237,38.44,38.95,39.2,38.21,2020-08-31 04:00:00,5720,NEO
426582,38.9849,39.2,38.9,39.4173,38.68,2020-09-01 04:00:00,5462,NEO
461219,39.02,39.06,39.3,39.45,38.28,2020-09-02 04:00:00,5686,NEO
813075,37.1696,38.8,36.99,39.0,36.69,2020-09-03 04:00:00,9733,NEO
787752,35.6549,37.02,35.8,37.99,34.62,2020-09-04 04:00:00,10227,NEO
613575,35.7567,35.42,35.86,36.3586,34.7409,2020-09-08 04:00:00,7924,NEO
622220,36.9494,36.62,36.94,37.26,36.28,2020-09-09 04:00:00,7948,NEO
437378,36.8438,37.99,36.35,38.17,36.26,2020-09-10 04:00:00,7160,NEO
556003,35.5411,36.39,35.35,36.74,34.9,2020-09-11 04:00:00,7348,NEO
940855,35.19,35.89,34.92,35.89,34.83,2020-09-14 04:00:00,10826,NEO
627443,35.2864,35.09,35.25,35.625,34.98,2020-09-15 04:00:00,7935,NEO
704067,35.4847,35.3,35.47,35.73,35.03,2020-09-16 04:00:00,8684,NEO
540092,34.7747,35.0,34.86,35.44,34.25,2020-09-17 04:00:00,7141,NEO
1788206,35.764,35.5,35.83,36.42,34.88,2020-09-18 04:00:00,9107,NEO
